"Date","ONEOK","Price"
2005-09-30,74,34.02
2005-10-07,68,32.44
2005-10-14,68,29.85
2006-04-28,57,33.01
2006-05-05,63,32.62
2006-05-12,70,31.86
2006-05-19,76,31.16
2006-05-26,82,31.82
2006-06-02,52,34.8
2006-06-09,52,34.17
2006-06-16,55,33.54
2006-06-23,58,33.26
2006-06-30,62,34.04
2006-07-07,65,33.86
2006-07-14,68,35.76
2006-07-21,52,36.29
2006-07-28,52,37.67
2006-08-04,52,37.56
2006-08-11,52,38.83
2006-08-18,52,38.82
2006-08-25,53,37.83
2006-09-01,54,38.63
2006-09-08,55,38.61
2006-09-15,57,37.29
2006-09-22,58,37.06
2006-09-29,45,37.79
2006-10-06,45,38.71
2006-10-13,48,39.5
2006-10-20,52,40.98
2006-10-27,77,41.68
2006-11-03,43,41.56
2006-11-10,40,41.81
2006-11-17,40,41.49
2007-01-12,45,41.65
2007-01-19,47,42.18
2007-01-26,49,42.91
2007-02-02,51,43.05
2007-02-09,52,43.52
2007-02-16,54,43.15
2007-02-23,55,42.72
2007-03-02,55,41.74
2007-03-09,43,43.07
2007-03-16,35,44.78
2007-03-23,35,46.13
2007-03-30,70,45
2007-04-13,50,45.41
2007-04-20,61,46.32
2007-04-27,45,48
2007-05-04,38,49.22
2007-05-11,38,50.25
2007-05-18,32,50.9
2007-05-25,38,52.11
2007-06-01,38,54.47
2007-06-08,38,49.94
2007-06-15,47,51.22
2007-06-22,42,49.25
2007-06-29,44,50.41
2007-07-06,46,51.81
2007-07-13,48,53.83
2007-07-20,32,54.86
2007-07-27,54,50.98
2007-08-03,54,48.06
2007-08-10,79,44.9
2007-08-17,38,45.37
2007-08-24,39,47.33
2007-08-31,42,46.85
2007-09-07,29,46.53
2007-09-14,34,46.39
2007-09-21,34,46.95
2007-09-28,43,47.4
2007-10-05,52,48.3
2007-10-12,36,48.31
2007-10-19,35,47.81
2007-10-26,29,49.7
2007-11-02,60,52.05
2007-11-09,29,50.02
2007-11-16,30,48.98
2007-11-23,35,47.8
2007-11-30,36,46.5
2007-12-07,42,46.32
2007-12-14,45,45.26
2007-12-21,47,44.97
2007-12-28,50,45.27
2008-01-04,53,44.33
2008-01-11,40,48.11
2008-01-18,38,47.1
2008-01-25,31,45.21
2008-02-01,31,47.79
2008-02-08,41,46.93
2008-02-15,57,46.99
2008-02-22,47,47.65
2008-02-29,55,46.57
2008-03-07,46,47.26
2008-03-14,48,47.09
2008-03-28,62,43.99
2008-04-04,48,46.01
2008-04-11,34,46.02
2008-04-18,25,48.97
2008-04-25,44,49.06
2008-05-02,40,47.75
2008-05-09,55,48.84
2008-05-16,45,50.47
2008-05-23,38,49.66
2008-05-30,24,50.06
2008-06-06,37,49.85
2008-06-13,36,49.02
2008-06-20,43,48.51
2008-06-27,35,47.73
2008-07-11,25,47.59
2008-07-18,49,45.67
2008-07-25,49,44.92
2008-08-01,39,44.99
2008-08-08,55,43.65
2008-08-15,42,42.15
2008-08-22,43,43.91
2008-08-29,31,43.71
2008-09-05,38,42.2
2008-09-12,39,40.99
2008-09-19,66,38.11
2008-09-26,31,36.25
2008-10-03,47,33.41
2008-10-10,54,23.17
2008-10-17,63,27.91
2008-10-24,45,27.3
2008-10-31,38,31.9
2008-11-07,42,29.92
2008-11-14,64,26.88
2008-11-21,61,25.9
2008-11-28,32,29.34
2008-12-05,50,26.41
2008-12-12,63,27.43
2008-12-19,48,27.48
2008-12-26,28,27.77
2009-01-02,68,30.6
2009-01-09,46,29.43
2009-01-16,67,28.57
2009-01-23,48,29.42
2009-01-30,61,29.22
2009-02-06,47,28.05
2009-02-13,55,27.92
2009-02-20,56,24.34
2009-02-27,84,22.34
2009-03-06,55,18.93
2009-03-13,60,20.08
2009-03-20,61,22.13
2009-03-27,65,22.91
2009-04-03,58,24.11
2009-04-17,44,25.28
2009-04-24,39,25.43
2009-05-01,50,26.43
2009-05-08,35,28.03
2009-05-15,40,26.47
2009-05-22,38,27.27
2009-05-29,23,29.3
2009-06-05,51,29.53
2009-06-12,41,30
2009-06-19,23,29.27
2009-06-26,35,29.01
2009-07-10,35,28.5
2009-07-17,41,30.65
2009-07-24,40,33.26
