"Date","PCG","Price"
2004-02-06,95,27.07
2004-02-13,84,27.62
2004-02-20,80,27.31
2004-02-27,93,28.17
2004-03-05,88,28.11
2004-03-12,74,27.54
2004-03-19,100,28.7
2004-03-26,84,28.97
2004-04-02,87,29.4
2004-04-16,76,28.66
2004-04-23,74,28.31
2004-04-30,88,27.52
2004-05-07,84,26.83
2004-05-14,81,27.14
2004-05-21,86,26.62
2004-05-28,76,28.5
2004-06-04,87,27.99
2004-06-18,85,28.54
2004-06-25,74,28.33
2004-07-02,78,28.35
2004-07-09,97,28.02
2004-07-16,94,28.82
2004-07-23,90,28.18
2004-07-30,91,28.54
2004-08-06,90,28.1
2004-08-13,88,28.33
2004-08-20,91,28.75
2004-08-27,90,28.48
2004-09-03,90,29.25
2004-09-10,84,29.31
2004-09-17,91,29.87
2004-09-24,80,30.06
2004-10-01,75,30.46
2004-10-08,69,30.78
2004-10-15,79,30.91
2004-10-22,71,31.36
2004-10-29,77,32.04
2004-11-05,63,32.7
2004-11-12,63,33.67
2004-11-19,71,33.35
2004-11-26,66,34.01
2004-12-03,69,32.29
2004-12-10,71,31.65
2004-12-17,64,32.79
2004-12-31,73,33.28
2005-01-07,75,31.92
2005-01-14,76,33.4
2005-01-21,69,34
2005-01-28,67,34.6
2005-02-04,74,35.5
2005-02-11,64,35.76
2005-02-18,62,35.95
2005-02-25,54,35.51
2005-03-04,66,35.83
2005-03-11,68,35.02
2005-03-18,85,35.03
2005-04-01,62,34.25
2005-04-08,62,34.63
2005-04-15,55,34.11
2005-04-22,55,35.31
2005-04-29,66,34.72
2005-05-06,74,35.83
2005-05-13,63,34.6
2005-05-20,61,35.9
2005-05-27,54,36.15
2005-06-03,53,35.97
2005-06-10,57,36.81
2005-06-17,59,36.31
2005-06-24,56,37.05
2005-07-01,54,37.93
2005-07-08,59,37.72
2005-07-15,59,37.29
2005-07-22,58,37.06
2005-07-29,55,37.63
2005-08-05,57,37.04
2005-08-12,57,37.17
2005-08-19,50,36.52
2005-08-26,54,37.18
2005-09-02,56,37.99
2005-09-09,54,38.49
2005-09-16,52,38.64
2005-09-23,47,38.18
2005-09-30,47,39.25
