"Date","PSX","Price"
2012-04-13,18,37
2012-04-20,17,36.32
2012-04-27,17,34.11
2012-05-04,20,30.16
2012-05-11,17,31.83
2012-05-18,18,31.38
2012-05-25,17,31.3
2012-06-01,18,29.92
2012-06-08,19,32.12
2012-06-15,19,34.9
2012-06-22,20,34.16
2012-06-29,18,33.24
2012-07-06,20,33.37
2012-07-13,20,34.94
2012-07-20,21,35.32
2012-07-27,21,36.52
2012-08-03,20,39.67
2012-08-10,20,40
2012-08-17,20,42.77
2012-08-24,19,41.36
2012-08-31,18,42
2012-09-07,18,44.26
2012-09-14,18,46.73
2012-09-21,18,46.82
2012-09-28,16,46.37
2012-10-05,16,46.02
2012-10-12,16,43.92
2012-10-19,16,44.64
2012-10-26,17,47.5
2012-11-02,17,46.21
2012-11-09,15,47.41
2012-11-16,16,45.77
2012-11-23,16,49.82
2012-11-30,16,52.37
2012-12-07,16,52.34
2012-12-14,16,53.47
2012-12-21,16,52.16
2012-12-28,20,50.57
2013-01-04,19,53.14
2013-01-11,17,50.58
2013-01-18,16,55.07
2013-01-25,17,56.81
2013-02-01,17,62.75
2013-02-08,16,64.02
2013-02-15,17,64.17
2013-02-22,16,64.11
2013-03-01,16,63.9
2013-03-08,15,66.03
2013-03-15,15,64.15
2013-03-22,15,67.55
2013-04-05,15,62.31
2013-04-12,14,60.67
2013-04-19,14,57.84
2013-04-26,15,61.6
2013-05-03,15,62.18
2013-05-10,15,61.38
2013-05-17,14,65.46
2013-05-24,15,65.47
2013-05-31,15,66.57
2013-06-07,15,65.87
2013-06-14,15,63.81
2013-06-21,16,59.25
2013-06-28,16,58.91
2013-07-05,17,57.24
2013-07-12,16,59.09
2013-07-19,17,57.49
2013-07-26,16,59
2013-08-02,16,58.41
2013-08-09,16,58.92
2013-08-16,15,56.3
2013-08-23,15,58.11
2013-08-30,14,57.1
2013-09-06,13,57.42
2013-09-13,13,57.13
2013-09-20,13,57.93
2013-09-27,13,58.53
2013-10-04,12,59.17
2013-10-11,13,59.93
2013-10-18,13,63.48
2013-10-25,12,63.4
2013-11-01,12,64.13
2013-11-08,12,65.36
2013-11-15,12,67.1
2013-11-22,13,68.48
2013-11-29,13,69.61
2013-12-06,13,71.24
2013-12-13,13,71.6
2013-12-20,13,74.03
2013-12-27,16,74.75
2014-01-03,15,76.29
2014-01-10,13,78
2014-01-17,13,76.02
2014-01-24,13,74.44
2014-01-31,13,73.09
2014-02-07,14,74.28
2014-02-14,13,75.93
2014-02-21,13,74.95
2014-02-28,12,74.86
2014-03-07,13,78.08
2014-03-14,12,78.69
2014-03-21,11,77.95
2014-03-28,12,76.65
2014-04-04,11,79.57
2014-04-11,11,76.75
2014-04-25,12,82.59
