"Date","Patterson.Companies","Price"
2007-06-15,100,36.87
2008-06-20,87,30.8
2008-10-24,68,21.63
2009-02-27,67,18.07
2009-03-06,77,16.55
2009-03-13,87,17.99
2009-05-22,63,20.09
2009-09-04,50,27.33
2009-09-11,49,27.55
2009-09-18,49,27.77
2009-11-20,68,25.87
2010-01-22,46,28.91
2010-01-29,45,28.56
2010-02-05,50,28.58
2010-02-12,42,28.76
2010-02-19,42,29.79
2010-02-26,45,29.68
2010-03-05,47,30.77
2010-03-12,49,30.38
2010-04-23,41,32.78
2010-04-30,43,31.96
2010-05-07,45,29.5
2010-05-14,47,30.24
2010-05-21,47,29.58
2010-05-28,47,29.74
2010-08-06,40,27.69
2010-08-13,41,26.66
2010-08-20,42,26.93
2010-08-27,43,25.39
2010-09-03,44,26.45
2010-09-10,46,26.62
2010-09-17,48,27.15
2010-09-24,36,28.1
2010-10-01,36,28.64
2010-10-08,43,28.62
2010-10-15,49,28.5
2010-10-22,56,27.92
2010-10-29,48,27.65
2010-11-05,48,28.29
2010-11-12,48,28.61
2010-11-19,48,28.67
2010-11-26,34,30.1
2010-12-03,34,30.52
2010-12-10,34,29.75
2010-12-17,34,30.89
2011-01-28,38,32.98
2011-02-04,36,33.39
2011-03-18,31,31.57
2011-03-25,31,31.5
2011-04-01,31,32.85
2011-04-08,31,33.01
2011-04-15,34,33.4
2011-04-29,34,34.71
2011-05-06,34,35.05
2011-05-13,37,35.64
2011-05-20,37,35.79
2011-05-27,34,35.1
2011-06-03,33,32.77
2011-06-10,33,32.09
2011-06-17,36,31.95
2011-06-24,34,31.64
2011-07-01,31,33.77
2011-07-08,36,33.55
2011-07-15,41,32.81
2011-07-22,40,32.75
2011-07-29,40,30.84
2011-08-05,43,29.04
2011-08-12,54,29.04
2011-08-19,32,27.81
2011-08-26,32,27.25
2011-09-02,32,28.12
2011-09-09,35,27.2
2011-09-16,38,28.03
2011-09-23,41,27.98
2011-09-30,44,28.63
2011-10-07,33,28.47
2011-10-14,27,29.2
2011-10-21,27,30.14
2011-10-28,27,32.44
2011-11-04,46,30.03
2011-11-11,27,30.01
2011-11-18,27,29.02
2011-11-25,27,28.09
2011-12-02,26,30.13
2011-12-09,26,29.34
2011-12-16,29,28.55
2011-12-23,31,29.56
2011-12-30,32,29.52
2012-01-06,34,29.58
2012-01-13,32,30.26
2012-01-20,29,31.36
2012-01-27,29,32.13
2012-02-03,35,32.64
2012-02-10,41,31.82
2012-02-17,32,33.04
2012-02-24,34,32.14
2012-03-02,24,31.03
2012-03-09,25,31.04
2012-03-16,29,32.36
2012-03-23,49,31.75
2012-03-30,30,33.4
2012-04-13,35,32.89
2012-04-20,38,32.94
2012-04-27,53,33.99
2012-05-04,74,33.55
2012-05-11,57,33.51
2012-05-18,50,32.25
2012-05-25,43,34.04
2012-06-01,43,32.6
2012-06-08,48,33.19
2012-06-15,35,33.02
2012-06-22,38,34.05
2012-06-29,38,34.47
2012-07-06,29,34.86
2012-07-13,29,34.51
2012-07-20,48,34.77
2012-07-27,27,35.24
2012-08-03,27,34.44
2012-08-10,41,35.37
2012-08-17,44,36.13
2012-08-24,44,34.06
2012-08-31,33,33.97
2012-09-07,37,34.24
2012-09-14,30,34.39
2012-09-21,30,35.07
2012-09-28,27,34.24
2012-10-05,34,35.39
2012-10-12,26,34.35
2012-10-19,35,33.49
2012-10-26,46,33.49
2012-11-02,24,33.88
2012-11-09,32,34.24
2012-11-16,28,35.25
2012-11-23,30,33.83
2012-11-30,31,34.1
2012-12-07,25,33.26
2012-12-14,23,33.29
2012-12-21,43,34.15
2012-12-28,43,33.85
2013-01-04,43,34.71
2013-01-11,44,35.49
2013-01-18,40,35.46
2013-01-25,40,36.64
2013-02-01,28,36.86
2013-02-08,28,37.31
2013-02-15,24,37.22
2013-02-22,33,36.04
2013-03-01,21,36.45
2013-03-08,21,36.85
2013-03-15,25,37.21
2013-03-22,28,37.74
2013-04-05,39,36.86
2013-04-12,40,37.28
2013-04-19,31,37.2
2013-04-26,31,37.47
2013-05-03,24,38.44
2013-05-10,33,38.79
2013-05-17,39,38.68
2013-05-24,40,39.2
2013-05-31,29,39.08
2013-06-07,29,38.98
2013-06-14,33,38.76
2013-06-21,33,37.42
2013-06-28,44,37.6
2013-07-05,28,37.97
2013-07-12,34,39.65
2013-07-19,41,40.35
2013-07-26,22,40.59
2013-08-02,29,41.84
2013-08-09,26,42.09
2013-08-16,40,41.52
2013-08-23,37,41.01
2013-08-30,31,39.88
2013-09-06,22,40.03
2013-09-13,35,40.93
2013-09-20,33,40.78
2013-09-27,28,39.97
2013-10-04,38,40.17
2013-10-11,26,40.39
2013-10-18,28,41.48
2013-10-25,23,41.58
2013-11-01,22,42.64
2013-11-08,32,43.25
2013-11-15,38,43.68
2013-11-22,26,41.73
2013-11-29,23,41.49
2013-12-06,31,41.76
2013-12-13,25,40.34
2013-12-20,29,40.5
2013-12-27,22,41.09
2014-01-03,25,41.33
2014-01-10,31,40.95
2014-01-17,19,40.98
2014-01-24,25,39.99
2014-01-31,39,39.96
2014-02-07,28,39.69
2014-02-14,24,40.3
2014-02-21,24,40.72
2014-02-28,33,41.16
2014-03-07,25,42
2014-03-14,24,41.15
2014-03-21,27,41.14
2014-03-28,43,41.03
2014-04-04,27,42.47
2014-04-11,42,40.82
2014-04-25,28,40.91
