"Date","Philip.Morris.International","Price"
2008-03-28,31,51.06
2008-04-04,100,51.37
2008-04-11,36,48.33
2008-04-18,30,49.96
2008-04-25,29,51.3
2008-05-02,31,51.02
2008-05-09,26,51.83
2008-05-16,20,53.38
2008-05-23,24,51.8
2008-05-30,18,52.66
2008-06-06,17,50.5
2008-06-13,23,51.61
2008-06-20,18,50.22
2008-06-27,22,49.83
2008-07-11,25,53.37
2008-07-18,32,50.72
2008-07-25,25,53.05
2008-08-01,30,52.08
2008-08-08,17,55.21
2008-08-15,13,55.57
2008-08-22,11,55.53
2008-08-29,18,53.7
2008-09-05,19,54
2008-09-12,23,53.68
2008-09-19,24,51.42
2008-09-26,21,50.9
2008-10-03,23,49.67
2008-10-10,22,39.74
2008-10-17,28,43.3
2008-10-24,38,40.5
2008-10-31,23,43.47
2008-11-07,23,42.2
2008-11-14,19,38.41
2008-11-21,20,38.26
2008-11-28,14,42.16
2008-12-05,25,42.36
2008-12-12,26,41.36
2008-12-19,19,41.85
2008-12-26,14,42.46
2009-01-02,15,44.12
2009-01-09,16,42.32
2009-01-16,24,42.12
2009-01-23,14,41.22
2009-01-30,26,37.15
2009-02-06,36,36.83
2009-02-13,20,35.99
2009-02-20,28,35.63
2009-02-27,15,33.47
2009-03-06,27,33.34
2009-03-13,29,36.01
2009-03-20,25,38.36
2009-03-27,17,37.58
2009-04-03,24,36.2
2009-04-17,15,37.32
2009-04-24,24,37.43
2009-05-01,29,37.18
2009-05-08,19,41.1
2009-05-15,18,43.17
2009-05-22,19,42.71
2009-05-29,16,42.64
2009-06-05,18,44.1
2009-06-12,19,43.52
2009-06-19,17,42.15
2009-06-26,13,42.61
2009-07-10,23,42.35
2009-07-17,20,44
2009-07-24,24,47.3
2009-07-31,22,46.6
2009-08-07,13,47.06
2009-08-14,16,46.62
2009-08-21,16,46.87
2009-08-28,20,45.36
2009-09-04,15,46.05
2009-09-11,23,47.42
2009-09-18,19,48.18
2009-09-25,17,47.64
2009-10-02,13,48.36
2009-10-09,20,50.19
2009-10-16,18,50.95
2009-10-23,18,49.07
2009-10-30,16,47.36
2009-11-06,22,48.83
2009-11-13,20,50.15
2009-11-20,17,49.73
2009-11-27,20,49.99
2009-12-04,20,49.82
2009-12-11,12,48.48
2009-12-18,16,48.66
2010-01-08,12,49.26
2010-01-15,16,49.62
2010-01-22,25,46.81
2010-01-29,18,45.51
2010-02-05,26,45.66
2010-02-12,24,49.29
2010-02-19,22,49.98
2010-02-26,24,48.98
2010-03-05,34,51.25
2010-03-12,29,50.14
2010-03-19,26,52.68
2010-03-26,22,52.12
2010-04-09,24,52.75
2010-04-16,31,50.74
2010-04-23,23,51.14
2010-04-30,31,49.08
2010-05-07,23,46.42
2010-05-14,29,46.56
2010-05-21,16,44.26
2010-05-28,16,44.12
2010-06-04,14,43.74
2010-06-11,27,44.35
2010-06-18,18,45.91
2010-06-25,23,45.9
2010-07-02,16,46.45
2010-07-09,23,48.59
2010-07-16,22,49.67
2010-07-23,19,50.66
2010-07-30,20,51.04
2010-08-06,20,52.19
2010-08-13,20,51.99
2010-08-20,20,51.98
2010-08-27,24,51.44
2010-09-03,14,54.04
2010-09-10,19,54.6
2010-09-17,20,55.12
2010-09-24,22,56.1
2010-10-01,19,55.55
2010-10-08,17,56.63
2010-10-15,20,58.54
2010-10-22,18,58.13
2010-10-29,19,58.51
2010-11-05,19,60.44
2010-11-12,15,59.64
2010-11-19,19,59.81
2010-11-26,18,58.78
2010-12-03,15,58.12
2010-12-10,22,59
2010-12-17,17,59.69
2010-12-31,10,58.53
2011-01-07,14,56.42
2011-01-14,19,56.67
2011-01-21,15,56.7
2011-01-28,18,56.6
2011-02-04,15,58.67
2011-02-11,20,59.62
2011-02-18,16,61.43
2011-02-25,21,62.25
2011-03-04,18,63.5
2011-03-11,18,63.78
2011-03-18,16,61.72
2011-03-25,17,65.12
2011-04-01,21,64.93
2011-04-08,15,65.83
2011-04-15,22,66.56
