"Date","Phillips.66","Price"
2012-04-13,36,37
2012-04-20,35,36.32
2012-04-27,31,34.11
2012-05-04,100,30.16
2012-05-11,65,31.83
2012-05-18,54,31.38
2012-05-25,48,31.3
2012-06-01,44,29.92
2012-06-08,50,32.12
2012-06-15,47,34.9
2012-06-22,49,34.16
2012-06-29,47,33.24
2012-07-06,43,33.37
2012-07-13,51,34.94
2012-07-20,54,35.32
2012-07-27,48,36.52
2012-08-03,50,39.67
2012-08-10,45,40
2012-08-17,64,42.77
2012-08-24,50,41.36
2012-08-31,56,42
2012-09-07,55,44.26
2012-09-14,60,46.73
2012-09-21,57,46.82
2012-09-28,57,46.37
2012-10-05,54,46.02
2012-10-12,56,43.92
2012-10-19,62,44.64
2012-10-26,67,47.5
2012-11-02,76,46.21
2012-11-09,67,47.41
2012-11-16,58,45.77
2012-11-23,45,49.82
2012-11-30,47,52.37
2012-12-07,45,52.34
2012-12-14,44,53.47
2012-12-21,37,52.16
2012-12-28,29,50.57
2013-01-04,42,53.14
2013-01-11,47,50.58
2013-01-18,44,55.07
2013-01-25,52,56.81
2013-02-01,58,62.75
2013-02-08,48,64.02
2013-02-15,42,64.17
2013-02-22,43,64.11
2013-03-01,47,63.9
2013-03-08,46,66.03
2013-03-15,57,64.15
2013-03-22,50,67.55
2013-04-05,48,62.31
2013-04-12,48,60.67
2013-04-19,45,57.84
2013-04-26,42,61.6
2013-05-03,52,62.18
2013-05-10,53,61.38
2013-05-17,48,65.46
2013-05-24,54,65.47
2013-05-31,48,66.57
2013-06-07,47,65.87
2013-06-14,51,63.81
2013-06-21,50,59.25
2013-06-28,62,58.91
2013-07-05,48,57.24
2013-07-12,55,59.09
2013-07-19,58,57.49
2013-07-26,52,59
2013-08-02,51,58.41
2013-08-09,52,58.92
2013-08-16,50,56.3
2013-08-23,43,58.11
2013-08-30,55,57.1
2013-09-06,51,57.42
2013-09-13,50,57.13
2013-09-20,47,57.93
2013-09-27,53,58.53
2013-10-04,59,59.17
2013-10-11,60,59.93
2013-10-18,58,63.48
2013-10-25,66,63.4
2013-11-01,58,64.13
2013-11-08,60,65.36
2013-11-15,63,67.1
2013-11-22,55,68.48
2013-11-29,42,69.61
2013-12-06,40,71.24
2013-12-13,41,71.6
2013-12-20,44,74.03
2013-12-27,31,74.75
2014-01-03,57,76.29
2014-01-10,52,78
2014-01-17,50,76.02
2014-01-24,48,74.44
2014-01-31,53,73.09
2014-02-07,52,74.28
2014-02-14,45,75.93
2014-02-21,47,74.95
2014-02-28,49,74.86
2014-03-07,48,78.08
2014-03-14,57,78.69
2014-03-21,46,77.95
2014-03-28,40,76.65
2014-04-04,52,79.57
2014-04-11,45,76.75
2014-04-25,46,82.59
