"Date","Regeneron","Price"
2006-01-13,67,16.13
2006-01-20,62,15.5
2006-01-27,62,15.44
2006-02-03,62,16.19
2006-02-10,62,15.33
2006-10-27,48,19.66
2006-11-03,50,20.78
2006-11-10,51,23.82
2006-11-17,45,23.65
2006-11-24,45,23.24
2006-12-01,45,21.16
2007-01-12,50,22.74
2007-01-19,49,21.77
2007-01-26,45,19.92
2007-02-02,45,20.18
2007-03-30,51,21.62
2007-04-13,51,25.04
2007-04-20,53,25.9
2007-04-27,56,27.58
2007-05-04,48,28.53
2007-05-11,48,28.35
2007-05-18,52,24.87
2007-05-25,55,22.99
2007-06-01,58,22.99
2007-06-08,62,18.64
2007-06-15,42,18.81
2007-06-22,39,17.93
2007-06-29,41,17.92
2007-07-06,43,18.1
2007-07-13,44,18.45
2007-07-20,46,17.16
2007-07-27,33,15.38
2007-08-03,33,14.02
2007-08-10,36,16.23
2007-08-17,39,18.33
2007-08-24,29,18.54
2007-08-31,29,19.46
2007-09-07,29,21.25
2007-09-14,29,20.14
2007-09-21,28,18.89
2007-09-28,28,17.8
2007-10-05,46,17.99
2007-10-12,31,19.45
2007-10-19,30,20.33
2007-10-26,35,22.56
2007-11-02,28,21
2007-11-09,37,18.3
2007-11-16,46,18.56
2007-11-23,55,18.34
2007-11-30,64,21.78
2007-12-07,75,24
2007-12-14,26,22.2
2007-12-21,27,23.99
2007-12-28,29,24.43
2008-01-04,31,22.49
2008-01-11,33,24.29
2008-01-18,25,24.6
2008-01-25,29,21.9
2008-02-01,42,21.48
2008-02-08,45,19.57
2008-02-15,47,18.9
2008-02-22,39,17.99
2008-02-29,57,19.77
2008-03-07,49,17.3
2008-03-14,40,16.79
2008-03-28,64,19.62
2008-04-04,44,20.18
2008-04-11,74,18.59
2008-04-18,44,19.8
2008-04-25,47,20.91
2008-05-02,56,21.02
2008-05-09,56,20.45
2008-05-16,49,20.23
2008-05-23,34,18.91
2008-05-30,37,19.9
2008-06-06,36,14.82
2008-06-13,28,14.22
2008-06-20,33,14.68
2008-06-27,56,14.76
2008-07-11,26,15.08
2008-07-18,26,17.01
2008-07-25,43,19
