"Date","SCG","Price"
2004-02-06,27,34.2
2004-02-13,16,35.35
2004-02-20,31,34.63
2004-02-27,28,34.99
2004-03-05,23,36.21
2004-03-12,26,35.53
2004-03-19,30,35.46
2004-03-26,27,34.9
2004-04-02,33,35.74
2004-04-16,29,33.76
2004-04-23,30,34.13
2004-04-30,28,34.4
2004-05-07,25,33.67
2004-05-14,35,33.63
2004-05-21,26,34.06
2004-05-28,26,35.58
2004-06-04,29,35.81
2004-06-18,24,36.25
2004-06-25,34,36.6
2004-07-02,30,35.94
2004-07-09,39,36.08
2004-07-16,36,36.5
2004-07-23,31,36.59
2004-07-30,41,36.62
2004-08-06,41,36.44
2004-08-13,40,36.7
2004-08-20,52,37.73
2004-08-27,46,37.59
2004-09-03,36,37.53
2004-09-10,34,37.05
2004-09-17,22,37.32
2004-09-24,25,37.09
2004-10-01,33,37.73
2004-10-08,53,37.32
2004-10-15,35,37.1
2004-10-22,30,37.1
2004-10-29,33,37.1
2004-11-05,38,37.52
2004-11-12,43,38.45
2004-11-19,44,38.27
2004-11-26,27,39.2
2004-12-03,40,38.07
2004-12-10,44,37.95
2004-12-17,32,38.19
2004-12-31,29,39.4
2005-01-07,37,38.41
2005-01-14,51,38.63
2005-01-21,45,38.53
2005-01-28,38,38.62
2005-02-04,47,39.96
2005-02-11,47,39.4
2005-02-18,36,38.77
2005-02-25,42,38.23
2005-03-04,38,38.8
2005-03-11,30,37.5
2005-03-18,27,37.73
2005-04-01,47,38.25
2005-04-08,29,37.93
2005-04-15,36,37.29
2005-04-22,38,38.05
2005-04-29,27,38.84
2005-05-06,30,39.46
2005-05-13,39,40.03
2005-05-20,36,41.09
2005-05-27,51,41.8
2005-06-03,50,42.58
2005-06-10,41,42.13
2005-06-17,41,43.3
2005-06-24,41,42.47
2005-07-01,31,42.77
2005-07-08,43,43.24
2005-07-15,48,42.97
2005-07-22,44,42.58
2005-07-29,38,42.03
2005-08-05,44,41.13
2005-08-12,41,40.6
2005-08-19,43,41.26
2005-08-26,45,41.55
2005-09-02,43,42.68
2005-09-09,75,42.66
2005-09-16,48,43.32
2005-09-23,65,41.24
2005-09-30,49,42.24
2005-10-07,47,41.1
2005-10-14,100,38.9
2005-10-21,45,38.84
2005-10-28,42,39.26
2005-11-04,37,39.66
2005-11-11,39,39.5
2005-11-18,49,39.16
2005-11-25,44,39.76
2005-12-02,38,40.05
2005-12-09,41,40.27
2005-12-16,42,40.82
2005-12-23,46,39.76
2005-12-30,46,39.38
2006-01-06,59,40.34
2006-01-13,39,40.06
2006-01-20,47,40.35
2006-01-27,49,40.62
2006-02-03,46,39.5
2006-02-10,50,40.25
2006-02-17,40,40.53
2006-02-24,45,41.11
2006-03-03,43,40.37
2006-03-10,51,40.07
2006-03-17,60,40.66
2006-03-24,42,39.91
2006-03-31,42,39.24
2006-04-07,39,39.29
2006-04-21,37,39.17
2006-04-28,40,39.14
2006-05-05,43,39.29
2006-05-12,46,38.45
2006-05-19,54,37.76
2006-05-26,49,38.42
2006-06-02,60,39.18
2006-06-09,59,38.52
2006-06-16,71,38.05
2006-06-23,40,37.32
2006-06-30,42,38.58
2006-07-07,37,38.98
2006-07-14,32,38.73
2006-07-21,30,40.32
2006-07-28,28,40.3
2006-08-04,33,40.14
2006-08-11,22,39.93
2006-08-18,41,40.61
2006-08-25,31,40.2
2006-09-01,29,41.49
2006-09-08,25,40.3
2006-09-15,20,40.44
2006-09-22,27,39.94
2006-09-29,20,40.27
2006-10-06,20,40.72
2006-10-13,20,40.63
2006-10-20,18,41.99
2006-10-27,20,40.55
2006-11-03,24,40.06
2006-11-10,27,40.93
2006-11-17,22,41.5
2006-11-24,26,41.66
2006-12-01,21,41.52
2006-12-08,20,40.92
2006-12-15,19,41.62
2006-12-22,19,40.8
2006-12-29,20,40.62
2007-01-05,40,40.92
2007-01-12,31,40.79
2007-01-19,25,40.49
2007-01-26,16,40.27
2007-02-02,26,41.45
2007-02-09,21,41.79
2007-02-16,21,41.92
2007-02-23,17,42.62
2007-03-02,16,41.48
2007-03-09,13,40.97
2007-03-16,15,41.04
2007-03-23,19,43.05
2007-03-30,18,43.17
2007-04-13,16,44.68
2007-04-20,16,44.71
2007-04-27,18,44.18
2007-05-04,17,43.91
2007-05-11,13,43.49
2007-05-18,22,44.01
2007-05-25,14,41.6
2007-06-01,17,42.3
2007-06-08,16,39.6
2007-06-15,18,39.97
2007-06-22,17,38.7
2007-06-29,16,38.29
2007-07-06,19,39.15
2007-07-13,18,39.56
2007-07-20,15,38.53
2007-07-27,15,37.68
2007-08-03,15,37.03
2007-08-10,17,38.36
2007-08-17,16,37.57
2007-08-24,17,38.68
2007-08-31,21,38.38
2007-09-07,18,38
2007-09-14,15,38.08
2007-09-21,19,38.68
2007-09-28,19,38.74
2007-10-05,13,39.42
2007-10-12,17,40.26
2007-10-19,19,39.27
2007-10-26,18,40
2007-11-02,17,40.86
2007-11-09,17,41.9
2007-11-16,20,41.88
2007-11-23,19,41.97
2007-11-30,19,42.61
2007-12-07,17,43.48
2007-12-14,21,42.65
2007-12-21,17,43.11
2007-12-28,18,42.5
2008-01-04,47,41.59
2008-01-11,24,42.09
2008-01-18,19,38.75
2008-01-25,20,37.13
2008-02-01,20,38.08
2008-02-08,25,37.88
2008-02-15,19,38.57
