"Date","SO","Price"
2004-02-06,33,29.24
2004-02-13,34,29.5
2004-02-20,34,29.83
2004-02-27,35,30.32
2004-03-05,32,30.63
2004-03-12,33,30.15
2004-03-19,33,30.16
2004-03-26,34,30.39
2004-04-02,34,30.36
2004-04-16,33,29.55
2004-04-23,35,29.23
2004-04-30,34,28.76
2004-05-07,34,28.12
2004-05-14,33,28.25
2004-05-21,34,28.1
2004-05-28,32,28.92
2004-06-04,32,29.14
2004-06-18,32,28.96
2004-06-25,33,29.05
2004-07-02,31,29.03
2004-07-09,32,28.95
2004-07-16,33,29.5
2004-07-23,33,29.38
2004-07-30,33,29.28
2004-08-06,33,29.85
2004-08-13,35,29.83
2004-08-20,35,29.66
2004-08-27,34,30.01
2004-09-03,33,30.48
2004-09-10,33,30.35
2004-09-17,34,30.43
2004-09-24,34,29.85
2004-10-01,34,30.24
2004-10-08,33,30.61
2004-10-15,35,30.29
2004-10-22,34,31.6
2004-10-29,35,31.59
2004-11-05,36,32.43
2004-11-12,36,33.16
2004-11-19,36,32.8
2004-11-26,33,33.8
2004-12-03,36,32.61
2004-12-10,35,32.7
2004-12-17,37,33
2004-12-31,35,33.52
2005-01-07,33,32.78
2005-01-14,33,32.94
2005-01-21,35,32.89
2005-01-28,35,33.5
2005-02-04,35,33.76
2005-02-11,35,33.18
2005-02-18,34,32.47
2005-02-25,35,32.47
2005-03-04,35,32.6
2005-03-11,35,31.8
2005-03-18,36,32.09
2005-04-01,37,31.95
2005-04-08,38,31.95
2005-04-15,38,31.95
2005-04-22,37,33
2005-04-29,39,32.95
2005-05-06,42,33.2
2005-05-13,39,33.68
2005-05-20,38,34.32
2005-05-27,40,34.14
2005-06-03,38,34.43
2005-06-10,38,34.45
2005-06-17,38,34.26
2005-06-24,39,34.22
2005-07-01,39,35.08
2005-07-08,37,35.61
2005-07-15,38,35.57
2005-07-22,41,35.34
2005-07-29,39,34.99
2005-08-05,41,34.22
2005-08-12,40,34.19
2005-08-19,42,33.69
2005-08-26,42,33.92
2005-09-02,42,35.07
2005-09-09,43,35.49
2005-09-16,42,36.16
2005-09-23,43,35.74
2005-09-30,43,35.76
2005-10-07,45,34.9
2005-10-14,41,33.3
2005-10-21,41,33.84
2005-10-28,40,34.36
2005-11-04,40,34.51
2005-11-11,41,34.45
2005-11-18,42,34.79
2005-11-25,40,34.92
2005-12-02,42,35.04
2005-12-09,44,35.21
2005-12-16,44,35.38
2005-12-23,44,35.14
2005-12-30,43,34.53
2006-01-06,41,35.1
2006-01-13,41,34.92
2006-01-20,43,35.05
2006-01-27,43,35.27
2006-02-03,43,33.42
2006-02-10,45,33.43
2006-02-17,44,33.86
2006-02-24,45,34.13
2006-03-03,45,33.82
2006-03-10,46,33.27
2006-03-17,44,33.8
2006-03-24,44,33.07
2006-03-31,45,32.77
2006-04-07,45,31.96
2006-04-21,45,31.99
2006-04-28,46,32.23
2006-05-05,46,32.02
2006-05-12,48,31.14
2006-05-19,45,31.19
2006-05-26,45,32.34
2006-06-02,47,32.62
2006-06-09,48,32.63
2006-06-16,51,32.51
2006-06-23,49,32.04
2006-06-30,51,32.05
2006-07-07,49,32.61
2006-07-14,51,32.52
2006-07-21,51,33.53
2006-07-28,53,33.83
2006-08-04,53,33.75
2006-08-11,55,33.4
2006-08-18,60,33.69
2006-08-25,45,33.54
2006-09-01,41,34.22
2006-09-08,40,34.05
2006-09-15,40,34.57
2006-09-22,40,34.27
2006-09-29,41,34.46
2006-10-06,41,34.77
2006-10-13,40,35.09
2006-10-20,41,35.78
2006-10-27,40,36.03
2006-11-03,40,35.77
2006-11-10,40,36.07
2006-11-17,42,36.18
2006-11-24,40,36.14
2006-12-01,40,36.34
2006-12-08,40,36.46
2006-12-15,41,36.97
2006-12-22,43,36.88
2006-12-29,42,36.86
2007-01-05,41,36.44
2007-01-12,39,36.25
2007-01-19,40,36.73
2007-01-26,42,36.39
2007-02-02,44,36.3
2007-02-09,43,36.39
2007-02-16,43,36.42
2007-02-23,43,36.21
2007-03-02,41,35.4
2007-03-09,41,35.25
2007-03-16,41,35.39
2007-03-23,41,36.85
2007-03-30,41,36.65
2007-04-13,41,37.45
2007-04-20,41,38.18
2007-04-27,42,38.17
2007-05-04,43,37.61
2007-05-11,44,36.98
2007-05-18,45,37.33
2007-05-25,45,35.47
2007-06-01,47,35.87
2007-06-08,48,34.6
2007-06-15,52,35.61
2007-06-22,50,33.95
2007-06-29,52,34.29
2007-07-06,50,34.08
2007-07-13,52,34.87
2007-07-20,52,34.26
2007-07-27,53,33.79
2007-08-03,53,33.62
2007-08-10,55,36.66
2007-08-17,66,36
2007-08-24,49,36.12
2007-08-31,47,35.49
2007-09-07,45,35.34
2007-09-14,46,36.4
2007-09-21,47,37.04
2007-09-28,49,36.28
2007-10-05,48,36.73
2007-10-12,49,36.65
2007-10-19,50,35.4
2007-10-26,52,36.2
2007-11-02,51,35.72
2007-11-09,48,35.85
2007-11-16,47,37.02
2007-11-23,47,38.04
2007-11-30,47,37.62
2007-12-07,48,38.9
2007-12-14,47,38.49
2007-12-21,48,39.2
2007-12-28,49,39.15
2008-01-04,49,38.71
2008-01-11,47,39.76
2008-01-18,45,37.74
2008-01-25,46,36.09
2008-02-01,47,37.3
2008-02-08,45,35.75
2008-02-15,48,35.78
2008-02-22,50,35.52
2008-02-29,50,34.53
2008-03-07,47,34.29
2008-03-14,46,34.45
2008-03-28,49,35.37
2008-04-04,51,36.51
2008-04-11,50,36.3
2008-04-18,52,36.95
2008-04-25,52,37.1
2008-05-02,51,37.11
2008-05-09,51,36.29
2008-05-16,49,36.74
2008-05-23,52,36
2008-05-30,55,36.2
2008-06-06,54,34.92
2008-06-13,59,35.09
2008-06-20,58,34.49
2008-06-27,59,34.43
2008-07-11,59,35.99
2008-07-18,62,34.84
2008-07-25,64,35.13
2008-08-01,65,34.59
2008-08-08,73,36.57
2008-08-15,60,37.44
