"Date","Seagate.Technology","Price"
2005-04-22,72,18.25
2005-06-10,62,20.42
2005-06-17,76,19
2005-10-28,58,14.1
2005-11-04,62,15.57
2005-11-11,66,15.92
2005-11-18,71,16.98
2005-11-25,50,17.85
2005-12-02,50,18.55
2005-12-09,50,19.21
2005-12-16,50,19.59
2005-12-23,55,20.33
2005-12-30,66,19.99
2006-01-06,78,21.39
2006-01-13,89,24.23
2006-01-20,100,25
2006-01-27,50,26.12
2006-02-03,51,25.51
2006-02-10,51,25.17
2006-02-17,52,27.29
2006-02-24,61,25.55
2006-03-03,52,28.08
2006-03-10,41,24.28
2006-03-17,41,24.73
2006-03-24,41,24.47
2006-03-31,41,26.33
2006-04-07,42,27.2
2006-04-21,41,25.1
2006-04-28,41,26.56
2006-05-05,46,26.48
2006-05-12,51,24.09
2006-05-19,56,24.95
2006-05-26,61,24.21
2006-06-02,46,24.12
2006-08-11,53,19.95
2006-09-29,43,23.09
2006-10-06,37,22.38
2006-10-13,37,21.65
2006-10-20,37,22.07
2006-10-27,37,22.17
2006-11-03,37,22.78
2006-11-10,38,23.45
2006-11-17,38,25.35
2006-11-24,38,26.69
2006-12-01,38,25.82
2006-12-08,35,26.4
2006-12-15,35,26.73
2006-12-22,35,26.54
2006-12-29,46,26.5
2007-01-05,57,26.01
2007-01-12,36,26.82
2007-01-19,47,25.95
2007-01-26,44,27.35
2007-02-02,47,26.34
2007-02-09,28,26.06
2007-02-16,30,26.54
2007-02-23,32,28
2007-03-02,36,24.64
2007-03-09,31,24.26
2007-03-16,62,24.45
2007-03-23,33,25.04
2007-03-30,45,23.3
2007-04-13,39,22.01
2007-04-20,27,21.58
2007-04-27,38,22.1
2007-05-04,50,22.07
2007-05-11,30,22.11
2007-05-18,30,20.88
2007-05-25,43,20.3
2007-06-01,47,20.73
2007-06-08,50,20.9
2007-06-15,37,20.96
2007-06-22,30,22.19
2007-06-29,52,21.77
2007-07-06,28,23.57
2007-07-13,28,22.8
2007-07-20,48,24.63
2007-07-27,33,23.81
2007-08-03,28,23.48
2007-08-10,38,23.85
2007-08-17,43,23.75
2007-08-24,26,24.96
2007-08-31,43,25.82
2007-09-07,30,25.14
2007-09-14,50,24.67
2007-09-21,40,25.38
2007-09-28,50,25.58
2007-10-05,44,25.81
2007-10-12,22,26.72
2007-10-19,32,26.87
2007-10-26,33,26.95
2007-11-02,47,28.6
2007-11-09,33,27.1
2007-11-16,28,26.63
2007-11-23,48,25
2007-11-30,28,25.79
2007-12-07,30,27.87
2007-12-14,28,27.52
2007-12-21,30,25.97
2007-12-28,31,25.85
2008-01-04,33,23.31
2008-01-11,30,22.91
2008-01-18,30,19.7
2008-01-25,19,20.99
2008-02-01,27,20.93
2008-02-08,31,21.95
2008-02-15,27,22.68
2008-02-22,28,23.77
2008-02-29,26,21.57
2008-03-07,25,21.75
2008-03-14,29,22.21
2008-03-28,31,20.3
2008-04-04,27,21.62
2008-04-11,32,20.54
2008-04-18,42,19.48
2008-04-25,24,19.39
2008-05-02,26,19.45
2008-05-09,22,20.23
2008-05-16,29,21.91
2008-05-23,19,20.67
2008-05-30,18,21.42
2008-06-06,24,22.27
2008-06-13,29,20.27
2008-06-20,33,20.18
2008-06-27,27,19.48
2008-07-11,20,17
2008-07-18,28,14.85
2008-07-25,24,14.97
2008-08-01,24,15.03
2008-08-08,18,15
2008-08-15,19,16.75
2008-08-22,30,16.23
2008-08-29,25,14.91
2008-09-05,25,14.73
2008-09-12,28,13.58
2008-09-19,31,12.85
2008-09-26,41,12.42
2008-10-03,21,10.93
2008-10-10,22,8.66
2008-10-17,27,8.79
2008-10-24,36,7.04
2008-10-31,32,6.77
2008-11-07,27,6.6
2008-11-14,15,4.87
2008-11-21,20,4.4
2008-11-28,24,4.21
2008-12-05,27,4.52
2008-12-12,27,5.27
2008-12-19,21,4.55
2008-12-26,25,4.16
2009-01-02,29,5.08
2009-01-09,32,5.64
2009-01-16,47,4.39
2009-01-23,41,3.11
2009-01-30,18,3.79
2009-02-06,28,4.51
2009-02-13,29,4.37
2009-02-20,25,4.19
2009-02-27,19,4.3
2009-03-06,28,3.11
2009-03-13,20,4.26
2009-03-20,27,4.6
2009-03-27,33,6.09
2009-04-03,33,6.73
2009-04-17,26,6.83
2009-04-24,23,7.28
2009-05-01,33,8.45
2009-05-08,18,7.79
2009-05-15,26,7.25
2009-05-22,26,8.44
2009-05-29,21,8.71
2009-06-05,21,8.81
2009-06-12,16,9.54
2009-06-19,18,9.69
2009-06-26,21,10.27
2009-07-10,24,10
2009-07-17,28,11.15
2009-07-24,25,11.53
2009-07-31,17,12.04
2009-08-07,22,12.36
2009-08-14,15,12.2
2009-08-21,19,12.63
2009-08-28,31,14.02
2009-09-04,12,13.68
2009-09-11,15,14.87
2009-09-18,21,15.26
2009-09-25,22,14.9
2009-10-02,12,14.4
2009-10-09,19,15.46
2009-10-16,27,15.27
2009-10-23,20,15.73
2009-10-30,17,13.95
2009-11-06,26,15.31
2009-11-13,18,16.72
2009-11-20,17,15.59
2009-11-27,22,15.54
2009-12-04,24,16.69
2009-12-11,26,16.43
2009-12-18,25,17.46
2010-01-08,20,17.89
2010-01-15,20,17.77
2010-01-22,19,18.4
2010-01-29,15,16.71
2010-02-05,22,18.02
2010-02-12,16,18.7
2010-02-19,25,20.51
2010-02-26,20,19.91
2010-03-05,20,19.92
2010-03-12,28,19.27
2010-03-19,14,18.93
2010-03-26,20,18.93
2010-04-09,15,19.14
2010-04-16,20,19.25
2010-04-23,22,20.77
2010-04-30,15,18.35
2010-05-07,14,17.75
2010-05-14,21,17.98
2010-05-21,12,16.35
2010-05-28,17,15.36
2010-06-04,18,15.15
2010-06-11,15,14.75
2010-06-18,20,15.35
2010-06-25,19,13.68
2010-07-02,21,13.17
2010-07-09,22,13.81
2010-07-16,17,14.16
2010-07-23,27,12.79
2010-07-30,19,12.55
2010-08-06,17,12.21
2010-08-13,11,11.18
2010-08-20,11,10.99
2010-08-27,13,10.63
2010-09-03,14,11.18
2010-09-10,10,10.75
2010-09-17,22,11.16
2010-09-24,19,11.62
2010-10-01,15,11.69
2010-10-08,13,12.2
2010-10-15,24,15.51
2010-10-22,20,15.18
2010-10-29,23,14.71
2010-11-05,14,15.32
2010-11-12,21,14.09
2010-11-19,20,14.93
2010-11-26,15,13.89
2010-12-03,35,14.98
2010-12-10,15,15.26
2010-12-17,13,14.7
2010-12-31,14,15.03
2011-01-07,15,14.47
2011-01-14,14,14.26
2011-01-21,21,13.28
2011-01-28,24,13.8
2011-02-04,9,14.33
2011-02-11,13,14.39
2011-02-18,15,13.72
2011-02-25,20,12.83
2011-03-04,11,12.44
2011-03-11,19,13.54
2011-03-18,15,13.19
2011-03-25,16,14.42
2011-04-01,13,14.94
2011-04-08,18,15.84
2011-04-15,21,17.64
2011-04-29,11,17.62
2011-05-06,15,17.33
2011-05-13,24,17.14
2011-05-20,23,16.93
2011-05-27,16,16.46
2011-06-03,15,15.9
2011-06-10,11,15.26
2011-06-17,19,14.25
2011-06-24,17,15.35
2011-07-01,9,16.36
2011-07-08,21,16.94
2011-07-15,16,16.81
2011-07-22,18,14.57
2011-07-29,18,13.89
2011-08-05,18,12.06
2011-08-12,17,11.84
2011-08-19,11,10.08
2011-08-26,14,11.09
2011-09-02,16,10.71
2011-09-09,13,11.18
2011-09-16,13,12.02
2011-09-23,16,10.75
2011-09-30,12,10.28
2011-10-07,17,10.71
2011-10-14,16,11.8
2011-10-21,19,15.42
2011-10-28,21,16.39
2011-11-04,15,18.34
2011-11-11,18,17.94
2011-11-18,17,16.01
2011-11-25,10,15.16
2011-12-02,18,16.17
2011-12-09,13,16.16
2011-12-16,12,15.43
2011-12-23,14,16.16
2011-12-30,14,16.4
2012-01-06,12,18.3
2012-01-13,13,19.54
2012-01-20,19,20.02
2012-01-27,12,20.77
2012-02-03,22,26.42
2012-02-10,16,26.2
2012-02-17,18,26.88
2012-02-24,14,27.49
2012-03-02,21,27.28
2012-03-09,15,28.33
2012-03-16,12,26.71
2012-03-23,16,27.96
2012-03-30,10,26.96
2012-04-13,17,27.38
2012-04-20,19,29.21
2012-04-27,13,29.58
2012-05-04,25,30.43
2012-05-11,15,31.14
2012-05-18,18,26.91
2012-05-25,17,26.18
2012-06-01,19,21.74
2012-06-08,17,23.39
2012-06-15,12,23.57
2012-06-22,17,23.34
2012-06-29,19,24.73
2012-07-06,18,24.96
2012-07-13,15,25.81
2012-07-20,20,26.8
2012-07-27,19,30.01
2012-08-03,16,30.94
2012-08-10,18,34.18
2012-08-17,13,35.67
2012-08-24,20,34.06
2012-08-31,18,32.01
2012-09-07,21,30.6
2012-09-14,16,30.48
2012-09-21,18,30.96
2012-09-28,16,30.96
2012-10-05,14,29.59
2012-10-12,12,28.07
2012-10-19,18,27.9
2012-10-26,15,27.91
2012-11-02,14,28.02
2012-11-09,12,29.06
2012-11-16,12,27.11
2012-11-23,14,27.29
2012-11-30,18,25.1
2012-12-07,17,28.34
2012-12-14,17,27.65
2012-12-21,10,30.46
2012-12-28,15,29.95
2013-01-04,12,31.45
2013-01-11,12,33.29
2013-01-18,14,35.38
2013-01-25,18,37.25
2013-02-01,18,33.67
2013-02-08,22,35.48
2013-02-15,13,34.45
2013-02-22,9,31.84
2013-03-01,11,32.32
2013-03-08,12,32.5
2013-03-15,17,35.35
2013-03-22,14,34.72
2013-04-05,14,35.51
2013-04-12,16,36.09
2013-04-19,19,34.44
2013-04-26,14,36.4
2013-05-03,18,41.23
2013-05-10,17,40.5
2013-05-17,15,41.47
2013-05-24,11,42.85
2013-05-31,14,43.08
2013-06-07,17,44.01
2013-06-14,16,43.72
2013-06-21,8,42.25
2013-06-28,14,44.83
2013-07-05,16,45.72
2013-07-12,15,46.68
2013-07-19,15,47.52
2013-07-26,19,41.05
2013-08-02,12,41.1
2013-08-09,12,40.86
2013-08-16,12,39.2
2013-08-23,15,40.13
2013-08-30,11,38.32
2013-09-06,13,39.46
2013-09-13,12,40.25
2013-09-20,14,41.4
2013-09-27,11,43.51
2013-10-04,15,45.87
2013-10-11,15,46.27
2013-10-18,17,50.04
2013-10-25,18,49.8
2013-11-01,13,49.2
2013-11-08,11,48.18
2013-11-15,10,48.94
2013-11-22,14,48.34
2013-11-29,14,49.04
2013-12-06,11,51.42
2013-12-13,13,50
2013-12-20,8,55.66
2013-12-27,12,55.66
2014-01-03,9,56.82
2014-01-10,10,58.39
2014-01-17,11,61.2
2014-01-24,13,58.57
2014-01-31,11,52.86
2014-02-07,10,49.52
2014-02-14,12,50.14
2014-02-21,9,50.75
2014-02-28,11,52.19
2014-03-07,14,49.29
2014-03-14,12,50.15
2014-03-21,14,53.49
2014-03-28,9,54.92
2014-04-04,14,56.06
2014-04-11,11,53.39
2014-04-25,8,52.72
