"Date","Southern.Co.","Price"
2004-10-08,87,30.61
2005-01-28,78,33.5
2005-02-04,73,33.76
2005-02-11,73,33.18
2005-12-09,56,35.21
2005-12-16,53,35.38
2005-12-23,53,35.14
2005-12-30,53,34.53
2006-01-06,53,35.1
2006-01-13,53,34.92
2006-02-24,45,34.13
2006-03-03,50,33.82
2006-03-10,56,33.27
2006-03-17,46,33.8
2006-03-24,46,33.07
2006-03-31,42,32.77
2006-04-07,43,31.96
2006-04-21,44,31.99
2006-04-28,46,32.23
2006-05-05,48,32.02
2006-05-12,50,31.14
2006-05-19,42,31.19
2006-05-26,42,32.34
2006-06-02,43,32.62
2006-06-09,45,32.63
2006-06-16,47,32.51
2006-06-23,49,32.04
2006-06-30,51,32.05
2006-07-07,53,32.61
2006-07-14,55,32.52
2006-07-21,43,33.53
2006-07-28,43,33.83
2006-08-04,43,33.75
2006-08-11,43,33.4
2006-08-18,43,33.69
2006-08-25,43,33.54
2006-09-01,36,34.22
2006-09-08,36,34.05
2006-09-15,36,34.57
2006-09-22,36,34.27
2006-09-29,36,34.46
2006-10-06,54,34.77
2006-10-13,43,35.09
2006-10-20,38,35.78
2006-10-27,38,36.03
2006-11-03,42,35.77
2006-11-10,45,36.07
2006-11-17,49,36.18
2006-11-24,42,36.14
2006-12-01,42,36.34
2006-12-08,52,36.46
2006-12-15,46,36.97
2006-12-22,33,36.88
2006-12-29,33,36.86
2007-01-05,33,36.44
2007-01-12,33,36.25
2007-01-19,33,36.73
2007-01-26,30,36.39
2007-02-02,44,36.3
2007-02-09,29,36.39
2007-02-16,56,36.42
2007-02-23,31,36.21
2007-03-02,31,35.4
2007-03-09,31,35.25
2007-03-16,31,35.39
2007-03-23,31,36.85
2007-03-30,34,36.65
2007-04-13,33,37.45
2007-04-20,33,38.18
2007-04-27,30,38.17
2007-05-04,30,37.61
2007-05-11,30,36.98
2007-05-18,33,37.33
2007-05-25,28,35.47
2007-06-01,28,35.87
2007-06-08,33,34.6
2007-06-15,30,35.61
2007-06-22,28,33.95
2007-06-29,55,34.29
2007-07-06,44,34.08
2007-07-13,31,34.87
2007-07-20,28,34.26
2007-07-27,36,33.79
2007-08-03,44,33.62
2007-08-10,31,36.66
2007-08-17,31,36
2007-08-24,32,36.12
2007-08-31,24,35.49
2007-09-07,30,35.34
2007-09-14,46,36.4
2007-09-21,59,37.04
2007-09-28,36,36.28
2007-10-05,31,36.73
2007-10-12,27,36.65
2007-10-19,48,35.4
2007-10-26,32,36.2
2007-11-02,26,35.72
2007-11-09,38,35.85
2007-11-16,36,37.02
2007-11-23,27,38.04
2007-11-30,26,37.62
2007-12-07,26,38.9
2007-12-14,26,38.49
2007-12-21,28,39.2
2007-12-28,26,39.15
2008-01-04,26,38.71
2008-01-11,28,39.76
2008-01-18,29,37.74
2008-01-25,39,36.09
2008-02-01,29,37.3
2008-02-08,37,35.75
2008-02-15,41,35.78
2008-02-22,27,35.52
2008-02-29,26,34.53
2008-03-07,37,34.29
2008-03-14,26,34.45
2008-03-28,22,35.37
2008-04-04,39,36.51
2008-04-11,33,36.3
2008-04-18,22,36.95
2008-04-25,43,37.1
2008-05-02,36,37.11
2008-05-09,29,36.29
2008-05-16,20,36.74
2008-05-23,21,36
2008-05-30,18,36.2
2008-06-06,19,34.92
2008-06-13,28,35.09
2008-06-20,37,34.49
2008-06-27,31,34.43
2008-07-11,18,35.99
2008-07-18,21,34.84
2008-07-25,24,35.13
2008-08-01,35,34.59
2008-08-08,35,36.57
2008-08-15,32,37.44
2008-08-22,24,37.79
2008-08-29,33,37.51
2008-09-05,27,37.1
2008-09-12,30,38.14
2008-09-19,30,38.4
2008-09-26,21,38.62
2008-10-03,21,37.15
2008-10-10,18,32.26
2008-10-17,24,33.49
2008-10-24,19,34.61
2008-10-31,27,34.34
2008-11-07,29,34.83
2008-11-14,31,35.21
2008-11-21,20,35.59
2008-11-28,18,36.32
2008-12-05,18,36.89
2008-12-12,40,36.34
2008-12-19,18,35.84
2008-12-26,18,35.97
2009-01-02,18,37.47
2009-01-09,24,35.53
2009-01-16,20,35.03
2009-01-23,23,34.65
2009-01-30,17,33.45
2009-02-06,20,33.59
2009-02-13,17,31.39
2009-02-20,20,30.17
2009-02-27,24,30.31
2009-03-06,26,28.05
2009-03-13,29,27.14
2009-03-20,19,30.58
2009-03-27,30,30.57
2009-04-03,23,31.08
2009-04-17,27,29.64
2009-04-24,26,29.46
2009-05-01,22,28.82
2009-05-08,22,28.76
2009-05-15,25,28.12
2009-05-22,22,27.7
2009-05-29,17,28.41
2009-06-05,23,28.91
2009-06-12,22,30.55
2009-06-19,22,30.61
2009-06-26,17,31.9
2009-07-10,16,30.7
2009-07-17,29,31.48
2009-07-24,16,32.63
2009-07-31,23,31.4
2009-08-07,18,31.51
2009-08-14,18,31.47
2009-08-21,17,31.51
2009-08-28,25,31.58
2009-09-04,23,31.42
2009-09-11,22,31.03
2009-09-18,15,32.03
2009-09-25,27,31.9
2009-10-02,16,31.73
2009-10-09,12,31.84
2009-10-16,23,32.5
2009-10-23,16,32.67
2009-10-30,14,31.19
2009-11-06,24,31.59
2009-11-13,26,31.58
2009-11-20,27,31.4
2009-11-27,16,31.61
2009-12-04,26,32.83
2009-12-11,22,34.22
2009-12-18,26,33.79
2010-01-08,18,32.83
2010-01-15,19,33.34
2010-01-22,15,32.54
2010-01-29,16,32
2010-02-05,14,31.7
2010-02-12,15,31.17
2010-02-19,33,32.29
2010-02-26,13,31.77
2010-03-05,10,32.22
2010-03-12,11,32.48
2010-03-19,19,33.18
2010-03-26,15,33.1
2010-04-09,23,33.93
2010-04-16,19,33.87
2010-04-23,13,34.73
2010-04-30,22,34.56
2010-05-07,14,33.92
2010-05-14,13,34.47
2010-05-21,12,33.62
2010-05-28,17,32.7
2010-06-04,16,32.13
2010-06-11,20,33.03
2010-06-18,21,34.11
2010-06-25,15,33.28
2010-07-02,15,33.38
2010-07-09,17,34.71
2010-07-16,13,34.78
2010-07-23,18,35.89
2010-07-30,10,35.33
2010-08-06,18,35.88
2010-08-13,14,35.84
2010-08-20,14,35.78
2010-08-27,14,36.97
2010-09-03,18,36.99
2010-09-10,16,37.11
2010-09-17,16,37.06
2010-09-24,13,37.49
2010-10-01,17,37.14
2010-10-08,12,37.71
2010-10-15,11,37.68
2010-10-22,11,38.32
2010-10-29,12,37.87
2010-11-05,16,38.47
2010-11-12,10,38.09
2010-11-19,10,38.07
2010-11-26,9,37.83
2010-12-03,12,38.12
2010-12-10,15,37.82
2010-12-17,10,37.9
2010-12-31,11,38.23
2011-01-07,14,38.08
2011-01-14,14,38.5
2011-01-21,10,38.25
2011-01-28,11,37.77
2011-02-04,14,37.34
2011-02-11,11,38.03
2011-02-18,9,37.87
2011-02-25,16,38.06
2011-03-04,12,37.97
2011-03-11,10,38.28
2011-03-18,18,37
2011-03-25,13,37.58
2011-04-01,13,38.31
2011-04-08,13,38.4
2011-04-15,11,38.33
2011-04-29,8,39.04
2011-05-06,9,39.5
2011-05-13,12,40.49
2011-05-20,12,40.47
2011-05-27,8,39.8
2011-06-03,10,39.37
2011-06-10,9,39.33
2011-06-17,10,39.81
2011-06-24,13,39.43
2011-07-01,9,40.72
2011-07-08,17,40.31
2011-07-15,12,40.22
2011-07-22,14,40.58
2011-07-29,9,39.54
2011-08-05,16,39.87
2011-08-12,13,39.21
2011-08-19,13,39.97
2011-08-26,11,40.83
2011-09-02,7,41.16
2011-09-09,11,40.74
2011-09-16,10,42.59
2011-09-23,11,42.42
2011-09-30,15,42.37
2011-10-07,10,42.37
2011-10-14,7,42.67
2011-10-21,7,43.94
2011-10-28,9,43.31
2011-11-04,14,43.2
2011-11-11,7,43.94
2011-11-18,12,43.2
2011-11-25,10,42.47
2011-12-02,10,43.76
2011-12-09,9,44.56
2011-12-16,16,44.55
2011-12-23,12,45.9
2011-12-30,12,46.29
2012-01-06,11,44.48
2012-01-13,11,45.27
2012-01-20,16,45.3
2012-01-27,12,45.02
2012-02-03,13,44.3
2012-02-10,11,44.61
2012-02-17,16,44.38
2012-02-24,7,44.54
2012-03-02,9,44.27
2012-03-09,14,45.11
2012-03-16,7,44.34
2012-03-23,12,44.12
2012-03-30,10,44.93
2012-04-13,10,44.74
2012-04-20,10,45.83
2012-04-27,9,45.99
2012-05-04,10,45.36
2012-05-11,7,45.54
2012-05-18,7,45.48
2012-05-25,9,45.69
2012-06-01,7,45.95
2012-06-08,14,47.38
2012-06-15,10,48
2012-06-22,10,46.55
2012-06-29,10,46.3
2012-07-06,9,46.54
2012-07-13,11,47.61
2012-07-20,14,47.77
2012-07-27,9,48.42
2012-08-03,9,47.35
2012-08-10,13,46.92
2012-08-17,6,46.08
2012-08-24,13,45.88
2012-08-31,10,45.33
2012-09-07,10,45.91
2012-09-14,10,45.05
2012-09-21,7,45.26
2012-09-28,10,46.09
2012-10-05,13,45.97
2012-10-12,7,45.61
2012-10-19,10,46.64
2012-10-26,9,46.33
2012-11-02,8,45.77
2012-11-09,8,43.03
2012-11-16,11,42.69
2012-11-23,5,42.03
2012-11-30,7,43.55
2012-12-07,8,43.73
2012-12-14,7,42.95
2012-12-21,10,43.32
2012-12-28,8,42.33
2013-01-04,7,44.16
2013-01-11,6,43.16
2013-01-18,10,43.49
2013-01-25,11,44.45
2013-02-01,7,44.01
2013-02-08,9,43.85
2013-02-15,8,44.11
2013-02-22,10,44.74
2013-03-01,11,44.83
2013-03-08,9,45.32
2013-03-15,8,45.52
2013-03-22,11,45.66
2013-04-05,7,47.19
2013-04-12,9,47.88
2013-04-19,14,48.51
2013-04-26,15,47.95
2013-05-03,8,47.26
2013-05-10,7,46.1
2013-05-17,7,46.6
2013-05-24,10,45.2
2013-05-31,10,43.9
2013-06-07,8,44.44
2013-06-14,8,44.49
2013-06-21,9,43.1
2013-06-28,9,44.13
2013-07-05,8,43.14
2013-07-12,11,44.99
2013-07-19,11,45.56
2013-07-26,7,45.34
2013-08-02,10,44.34
2013-08-09,10,43.87
2013-08-16,8,42.39
2013-08-23,8,42.23
2013-08-30,7,41.62
2013-09-06,8,41.12
2013-09-13,9,40.96
2013-09-20,11,41.78
2013-09-27,13,41.23
2013-10-04,8,40.66
2013-10-11,6,41.69
2013-10-18,10,41.94
2013-10-25,14,42.46
2013-11-01,7,41.02
2013-11-08,9,41.21
2013-11-15,7,42.42
2013-11-22,11,41.23
2013-11-29,6,40.63
2013-12-06,10,41.43
2013-12-13,7,40.12
2013-12-20,7,41.06
2013-12-27,8,40.86
2014-01-03,8,40.47
2014-01-10,9,41.39
2014-01-17,7,41.16
2014-01-24,12,41.22
2014-01-31,9,41.24
2014-02-07,6,41.1
2014-02-14,9,42.52
2014-02-21,9,42.35
2014-02-28,10,42.35
2014-03-07,13,42.1
2014-03-14,9,43.49
2014-03-21,8,42.92
2014-03-28,11,43.37
2014-04-04,10,43.7
2014-04-11,9,44.57
2014-04-25,7,46.26
