"Date","Southwest.Airlines","Price"
2004-02-06,69,14.82
2004-02-13,71,14.55
2004-02-20,78,14.65
2004-02-27,75,13.81
2004-03-05,81,14.48
2004-03-12,71,13.9
2004-03-19,75,13.53
2004-03-26,73,13.94
2004-04-02,77,14.92
2004-04-16,70,14.72
2004-04-23,81,14.98
2004-04-30,76,14.28
2004-05-07,83,14
2004-05-14,85,14.32
2004-05-21,87,15.23
2004-05-28,73,15.51
2004-06-04,81,15.6
2004-06-18,82,15.88
2004-06-25,83,17
2004-07-02,76,16.21
2004-07-09,93,15.5
2004-07-16,100,14.57
2004-07-23,96,14.2
2004-07-30,78,14.47
2004-08-06,84,13.47
2004-08-13,76,13.79
2004-08-20,70,14.7
2004-08-27,69,14.7
2004-09-03,68,14.25
2004-09-10,64,14.33
2004-09-17,67,14.51
2004-09-24,67,13.81
2004-10-01,64,13.85
2004-10-08,69,13.81
2004-10-15,69,14.38
2004-10-22,64,14.5
2004-10-29,62,15.77
2004-11-05,58,16.17
2004-11-12,62,16
2004-11-19,60,15.34
2004-11-26,53,15.7
2004-12-03,62,16.12
2004-12-10,58,15.71
2004-12-17,56,15.8
2004-12-31,71,16.28
2005-01-07,88,15.56
2005-01-14,81,14.98
2005-01-21,73,13.84
2005-01-28,71,14.23
2005-02-04,68,14.8
2005-02-11,72,14.48
2005-02-18,71,14.09
2005-02-25,74,14.23
2005-03-04,73,14.77
2005-03-11,71,14.19
2005-03-18,71,14.5
2005-04-01,72,14
2005-04-08,65,14.46
2005-04-15,69,14.8
2005-04-22,71,14.5
2005-04-29,68,14.88
2005-05-06,76,15.29
2005-05-13,71,14.87
2005-05-20,75,14.94
2005-05-27,71,14.61
2005-06-03,67,14.59
2005-06-10,76,14.38
2005-06-17,74,14.07
2005-06-24,78,13.86
2005-07-01,75,13.81
2005-07-08,72,13.94
2005-07-15,84,14.22
2005-07-22,80,14.4
2005-07-29,77,14.19
2005-08-05,76,13.96
2005-08-12,76,13.64
2005-08-19,74,13.59
2005-08-26,72,13.51
2005-09-02,69,13.51
2005-09-09,61,13.76
2005-09-16,65,14.6
2005-09-23,66,14.53
2005-09-30,62,14.85
2005-10-07,70,15.16
2005-10-14,64,15.52
2005-10-21,65,15.8
2005-10-28,65,15.75
2005-11-04,66,16.3
2005-11-11,63,16.71
2005-11-18,62,16.54
2005-11-25,53,16.43
2005-12-02,62,16.59
2005-12-09,64,16.3
2005-12-16,56,16.82
2005-12-23,57,16.58
2005-12-30,69,16.43
2006-01-06,78,17.1
2006-01-13,77,16.37
2006-01-20,71,16.21
2006-01-27,73,16.32
2006-02-03,69,16.43
2006-02-10,69,16.42
2006-02-17,67,16.81
2006-02-24,66,16.63
2006-03-03,72,17
2006-03-10,69,17.13
2006-03-17,66,17.6
2006-03-24,69,17.65
2006-03-31,65,17.99
2006-04-07,71,17.69
2006-04-21,70,16
2006-04-28,70,16.22
2006-05-05,74,16.61
2006-05-12,69,16.05
2006-05-19,67,15.62
2006-05-26,65,15.75
2006-06-02,65,15.81
2006-06-09,72,15.64
2006-06-16,72,16.3
2006-06-23,75,16.44
2006-06-30,74,16.37
2006-07-07,69,16.98
2006-07-14,78,16.04
2006-07-21,82,17.14
2006-07-28,73,18.15
2006-08-04,72,17.97
2006-08-11,75,16.31
2006-08-18,69,17.27
2006-08-25,64,16.95
2006-09-01,60,17.22
2006-09-08,57,16.48
2006-09-15,64,16.51
2006-09-22,64,16.42
2006-09-29,64,16.66
2006-10-06,66,16.75
2006-10-13,65,16.44
2006-10-20,70,15.77
2006-10-27,65,15.27
2006-11-03,64,14.62
2006-11-10,63,15.22
2006-11-17,65,15.83
2006-11-24,55,16.25
2006-12-01,65,15.45
2006-12-08,57,15.6
2006-12-15,53,15.89
2006-12-22,60,15.27
2006-12-29,72,15.32
2007-01-05,78,15.5
2007-01-12,71,16.22
2007-01-19,70,15.91
2007-01-26,68,15.08
2007-02-02,69,15.26
2007-02-09,67,15.15
2007-02-16,71,15.7
2007-02-23,69,15.4
2007-03-02,71,15.2
2007-03-09,74,15.07
2007-03-16,71,15
2007-03-23,67,15
2007-03-30,68,14.7
2007-04-13,71,15.16
2007-04-20,69,14.97
2007-04-27,69,14.29
2007-05-04,71,14.68
2007-05-11,67,14.31
2007-05-18,73,14.51
2007-05-25,73,14.47
2007-06-01,70,14.26
2007-06-08,78,14.51
2007-06-15,74,14.54
2007-06-22,71,15.05
2007-06-29,76,14.91
2007-07-06,70,15.55
2007-07-13,77,15.5
2007-07-20,77,16.35
2007-07-27,72,15.66
2007-08-03,73,15.6
2007-08-10,71,16.19
2007-08-17,68,15.04
2007-08-24,65,15.52
2007-08-31,63,15.11
2007-09-07,65,14.82
2007-09-14,70,14.26
2007-09-21,70,15.34
2007-09-28,62,14.8
2007-10-05,64,14.92
2007-10-12,64,14.67
2007-10-19,62,13.96
2007-10-26,59,13.89
2007-11-02,59,13.97
2007-11-09,63,13.23
2007-11-16,59,13.99
2007-11-23,51,13.73
2007-11-30,59,14.15
2007-12-07,55,14.28
2007-12-14,50,13.24
2007-12-21,57,12.54
2007-12-28,61,12.23
2008-01-04,74,11.42
2008-01-11,72,11.7
2008-01-18,69,12.07
2008-01-25,69,12.01
2008-02-01,65,12.18
2008-02-08,66,12.8
2008-02-15,66,12.65
2008-02-22,68,12.87
2008-02-29,68,12.26
2008-03-07,69,12.19
2008-03-14,70,11.64
2008-03-28,64,12.03
2008-04-04,69,12.66
2008-04-11,65,12.65
2008-04-18,63,12.57
2008-04-25,63,12.73
2008-05-02,65,13.45
2008-05-09,65,12.99
2008-05-16,71,13.39
2008-05-23,67,12.26
2008-05-30,64,13.06
2008-06-06,71,13.68
2008-06-13,72,14.3
2008-06-20,71,14.11
2008-06-27,68,13.33
2008-07-11,69,13.2
2008-07-18,66,15.15
2008-07-25,68,15.2
2008-08-01,64,15.81
2008-08-08,65,15.8
2008-08-15,64,15.64
2008-08-22,60,15.25
2008-08-29,62,15.23
2008-09-05,62,15.74
2008-09-12,70,16.19
2008-09-19,71,15.68
2008-09-26,70,14.57
2008-10-03,69,13.44
2008-10-10,70,11.88
2008-10-17,68,12.19
2008-10-24,67,10.97
