"Date","St.Jude.Medical","Price"
2004-02-06,88,74.29
2004-02-13,88,74
2004-05-14,60,74.74
2004-08-20,85,68.36
2004-08-27,54,67.6
2004-09-03,54,69.1
2004-09-10,54,71.68
2004-09-17,54,70.73
2004-09-24,68,73.43
2004-10-01,64,74.98
2004-10-08,64,72.63
2004-10-15,82,76.9
2004-12-10,57,40.9
2005-01-21,76,37.48
2005-01-28,44,39.24
2005-02-04,61,39.55
2005-02-11,74,40.4
2005-02-18,87,39.61
2005-02-25,100,39.97
2005-03-04,49,39
2005-03-11,49,37.66
2005-03-18,49,36.82
2005-04-01,39,35.06
2005-04-08,40,36.44
2005-04-15,40,36.16
2005-04-22,40,40
2005-04-29,40,39.03
2005-05-06,46,38.5
2005-05-13,50,38.44
2005-05-20,39,40.12
2005-05-27,42,40.35
2005-06-03,44,40.8
2005-06-10,43,39.59
2005-06-17,47,40
2005-06-24,41,42.2
2005-07-01,41,44
2005-07-08,43,44.53
2005-07-15,46,42.9
2005-07-22,48,46.62
2005-07-29,56,47.41
2005-08-05,40,46.4
2005-08-12,43,45.32
2005-08-19,55,43.49
2005-08-26,49,44.3
2005-09-02,60,46.52
2005-09-09,37,47.49
2005-09-16,41,46.45
2005-09-23,46,46.08
2005-09-30,67,46.8
2005-10-07,51,45.92
2005-10-14,44,45.76
2005-10-21,66,48.01
2005-10-28,56,47.18
2005-11-04,36,49.52
2005-11-11,38,50.91
2005-11-18,41,50.91
2005-11-25,37,49.15
2005-12-02,37,48.27
2005-12-09,59,51.32
2005-12-16,37,51.76
2005-12-23,41,50.62
2005-12-30,43,50.2
2006-01-06,45,52.99
2006-01-13,47,53.53
2006-01-20,54,52.6
2006-01-27,60,49.66
2006-02-03,42,46.99
2006-02-10,63,48.97
2006-02-17,51,48.62
2006-02-24,55,46.7
2006-03-03,38,45.4
2006-03-10,39,46.51
2006-03-17,42,45.05
2006-03-24,59,43.85
2006-03-31,57,41
2006-04-07,60,37.02
2006-04-21,43,38.46
2006-04-28,33,39.48
2006-05-05,54,38.87
2006-05-12,46,38
2006-05-19,56,35.38
2006-05-26,59,34.76
2006-06-02,50,34.5
2006-06-09,49,32.88
2006-06-16,53,34.41
2006-06-23,47,33.06
2006-06-30,54,32.42
2006-07-07,38,33.6
2006-07-14,47,32.25
2006-07-21,55,33.37
2006-07-28,47,37.41
2006-08-04,59,33.63
2006-08-11,38,33.68
2006-08-18,43,37.04
2006-08-25,56,36.13
2006-09-01,42,36.3
2006-09-08,40,37.33
2006-09-15,27,36.93
2006-09-22,40,35.6
2006-09-29,54,35.29
2006-10-06,62,38.43
2006-10-13,37,37.17
2006-10-20,49,34.88
2006-10-27,49,34.09
2006-11-03,53,33.63
2006-11-10,33,33.31
2006-11-17,48,35.88
2006-11-24,21,37.54
2006-12-01,40,36.86
2006-12-08,48,38.42
2006-12-15,32,37.55
2006-12-22,32,37.35
2006-12-29,26,36.56
2007-01-05,44,35
2007-01-12,39,38.58
2007-01-19,43,39.1
2007-01-26,46,40.77
2007-02-02,27,41.62
2007-02-09,42,42.01
2007-02-16,40,41.84
2007-02-23,50,40.49
2007-03-02,36,39.5
2007-03-09,44,39.88
2007-03-16,47,37.59
2007-03-23,36,39.13
2007-03-30,44,37.61
2007-04-13,39,40.24
2007-04-20,41,43.16
2007-04-27,30,43.77
2007-05-04,46,44.03
2007-05-11,39,44.11
2007-05-18,38,43.06
2007-05-25,39,43.27
2007-06-01,36,42.58
2007-06-08,38,42.31
2007-06-15,26,43.99
2007-06-22,46,42.37
2007-06-29,45,41.49
2007-07-06,29,42.69
2007-07-13,46,42.09
2007-07-20,51,44.99
2007-07-27,36,42.34
2007-08-03,43,45.05
2007-08-10,41,45.15
2007-08-17,30,43.6
2007-08-24,34,44.11
2007-08-31,37,43.57
2007-09-07,27,43.48
2007-09-14,48,45.89
2007-09-21,53,45.27
2007-09-28,52,44.07
2007-10-05,37,44.52
2007-10-12,44,45.22
2007-10-19,43,40.78
2007-10-26,43,39.9
2007-11-02,51,40.78
2007-11-09,32,39.02
2007-11-16,44,38.97
2007-11-23,27,38.95
2007-11-30,39,39.75
2007-12-07,35,39.8
2007-12-14,36,42.11
2007-12-21,29,41.2
2007-12-28,23,41.07
2008-01-04,40,38.95
2008-01-11,46,43.07
2008-01-18,44,39.99
2008-01-25,39,40.86
2008-02-01,37,41.39
2008-02-08,56,41.87
2008-02-15,37,43.11
2008-02-22,36,43.29
2008-02-29,36,42.98
2008-03-07,28,41.7
2008-03-14,33,41.28
2008-03-28,41,43.31
2008-04-04,38,45.22
2008-04-11,41,43.42
2008-04-18,40,45.04
2008-04-25,34,44.46
2008-05-02,38,42.99
2008-05-09,37,40.93
2008-05-16,52,40.64
2008-05-23,33,41.03
2008-05-30,34,40.75
2008-06-06,39,41
2008-06-13,34,41.66
2008-06-20,50,40.34
2008-06-27,46,40.54
2008-07-11,34,42.01
2008-07-18,36,47.05
2008-07-25,40,46.66
2008-08-01,34,46.56
2008-08-08,41,47.97
2008-08-15,48,46.16
2008-08-22,47,46.7
2008-08-29,47,45.83
2008-09-05,35,44.31
2008-09-12,43,43.05
2008-09-19,43,44.37
2008-09-26,37,43.7
2008-10-03,42,42.65
2008-10-10,45,32.52
2008-10-17,65,37.03
2008-10-24,54,34.14
2008-10-31,46,38.03
2008-11-07,52,35.82
2008-11-14,58,32.92
2008-11-21,51,27.64
2008-11-28,46,28.03
2008-12-05,74,31.03
2008-12-12,72,31.34
2008-12-19,81,32.74
2008-12-26,68,32.16
2009-01-02,57,34.27
2009-01-09,62,32.25
2009-01-16,55,30.7
2009-01-23,71,31.02
2009-01-30,71,36.37
2009-02-06,57,37.15
2009-02-13,84,38.28
2009-02-20,49,36.67
2009-02-27,55,33.16
2009-03-06,47,32.37
2009-03-13,51,36.67
2009-03-20,43,36.21
2009-03-27,61,37.71
2009-04-03,54,35.07
2009-04-17,53,36.2
2009-04-24,65,34.72
2009-05-01,48,33.17
2009-05-08,50,36.45
2009-05-15,57,37.11
2009-05-22,41,36.72
2009-05-29,57,39.02
2009-06-05,55,40.45
2009-06-12,58,37.85
2009-06-19,51,40.02
2009-06-26,59,41.67
2009-07-10,48,38.62
2009-07-17,58,38.96
2009-07-24,64,38.33
2009-07-31,48,37.71
2009-08-07,59,37.35
2009-08-14,70,38.09
2009-08-21,56,37.79
2009-08-28,58,38.85
2009-09-04,52,39.4
2009-09-11,53,39.01
2009-09-18,67,38.45
2009-09-25,62,39.22
2009-10-02,58,37.98
2009-10-09,73,34.1
2009-10-16,57,33.83
2009-10-23,58,34.4
2009-10-30,47,34.08
2009-11-06,66,34.79
2009-11-13,59,34.18
2009-11-20,65,34.32
2009-11-27,47,36.41
2009-12-04,68,36.8
2009-12-11,59,38.33
2009-12-18,49,36.8
2010-01-08,61,39.38
2010-01-15,61,38.39
2010-01-22,62,38.03
2010-01-29,64,37.73
2010-02-05,49,37.63
2010-02-12,50,37.34
2010-02-19,46,39.05
2010-02-26,54,38.22
2010-03-05,66,39.09
2010-03-12,48,37.5
2010-03-19,57,39.41
2010-03-26,50,40.92
2010-04-09,59,41.24
2010-04-16,62,40.88
2010-04-23,54,40.9
2010-04-30,45,40.82
2010-05-07,46,37.15
2010-05-14,57,38.59
2010-05-21,70,37.18
2010-05-28,63,37.34
2010-06-04,41,36.55
2010-06-11,44,36.88
2010-06-18,44,37.39
2010-06-25,57,37.06
2010-07-02,48,35.48
2010-07-09,43,36.7
2010-07-16,49,35.68
2010-07-23,49,36.81
2010-07-30,50,36.77
2010-08-06,53,38.51
2010-08-13,57,37.23
2010-08-20,50,36.58
2010-08-27,57,35.47
2010-09-03,56,35.92
2010-09-10,51,35.96
2010-09-17,54,37.05
2010-09-24,50,38.09
2010-10-01,56,39.48
2010-10-08,54,39.76
2010-10-15,42,39.9
2010-10-22,59,38.83
2010-10-29,65,38.3
2010-11-05,52,38.69
2010-11-12,42,38.66
2010-11-19,43,39.55
2010-11-26,45,39.11
2010-12-03,50,40.47
2010-12-10,67,40.85
2010-12-17,46,42.56
2010-12-31,39,42.75
2011-01-07,61,40.55
2011-01-14,40,41.47
2011-01-21,42,42.56
2011-01-28,51,41
2011-02-04,54,41.96
2011-02-11,47,47.09
2011-02-18,58,48.51
2011-02-25,49,48.01
2011-03-04,55,49.39
2011-03-11,55,48.78
2011-03-18,49,48.09
2011-03-25,46,50.78
2011-04-01,60,52.19
2011-04-08,65,52.26
2011-04-15,55,52.96
2011-04-29,48,53.44
2011-05-06,41,52.36
2011-05-13,54,51.97
2011-05-20,62,50.82
2011-05-27,47,50.56
2011-06-03,45,48.07
2011-06-10,50,48.84
2011-06-17,37,48.19
2011-06-24,48,46.3
2011-07-01,55,48.58
2011-07-08,46,47.49
2011-07-15,51,45.92
2011-07-22,50,49.42
2011-07-29,49,46.5
2011-08-05,48,43.94
