"Date","SunTrust.Banks","Price"
2004-12-10,100,72.91
2005-02-25,76,72.7
2005-06-10,54,72.22
2005-06-17,71,74.13
2005-06-24,68,72.15
2005-07-01,68,73.04
2005-07-08,57,74.28
2005-07-15,57,75.73
2005-07-22,58,75.18
2005-07-29,59,72.72
2005-08-05,59,71.51
2005-08-12,60,71.04
2005-08-19,52,71.2
2005-08-26,52,70.14
2005-09-02,52,70.04
2005-09-09,56,70.8
2005-09-16,60,72.2
2005-09-23,64,70.45
2005-09-30,61,69.45
2005-10-07,52,67.5
2005-10-14,45,67.94
2005-10-21,45,70.22
2005-10-28,45,72.8
2005-11-04,45,72.94
2005-11-11,45,74.99
2005-11-18,45,74.08
2005-11-25,45,75.3
2005-12-02,59,73.78
2005-12-09,52,73.4
2005-12-16,52,74.01
2005-12-23,52,74.53
2005-12-30,71,72.76
2006-01-06,90,74.99
2006-01-13,63,74.31
2006-01-20,63,70.4
2006-01-27,48,71.67
2006-02-03,47,70.34
2006-02-10,68,70.45
2006-02-17,40,71.06
2006-02-24,40,73.16
2006-03-03,40,72.01
2006-03-10,40,72.78
2006-03-17,40,76.5
2006-03-24,57,74.58
2006-03-31,47,72.76
2006-04-07,47,72.96
2006-04-21,63,74.52
2006-04-28,50,77.33
2006-05-05,53,77.29
2006-05-12,68,76.62
2006-05-19,59,75.63
2006-05-26,59,76.55
2006-06-02,59,77.02
2006-06-09,69,77.66
2006-06-16,59,76.81
2006-06-23,54,75.23
2006-06-30,57,76.26
2006-07-07,48,76.44
2006-07-14,54,78.4
2006-07-21,60,77.43
2006-07-28,65,79.62
2006-08-04,57,80.6
2006-08-11,39,79.6
2006-08-18,41,76.92
2006-08-25,44,76.7
2006-09-01,36,76.49
2006-09-08,82,75.75
2006-09-15,48,76.76
2006-09-22,77,76.64
2006-09-29,59,77.28
2006-10-06,56,77.77
2006-10-13,46,79.41
2006-10-20,44,77.09
2006-10-27,35,78.6
2006-11-03,35,78.14
2006-11-10,49,78.95
2006-11-17,36,82.06
2006-11-24,40,83.05
2006-12-01,66,82
2006-12-08,42,83.3
2006-12-15,61,84.7
2006-12-22,51,84.29
2006-12-29,43,84.45
2007-01-05,64,82.85
2007-01-12,34,82.86
2007-01-19,48,82.58
2007-01-26,41,81.9
2007-02-02,40,84.27
2007-02-09,42,84.29
2007-02-16,65,86.56
2007-02-23,59,86.99
2007-03-02,50,85.34
2007-03-09,61,84.79
2007-03-16,73,83.58
2007-03-23,48,85.05
2007-03-30,56,83.04
2007-04-13,44,79.46
2007-04-20,33,84.3
2007-04-27,33,84.76
2007-05-04,41,85.7
2007-05-11,63,88.61
2007-05-18,59,89.5
2007-05-25,35,88.98
2007-06-01,46,89.58
2007-06-08,42,88.2
2007-06-15,41,90.33
2007-06-22,57,87.39
2007-06-29,66,85.74
2007-07-06,62,87.52
2007-07-13,66,89.64
2007-07-20,64,84.83
2007-07-27,59,78.01
2007-08-03,39,75.45
2007-08-10,55,78.19
2007-08-17,46,80.5
2007-08-24,69,81.94
2007-08-31,48,78.75
2007-09-07,40,75.89
2007-09-14,61,76.07
2007-09-21,35,77.84
2007-09-28,46,75.67
2007-10-05,29,77.8
2007-10-12,44,74.95
2007-10-19,44,71.73
2007-10-26,38,73.61
2007-11-02,30,68.21
2007-11-09,41,67.47
2007-11-16,34,68.55
2007-11-23,34,68.39
2007-11-30,59,70.11
2007-12-07,40,69.55
2007-12-14,42,63.05
2007-12-21,37,62.03
2007-12-28,34,61.79
2008-01-04,53,58.8
2008-01-11,59,62.06
2008-01-18,58,58.28
2008-01-25,66,62.56
2008-02-01,56,68.33
2008-02-08,49,64.23
2008-02-15,48,63.23
2008-02-22,29,62.11
2008-02-29,39,58.13
2008-03-07,38,55.07
2008-03-14,55,55.83
2008-03-28,54,54.94
2008-04-04,66,56.49
2008-04-11,29,53.94
2008-04-18,27,54.4
2008-04-25,49,55.27
2008-05-02,49,58.64
2008-05-09,36,55.31
2008-05-16,36,56.01
2008-05-23,44,53.79
2008-05-30,42,52.21
2008-06-06,59,46.32
2008-06-13,50,44.16
2008-06-20,44,37.27
2008-06-27,49,37.04
2008-07-11,42,30.94
2008-07-18,70,34.7
2008-07-25,62,38.32
2008-08-01,50,42.01
2008-08-08,30,44.31
2008-08-15,48,42.96
2008-08-22,47,42.71
2008-08-29,38,41.89
2008-09-05,42,45.42
2008-09-12,40,47.31
2008-09-19,54,59.2
2008-09-26,56,50.48
2008-10-03,62,54.62
2008-10-10,65,36.4
2008-10-17,26,41.88
2008-10-24,52,35.11
2008-10-31,43,40.14
2008-11-07,40,38.68
2008-11-14,35,33.52
2008-11-21,31,22.45
2008-11-28,32,31.73
2008-12-05,27,32.15
2008-12-12,38,27.5
2008-12-19,41,29.19
2008-12-26,29,27.68
2009-01-02,38,29.92
2009-01-09,42,25.56
2009-01-16,27,19.94
2009-01-23,39,14.97
2009-01-30,43,12.26
2009-02-06,42,12.09
2009-02-13,55,8.72
2009-02-20,29,7.35
2009-02-27,49,12.03
2009-03-06,33,9.36
2009-03-13,40,12.21
2009-03-20,33,12.05
2009-03-27,30,12.58
2009-04-03,32,13.82
2009-04-17,34,18.04
2009-04-24,38,15.96
2009-05-01,32,13.81
2009-05-08,39,20.77
2009-05-15,30,15.05
2009-05-22,40,13.71
2009-05-29,35,13.17
2009-06-05,33,16.97
2009-06-12,40,16.69
2009-06-19,20,16.27
2009-06-26,25,15.91
2009-07-10,37,15.2
2009-07-17,50,16.24
2009-07-24,35,17.05
2009-07-31,36,19.5
2009-08-07,40,21.78
2009-08-14,37,21.05
2009-08-21,48,22.64
2009-08-28,41,23.68
2009-09-04,43,20.76
2009-09-11,23,21.89
2009-09-18,29,23.71
2009-09-25,31,22.27
2009-10-02,19,21.15
2009-10-09,36,22.5
2009-10-16,50,21.71
2009-10-23,35,20.99
2009-10-30,33,19.11
2009-11-06,38,19.93
2009-11-13,31,20.07
2009-11-20,26,22.04
2009-11-27,23,22.59
2009-12-04,32,22.8
2009-12-11,19,22.31
2009-12-18,26,21.01
2010-01-08,37,23.01
2010-01-15,40,23.39
2010-01-22,36,24.55
2010-01-29,19,24.33
2010-02-05,30,22.49
2010-02-12,26,22.37
2010-02-19,34,23.03
2010-02-26,31,23.81
