"Date","The.Walt.Disney.Company","Price"
2004-11-05,100,26.43
2005-04-29,78,26.4
2005-05-06,69,26.89
2005-05-13,69,27
2005-10-21,64,22.98
2005-12-02,54,24.88
2006-01-13,63,25.7
2006-01-20,65,25.72
2006-01-27,67,25.08
2006-02-03,70,25.01
2006-02-10,53,26.68
2006-02-17,55,26.91
2006-02-24,56,27.98
2006-03-03,58,28.22
2006-03-10,61,28.16
2006-03-17,47,28.64
2006-03-24,47,27.45
2006-03-31,47,27.89
2006-04-07,47,27.53
2006-04-21,48,27.02
2006-04-28,68,27.96
2006-05-05,77,29.09
2006-05-12,50,29.9
2006-05-19,45,30.15
2006-05-26,45,30.51
2006-06-02,48,30.62
2006-06-09,51,29.33
2006-06-16,47,29.45
2006-06-23,51,29.12
2006-06-30,55,30
2006-07-07,55,29.83
2006-07-14,55,28.49
2006-09-08,46,29.58
2006-09-15,43,30.31
2006-09-22,43,30.08
2006-09-29,71,30.91
2006-10-06,47,31.34
2006-10-13,54,31.11
2006-10-20,58,31.45
2006-10-27,61,31.73
2006-11-03,64,31.89
2006-11-10,51,32.4
2006-11-17,71,32.94
2006-11-24,70,32.91
2006-12-01,70,33.09
2006-12-08,42,34.39
2006-12-15,36,34.3
2006-12-22,38,34.16
2006-12-29,41,34.27
2007-01-05,44,34.19
2007-01-12,46,35.21
2007-01-19,32,35.5
2007-01-26,33,34.55
2007-02-02,35,35.18
2007-02-09,34,34.36
2007-02-16,48,34.89
2007-02-23,46,35.14
2007-03-02,46,33.95
2007-03-09,43,34.37
2007-03-16,37,33.61
2007-03-23,43,34.99
2007-03-30,46,34.43
2007-04-13,44,34.72
2007-04-20,42,35.28
2007-04-27,39,34.98
2007-05-04,33,35.85
2007-05-11,39,36.07
2007-05-18,44,36.02
2007-05-25,39,36.03
2007-06-01,53,35.24
2007-06-08,36,34.2
2007-06-15,36,34.4
2007-06-22,36,34.14
2007-06-29,33,34.14
2007-07-06,36,34.49
2007-07-13,39,34.37
2007-07-20,42,34.34
2007-07-27,28,33.74
2007-08-03,36,33.9
2007-08-10,31,33.16
2007-08-17,50,32.68
2007-08-24,32,33.87
2007-08-31,32,33.6
2007-09-07,35,33.59
2007-09-14,38,33.56
2007-09-21,32,34.6
2007-09-28,39,34.39
2007-10-05,51,35.47
2007-10-12,46,35.47
2007-10-19,43,33.81
2007-10-26,39,34.38
2007-11-02,50,33.92
2007-11-09,34,32.74
2007-11-16,35,32.53
2007-11-23,30,31.84
2007-11-30,42,33.15
2007-12-07,42,32.79
2007-12-14,58,33.01
2007-12-21,40,32.94
2007-12-28,31,32.42
2008-01-04,31,31.13
2008-01-11,26,30.32
2008-01-18,46,28.51
2008-01-25,36,28.68
2008-02-01,38,30.66
2008-02-08,34,32.12
2008-02-15,40,32.49
2008-02-22,37,32.57
2008-02-29,39,32.41
2008-03-07,38,30.76
2008-03-14,52,30.78
2008-03-28,35,31
2008-04-04,38,31.24
2008-04-11,38,30.18
2008-04-18,58,31.33
2008-04-25,44,32.36
2008-05-02,35,33.49
2008-05-09,34,34.3
2008-05-16,49,34.91
2008-05-23,33,33.23
2008-05-30,34,33.6
2008-06-06,33,33.01
2008-06-13,37,33.93
2008-06-20,42,31.94
2008-06-27,20,31.57
2008-07-11,28,29.2
2008-07-18,22,30.9
2008-07-25,37,31.1
2008-08-01,28,30.08
2008-08-08,26,32.03
2008-08-15,23,32.5
2008-08-22,24,32.2
2008-08-29,25,32.35
2008-09-05,29,31.36
2008-09-12,31,33.26
2008-09-19,45,34.39
2008-09-26,56,32.75
2008-10-03,36,29.54
2008-10-10,32,23.04
2008-10-17,36,24.75
2008-10-24,44,22.61
2008-10-31,37,25.91
2008-11-07,38,23.36
2008-11-14,43,21.08
2008-11-21,41,21.12
2008-11-28,35,22.52
2008-12-05,43,22.77
2008-12-12,30,22.61
2008-12-19,25,22.43
2008-12-26,27,22.18
2009-01-02,21,23.92
2009-01-09,21,22.31
2009-01-16,27,21.46
2009-01-23,25,20.61
2009-01-30,36,20.68
2009-02-06,44,19.45
2009-02-13,23,18.52
2009-02-20,29,17.53
2009-02-27,47,16.77
2009-03-06,33,15.83
2009-03-13,36,17.13
2009-03-20,36,17.45
2009-03-27,32,18.59
2009-04-03,41,20
2009-04-17,47,20.38
2009-04-24,52,20.26
2009-05-01,36,21.94
2009-05-08,40,25.46
2009-05-15,44,23.41
2009-05-22,40,23.7
2009-05-29,39,24.22
2009-06-05,38,24.95
2009-06-12,39,25.06
2009-06-19,38,23.53
2009-06-26,41,23.43
2009-07-10,19,22.41
2009-07-17,28,24.51
2009-07-24,31,26.58
2009-07-31,33,25.12
2009-08-07,27,26.69
2009-08-14,28,25.86
2009-08-21,22,26.79
2009-08-28,34,26.84
2009-09-04,41,25.9
2009-09-11,29,28.42
2009-09-18,25,28.44
2009-09-25,48,27.62
2009-10-02,42,27.21
2009-10-09,34,28.64
2009-10-16,45,29.4
2009-10-23,44,28.89
2009-10-30,30,27.37
2009-11-06,38,28.56
2009-11-13,46,30.44
2009-11-20,44,30.01
2009-11-27,45,30.35
2009-12-04,49,30.84
2009-12-11,46,31.7
2009-12-18,40,31.95
2010-01-08,32,31.88
2010-01-15,35,30.6
2010-01-22,38,29.98
2010-01-29,31,29.55
2010-02-05,40,29.54
2010-02-12,40,30.07
2010-02-19,32,31.23
2010-02-26,37,31.24
2010-03-05,51,33.22
2010-03-12,52,33.69
2010-03-19,37,33.64
2010-03-26,34,35.31
2010-04-09,36,36.22
2010-04-16,42,35.83
2010-04-23,28,36.79
2010-04-30,37,36.84
2010-05-07,47,33.41
2010-05-14,42,34.06
2010-05-21,27,32.87
2010-05-28,28,33.42
2010-06-04,37,33.69
2010-06-11,46,34.24
2010-06-18,30,35.15
2010-06-25,28,33.48
2010-07-02,23,31.38
2010-07-09,19,33.75
2010-07-16,23,33.03
2010-07-23,31,34.13
2010-07-30,26,33.69
2010-08-06,27,35
2010-08-13,32,33.68
2010-08-20,24,33.05
2010-08-27,22,32.78
2010-09-03,26,34.67
2010-09-10,31,34.15
2010-09-17,37,34.56
2010-09-24,41,33.58
2010-10-01,42,33.34
2010-10-08,37,34.51
2010-10-15,35,34.88
2010-10-22,28,34.97
2010-10-29,32,36.13
2010-11-05,35,37.2
2010-11-12,38,37.75
2010-11-19,37,37.01
2010-11-26,31,36.7
2010-12-03,38,37.59
2010-12-10,38,36.66
2010-12-17,23,37.05
2010-12-31,25,37.51
2011-01-07,43,39.45
2011-01-14,35,39.29
2011-01-21,47,39.74
2011-01-28,40,38.85
2011-02-04,27,40.71
2011-02-11,43,43.41
2011-02-18,43,43.56
2011-02-25,31,42.95
2011-03-04,41,43.55
2011-03-11,47,42.93
2011-03-18,36,41.23
2011-03-25,33,42.97
2011-04-01,40,42.85
2011-04-08,26,41.76
2011-04-15,38,41.52
2011-04-29,40,43.1
2011-05-06,38,43.06
2011-05-13,44,41.52
2011-05-20,36,41.5
2011-05-27,32,41.52
2011-06-03,34,39.38
2011-06-10,27,38.5
2011-06-17,28,38.04
2011-06-24,25,37.58
2011-07-01,25,39.72
2011-07-08,24,39.91
2011-07-15,25,39.27
2011-07-22,33,40.65
2011-07-29,25,38.62
2011-08-05,25,35.18
2011-08-12,24,33.09
2011-08-19,19,31.85
2011-08-26,22,32.4
2011-09-02,24,32.46
2011-09-09,31,31.04
2011-09-16,36,32.91
2011-09-23,25,29.83
2011-09-30,31,30.16
2011-10-07,40,31.7
2011-10-14,33,34.47
2011-10-21,35,35.16
2011-10-28,30,36.21
2011-11-04,35,34.76
2011-11-11,34,36.7
2011-11-18,29,35.63
2011-11-25,35,33.51
2011-12-02,45,36.61
2011-12-09,39,36.56
2011-12-16,24,35.32
2011-12-23,17,37.7
2011-12-30,15,37.5
2012-01-06,27,39.91
2012-01-13,27,38.4
2012-01-20,21,39.31
2012-01-27,31,39.25
2012-02-03,25,40
2012-02-10,26,41.45
2012-02-17,36,41.75
2012-02-24,35,41.31
2012-03-02,35,42.36
2012-03-09,44,42.24
2012-03-16,31,43.19
2012-03-23,36,43.65
2012-03-30,30,43.78
2012-04-13,37,41.85
2012-04-20,33,42.35
2012-04-27,38,43.35
2012-05-04,33,42.93
2012-05-11,32,45.56
2012-05-18,33,43.81
2012-05-25,35,44.5
2012-06-01,35,44.4
2012-06-08,28,46.24
2012-06-15,30,47.09
2012-06-22,22,47.47
2012-06-29,23,48.5
2012-07-06,28,48.04
2012-07-13,19,48.19
2012-07-20,29,48.59
2012-07-27,28,49.94
2012-08-03,26,49.77
2012-08-10,27,49.65
2012-08-17,27,50.46
2012-08-24,31,49.56
2012-08-31,30,49.47
2012-09-07,34,51.74
2012-09-14,36,52.35
2012-09-21,39,52.74
2012-09-28,34,52.28
2012-10-05,30,52.97
2012-10-12,47,50.59
2012-10-19,42,51.9
2012-10-26,29,50.08
2012-11-02,51,49.86
2012-11-09,49,47.06
2012-11-16,46,47.42
2012-11-23,36,49.26
2012-11-30,35,49.66
2012-12-07,38,49.24
2012-12-14,34,48.67
2012-12-21,26,50
2012-12-28,19,49.15
2013-01-04,14,52.19
2013-01-11,32,50.58
2013-01-18,33,52.34
2013-01-25,35,54.38
2013-02-01,34,54.59
2013-02-08,34,54.66
2013-02-15,31,55.61
2013-02-22,30,54.25
2013-03-01,32,55.33
2013-03-08,33,57.39
2013-03-15,40,57.58
2013-03-22,34,56.78
2013-04-05,27,57.7
2013-04-12,39,60.55
2013-04-19,42,61.56
2013-04-26,43,61.87
2013-05-03,51,64.8
2013-05-10,42,67.2
2013-05-17,39,66.58
2013-05-24,29,65.49
2013-05-31,33,63.08
2013-06-07,36,64.85
2013-06-14,32,63.8
2013-06-21,36,62.73
2013-06-28,31,63.15
2013-07-05,27,63.82
2013-07-12,27,66.98
2013-07-19,36,65.16
