"Date","UPS","Price"
2004-02-06,60,71.35
2004-02-13,62,70.82
2004-02-20,58,70.16
2004-02-27,59,70.63
2004-03-05,59,69.64
2004-03-12,60,68.95
2004-03-19,59,68.92
2004-03-26,55,69.07
2004-04-02,56,70.47
2004-04-16,57,71.62
2004-04-23,60,71.8
2004-04-30,60,70.15
2004-05-07,61,69.69
2004-05-14,59,69.37
2004-05-21,60,69.12
2004-05-28,59,71.72
2004-06-04,59,71.74
2004-06-18,63,73.42
2004-06-25,64,74.77
2004-07-02,63,74.27
2004-07-09,60,73.06
2004-07-16,62,73.79
2004-07-23,66,71.41
2004-07-30,62,71.96
2004-08-06,64,70.26
2004-08-13,63,69.25
2004-08-20,63,71.31
2004-08-27,65,72.77
2004-09-03,60,73.04
2004-09-10,61,73.77
2004-09-17,63,75.04
2004-09-24,56,73.6
2004-10-01,59,76.76
2004-10-08,58,76.03
2004-10-15,59,77.74
2004-10-22,59,76.49
2004-10-29,59,79.18
2004-11-05,56,81.76
2004-11-12,57,84.55
2004-11-19,58,83.08
2004-11-26,55,83.64
2004-12-03,65,85.63
2004-12-10,68,86.61
2004-12-17,78,85.9
2004-12-31,60,85.46
2005-01-07,61,83.5
2005-01-14,61,75.95
2005-01-21,60,74.99
2005-01-28,59,74.1
2005-02-04,59,74.1
2005-02-11,60,75.2
2005-02-18,57,77.22
2005-02-25,59,77.19
2005-03-04,59,77.91
2005-03-11,57,76.06
2005-03-18,56,73.5
2005-04-01,54,71.9
2005-04-08,55,71.7
2005-04-15,57,68.75
2005-04-22,55,67.9
2005-04-29,58,71.31
2005-05-06,58,71.52
2005-05-13,56,72.15
2005-05-20,61,74.99
2005-05-27,59,74.69
2005-06-03,55,72.82
2005-06-10,60,70.96
2005-06-17,61,70.98
2005-06-24,65,68.6
2005-07-01,62,69.21
2005-07-08,59,69.95
2005-07-15,65,70.15
2005-07-22,65,72.92
2005-07-29,64,72.97
2005-08-05,64,73.44
2005-08-12,64,73.06
2005-08-19,64,71.48
2005-08-26,62,71.33
2005-09-02,63,68.98
2005-09-09,62,68.5
2005-09-16,65,68.98
2005-09-23,61,68.37
2005-09-30,60,69.13
2005-10-07,61,68.44
2005-10-14,63,70.01
2005-10-21,61,71.68
2005-10-28,62,72.82
2005-11-04,61,74.1
2005-11-11,58,76.26
2005-11-18,63,78.15
2005-11-25,58,79.54
2005-12-02,69,77.45
2005-12-09,70,75.79
2005-12-16,80,76.02
2005-12-23,96,77.14
2005-12-30,62,75.15
2006-01-06,64,75.23
2006-01-13,64,74.5
2006-01-20,60,75.24
2006-01-27,62,75.4
2006-02-03,61,73.06
2006-02-10,60,74.78
2006-02-17,60,76.25
2006-02-24,60,75.32
2006-03-03,61,75.51
2006-03-10,60,77.36
2006-03-17,59,78.14
2006-03-24,57,78.82
2006-03-31,60,79.38
2006-04-07,60,81.74
2006-04-21,60,82.03
2006-04-28,59,81.07
2006-05-05,60,83.35
2006-05-12,61,80.86
2006-05-19,60,79.94
2006-05-26,59,81.03
2006-06-02,59,81.05
2006-06-09,62,78.99
2006-06-16,65,79.28
2006-06-23,65,80.4
2006-06-30,65,82.33
2006-07-07,59,81.09
2006-07-14,67,78.57
2006-07-21,65,78.73
2006-07-28,69,70.01
2006-08-04,67,67.74
2006-08-11,65,66.51
2006-08-18,67,71.08
2006-08-25,65,70.57
2006-09-01,63,71.08
2006-09-08,61,69.56
2006-09-15,64,72.51
2006-09-22,63,70.89
2006-09-29,63,71.94
2006-10-06,61,74.27
2006-10-13,62,73.4
2006-10-20,63,76.1
2006-10-27,61,74.87
2006-11-03,61,73.2
2006-11-10,64,75.56
2006-11-17,65,79.13
2006-11-24,58,78.84
2006-12-01,71,77.31
2006-12-08,71,78.11
2006-12-15,83,76.67
2006-12-22,99,73.87
2006-12-29,62,74.98
2007-01-05,63,74.15
2007-01-12,65,74.44
2007-01-19,62,75.02
2007-01-26,64,72.49
2007-02-02,62,74.17
2007-02-09,61,73.56
2007-02-16,63,74.04
2007-02-23,61,73.34
2007-03-02,60,69.47
2007-03-09,61,70.63
2007-03-16,60,69.26
2007-03-23,62,71.47
2007-03-30,62,70.1
2007-04-13,60,70.31
2007-04-20,60,72.82
2007-04-27,62,71.5
2007-05-04,60,71.09
2007-05-11,58,71.27
2007-05-18,61,70.05
2007-05-25,61,71.08
2007-06-01,59,72.36
2007-06-08,64,72.32
2007-06-15,63,74.05
2007-06-22,63,72.85
2007-06-29,65,73
2007-07-06,61,73.7
2007-07-13,67,75.15
2007-07-20,69,75.01
2007-07-27,67,75.67
2007-08-03,67,75.17
2007-08-10,65,76.75
2007-08-17,65,76.32
2007-08-24,66,77.03
2007-08-31,67,75.86
2007-09-07,59,74.13
2007-09-14,66,74.38
2007-09-21,63,75.75
2007-09-28,64,75.1
2007-10-05,62,76.41
2007-10-12,63,76.62
2007-10-19,62,75.03
2007-10-26,63,74.97
2007-11-02,61,74.03
2007-11-09,64,70.71
2007-11-16,64,72.01
2007-11-23,60,70.92
2007-11-30,73,73.68
2007-12-07,73,74.17
2007-12-14,79,72.61
2007-12-21,100,72.4
2007-12-28,65,71.56
2008-01-04,71,68.01
2008-01-11,70,69.59
2008-01-18,65,67.16
2008-01-25,63,69.97
2008-02-01,63,73.78
2008-02-08,63,70.58
2008-02-15,64,72.42
2008-02-22,63,71.89
2008-02-29,60,70.24
2008-03-07,62,71.96
2008-03-14,62,69.61
2008-03-28,60,72.26
2008-04-04,61,74.41
2008-04-11,62,70.89
2008-04-18,62,73.19
2008-04-25,62,72.72
2008-05-02,61,73.28
2008-05-09,62,70.29
2008-05-16,60,70.77
2008-05-23,61,67.02
2008-05-30,61,71.02
2008-06-06,63,68.59
2008-06-13,63,68.31
2008-06-20,63,66.37
2008-06-27,65,60.36
2008-07-11,65,57.99
2008-07-18,69,60.81
2008-07-25,74,62.55
2008-08-01,68,62.26
2008-08-08,65,65.7
2008-08-15,67,66.14
2008-08-22,64,63.52
2008-08-29,65,64.12
2008-09-05,61,63.89
2008-09-12,64,68.6
2008-09-19,64,67.7
2008-09-26,63,64.39
2008-10-03,63,60.76
2008-10-10,62,51.7
2008-10-17,62,50.54
2008-10-24,63,46.55
2008-10-31,63,52.78
2008-11-07,61,51.92
2008-11-14,65,53.14
2008-11-21,64,52.31
2008-11-28,57,57.6
2008-12-05,76,57.83
2008-12-12,74,52.03
2008-12-19,86,53.33
2008-12-26,77,53.16
2009-01-02,68,56.11
2009-01-09,73,50.93
2009-01-16,67,48.2
2009-01-23,62,46.92
2009-01-30,64,42.49
2009-02-06,62,47.07
2009-02-13,62,44.84
2009-02-20,60,42.8
2009-02-27,62,41.18
2009-03-06,59,39.38
2009-03-13,59,43.09
2009-03-20,59,44.71
2009-03-27,59,50.11
2009-04-03,58,52.75
2009-04-17,56,54.65
2009-04-24,58,53.28
2009-05-01,56,51.66
2009-05-08,58,57.62
2009-05-15,59,51.99
2009-05-22,56,49.65
2009-05-29,55,51.14
2009-06-05,58,51.52
2009-06-12,58,50.53
2009-06-19,60,48.14
2009-06-26,60,49.86
2009-07-10,62,48.57
2009-07-17,61,52.17
2009-07-24,62,53.4
2009-07-31,63,53.73
2009-08-07,64,54.11
2009-08-14,63,53.53
2009-08-21,64,53.62
2009-08-28,63,53.71
2009-09-04,62,53.81
2009-09-11,59,58.8
2009-09-18,62,58.77
2009-09-25,59,56.81
2009-10-02,59,54.94
2009-10-09,60,55.97
2009-10-16,58,57.12
2009-10-23,59,55.7
2009-10-30,60,53.68
2009-11-06,59,54.86
2009-11-13,60,56.69
2009-11-20,61,57.51
2009-11-27,56,57.43
2009-12-04,70,57.87
2009-12-11,72,58.01
2009-12-18,81,57.98
2010-01-08,68,60.17
2010-01-15,67,61.93
2010-01-22,60,58.75
2010-01-29,58,57.77
2010-02-05,61,57.2
2010-02-12,63,56.15
2010-02-19,59,57.81
2010-02-26,57,58.74
2010-03-05,60,59.49
2010-03-12,59,62.32
2010-03-19,58,64.33
2010-03-26,59,63.67
2010-04-09,61,64.44
2010-04-16,61,68.21
2010-04-23,62,68.86
2010-04-30,61,69.14
2010-05-07,60,63.93
2010-05-14,60,65.75
2010-05-21,60,62.38
2010-05-28,60,62.76
2010-06-04,56,60.56
2010-06-11,63,61.2
2010-06-18,61,62.5
2010-06-25,71,60.35
2010-07-02,73,56.76
2010-07-09,70,60.06
2010-07-16,69,59.68
2010-07-23,70,63.67
2010-07-30,68,65
2010-08-06,68,66.7
2010-08-13,67,64.44
2010-08-20,68,65.1
2010-08-27,68,64.47
2010-09-03,67,67.64
2010-09-10,67,67.76
2010-09-17,68,66.68
2010-09-24,65,67.27
2010-10-01,61,66.44
2010-10-08,63,67.53
2010-10-15,62,69.31
2010-10-22,63,69.83
2010-10-29,65,67.34
2010-11-05,63,69.79
2010-11-12,66,68.12
2010-11-19,67,69.11
2010-11-26,60,69.1
2010-12-03,73,71.8
2010-12-10,74,72.89
2010-12-17,85,73.06
2010-12-31,65,72.58
2011-01-07,69,72.15
2011-01-14,65,72.48
2011-01-21,63,72.89
2011-01-28,62,70.73
2011-02-04,63,74.34
2011-02-11,67,75.32
2011-02-18,61,76.47
2011-02-25,58,73.46
2011-03-04,60,72.44
2011-03-11,58,74.09
2011-03-18,57,71.6
2011-03-25,61,72.04
2011-04-01,63,74.48
2011-04-08,59,73.25
2011-04-15,61,72.71
2011-04-29,60,74.97
2011-05-06,60,74.1
2011-05-13,61,74.14
2011-05-20,62,74.05
2011-05-27,60,72.96
2011-06-03,59,71.15
2011-06-10,59,68.5
2011-06-17,60,69.17
2011-06-24,61,71.12
2011-07-01,61,73.96
2011-07-08,57,74.57
2011-07-15,61,73.08
2011-07-22,61,74.16
2011-07-29,61,69.22
2011-08-05,60,65.69
2011-08-12,59,65.2
2011-08-19,61,61.7
2011-08-26,59,64.7
2011-09-02,59,65.61
2011-09-09,61,64.22
