"Date","Zoetis","Price"
2013-02-01,90,31.01
2013-02-08,37,33.05
2013-02-15,21,33.98
2013-02-22,22,32.59
2013-03-01,19,34.6
2013-03-08,20,34.09
2013-03-15,22,33.44
2013-03-22,24,33.12
2013-04-05,19,31.96
2013-04-12,24,33.23
2013-04-19,20,32.71
2013-04-26,20,32.64
2013-05-03,21,33.21
2013-05-10,19,33.18
2013-05-17,23,33.9
2013-05-24,30,33.46
2013-05-31,36,32
2013-06-07,83,31.5
2013-06-14,100,30.8
2013-06-21,42,30.6
2013-06-28,31,30.89
2013-07-05,25,30.17
2013-07-12,29,31.35
2013-07-19,26,30.24
2013-07-26,27,30.43
2013-08-02,24,30.94
2013-08-09,28,30.91
2013-08-16,21,30
2013-08-23,25,30.2
2013-08-30,21,29.15
2013-09-06,21,30.61
2013-09-13,27,31.05
2013-09-20,25,32.19
2013-09-27,22,31.15
2013-10-04,28,32.05
2013-10-11,23,32.4
2013-10-18,26,33.22
2013-10-25,26,32.47
2013-11-01,23,31.84
2013-11-08,25,31.59
2013-11-15,25,31.81
2013-11-22,25,31.36
2013-11-29,20,31.15
2013-12-06,23,31.54
2013-12-13,24,31.58
2013-12-20,25,32.38
2013-12-27,11,32.67
2014-01-03,14,32.05
2014-01-10,24,32.54
2014-01-17,23,31.73
2014-01-24,28,31.46
2014-01-31,26,30.36
2014-02-07,29,30.7
2014-02-14,27,29.88
2014-02-21,27,29.61
2014-02-28,27,31.02
2014-03-07,25,30.58
2014-03-14,26,29.42
2014-03-21,25,29.26
2014-03-28,31,29.01
2014-04-04,27,29.32
2014-04-11,34,28.4
2014-04-25,29,30.16
