"Date","buy.AAPL","Price"
2008-01-25,57,130.01
2008-10-03,44,97.07
2010-01-29,70,192.06
2010-04-30,28,261.09
2010-05-07,46,235.86
2010-05-14,32,253.82
2010-05-21,32,242.32
2010-05-28,32,256.88
2010-06-04,32,255.96
2010-10-15,29,314.74
2010-10-22,31,307.47
2010-10-29,28,300.98
2010-11-05,28,317.13
2010-11-12,23,308.03
2010-11-19,23,306.73
2010-11-26,23,315
2011-01-21,50,326.72
2011-01-28,32,336.1
2011-02-04,23,346.5
2011-02-11,23,356.85
2011-02-18,25,350.56
2011-02-25,26,348.16
2011-03-04,28,360
2011-03-11,29,351.99
2011-03-18,21,330.67
2011-03-25,21,351.54
2011-04-01,21,344.56
2011-04-08,21,335.06
2011-04-15,24,327.46
2011-07-22,29,393.3
2011-07-29,23,390.48
2011-08-05,37,373.62
2011-08-12,51,376.99
2011-08-19,29,356.03
2011-08-26,52,383.58
2011-09-02,25,374.05
2011-09-09,21,377.48
2011-09-16,21,400.5
2011-09-23,21,404.3
2011-09-30,21,381.32
2011-10-07,48,369.8
2011-10-14,25,422
2011-10-21,30,392.87
2011-10-28,22,404.95
2011-11-04,24,400.24
2011-11-11,26,384.62
2011-11-18,29,374.94
2011-11-25,31,363.57
2011-12-02,18,389.7
2011-12-09,20,393.62
2011-12-16,23,381.02
2011-12-23,25,403.33
2011-12-30,28,405
2012-01-06,20,422.4
2012-01-13,20,419.81
2012-01-20,23,420.3
2012-01-27,27,447.28
2012-02-03,20,459.68
2012-02-10,25,493.42
2012-02-17,38,502.12
2012-02-24,42,522.41
2012-03-02,47,545.18
2012-03-09,29,545.17
2012-03-16,51,585.57
2012-03-23,39,596.05
2012-03-30,23,599.55
2012-04-13,38,605.23
2012-04-20,37,572.98
2012-04-27,57,603
2012-05-04,25,565.25
2012-05-11,26,566.71
2012-05-18,39,530.38
2012-05-25,33,562.29
2012-06-01,16,560.99
2012-06-08,18,580.32
2012-06-15,16,574.13
2012-06-22,24,582.1
2012-06-29,23,584
2012-07-06,23,605.88
2012-07-13,23,604.97
2012-07-20,16,604.3
2012-07-27,43,585.16
2012-08-03,25,615.7
2012-08-10,21,621.7
2012-08-17,27,648.11
2012-08-24,41,663.22
2012-08-31,40,665.24
2012-09-07,17,680.44
2012-09-14,37,691.28
2012-09-21,52,700.09
2012-09-28,35,667.1
2012-10-05,34,652.59
2012-10-12,37,629.71
2012-10-19,24,609.84
2012-10-26,45,604
2012-11-02,26,576.8
2012-11-09,51,547.06
2012-11-16,44,527.68
2012-11-23,32,571.5
2012-11-30,32,585.28
2012-12-07,27,533.25
2012-12-14,47,509.79
2012-12-21,32,519.33
2012-12-28,30,509.59
2013-01-04,17,527
2013-01-11,29,520.3
2013-01-18,40,500
2013-01-25,100,439.88
2013-02-01,59,453.62
2013-02-08,35,474.98
2013-02-15,14,460.16
2013-02-22,33,450.81
2013-03-01,30,430.47
2013-03-08,36,431.72
2013-03-15,35,443.66
2013-03-22,31,461.91
2013-04-05,28,423.2
2013-04-12,25,429.8
2013-04-19,52,390.53
2013-04-26,42,417.2
2013-05-03,39,449.98
2013-05-10,25,452.97
2013-05-17,36,433.26
2013-05-24,27,445.15
2013-05-31,14,449.73
2013-06-07,18,441.81
2013-06-14,22,430.05
2013-06-21,16,413.5
2013-06-28,20,396.53
2013-07-05,13,417.42
2013-07-12,24,426.51
2013-07-19,22,424.95
2013-07-26,33,440.99
2013-08-02,13,462.54
2013-08-09,17,454.45
2013-08-16,32,502.33
2013-08-23,26,501.02
2013-08-30,26,487.22
2013-09-06,16,498.22
2013-09-13,39,464.9
2013-09-20,37,467.41
2013-09-27,15,482.75
2013-10-04,25,483.03
2013-10-11,19,492.81
2013-10-18,26,508.89
2013-10-25,39,525.96
2013-11-01,40,520.03
2013-11-08,19,520.56
2013-11-15,16,524.99
2013-11-22,18,519.8
2013-11-29,19,556.07
2013-12-06,37,560.02
2013-12-13,20,554.43
2013-12-20,19,549.02
2013-12-27,27,560.09
2014-01-03,16,540.98
2014-01-10,22,532.94
2014-01-17,20,540.67
2014-01-24,13,546.07
2014-01-31,49,500.6
2014-02-07,20,519.68
2014-02-14,14,543.99
2014-02-21,17,525.25
2014-02-28,16,526.24
2014-03-07,11,530.44
2014-03-14,11,524.69
2014-03-21,11,532.87
2014-03-28,11,536.86
2014-04-04,11,531.82
2014-04-11,12,519.61
2014-04-25,42,571.94
