"Date","buy.APC","Price"
2007-05-11,83,45.57
2007-05-18,86,48.94
2007-05-25,90,48.38
2007-06-01,93,49.65
2007-06-08,97,50.18
2007-06-15,100,53.85
2007-06-22,83,54.03
2007-06-29,83,51.99
2008-01-18,77,55.73
2008-01-25,63,55.35
2008-02-01,63,60.04
2008-02-08,63,56.46
2008-02-15,63,58.94
2008-02-22,65,62.22
2008-02-29,68,63.74
2008-03-07,70,63.81
2008-03-14,73,64.5
2008-03-28,67,62.9
2008-04-04,67,63.78
2008-04-11,66,63.8
2008-04-18,66,68.9
2008-04-25,76,68.38
2008-05-02,87,67.1
2008-06-27,67,74.36
2008-07-11,72,69.12
2008-07-18,74,63.24
2008-07-25,76,58.98
2008-08-01,79,58.71
2008-08-08,65,53.78
2008-08-15,65,57.61
2008-08-22,65,58.65
2008-08-29,93,61.73
2008-09-05,92,58.28
2008-09-12,92,56.89
2008-09-19,60,57.78
2008-09-26,54,52.73
2008-10-03,54,41.54
2008-10-10,46,27.5
2008-10-17,46,33.5
2008-10-24,46,29.35
2008-10-31,46,35.3
2008-11-07,48,36.33
2008-11-14,49,37.82
2008-11-21,51,33.07
2008-11-28,53,41.05
2008-12-05,55,33.95
2008-12-12,51,37.03
2008-12-19,54,37.16
2008-12-26,58,36.31
2009-01-02,61,40.62
2009-01-09,93,40.54
2009-01-16,66,37.48
2009-01-23,66,37.88
2009-01-30,76,36.74
2009-02-06,46,41.78
2009-02-13,56,39.91
2009-02-20,65,35.57
2009-02-27,74,34.95
2009-03-06,59,33.07
2009-03-13,59,36.38
2009-03-20,58,40.69
2009-03-27,58,41.01
2009-04-03,64,43.47
2009-04-17,65,43.59
2009-04-24,67,44.06
2009-05-01,63,45.63
2009-05-08,63,51.96
2009-05-15,71,42.67
2009-05-22,80,43.15
2009-05-29,88,47.78
2009-06-05,87,48.46
2009-06-12,73,50.57
2009-06-19,47,45.54
2009-06-26,43,46.07
2009-07-10,53,42.49
2009-07-17,55,46.05
2009-07-24,57,49.19
2009-07-31,58,48.2
2009-08-07,68,49.39
2009-08-14,63,51.5
2009-08-21,57,53.89
2009-08-28,41,54.66
2009-09-04,41,54.78
2009-09-11,41,58.58
2009-09-18,45,63.14
2009-09-25,48,61.95
2009-10-02,52,59.73
2009-10-09,55,67.39
2009-10-16,79,67.11
2009-10-23,39,65.34
2009-10-30,46,60.93
2009-11-06,57,64.83
2009-11-13,67,62.57
2009-11-20,41,61.29
2009-11-27,51,60.67
2009-12-04,52,60.25
2009-12-11,38,57.99
2009-12-18,42,61.15
2010-01-08,52,67.06
2010-01-15,53,65.89
2010-01-22,56,63.13
2010-01-29,55,63.78
2010-02-05,38,62.95
2010-02-12,45,65.32
2010-02-19,56,70.18
2010-02-26,59,70.13
2010-03-05,62,72.11
2010-03-12,58,72.05
2010-03-19,41,69.99
2010-03-26,45,69.4
2010-04-09,50,73.3
2010-04-16,37,73.5
2010-04-23,37,74.11
2010-04-30,56,62.16
2010-05-07,35,58.88
2010-05-14,39,57.32
2010-05-21,42,54.83
2010-05-28,46,52.33
2010-06-04,46,45.12
2010-06-11,53,41.79
2010-06-18,35,42.57
2010-06-25,43,37.68
2010-07-02,60,38.07
2010-07-09,50,45.41
2010-07-16,50,47.46
2010-07-23,53,48.77
2010-07-30,57,49.16
2010-08-06,34,55.68
2010-08-13,60,52.37
2010-08-20,40,48.7
2010-08-27,40,47.41
2010-09-03,40,52.06
2010-09-10,35,52.91
2010-09-17,43,54.14
2010-09-24,58,57.02
2010-10-01,47,57.06
2010-10-08,30,58.19
2010-10-15,30,57.64
2010-10-22,41,62.51
2010-10-29,35,61.57
2010-11-05,38,67.61
2010-11-12,42,63.98
2010-11-19,46,63.63
2010-11-26,34,63.56
2010-12-03,44,69.08
2010-12-10,42,69.02
2010-12-17,31,66
2010-12-31,58,76.16
2011-01-07,34,74.67
2011-01-14,37,79.48
2011-01-21,58,77.2
2011-01-28,39,74.18
2011-02-04,35,78.32
2011-02-11,39,78.49
2011-02-18,38,80.96
2011-02-25,38,81.22
2011-03-04,38,81.02
2011-03-11,46,77.25
2011-03-18,31,77.27
2011-03-25,51,82.88
2011-04-01,31,82.88
2011-04-08,52,84.71
2011-04-15,41,80.42
2011-04-29,42,78.94
2011-05-06,46,75.14
2011-05-13,41,74.06
2011-05-20,38,74.58
2011-05-27,49,78.66
2011-06-03,31,76.98
2011-06-10,48,72.79
