"Date","buy.DOW","Price"
2007-03-02,22,42.36
2007-05-04,24,44.92
2007-07-06,21,45.82
2007-07-13,22,46.33
2007-07-20,23,47.22
2007-07-27,22,42.45
2007-08-03,22,42.89
2007-08-10,22,41.94
2007-08-17,22,41.15
2007-11-16,15,40.21
2008-01-25,23,36.31
2008-02-01,15,39.89
2008-02-08,15,38.5
2008-02-15,15,38.62
2008-02-22,16,38.75
2008-02-29,18,37.69
2008-03-07,18,36.18
2008-03-14,19,37
2008-05-16,14,42.88
2008-07-11,24,31.7
2008-07-18,15,33.95
2008-07-25,15,33
2008-08-01,14,32.73
2008-08-08,14,33.63
2008-08-15,14,34.98
2008-08-22,14,34.12
2008-08-29,14,34.13
2008-09-05,24,33.84
2008-09-12,34,36.25
2008-09-19,44,37.56
2008-09-26,45,33.97
2008-10-03,47,29.89
2008-10-10,100,24.4
2008-10-17,75,23.96
2008-10-24,38,23.86
2008-10-31,33,26.68
2008-11-07,30,24.23
2008-11-14,34,21.15
2008-11-21,35,17.38
2008-11-28,31,18.55
2008-12-05,20,19
2008-12-12,27,19.71
2008-12-19,25,20.08
2008-12-26,19,19.34
2009-01-02,27,15.41
2009-01-09,20,15.81
2009-01-16,21,15.03
2009-01-23,14,14.33
2009-01-30,17,11.59
2009-02-06,18,10.88
2009-02-13,23,9.53
2009-02-20,25,8.1
2009-02-27,39,7.16
2009-03-06,34,7.11
2009-03-13,28,7.56
2009-03-20,27,7.68
2009-03-27,27,8.96
2009-04-03,22,11
2009-04-17,20,12.6
2009-04-24,19,12.99
2009-05-01,22,15.7
2009-05-08,25,17.5
2009-05-15,15,16.47
2009-05-22,20,17.28
2009-05-29,11,17.68
2009-06-05,19,17.56
2009-06-12,17,17.34
2009-06-19,16,16.31
2009-06-26,17,16.05
2009-07-10,16,14.66
2009-07-17,19,16.99
2009-07-24,14,20.19
2009-07-31,14,21.17
2009-08-07,14,23.05
2009-08-14,21,22.13
2009-08-21,13,22.63
2009-08-28,10,21.89
2009-09-04,14,21.31
2009-09-11,14,23.59
2009-09-18,17,26.75
2009-09-25,14,25.3
2009-10-02,15,23.63
2009-10-09,13,26.15
2009-10-16,23,26.39
2009-10-23,16,25.15
2009-10-30,13,23.48
2009-11-06,18,24.8
2009-11-13,13,28.47
2009-11-20,14,27.93
2009-11-27,16,27.56
2009-12-04,21,27.48
2009-12-11,9,26.65
2009-12-18,14,26.22
2010-01-08,12,31.15
2010-01-15,12,29.99
2010-01-22,14,27.76
2010-01-29,16,27.09
2010-02-05,13,26.52
2010-02-12,19,27.79
2010-02-19,10,29.23
2010-02-26,8,28.31
2010-03-05,13,30
2010-03-12,11,29.84
2010-03-19,10,28.95
2010-03-26,15,30.06
2010-04-09,9,30.78
2010-04-16,12,30.54
2010-04-23,20,31.16
2010-04-30,14,30.83
2010-05-07,18,25.5
2010-05-14,18,27.34
2010-05-21,14,26.47
2010-05-28,20,26.91
2010-06-04,10,24.84
2010-06-11,13,26.72
2010-06-18,15,27
2010-06-25,11,25.33
2010-07-02,18,22.97
2010-07-09,16,25.95
2010-07-16,19,25.17
2010-07-23,13,26.93
2010-07-30,15,27.33
2010-08-06,13,25.44
2010-08-13,14,25.16
2010-08-20,9,24.43
2010-08-27,15,24.72
2010-09-03,20,26.47
2010-09-10,8,25.99
2010-09-17,8,26.72
2010-09-24,15,28.07
2010-10-01,19,27.88
2010-10-08,10,30.03
2010-10-15,17,29.43
2010-10-22,14,30.2
