"Date","buy.DPS","Price"
2009-07-24,100,23.95
2010-05-14,73,37.25
2010-05-21,61,36.72
2010-05-28,61,37.86
2010-06-04,61,36.49
2010-06-11,61,37.29
2010-06-18,61,37.96
2010-06-25,61,36.57
2010-07-02,58,37.28
2010-07-09,58,38.54
2010-07-16,58,38.25
2010-07-23,58,39.82
2010-07-30,58,37.55
2010-09-10,87,34.73
2010-09-17,51,35.31
2010-09-24,51,34.95
2010-10-01,51,35.11
2010-10-08,50,34.73
2010-10-15,50,34.97
2010-10-22,50,35.89
2010-10-29,49,36.59
2010-11-05,49,37.15
2010-11-12,49,36.18
2010-11-19,49,37.98
2010-11-26,58,37.29
2010-12-03,67,37.64
2010-12-10,54,37.42
2010-12-17,49,37.97
2010-12-31,49,35.16
2011-01-07,49,35.44
2011-01-14,55,35.55
2011-01-21,57,35.18
2011-01-28,59,34.84
2011-02-04,52,35.64
2011-02-11,72,33.96
2011-02-18,58,36.41
2011-02-25,53,36.43
2011-03-04,53,37.41
2011-03-11,44,37.47
2011-03-18,44,37.88
2011-03-25,48,37.88
2011-04-01,51,37.51
2011-04-08,54,37.46
2011-04-15,51,38.31
2011-04-29,51,39.2
2011-05-06,49,39.28
2011-05-13,49,41.78
2011-05-20,49,42.1
2011-05-27,49,41.06
2011-06-03,45,40.3
2011-06-10,49,40.31
2011-06-17,53,40.54
2011-06-24,57,39.89
2011-07-01,49,42.15
2011-07-08,52,41.92
2011-07-15,55,40.83
2011-07-22,59,40.36
2011-07-29,62,37.76
2011-08-05,57,37.44
2011-08-12,87,37.43
2011-08-19,65,35.74
2011-08-26,42,36.57
2011-09-02,54,37.73
2011-09-09,52,36.85
2011-09-16,40,38.43
2011-09-23,45,36.97
2011-09-30,49,38.78
2011-10-07,53,38.47
2011-10-14,57,39.8
2011-10-21,47,40.08
2011-10-28,39,37.39
2011-11-04,42,37.13
2011-11-11,51,37.19
2011-11-18,61,36.72
2011-11-25,46,34.96
2011-12-02,68,36.69
2011-12-09,60,37.82
2011-12-16,60,38.81
2011-12-23,55,39.83
2011-12-30,70,39.48
2012-01-06,75,38.52
2012-01-13,79,37.82
2012-01-20,49,37.67
2012-01-27,67,38.71
2012-02-03,53,38.65
2012-02-10,56,38.51
2012-02-17,38,39.55
2012-02-24,54,38.59
2012-03-02,71,37.8
2012-03-09,46,38.09
2012-03-16,48,38.55
2012-03-23,50,38.77
2012-03-30,53,40.21
2012-04-13,40,39.26
2012-04-20,40,40.59
2012-04-27,40,39.71
2012-05-04,40,39.92
2012-05-11,41,40.95
2012-05-18,35,40.25
2012-05-25,35,41.09
2012-06-01,56,40.63
2012-06-08,44,42.64
2012-06-15,54,42.69
2012-06-22,48,42.9
2012-06-29,44,43.75
2012-07-06,49,43.31
2012-07-13,38,44.09
2012-07-20,65,43.78
2012-07-27,56,45.59
2012-08-03,38,45.6
2012-08-10,70,45.03
2012-08-17,50,45.16
2012-08-24,50,45.19
2012-08-31,40,44.81
2012-09-07,60,44.94
2012-09-14,36,44.08
2012-09-21,43,43.77
2012-09-28,62,44.53
2012-10-05,47,44.02
2012-10-12,47,43.46
2012-10-19,34,44.46
2012-10-26,35,42.76
2012-11-02,46,42.94
2012-11-09,34,43.51
2012-11-16,43,42.85
2012-11-23,49,44.81
2012-11-30,39,44.85
2012-12-07,33,45.51
2012-12-14,33,44.63
2012-12-21,59,44.68
2012-12-28,37,43.88
2013-01-04,42,45.68
2013-01-11,47,45.08
2013-01-18,34,45.3
2013-01-25,52,44.56
2013-02-01,34,45.24
2013-02-08,34,45.73
2013-02-15,49,42.91
2013-02-22,36,42.9
2013-03-01,44,43.78
2013-03-08,33,44
2013-03-15,33,44.07
2013-03-22,30,46.42
2013-04-05,42,46.12
2013-04-12,39,47.64
2013-04-19,36,48.07
2013-04-26,44,48.08
2013-05-03,38,49.2
2013-05-10,38,49
2013-05-17,38,49.25
2013-05-24,71,48.09
2013-05-31,30,45.98
2013-06-07,28,46.33
2013-06-14,30,46.93
2013-06-21,33,45.54
2013-06-28,36,45.93
2013-07-05,31,46.37
2013-07-12,37,47.46
2013-07-19,40,48.29
2013-07-26,31,46.64
2013-08-02,33,47.41
2013-08-09,51,46.85
2013-08-16,31,44.83
2013-08-23,33,45.62
2013-08-30,36,44.76
2013-09-06,70,44.47
2013-09-13,50,44.91
2013-09-20,34,45.59
2013-09-27,35,44.98
2013-10-04,34,43.47
2013-10-11,34,43.92
2013-10-18,40,45.01
2013-10-25,25,46.67
2013-11-01,34,47.43
2013-11-08,33,47.91
2013-11-15,33,48.56
2013-11-22,35,48.94
2013-11-29,38,48.26
2013-12-06,55,49
2013-12-13,43,47.58
2013-12-20,53,48.42
2013-12-27,49,48.8
2014-01-03,52,47.6
2014-01-10,27,48.43
2014-01-17,44,48.49
2014-01-24,44,48.47
2014-01-31,41,47.88
2014-02-07,48,48.89
2014-02-14,34,50.3
2014-02-21,44,51.74
2014-02-28,43,52.11
2014-03-07,46,52.29
2014-03-14,46,52.38
2014-03-21,31,52.77
2014-03-28,31,53.95
2014-04-04,38,53.71
2014-04-11,48,51.19
2014-04-25,40,53.58
