"Date","buy.GOOGL","Price"
2010-08-20,63,462.02
2010-10-08,56,536.35
2011-02-11,55,624.5
2011-02-18,56,630.08
2011-02-25,57,610.04
2011-03-04,58,600.62
2011-04-15,54,530.7
2011-04-29,51,544.1
2011-05-06,69,535.3
2011-05-13,58,529.55
2011-05-20,58,524.03
2011-05-27,61,520.9
2011-06-03,65,523.08
2011-06-10,48,509.51
2011-06-17,50,485.02
2011-06-24,52,474.88
2011-07-01,54,521.03
2011-07-08,69,531.99
2011-07-15,74,597.62
2011-07-22,77,618.23
2011-07-29,80,603.69
2011-08-05,83,579.04
2011-08-12,57,563.77
2011-08-19,53,490.92
2011-08-26,46,526.86
2011-09-02,50,524.84
2011-09-09,49,524.85
2011-09-16,49,546.68
2011-09-23,44,525.51
2011-09-30,44,515.04
2011-10-07,61,515.12
2011-10-14,50,591.68
2011-10-21,69,590.49
2011-10-28,65,600.14
2011-11-04,42,596.14
2011-11-11,42,608.35
2011-11-18,50,594.88
2011-11-25,89,563
2011-12-02,42,620.36
2011-12-09,75,627.42
2011-12-16,62,625.96
2011-12-23,66,633.14
2011-12-30,83,645.9
2012-01-06,79,650.02
2012-01-13,62,624.99
2012-01-20,62,585.99
2012-01-27,62,579.98
2012-02-03,58,596.33
2012-02-10,54,605.91
2012-02-17,46,604.64
2012-02-24,52,609.9
2012-03-02,57,621.25
2012-03-09,63,600.25
2012-03-16,58,625.04
2012-03-23,58,642.59
2012-03-30,74,641.24
2012-04-13,44,624.6
2012-04-20,57,596.06
2012-04-27,38,614.98
2012-05-04,74,596.97
2012-05-11,42,605.23
2012-05-18,42,600.4
2012-05-25,69,591.53
2012-06-01,45,570.98
2012-06-08,45,580.45
2012-06-15,52,564.51
2012-06-22,42,571.48
2012-06-29,57,580.07
2012-07-06,50,585.98
2012-07-13,45,576.52
2012-07-20,49,610.82
2012-07-27,50,634.96
2012-08-03,50,641.33
2012-08-10,66,642
2012-08-17,46,677.14
2012-08-24,62,678.63
2012-08-31,49,685.09
2012-09-07,44,706.15
2012-09-14,48,709.68
2012-09-21,51,733.99
2012-09-28,53,754.5
2012-10-05,43,767.65
2012-10-12,45,744.75
2012-10-19,41,681.79
2012-10-26,49,675.15
2012-11-02,34,687.92
2012-11-09,45,663.03
2012-11-16,55,647.18
2012-11-23,65,667.97
2012-11-30,80,698.37
2012-12-07,76,684.21
2012-12-14,33,701.96
2012-12-21,65,715.63
2012-12-28,72,700.01
2013-01-04,57,737.97
2013-01-11,57,739.99
2013-01-18,62,704.51
2013-01-25,38,753.67
2013-02-01,47,775.6
2013-02-08,41,785.37
2013-02-15,54,792.89
2013-02-22,48,799.71
2013-03-01,46,806.19
2013-03-08,64,831.52
2013-03-15,45,814.3
2013-03-22,61,810.31
2013-04-05,46,783.05
2013-04-12,39,790.05
2013-04-19,31,799.87
2013-04-26,46,801.42
2013-05-03,62,845.72
2013-05-10,49,880.23
2013-05-17,34,909.18
2013-05-24,35,873.32
2013-05-31,37,871.22
2013-06-07,33,879.73
2013-06-14,49,875.04
2013-06-21,37,880.93
2013-06-28,37,880.37
2013-07-05,47,893.49
2013-07-12,41,923
2013-07-19,39,896.6
2013-07-26,38,885.35
2013-08-02,47,906.57
2013-08-09,41,890.41
2013-08-16,32,856.91
2013-08-23,37,870.21
2013-08-30,33,846.9
2013-09-06,62,879.58
2013-09-13,41,889.07
2013-09-20,41,903.11
2013-09-27,32,876.39
2013-10-04,43,872.35
2013-10-11,41,871.99
2013-10-18,64,1011.41
2013-10-25,28,1015.2
2013-11-01,69,1027.04
2013-11-08,53,1016.03
2013-11-15,57,1033.56
2013-11-22,72,1031.89
2013-11-29,43,1059.59
2013-12-06,83,1069.87
2013-12-13,62,1060.79
2013-12-20,67,1100.62
2013-12-27,63,1118.4
2014-01-03,55,1105
2014-01-10,49,1130.18
2014-01-17,38,1150.53
2014-01-24,32,1123.83
2014-01-31,48,1180.97
2014-02-07,34,1177.44
2014-02-14,59,1202.8
2014-02-21,51,1203.79
2014-02-28,32,1215.65
2014-03-07,29,1214.79
2014-03-14,40,1172.8
2014-03-21,37,1183.04
2014-03-28,34,1120.15
2014-04-04,87,545.25
2014-04-11,100,537.76
2014-04-25,65,523.1
