"Date","buy.HP","Price"
2004-02-06,9,28.32
2004-02-13,10,29.48
2004-02-20,8,29.33
2004-02-27,7,29.72
2004-03-05,7,30.48
2004-03-12,7,28.9
2004-03-19,7,28.48
2004-03-26,7,27.68
2004-04-02,9,28.25
2004-04-16,9,29.55
2004-04-23,9,28.08
2004-04-30,8,26.99
2004-05-07,10,25.77
2004-05-14,7,25.15
2004-05-21,6,24.25
2004-05-28,8,24.95
2004-06-04,6,24.62
2004-06-18,6,26.24
2004-06-25,7,25.85
2004-07-02,11,26.57
2004-07-09,10,26.7
2004-07-16,7,27.43
2004-07-23,7,25.82
2004-07-30,7,25.32
2004-08-06,9,24.2
2004-08-13,9,24.51
2004-08-20,9,25.5
2004-08-27,11,25.45
2004-09-03,9,26.68
2004-09-10,11,26.85
2004-09-17,9,27.55
2004-09-24,9,28.92
2004-10-01,11,29.5
2004-10-08,11,29.86
2004-10-15,11,29
2004-10-22,9,29.19
2004-10-29,10,28.55
2004-11-05,8,28.24
2004-11-12,10,29.86
2004-11-19,10,31.04
2004-11-26,10,32.45
2004-12-03,11,31.36
2004-12-10,11,30.86
2004-12-17,13,33.09
2004-12-31,10,34.04
2005-01-07,12,31.57
2005-01-14,8,32.98
2005-01-21,10,34.28
2005-01-28,10,37.22
2005-02-04,8,39.11
2005-02-11,9,39.91
2005-02-18,10,40.63
2005-02-25,9,40.52
2005-03-04,9,41.1
2005-03-11,6,38.08
2005-03-18,9,39.3
2005-04-01,9,40.03
2005-04-08,5,39.95
2005-04-15,8,37.8
2005-04-22,7,40.32
2005-04-29,7,38.44
2005-05-06,7,40.87
2005-05-13,6,37.65
2005-05-20,8,38.49
2005-05-27,9,40.87
2005-06-03,8,41.9
2005-06-10,8,43.33
2005-06-17,8,45.25
2005-06-24,8,45.82
2005-07-01,7,47.61
2005-07-08,7,49.45
2005-07-15,8,49.14
2005-07-22,9,52.84
2005-07-29,8,57.12
2005-08-05,9,57.5
2005-08-12,10,58
2005-08-19,10,54.53
2005-08-26,11,55.6
2005-09-02,7,58.3
2005-09-09,7,59.41
