"Date","buy.JBL","Price"
2006-02-03,73,38.38
2006-09-15,65,27.01
2006-09-22,58,27.72
2006-11-17,62,28.75
2006-11-24,71,29.16
2006-12-01,80,28.68
2006-12-08,66,28.43
2006-12-15,67,27.3
2006-12-22,72,24.15
2006-12-29,73,24.55
2007-01-05,52,25.03
2007-03-02,41,26.35
2007-03-09,41,26.29
2007-03-16,41,26.09
2007-03-23,41,22.26
2007-03-30,41,21.41
2007-05-11,37,23.4
2007-08-31,35,22.2
2007-09-07,36,22.32
2007-09-14,37,23.39
2007-09-21,37,24.74
2007-09-28,33,22.84
2007-10-05,33,22.58
2007-10-12,33,21.89
2007-10-19,35,21.37
2007-10-26,32,20.65
2007-11-02,32,20.73
2007-11-09,34,19.15
2007-11-16,55,17.81
2007-11-23,50,17.35
2007-11-30,50,16.95
2007-12-07,73,17.85
2007-12-14,71,16.99
2007-12-21,70,14.43
2007-12-28,54,15.18
2008-01-04,32,13.56
2008-01-11,32,14.45
2008-01-18,37,13.94
2008-01-25,28,13.14
2008-02-01,31,13.91
2008-02-08,34,13.56
2008-02-15,45,14.4
2008-02-22,32,14.3
2008-02-29,32,12.92
2008-03-07,30,12.12
2008-03-14,35,12.44
2008-03-28,52,9.21
2008-04-04,43,9.98
2008-04-11,32,9.8
2008-04-18,26,10.68
2008-04-25,49,10.87
2008-05-02,33,11.14
2008-05-09,30,10.91
2008-05-16,31,11.65
2008-05-23,31,11.34
2008-05-30,36,12.72
2008-06-06,41,14.07
2008-06-13,29,14.5
2008-06-20,31,14.95
2008-06-27,33,16.22
2008-07-11,46,14.96
2008-07-18,48,15.99
2008-07-25,49,15.72
2008-08-01,41,16.64
2008-08-08,41,18.28
2008-08-15,53,18.5
2008-08-22,42,17.31
2008-08-29,26,16.86
2008-09-05,57,13.31
2008-09-12,31,12.73
2008-09-19,34,11.24
2008-09-26,36,10.99
2008-10-03,29,8.62
2008-10-10,28,6.35
2008-10-17,28,7.39
2008-10-24,25,7.74
2008-10-31,45,8.41
2008-11-07,31,8.29
2008-11-14,38,6.33
2008-11-21,42,5.39
2008-11-28,43,6.58
2008-12-05,55,6.34
2008-12-12,59,6.6
2008-12-19,47,6.32
2008-12-26,77,6.32
2009-01-02,72,7.09
2009-01-09,32,6.98
2009-01-16,49,5.92
2009-01-23,29,6.1
2009-01-30,27,5.82
2009-02-06,37,6.5
2009-02-13,30,6.1
2009-02-20,39,5.19
2009-02-27,29,4.14
2009-03-06,26,3.26
2009-03-13,30,4.03
2009-03-20,28,3.97
2009-03-27,26,5.69
2009-04-03,26,6.3
2009-04-17,27,7.28
2009-04-24,28,7.71
2009-05-01,40,8.03
2009-05-08,22,8.41
2009-05-15,20,7.49
2009-05-22,48,7.63
2009-05-29,25,7.83
2009-06-05,27,8.58
2009-06-12,29,7.55
2009-06-19,29,6.85
2009-06-26,34,7.16
2009-07-10,22,6.82
2009-07-17,22,8.16
2009-07-24,30,9.05
2009-07-31,36,9.16
2009-08-07,28,9.79
2009-08-14,28,9.87
2009-08-21,23,10.71
2009-08-28,28,11.16
2009-09-04,37,11.08
2009-09-11,29,11.77
2009-09-18,36,12.41
2009-09-25,27,11.87
2009-10-02,32,12.94
2009-10-09,19,14.35
2009-10-16,24,14.78
2009-10-23,19,14.96
2009-10-30,29,13.38
2009-11-06,22,14.29
2009-11-13,38,14.48
2009-11-20,40,13.63
2009-11-27,27,13.34
2009-12-04,33,12.94
2009-12-11,25,14.06
