"Date","buy.KIM","Price"
2006-10-20,26,44.44
2006-12-08,28,46.1
2006-12-15,22,46.01
2006-12-22,20,44.35
2006-12-29,20,44.95
2007-01-05,20,44.08
2007-01-12,20,46.94
2007-02-23,22,52.09
2007-03-02,36,48.93
2007-03-09,31,49.55
2007-03-16,22,48.49
2007-03-23,22,50.42
2007-03-30,22,48.74
2007-04-13,23,48.45
2007-04-20,25,48.83
2007-04-27,26,49.11
2007-05-04,19,48.28
2007-05-11,19,47.94
2007-05-18,19,43.77
2007-05-25,20,43.23
2007-06-01,21,46.35
2007-06-08,22,44.28
2007-06-15,17,42.56
2007-06-22,17,39.17
2007-06-29,17,38.07
2007-07-06,18,39.43
2007-07-13,20,40.11
2007-07-20,21,38.95
2007-07-27,22,36.6
2007-08-03,19,37.7
2007-08-10,19,39.68
2007-08-17,19,40.03
2007-08-24,18,41.84
2007-08-31,18,42.82
2007-09-07,21,40.62
2007-09-14,17,43.5
2007-09-21,22,45.76
2007-09-28,27,45.21
2007-10-05,18,47.63
2007-10-12,26,45.7
2007-10-19,25,41.05
2007-10-26,26,42.09
2007-11-02,24,38.82
2007-11-09,34,37.9
2007-11-16,36,37.84
2007-11-23,39,37.82
2007-11-30,35,39.49
2007-12-07,32,40.53
2007-12-14,27,37.31
2007-12-21,26,37.53
2007-12-28,28,36.03
2008-01-04,38,33.77
2008-01-11,37,32.58
2008-01-18,21,30.7
2008-01-25,18,34.84
2008-02-01,14,37.37
2008-02-08,16,34.15
2008-02-15,22,34.05
2008-02-22,17,33.9
2008-02-29,21,33.77
2008-03-07,17,34.05
2008-03-14,17,33.65
2008-03-28,20,38.76
2008-04-04,30,40.8
2008-04-11,27,37.99
2008-04-18,37,40.57
2008-04-25,17,42.09
2008-05-02,18,41.24
2008-05-09,22,39.49
2008-05-16,32,40.87
2008-05-23,21,38.77
2008-05-30,29,39.35
2008-06-06,19,37.89
2008-06-13,22,37.79
2008-06-20,31,36.37
2008-06-27,25,34.77
2008-07-11,16,32.62
2008-07-18,14,34.24
2008-07-25,29,34.69
2008-08-01,26,34.95
