"Date","buy.KORS","Price"
2011-12-16,44,24.1
2011-12-23,34,27
2011-12-30,36,27.25
2012-01-06,21,26
2012-01-13,17,26.56
2012-01-20,20,29.35
2012-01-27,19,29.85
2012-02-03,20,32.51
2012-02-10,22,33.47
2012-02-17,21,41.82
2012-02-24,22,41.51
2012-03-02,14,47.95
2012-03-09,18,49.59
2012-03-16,17,46.28
2012-03-23,19,47
2012-03-30,16,46.59
2012-04-13,17,43.62
2012-04-20,19,41.28
2012-04-27,17,45.9
2012-05-04,28,43.8
2012-05-11,20,40.62
2012-05-18,24,37.55
2012-05-25,19,41.2
2012-06-01,17,37.76
2012-06-08,18,38.37
2012-06-15,19,39.25
2012-06-22,22,42.86
2012-06-29,19,41.84
2012-07-06,19,43.54
2012-07-13,22,39.4
2012-07-20,20,39.98
2012-07-27,26,41.33
2012-08-03,29,41.19
2012-08-10,25,42.32
2012-08-17,29,52.09
2012-08-24,22,53.92
2012-08-31,24,53.95
2012-09-07,26,56.03
2012-09-14,31,53.59
2012-09-21,31,57.35
2012-09-28,24,53.18
2012-10-05,20,53.46
2012-10-12,25,52.98
2012-10-19,25,55.05
2012-10-26,23,54.49
2012-11-02,28,56.2
2012-11-09,29,50.43
2012-11-16,31,50.32
2012-11-23,70,51.47
2012-11-30,69,53.15
2012-12-07,46,51.6
2012-12-14,60,49.88
2012-12-21,59,53.49
2012-12-28,67,49.18
2013-01-04,41,52.23
2013-01-11,33,52.94
2013-01-18,27,54.48
2013-01-25,31,58.08
2013-02-01,35,55.72
2013-02-08,29,57.1
2013-02-15,35,63.27
2013-02-22,26,59.11
2013-03-01,25,59.23
2013-03-08,28,58.19
2013-03-15,26,57.38
2013-03-22,33,55.61
2013-04-05,28,54.98
2013-04-12,27,56
2013-04-19,29,53.08
2013-04-26,29,56.12
2013-05-03,30,58.04
2013-05-10,31,60.36
2013-05-17,29,60.61
2013-05-24,27,60.09
2013-05-31,31,62.82
2013-06-07,23,62.69
2013-06-14,31,60.8
2013-06-21,27,59.18
2013-06-28,30,62.02
2013-07-05,31,62.97
2013-07-12,29,63.82
2013-07-19,30,62.12
2013-07-26,39,64.83
2013-08-02,37,68.8
2013-08-09,40,72.05
2013-08-16,37,70.2
2013-08-23,33,72.57
2013-08-30,28,74.09
2013-09-06,35,75.7
2013-09-13,33,74.03
2013-09-20,36,75.98
2013-09-27,34,74.45
2013-10-04,34,76.35
2013-10-11,34,72.88
2013-10-18,39,75.24
2013-10-25,30,76.24
2013-11-01,36,75.43
2013-11-08,43,79.4
2013-11-15,51,82.73
2013-11-22,51,80.64
2013-11-29,100,81.55
2013-12-06,85,79.68
2013-12-13,70,82.27
2013-12-20,69,83.88
2013-12-27,90,80.58
2014-01-03,55,82.51
2014-01-10,45,79.8
2014-01-17,44,77.03
2014-01-24,31,80.07
2014-01-31,39,79.93
2014-02-07,34,94.22
2014-02-14,45,98.46
2014-02-21,42,97.56
2014-02-28,38,98.03
2014-03-07,37,98.28
2014-03-14,41,98.12
2014-03-21,35,97.46
2014-03-28,41,92.75
2014-04-04,36,89.54
2014-04-11,32,86.87
2014-04-25,38,89.88
