"Date","buy.MAC","Price"
2004-02-06,29,48.86
2004-02-13,34,50.1
2004-02-20,40,48.78
2004-02-27,26,49.4
2004-03-05,26,51.74
2004-03-12,45,52
2004-03-19,44,52.33
2004-03-26,35,51.85
2004-04-02,26,53.44
2004-04-16,32,44.47
2004-04-23,31,43.06
2004-04-30,38,41.87
2004-05-07,30,40.7
2004-05-14,27,41.3
2004-05-21,30,42.4
2004-05-28,32,45.25
2004-06-04,45,45.3
2004-06-18,36,47.3
2004-06-25,27,47.7
2004-07-02,49,49.25
2004-07-09,42,48.68
2004-07-16,35,48.79
2004-07-23,35,46.6
2004-07-30,38,47.9
2004-08-06,37,48.55
2004-08-13,31,48.01
2004-08-20,35,50.98
2004-08-27,36,54.11
2004-09-03,35,54.24
2004-09-10,34,53.9
2004-09-17,37,54.06
2004-09-24,42,52.23
2004-10-01,40,54.1
2004-10-08,36,54.89
2004-10-15,39,56.75
2004-10-22,25,57.57
2004-10-29,34,59.75
2004-11-05,31,57.75
2004-11-12,32,60.58
2004-11-19,29,59.4
2004-11-26,54,60.74
2004-12-03,50,61.95
2004-12-10,44,62.15
2004-12-17,33,64.66
2004-12-31,40,62.8
2005-01-07,35,58
2005-01-14,43,58.33
2005-01-21,52,59.5
2005-01-28,39,56.8
2005-02-04,34,59.61
2005-02-11,49,60
2005-02-18,39,59.74
2005-02-25,38,57.73
2005-03-04,35,58.94
2005-03-11,43,56.1
2005-03-18,38,56.4
2005-04-01,33,54.2
2005-04-08,21,54.3
2005-04-15,41,56.22
2005-04-22,31,57.85
2005-04-29,34,60.3
2005-05-06,37,59.12
2005-05-13,38,59.8
2005-05-20,34,63.35
2005-05-27,34,61.5
2005-06-03,28,62.05
2005-06-10,44,64.39
2005-06-17,31,65.35
2005-06-24,26,67.04
2005-07-01,41,67.4
2005-07-08,36,68.08
2005-07-15,35,67
2005-07-22,37,67.54
2005-07-29,44,70.22
2005-08-05,37,65.75
2005-08-12,36,64.9
2005-08-19,45,64.03
2005-08-26,42,63.62
2005-09-02,31,65.06
2005-09-09,29,65.76
2005-09-16,41,65
2005-09-23,30,62.61
