"Date","buy.MAT","Price"
2004-08-06,72,16.89
2005-05-06,47,18
2005-12-16,54,16.5
2005-12-23,43,16
2006-07-14,29,15.88
2006-07-21,31,17.69
2006-07-28,32,17.87
2006-08-04,33,17.99
2006-08-11,34,18.1
2006-08-18,34,18.19
2006-08-25,35,17.91
2006-09-01,35,19.03
2006-09-08,30,19.01
2006-09-15,30,19.31
2006-09-22,30,19.44
2006-09-29,30,19.7
2006-10-06,30,20.2
2006-10-13,40,20.7
2006-10-20,24,21.7
2006-10-27,27,22.5
2006-11-03,26,22.65
2006-11-10,26,23.43
2006-11-17,29,23.66
2006-11-24,29,22.9
2006-12-01,29,21.75
2006-12-08,38,21.99
2006-12-15,41,22.84
2006-12-22,54,22.82
2006-12-29,35,22.66
2007-01-05,21,22.93
2007-01-12,21,23.36
2007-01-19,26,23.51
2007-01-26,32,23.96
2007-02-02,37,24.99
2007-03-16,22,27.71
2007-03-23,19,28.73
2007-05-04,25,29.13
2007-05-11,19,29.23
2007-05-18,20,28.83
2007-05-25,25,28.48
2007-06-01,20,28.35
2007-06-08,21,26.22
2007-06-15,23,25.85
2007-06-22,21,25.33
2007-06-29,21,25.29
2007-07-06,22,25.89
2007-07-13,23,26.53
2007-07-20,20,24.68
2007-07-27,30,23.48
2007-08-03,30,22.72
2007-08-10,30,23.04
2007-08-17,30,22.25
2007-08-24,17,22.23
2007-08-31,20,21.63
2007-09-07,33,21.3
2007-09-14,32,22.46
2007-09-21,32,23.94
2007-09-28,16,23.46
2007-10-05,19,23.31
2007-10-12,22,22.45
2007-10-19,22,20.55
2007-10-26,22,21.09
2007-11-02,24,20.5
2007-11-09,20,19.96
2007-11-16,17,19.86
2007-11-23,33,20.47
2007-11-30,27,19.98
2007-12-07,46,20.37
2007-12-14,44,19.77
2007-12-21,30,20.19
2007-12-28,29,18.97
2008-01-04,31,17.71
2008-01-11,31,17
2008-01-18,30,17.71
2008-01-25,34,19.02
2008-02-01,17,21.32
2008-02-08,22,20.64
2008-02-15,29,20.8
2008-02-22,22,20.65
2008-02-29,21,19.32
2008-03-07,28,19.38
2008-03-14,28,19.81
2008-03-28,26,20.28
2008-04-04,28,21.64
2008-04-11,25,21.01
