"Date","buy.MET","Price"
2007-01-19,31,61.49
2007-01-26,28,61.47
2007-02-02,28,63.36
2007-02-09,28,63.32
2007-02-16,28,64.85
2007-02-23,29,65.26
2007-05-18,24,68.42
2007-07-06,25,64.88
2007-07-13,29,65.32
2007-07-20,36,63.72
2007-07-27,42,59.62
2007-08-03,49,60.99
2007-08-10,26,62.08
2007-08-17,26,64.64
2007-08-24,26,66.76
2007-08-31,29,64.05
2007-09-07,32,63.52
2007-09-14,22,64.66
2007-09-21,29,69.19
2007-09-28,36,69.73
2007-10-05,36,70.87
2007-10-12,24,70.12
2007-10-19,24,65.65
2007-10-26,24,69.67
2007-11-02,28,63.99
2007-11-09,32,64.28
2007-11-16,29,63.97
2007-11-23,34,61.77
2007-11-30,26,65.59
2007-12-07,26,65.17
2007-12-14,33,61.94
2007-12-21,27,62.13
2007-12-28,28,61.47
2008-01-04,29,58.93
2008-01-11,29,59.56
2008-01-18,22,57.43
2008-01-25,18,54.62
2008-02-01,18,60.3
2008-02-08,24,57.72
2008-02-15,29,58.25
2008-02-22,33,59.99
2008-02-29,23,58.26
2008-03-07,24,56.47
2008-03-14,25,56.49
2008-03-28,32,59.35
2008-04-04,18,61.76
2008-04-11,19,61
2008-04-18,19,61.66
2008-04-25,19,60.82
2008-05-02,21,62.17
2008-05-09,23,60.08
2008-05-16,40,61.77
2008-05-23,29,58.87
2008-05-30,36,60.03
2008-06-06,24,56.99
2008-06-13,19,59.79
2008-06-20,23,56.9
2008-06-27,30,53.8
2008-07-11,32,51.06
2008-07-18,21,51.57
2008-07-25,34,52.01
2008-08-01,39,50.79
2008-08-08,36,53.28
2008-08-15,31,54.07
2008-08-22,31,52.75
2008-08-29,37,54.2
2008-09-05,37,55.07
2008-09-12,30,56.5
2008-09-19,28,60.24
2008-09-26,31,53.81
2008-10-03,28,42.13
2008-10-10,34,30.25
2008-10-17,27,31.14
2008-10-24,21,29.8
2008-10-31,28,33.22
2008-11-07,20,34.34
2008-11-14,35,28.14
2008-11-21,26,18.48
2008-11-28,34,28.76
2008-12-05,26,30.76
2008-12-12,27,29.94
2008-12-19,25,37.41
2008-12-26,32,33.23
2009-01-02,39,35.97
2009-01-09,30,31.87
2009-01-16,31,28.44
2009-01-23,26,26.63
2009-01-30,48,28.73
2009-02-06,70,31.24
2009-02-13,28,26.8
2009-02-20,20,21.43
2009-02-27,19,18.46
2009-03-06,26,12.22
2009-03-13,25,17.74
2009-03-20,29,20.78
2009-03-27,27,24.49
2009-04-03,29,25.34
2009-04-17,39,28.22
2009-04-24,34,29.25
2009-05-01,33,27.45
2009-05-08,33,35.5
2009-05-15,36,29.39
2009-05-22,39,30.15
2009-05-29,41,31.5
2009-06-05,29,31.45
2009-06-12,33,31.08
2009-06-19,21,31.2
2009-06-26,50,29.85
2009-07-10,32,27.36
2009-07-17,42,30.45
2009-07-24,43,33.69
2009-07-31,42,33.95
2009-08-07,38,36.88
2009-08-14,26,36.4
2009-08-21,40,38.93
2009-08-28,37,38.08
2009-09-04,36,36.61
2009-09-11,36,38.83
2009-09-18,27,39.32
2009-09-25,27,36.92
2009-10-02,48,35.67
2009-10-09,35,38.25
2009-10-16,26,37.28
2009-10-23,42,36.95
2009-10-30,31,34.03
2009-11-06,36,33.52
2009-11-13,27,34.22
2009-11-20,41,33.9
2009-11-27,44,33.28
2009-12-04,57,35.33
2009-12-11,31,36.07
2009-12-18,51,35.42
2010-01-08,86,38.25
2010-01-15,53,37.85
2010-01-22,35,36.12
2010-01-29,41,35.32
2010-02-05,25,34.68
2010-02-12,30,34.64
2010-02-19,38,35.03
2010-02-26,29,36.39
2010-03-05,40,38.92
2010-03-12,29,42.11
2010-03-19,31,41.83
2010-03-26,31,42.26
2010-04-09,29,45.27
2010-04-16,27,45.37
2010-04-23,35,47.1
2010-04-30,33,45.58
2010-05-07,46,40.71
2010-05-14,28,41.32
2010-05-21,41,39.48
2010-05-28,49,40.49
2010-06-04,32,38.48
2010-06-11,33,41.1
2010-06-18,31,40.99
2010-06-25,22,41.01
2010-07-02,32,37.2
2010-07-09,37,40.1
2010-07-16,41,37.8
2010-07-23,51,39.54
2010-07-30,43,42.06
2010-08-06,45,41.42
2010-08-13,32,39.56
2010-08-20,39,37.28
2010-08-27,34,37.82
2010-09-03,36,41.46
2010-09-10,36,40.49
2010-09-17,36,40.16
2010-09-24,58,39.15
2010-10-01,42,38.94
2010-10-08,35,39.18
2010-10-15,37,39.22
2010-10-22,35,40.34
2010-10-29,37,40.33
2010-11-05,29,42.1
2010-11-12,40,39.64
2010-11-19,42,38.85
2010-11-26,66,37.74
2010-12-03,100,40.14
2010-12-10,64,43.97
2010-12-17,83,43.93
2010-12-31,58,44.44
2011-01-07,49,46.07
2011-01-14,38,46.62
2011-01-21,44,46.21
2011-01-28,47,45.5
2011-02-04,50,47.34
2011-02-11,44,48.23
2011-02-18,49,47.65
2011-02-25,31,46.78
2011-03-04,45,45.57
2011-03-11,34,45.85
2011-03-18,29,44.02
2011-03-25,37,45.05
2011-04-01,40,45.26
2011-04-08,37,44.53
2011-04-15,35,43.96
2011-04-29,42,46.79
2011-05-06,47,44.83
2011-05-13,37,44.41
2011-05-20,43,44.22
2011-05-27,49,43.76
2011-06-03,50,41.77
2011-06-10,32,40.91
2011-06-17,41,40.37
2011-06-24,41,40.99
2011-07-01,49,44.38
2011-07-08,38,43.52
2011-07-15,45,41.57
2011-07-22,44,41.74
2011-07-29,40,41.21
2011-08-05,50,36.35
2011-08-12,45,33.26
2011-08-19,52,31.13
2011-08-26,49,31.46
2011-09-02,52,30.77
2011-09-09,50,29.88
2011-09-16,39,33.04
2011-09-23,49,26.82
2011-09-30,48,28.01
2011-10-07,48,28.8
2011-10-14,47,32.17
2011-10-21,51,33.51
2011-10-28,40,36.82
2011-11-04,46,34.77
2011-11-11,64,33.07
2011-11-18,53,30.62
2011-11-25,71,27.91
2011-12-02,76,31.76
2011-12-09,73,31.79
2011-12-16,86,30.23
2011-12-23,91,31.1
2011-12-30,78,31.18
2012-01-06,75,32.9
2012-01-13,73,35.24
2012-01-20,71,36.35
2012-01-27,56,35.52
2012-02-03,99,37.63
2012-02-10,98,36.89
2012-02-17,81,38.86
2012-02-24,68,37.76
2012-03-02,61,38.46
2012-03-09,84,38.42
2012-03-16,71,38.38
2012-03-23,66,37.64
2012-03-30,40,37.35
2012-04-13,45,35.64
2012-04-20,37,34.96
2012-04-27,49,36.31
2012-05-04,39,34.24
2012-05-11,52,34.69
2012-05-18,53,30.21
2012-05-25,33,30.33
2012-06-01,46,27.83
2012-06-08,39,29.75
2012-06-15,41,29.96
2012-06-22,49,30.03
2012-06-29,49,30.85
2012-07-06,47,30.51
2012-07-13,60,30.89
2012-07-20,43,29.53
2012-07-27,56,30.44
2012-08-03,49,33.19
2012-08-10,49,34.97
2012-08-17,50,34.79
2012-08-24,54,34.65
2012-08-31,59,34.13
2012-09-07,40,35.28
2012-09-14,44,36.25
2012-09-21,41,34.87
2012-09-28,42,34.46
2012-10-05,41,35.16
2012-10-12,43,35
2012-10-19,31,35.93
2012-10-26,45,35.22
2012-11-02,50,34.7
2012-11-09,46,32.02
2012-11-16,43,31.56
2012-11-23,46,33.23
2012-11-30,48,33.19
2012-12-07,53,32.89
2012-12-14,47,31.84
2012-12-21,43,33.07
2012-12-28,57,32.27
2013-01-04,41,35.95
2013-01-11,51,36.34
2013-01-18,63,36.31
2013-01-25,71,37.65
2013-02-01,41,38.2
2013-02-08,46,36.9
2013-02-15,44,36.44
2013-02-22,42,35.78
2013-03-01,40,35.32
2013-03-08,44,39.03
2013-03-15,44,40.2
2013-03-22,43,38.4
2013-04-05,40,36.58
2013-04-12,38,36.8
2013-04-19,37,35.6
2013-04-26,49,38.53
2013-05-03,44,40.48
2013-05-10,40,41.16
2013-05-17,54,43.28
2013-05-24,38,42.04
2013-05-31,36,44.21
2013-06-07,24,45.06
2013-06-14,34,43.97
2013-06-21,39,45.04
2013-06-28,39,45.76
2013-07-05,38,47.52
2013-07-12,38,49.08
2013-07-19,41,48.64
2013-07-26,44,48.93
2013-08-02,36,50.8
2013-08-09,38,49.77
2013-08-16,44,48.28
2013-08-23,31,48.26
2013-08-30,35,46.19
2013-09-06,29,47.98
2013-09-13,36,48.83
2013-09-20,39,47.49
2013-09-27,41,47.21
2013-10-04,40,47.69
2013-10-11,32,48.74
2013-10-18,33,49.45
2013-10-25,41,48.63
2013-11-01,39,47.32
2013-11-08,36,50.14
2013-11-15,40,52.01
2013-11-22,37,52.65
2013-11-29,49,52.19
2013-12-06,44,51.67
2013-12-13,38,51.19
2013-12-20,49,53.12
2013-12-27,42,53.96
2014-01-03,39,53.81
2014-01-10,42,54.1
2014-01-17,33,52.96
2014-01-24,34,49.51
2014-01-31,44,49.05
2014-02-07,41,49.11
2014-02-14,34,50.39
2014-02-21,35,50.52
2014-02-28,35,50.67
2014-03-07,29,53.15
2014-03-14,33,51.71
2014-03-21,38,53.42
2014-03-28,37,52.56
2014-04-04,61,52.84
2014-04-11,38,49.19
2014-04-25,32,51.09
