"Date","buy.NI","Price"
2007-10-05,30,19.9
2007-10-12,28,20.54
2007-10-19,28,19.64
2007-10-26,28,19.98
2007-11-02,31,18.63
2007-11-09,33,17.92
2007-11-16,35,17.97
2007-11-23,38,18.31
2008-01-04,35,18.62
2008-03-07,30,17.28
2008-03-14,35,17.18
2008-03-28,27,17.02
2008-05-30,26,18.09
2008-06-06,26,17.21
2008-06-13,26,17.29
2008-06-20,27,17.25
2008-06-27,27,17.62
2008-07-11,27,17.74
2008-07-18,30,17.18
2008-07-25,25,16.93
2008-08-01,27,16.75
2008-08-08,25,16.81
2008-08-15,27,16.56
2008-08-22,29,16.66
2008-08-29,31,16.48
2008-09-05,32,15.91
2008-09-12,31,16.61
2008-09-19,33,15.59
2008-09-26,31,15.24
2008-10-03,33,14.81
2008-10-10,30,11.55
2008-10-17,36,13.09
2008-10-24,23,12.56
2008-10-31,32,12.96
2008-11-07,24,12.75
2008-11-14,25,11.55
2008-11-21,26,11.39
2008-11-28,27,12.05
2008-12-05,22,11.18
2008-12-12,23,11.64
2008-12-19,25,10.93
2008-12-26,26,10.7
2009-01-02,27,11.14
2009-01-09,28,11.08
2009-01-16,35,10.71
2009-01-23,32,10.48
2009-01-30,29,9.68
2009-02-06,32,10.77
2009-02-13,35,10.17
2009-02-20,28,8.7
2009-02-27,28,8.75
2009-03-06,28,8.17
2009-03-13,24,9.02
2009-03-20,19,9.64
2009-03-27,25,10.07
2009-04-03,26,10.11
2009-04-17,26,10.65
2009-04-24,27,10.84
2009-05-01,37,11.24
2009-05-08,35,11.4
2009-05-15,27,10.64
2009-05-22,41,10.47
2009-05-29,32,10.69
2009-06-05,35,10.94
2009-06-12,25,11.55
2009-06-19,23,11.37
2009-06-26,33,11.46
2009-07-10,32,11.56
2009-07-17,25,12.28
2009-07-24,25,13.3
2009-07-31,35,12.89
2009-08-07,40,13.09
2009-08-14,33,13.1
2009-08-21,20,13.57
2009-08-28,30,13.44
2009-09-04,40,13.17
2009-09-11,32,13.13
2009-09-18,29,13.48
2009-09-25,26,13.68
2009-10-02,23,13.45
2009-10-09,42,13.98
2009-10-16,43,13.85
2009-10-23,25,13.36
2009-10-30,42,12.92
2009-11-06,31,13.37
2009-11-13,32,13.92
2009-11-20,40,13.74
2009-11-27,30,14.21
2009-12-04,32,14.97
2009-12-11,24,15.42
2009-12-18,17,15.46
2010-01-08,42,15.02
2010-01-15,38,15.29
2010-01-22,33,14.58
2010-01-29,22,14.25
2010-02-05,37,14.68
2010-02-12,21,14.64
2010-02-19,24,15.16
2010-02-26,38,15.02
2010-03-05,29,15.38
2010-03-12,22,15.49
2010-03-19,35,15.73
2010-03-26,25,15.78
2010-04-09,29,16.25
2010-04-16,25,16.32
2010-04-23,30,16.71
2010-04-30,24,16.3
2010-05-07,21,15.36
2010-05-14,16,15.8
2010-05-21,30,14.86
2010-05-28,30,14.96
2010-06-04,19,14.35
2010-06-11,40,15.06
2010-06-18,26,15.54
2010-06-25,33,14.91
2010-07-02,35,14.69
2010-07-09,29,15.84
2010-07-16,30,15.61
2010-07-23,27,16.49
2010-07-30,28,16.5
2010-08-06,29,16.8
2010-08-13,24,16.57
2010-08-20,28,16.5
2010-08-27,44,17.47
2010-09-03,27,17.91
2010-09-10,31,17.04
2010-09-17,30,16.93
2010-09-24,38,17.34
2010-10-01,33,17.58
2010-10-08,24,17.75
2010-10-15,33,17.78
2010-10-22,39,17.71
2010-10-29,33,17.31
2010-11-05,21,17.63
2010-11-12,21,17.19
2010-11-19,24,17.02
2010-11-26,31,17
2010-12-03,24,16.96
2010-12-10,34,17.28
2010-12-17,37,17.11
2010-12-31,35,17.62
2011-01-07,33,18.21
2011-01-14,34,18.57
2011-01-21,29,18.61
2011-01-28,30,18.61
2011-02-04,50,18.4
2011-02-11,34,18.96
2011-02-18,28,19.1
2011-02-25,37,18.95
2011-03-04,32,19.08
2011-03-11,30,18.93
2011-03-18,24,18.53
2011-03-25,36,18.8
2011-04-01,30,19.37
2011-04-08,36,18.98
2011-04-15,40,19.17
2011-04-29,33,19.45
2011-05-06,40,19.44
2011-05-13,36,20.36
2011-05-20,25,20.37
2011-05-27,31,20.24
2011-06-03,35,19.69
2011-06-10,43,19.4
2011-06-17,32,19.5
2011-06-24,27,19.48
2011-07-01,36,20.59
2011-07-08,34,20.6
2011-07-15,37,20.44
2011-07-22,38,21.06
2011-07-29,36,20.13
2011-08-05,30,19.55
2011-08-12,38,19.63
2011-08-19,24,20.24
2011-08-26,34,20.54
2011-09-02,35,20.91
2011-09-09,32,21.02
2011-09-16,35,22.18
