"Date","buy.NU","Price"
2008-10-17,67,20.11
2008-10-24,69,20.73
2008-10-31,71,22.56
2008-11-07,73,21.01
2008-11-14,75,23.17
2008-11-21,77,22.75
2008-11-28,66,23.3
2008-12-05,66,22.65
2008-12-12,66,23.73
2008-12-19,59,22.67
2008-12-26,62,23.18
2009-01-02,65,24.3
2009-01-09,68,24.89
2009-01-16,55,23.79
2009-01-23,55,23.37
2009-01-30,55,23.8
2009-02-06,59,24.95
2009-02-13,53,24.02
2009-02-20,53,22.06
2009-02-27,53,21.91
2009-03-06,53,20
2009-03-13,58,19.9
2009-03-20,54,21.68
2009-03-27,64,21.7
2009-04-03,74,21.08
2009-04-17,65,21.09
2009-04-24,53,20.24
2009-05-01,53,21.58
2009-05-08,52,21.2
2009-05-15,51,20.58
2009-05-22,51,20.24
2009-05-29,54,20.79
2009-06-05,58,21.23
2009-06-12,61,22.12
2009-06-19,50,21.97
2009-06-26,75,22.12
2009-07-10,68,21.38
2009-07-17,68,22.09
2009-07-24,68,23
2009-07-31,89,23.01
2009-08-07,58,23.38
2009-08-14,68,23.72
2009-08-21,78,24.31
2009-08-28,53,24.03
2009-09-04,53,23.72
2009-09-11,72,23.68
2009-09-18,61,24.47
2009-09-25,52,23.83
2009-10-02,60,23.06
2009-10-09,45,23.5
2009-10-16,45,23.62
2009-10-23,45,23.08
2009-10-30,45,23.05
2009-11-06,57,23.1
2009-11-13,70,23.71
2009-11-20,48,23.95
2009-11-27,59,24
2009-12-04,52,24.6
2009-12-11,88,25.5
2009-12-18,45,26.07
2010-01-08,50,26.04
2010-01-15,50,25.95
2010-01-22,40,25.46
2010-01-29,40,25.32
2010-02-05,73,25.14
2010-02-12,48,25.13
2010-02-19,47,26.67
2010-02-26,47,25.6
2010-03-05,60,26.51
2010-03-12,40,26.81
2010-03-19,56,27.16
2010-03-26,56,27.02
2010-04-09,42,27.81
2010-04-16,60,27.38
2010-04-23,92,27.76
2010-04-30,45,27.79
2010-05-07,49,25.53
2010-05-14,41,26.6
2010-05-21,66,26.11
2010-05-28,70,25.95
2010-06-04,62,25.36
2010-06-11,62,26.01
2010-06-18,100,26.87
2010-06-25,58,25.79
2010-07-02,83,25.65
2010-07-09,66,26.88
2010-07-16,66,26.97
2010-07-23,55,27.95
2010-07-30,62,27.84
2010-08-06,51,28.97
2010-08-13,50,28.75
2010-08-20,47,28.54
2010-08-27,56,29.22
2010-09-03,47,29.48
2010-09-10,74,29.42
2010-09-17,50,29.12
2010-09-24,60,29.6
2010-10-01,45,29.83
2010-10-08,66,30.31
2010-10-15,87,30.7
2010-10-22,41,30.85
2010-10-29,71,31.28
2010-11-05,47,31.75
2010-11-12,37,31.29
2010-11-19,63,31.43
2010-11-26,76,31.69
2010-12-03,62,31.64
2010-12-10,62,31.67
2010-12-17,96,31.88
2010-12-31,53,31.88
2011-01-07,63,31.63
2011-01-14,44,32.01
2011-01-21,65,32.58
2011-01-28,62,32.77
2011-02-04,67,33.74
2011-02-11,52,33.57
2011-02-18,60,33.44
2011-02-25,59,33.6
2011-03-04,50,33.83
2011-03-11,54,34.55
2011-03-18,45,33.67
2011-03-25,51,34.15
2011-04-01,48,34.88
2011-04-08,55,34.53
2011-04-15,70,33.96
2011-04-29,56,35.6
2011-05-06,42,35.3
2011-05-13,51,35.93
2011-05-20,68,36.1
2011-05-27,45,35.02
2011-06-03,49,34.26
2011-06-10,53,33.88
2011-06-17,59,34.73
2011-06-24,60,34.64
2011-07-01,45,35.72
2011-07-08,64,35.31
2011-07-15,58,34.96
2011-07-22,65,35.34
2011-07-29,51,34
2011-08-05,51,32.24
2011-08-12,73,32.44
2011-08-19,47,32.22
2011-08-26,46,34.11
2011-09-02,70,33.72
2011-09-09,52,33.1
2011-09-16,63,34.45
2011-09-23,73,34.01
2011-09-30,35,33.65
2011-10-07,45,32.05
2011-10-14,64,33.31
2011-10-21,67,33.76
2011-10-28,37,34.58
2011-11-04,76,34.66
2011-11-11,60,35.08
2011-11-18,69,34.5
2011-11-25,75,33.18
2011-12-02,62,34.34
2011-12-09,56,34.3
2011-12-16,72,34.74
2011-12-23,75,35.71
2011-12-30,62,36.07
2012-01-06,49,35
2012-01-13,63,34.23
2012-01-20,62,34.36
2012-01-27,62,34.73
2012-02-03,80,35.3
2012-02-10,81,35.2
2012-02-17,71,36.1
2012-02-24,74,35.86
2012-03-02,79,36.08
2012-03-09,58,36.84
2012-03-16,40,36.43
2012-03-23,62,36.74
2012-03-30,83,37.12
2012-04-13,52,35.8
2012-04-20,56,36.46
2012-04-27,63,36.82
2012-05-04,69,36.06
2012-05-11,58,36.57
2012-05-18,60,34.94
2012-05-25,63,36.36
2012-06-01,54,36.42
2012-06-08,65,37.39
2012-06-15,44,38.48
2012-06-22,68,37.76
2012-06-29,54,38.81
2012-07-06,61,38.69
2012-07-13,58,39.88
2012-07-20,73,40.26
2012-07-27,57,39.96
2012-08-03,61,39.57
2012-08-10,64,39.59
2012-08-17,74,38.54
2012-08-24,69,37.97
2012-08-31,69,37.67
2012-09-07,64,38.24
2012-09-14,76,37.75
2012-09-21,88,37.43
2012-09-28,64,38.23
2012-10-05,88,39.14
2012-10-12,51,38.68
2012-10-19,72,39.71
2012-10-26,47,38.96
2012-11-02,55,39.41
2012-11-09,57,38.14
2012-11-16,44,38.32
2012-11-23,53,37.73
2012-11-30,55,38.74
2012-12-07,55,39.27
2012-12-14,51,38.69
2012-12-21,40,39.23
2012-12-28,72,38.44
2013-01-04,69,39.64
2013-01-11,27,39.19
2013-01-18,65,39.21
2013-01-25,70,40.32
2013-02-01,62,41.18
2013-02-08,42,41.11
2013-02-15,52,40.94
2013-02-22,69,41.43
2013-03-01,47,41.8
2013-03-08,43,42.21
2013-03-15,59,42.66
2013-03-22,58,42.65
2013-04-05,53,43.72
2013-04-12,50,44.66
2013-04-19,45,44.94
2013-04-26,41,44.86
2013-05-03,52,45.16
2013-05-10,61,43.78
2013-05-17,71,44.47
2013-05-24,66,42.84
2013-05-31,62,41.67
2013-06-07,63,42.38
2013-06-14,53,42.13
2013-06-21,69,40.37
2013-06-28,39,42.02
2013-07-05,64,41.13
2013-07-12,48,43.28
2013-07-19,71,44.83
2013-07-26,67,44.23
2013-08-02,74,44.69
2013-08-09,58,43.77
2013-08-16,51,41.3
2013-08-23,85,41.71
2013-08-30,73,40.97
2013-09-06,55,40.25
2013-09-13,61,40.29
2013-09-20,45,41.19
2013-09-27,56,41.44
2013-10-04,65,41.02
2013-10-11,59,42.16
2013-10-18,61,42.34
2013-10-25,47,43.41
2013-11-01,60,42.5
2013-11-08,71,42.27
2013-11-15,58,42.93
2013-11-22,53,42.18
2013-11-29,74,41.08
2013-12-06,44,41.58
2013-12-13,36,41.59
2013-12-20,50,42.11
2013-12-27,77,42.2
2014-01-03,60,41.52
2014-01-10,54,42.65
2014-01-17,53,42.59
2014-01-24,53,42.43
2014-01-31,54,43.8
2014-02-07,55,43.3
2014-02-14,47,44.97
2014-02-21,57,44.65
2014-02-28,55,44.45
2014-03-07,57,43.75
2014-03-14,57,44.89
2014-03-21,54,44.42
2014-03-28,52,44.95
2014-04-04,61,45.09
2014-04-11,45,45.44
2014-04-25,64,46.97
