"Date","buy.R","Price"
2004-02-06,14,36.75
2004-02-13,16,36.25
2004-02-20,16,36.21
2004-02-27,12,36.84
2004-03-05,16,37.87
2004-03-12,22,37.78
2004-03-19,13,36.55
2004-03-26,14,36.83
2004-04-02,21,39.78
2004-04-16,16,39.54
2004-04-23,17,40.75
2004-04-30,12,36.79
2004-05-07,21,36.59
2004-05-14,13,35.97
2004-05-21,12,36.87
2004-05-28,16,37.15
2004-06-04,20,36.56
2004-06-18,17,39.13
2004-06-25,22,39.79
2004-07-02,16,38.86
2004-07-09,14,38.29
2004-07-16,15,39.55
2004-07-23,18,40.45
2004-07-30,26,42.9
2004-08-06,16,42.43
2004-08-13,21,42.11
2004-08-20,18,43.5
2004-08-27,21,43.32
2004-09-03,15,44.85
2004-09-10,16,44.82
2004-09-17,26,46.83
2004-09-24,15,46.41
2004-10-01,22,47.65
2004-10-08,23,48.52
2004-10-15,18,47.64
2004-10-22,17,47.45
2004-10-29,21,50.1
2004-11-05,20,52.24
2004-11-12,21,53.67
2004-11-19,27,53.18
2004-11-26,48,53.22
2004-12-03,41,53.82
2004-12-10,49,51.75
2004-12-17,55,54.5
2004-12-31,40,47.77
2005-01-07,22,46.39
2005-01-14,20,45.9
2005-01-21,19,44.27
2005-01-28,15,44.4
2005-02-04,17,45.02
2005-02-11,18,44.89
2005-02-18,15,43.07
2005-02-25,24,43
2005-03-04,13,43.11
2005-03-11,16,44.05
2005-03-18,16,42.44
2005-04-01,16,41.53
2005-04-08,14,41.51
2005-04-15,13,39.38
2005-04-22,14,38.6
2005-04-29,15,36.93
2005-05-06,17,36.58
2005-05-13,19,35.65
2005-05-20,17,37.02
2005-05-27,17,37.23
2005-06-03,16,36.7
2005-06-10,21,36.53
2005-06-17,16,36.26
2005-06-24,15,35.05
2005-07-01,17,36.82
2005-07-08,17,37.32
2005-07-15,15,38.84
2005-07-22,20,39.13
2005-07-29,15,38.99
2005-08-05,16,36.23
2005-08-12,22,36.7
2005-08-19,12,35.99
2005-08-26,22,35.01
2005-09-02,15,35.5
2005-09-09,15,34.46
2005-09-16,16,33.15
2005-09-23,19,33.26
2005-09-30,18,34.22
2005-10-07,15,33.08
2005-10-14,20,33.54
2005-10-21,16,33.02
2005-10-28,20,38.26
2005-11-04,25,41.42
2005-11-11,25,43.36
2005-11-18,27,43.63
2005-11-25,63,43.5
2005-12-02,50,42.21
2005-12-09,50,40.73
2005-12-16,56,41.5
2005-12-23,53,42.19
2005-12-30,35,41.02
2006-01-06,22,42.96
2006-01-13,18,41
2006-01-20,19,41.76
2006-01-27,17,44.75
2006-02-03,18,41
2006-02-10,17,43.14
2006-02-17,18,43.26
2006-02-24,18,44.75
2006-03-03,19,45.11
2006-03-10,18,44.12
2006-03-17,20,45.3
2006-03-24,16,45.27
2006-03-31,18,44.78
2006-04-07,17,47.12
2006-04-21,19,49.57
2006-04-28,13,52.15
2006-05-05,16,54.47
2006-05-12,14,54.2
2006-05-19,14,51.71
2006-05-26,13,54.42
2006-06-02,15,55.03
2006-06-09,19,55.18
2006-06-16,15,54.58
2006-06-23,18,56.35
2006-06-30,16,58.43
2006-07-07,23,56.24
2006-07-14,16,52.88
2006-07-21,22,51.5
2006-07-28,18,49.98
2006-08-04,18,50.43
2006-08-11,21,47.89
2006-08-18,18,51.09
2006-08-25,15,48.45
2006-09-01,16,50.25
2006-09-08,16,48.97
2006-09-15,20,52.17
2006-09-22,22,50.87
2006-09-29,15,51.68
2006-10-06,22,53.23
2006-10-13,24,54.08
2006-10-20,19,52.54
2006-10-27,19,53.35
2006-11-03,28,51.45
2006-11-10,38,52.98
2006-11-17,48,54.21
2006-11-24,77,53.79
