"Date","buy.WY","Price"
2009-11-20,61,37.86
2010-02-12,68,39.54
2010-06-25,69,37.3
2010-07-02,61,34.49
2010-07-09,61,35.84
2010-07-16,55,40.5
2010-07-23,55,16.63
2010-07-30,60,16.22
2010-08-06,66,17.17
2010-10-01,48,16.09
2010-10-08,53,15.82
2010-10-15,60,15.52
2010-10-22,67,15.72
2010-10-29,67,16.22
2010-11-05,68,17.5
2010-11-12,69,17.45
2010-11-19,69,17.18
2010-11-26,70,17.03
2010-12-03,54,17.7
2010-12-10,55,17.76
2010-12-17,56,18.16
2010-12-31,63,18.93
2011-01-07,46,20.57
2011-01-14,44,21.63
2011-01-21,60,22.49
2011-01-28,57,22.67
2011-02-04,41,24.3
2011-02-11,44,25.2
2011-02-18,47,25.16
2011-02-25,50,24.2
2011-03-04,42,23.57
2011-03-11,42,24.38
2011-03-18,60,24.39
2011-03-25,79,24.22
2011-04-01,59,25.14
2011-04-08,59,23.61
2011-04-15,59,22.69
2011-04-29,58,23.01
2011-05-06,63,22.09
2011-05-13,67,21.91
2011-05-20,46,21.76
2011-05-27,50,20.87
2011-06-03,73,20.77
2011-06-10,42,20.4
2011-06-17,42,20.33
2011-06-24,42,20.33
2011-07-01,50,22.29
2011-07-08,51,22.1
2011-07-15,51,21.65
2011-07-22,59,22.18
2011-07-29,54,19.99
2011-08-05,54,17.87
2011-08-12,50,16.83
2011-08-19,50,15.7
2011-08-26,100,17
2011-09-02,55,17.11
2011-09-09,42,16.86
2011-09-16,42,17.8
2011-09-23,55,15.95
2011-09-30,68,15.55
2011-10-07,45,16.03
2011-10-14,54,17.19
2011-10-21,41,17.09
2011-10-28,46,18.3
2011-11-04,51,17.31
2011-11-11,44,16.89
2011-11-18,36,16.41
2011-11-25,76,15.48
2011-12-02,64,16.77
2011-12-09,50,17.23
2011-12-16,64,16.7
2011-12-23,86,18.17
2011-12-30,95,18.67
2012-01-06,54,19.02
2012-01-13,51,20.22
2012-01-20,37,20.65
2012-01-27,54,20.47
2012-02-03,40,21.3
2012-02-10,40,20.02
2012-02-17,56,20.65
2012-02-24,46,21.06
2012-03-02,43,21.16
2012-03-09,51,21.48
2012-03-16,72,22.01
2012-03-23,56,21.87
2012-03-30,56,21.92
2012-04-13,41,20.74
2012-04-20,33,20.98
2012-04-27,38,20.85
2012-05-04,44,19.98
2012-05-11,49,20.07
2012-05-18,52,18.76
2012-05-25,56,19.77
2012-06-01,46,19.11
2012-06-08,36,20.45
2012-06-15,54,20.79
2012-06-22,49,20.69
2012-06-29,55,22.36
2012-07-06,73,22.29
2012-07-13,68,23.37
2012-07-20,42,23.06
2012-07-27,50,23.59
2012-08-03,63,23.65
2012-08-10,56,23.54
2012-08-17,80,24.24
2012-08-24,60,24.37
2012-08-31,58,24.91
2012-09-07,54,25.45
2012-09-14,69,27.15
2012-09-21,69,26.53
2012-09-28,49,26.14
2012-10-05,49,26.64
2012-10-12,45,26.26
2012-10-19,44,28.01
2012-10-26,77,27.37
2012-11-02,35,27.73
2012-11-09,35,26.31
2012-11-16,56,25.38
2012-11-23,65,26.72
2012-11-30,66,27.56
2012-12-07,40,27.21
2012-12-14,49,27.33
2012-12-21,73,28.14
2012-12-28,65,27.58
2013-01-04,37,29.39
2013-01-11,55,30.8
2013-01-18,51,30.63
2013-01-25,38,30.95
2013-02-01,54,30.39
2013-02-08,43,30.21
2013-02-15,52,30.65
2013-02-22,55,29.72
2013-03-01,42,29.57
2013-03-08,66,30.24
2013-03-15,29,30.55
2013-03-22,65,31.01
2013-04-05,66,31.16
2013-04-12,55,31.78
2013-04-19,50,29.84
2013-04-26,42,30.53
2013-05-03,48,30.65
2013-05-10,40,31.39
2013-05-17,55,32.48
2013-05-24,31,31.74
2013-05-31,68,29.82
2013-06-07,52,29.03
2013-06-14,69,28.29
2013-06-21,47,27.42
2013-06-28,58,28.49
2013-07-05,48,28.31
2013-07-12,64,29.55
2013-07-19,38,29.86
2013-07-26,56,28.8
2013-08-02,45,27.98
2013-08-09,72,27.81
2013-08-16,51,27.06
2013-08-23,61,27.81
2013-08-30,63,27.38
2013-09-06,68,28.51
2013-09-13,75,28.39
2013-09-20,65,28.81
2013-09-27,60,28.93
2013-10-04,65,28.59
2013-10-11,47,29.34
2013-10-18,58,30.11
2013-10-25,51,31.39
2013-11-01,52,30.34
2013-11-08,63,29.3
2013-11-15,61,29.74
2013-11-22,70,29.56
2013-11-29,80,30.13
2013-12-06,57,29.82
2013-12-13,37,30.01
2013-12-20,72,31.4
2013-12-27,73,31.3
2014-01-03,71,31.34
2014-01-10,33,31.06
2014-01-17,51,30.97
2014-01-24,49,30.19
2014-01-31,46,29.88
2014-02-07,57,29.88
2014-02-14,60,30.45
2014-02-21,48,30.18
2014-02-28,61,29.51
2014-03-07,57,29.79
2014-03-14,41,29.86
2014-03-21,75,29.29
2014-03-28,36,29.18
2014-04-04,57,29.6
2014-04-11,52,27.72
2014-04-25,51,29.52
