"Date","buy.YUM","Price"
2009-03-13,100,26.98
2010-12-03,80,50.57
2011-01-21,70,48.27
2011-04-08,75,49.58
2011-04-15,69,51.12
2011-04-29,69,53.64
2011-05-06,69,53.64
2011-05-13,69,54.86
2011-07-08,63,55.61
2011-08-19,62,49.41
2011-11-18,54,53.84
2011-11-25,49,52.72
2011-12-02,51,56.25
2011-12-09,53,57.96
2011-12-16,54,57.7
2011-12-23,56,59.03
2011-12-30,50,59.01
2012-01-06,50,59.85
2012-01-13,50,61.23
2012-01-20,50,62.48
2012-01-27,45,62.85
2012-02-03,45,63.84
2012-02-10,59,64.74
2012-02-17,59,65.25
2012-02-24,60,65.54
2012-03-02,61,66.24
2012-03-09,62,67.41
2012-03-16,62,68.4
2012-05-11,53,71.7
2012-05-18,49,67.43
2012-05-25,49,70.4
2012-06-01,55,64.7
2012-06-08,60,64.59
2012-06-15,65,64.99
2012-06-22,57,66.11
2012-06-29,57,64.42
2012-07-06,49,64.92
2012-07-13,44,64.72
2012-07-20,49,64.95
2012-07-27,53,66.73
2012-08-03,58,67.53
2012-08-10,49,66.83
2012-09-21,51,68.52
2012-09-28,41,66.34
2012-10-05,41,66
2012-10-12,41,69.45
2012-10-19,44,70.09
2012-10-26,44,69.9
2012-11-02,44,72.12
2012-11-09,44,71.97
2012-11-16,44,71.89
2012-11-23,55,74
2012-11-30,66,67.08
2012-12-07,39,66.3
2012-12-14,54,67.9
2012-12-21,52,63.88
2012-12-28,48,64.72
2013-01-04,58,68.32
2013-01-11,52,66.87
2013-01-18,51,65.15
2013-01-25,48,64.63
2013-02-01,44,65.93
2013-02-08,44,65.3
2013-02-15,48,63.99
2013-02-22,50,65.45
2013-03-01,50,65.21
2013-03-08,43,67.72
2013-03-15,39,70.2
2013-03-22,39,69.69
2013-04-05,43,66.97
2013-04-12,43,67.8
2013-04-19,43,65.04
2013-04-26,36,66.86
2013-05-03,43,68.91
2013-05-10,36,70.36
2013-05-17,35,70.16
2013-05-24,60,69.21
2013-05-31,50,67.75
2013-06-07,35,73.52
2013-06-14,65,71.11
2013-06-21,53,68.98
2013-06-28,35,69.34
2013-07-05,40,71.66
2013-07-12,51,70.64
2013-07-19,37,72.08
2013-07-26,62,74
2013-08-02,47,74.39
2013-08-09,47,74.4
2013-08-16,48,72.16
2013-08-23,50,72.57
2013-08-30,46,70.02
2013-09-06,37,69.61
2013-09-13,37,72.53
2013-09-20,37,72.09
2013-09-27,39,72.13
2013-10-04,42,71.53
2013-10-11,44,67
2013-10-18,54,66.68
2013-10-25,54,66.57
2013-11-01,54,68.48
2013-11-08,43,70.57
2013-11-15,43,73.98
2013-11-22,56,78.3
2013-11-29,62,77.68
2013-12-06,32,74.37
2013-12-13,33,71.81
2013-12-20,42,73.39
2013-12-27,51,73.87
2014-01-03,53,75.56
2014-01-10,54,75.02
2014-01-17,32,72.1
2014-01-24,69,68.82
2014-01-31,56,67.15
2014-02-07,45,71.73
2014-02-14,59,73.42
2014-02-21,43,72.85
2014-02-28,43,74.08
2014-03-07,31,77.16
2014-03-14,43,75.08
2014-03-21,56,75.27
2014-03-28,34,74.2
2014-04-04,34,75.44
2014-04-11,34,74.37
2014-04-25,57,77.67
