"Date","eBay.Inc.","Price"
2004-09-24,100,89.22
2005-02-11,93,82.07
2005-02-18,95,42.46
2005-02-25,96,42.24
2005-03-04,98,41.75
2005-03-11,100,38.25
2005-03-18,93,35.01
2005-09-09,75,38.62
2005-11-11,71,43.89
2005-11-18,69,44.67
2005-11-25,69,46.71
2005-12-02,69,45.19
2005-12-09,76,43.42
2005-12-16,71,45.94
2005-12-23,71,44.61
2005-12-30,61,43.22
2006-01-06,61,46.65
2006-01-13,53,45.97
2006-01-20,53,44.97
2006-01-27,53,44.07
2006-02-03,53,40.58
2006-02-10,62,39.53
2006-03-24,83,37.3
2006-05-12,48,31.49
2006-05-19,48,29.7
2006-05-26,48,34.2
2006-06-02,52,32.63
2006-06-09,55,30.58
2006-06-16,59,30.28
2006-06-23,58,30
2006-06-30,58,29.29
2006-07-07,58,26.62
2006-07-14,58,25.58
2006-08-25,59,25.3
2006-09-01,43,28.15
2006-09-08,48,28.51
2006-09-15,49,27.85
2006-09-22,49,26.11
2006-09-29,50,28.36
2006-10-06,40,29.39
2006-10-13,40,29.75
2006-10-20,40,30.49
2006-10-27,40,32.07
2006-11-03,38,32.39
2006-11-10,38,32.81
2006-11-17,39,33.74
2006-11-24,39,33.39
2006-12-01,44,31.5
2006-12-08,44,31.76
2006-12-15,60,32.92
2006-12-22,44,30.22
2006-12-29,47,30.07
2007-01-05,50,30.78
2007-01-12,53,30
2007-01-19,62,29.66
2007-01-26,35,31.65
2007-02-02,41,32.4
2007-02-09,37,33.51
2007-02-16,37,33.62
2007-02-23,41,33.99
2007-03-02,42,30.83
2007-03-09,33,30.82
2007-03-16,43,31.74
2007-03-23,45,31.83
2007-03-30,52,33.15
2007-04-13,33,34.78
2007-04-20,41,33.52
2007-04-27,32,34.17
2007-05-04,35,34.15
2007-05-11,41,34.2
2007-05-18,35,32.7
2007-05-25,65,32.65
2007-06-01,36,32.27
2007-06-08,47,31.42
2007-06-15,32,32.04
2007-06-22,32,31.76
2007-06-29,41,32.18
2007-07-06,30,33.39
2007-07-13,38,33.95
2007-07-20,36,33.53
2007-07-27,41,32.57
2007-08-03,41,33.32
2007-08-10,35,36
2007-08-17,32,34.14
2007-08-24,33,34.08
2007-08-31,34,34.1
2007-09-07,41,35.25
2007-09-14,37,37.81
2007-09-21,45,39
2007-09-28,49,39.02
2007-10-05,38,38.75
2007-10-12,38,39.9
2007-10-19,57,36.72
2007-10-26,30,36.64
2007-11-02,30,35.02
2007-11-09,31,33.46
2007-11-16,35,32.74
2007-11-23,35,31.94
2007-11-30,55,33.53
2007-12-07,52,33.73
2007-12-14,37,32.7
2007-12-21,38,34.3
2007-12-28,38,33.78
2008-01-04,38,31.3
2008-01-11,49,29.68
2008-01-18,33,28.33
2008-01-25,31,26.83
2008-02-01,36,28.81
2008-02-08,55,28.07
2008-02-15,29,27.79
2008-02-22,46,27.71
2008-02-29,34,26.36
2008-03-07,34,25.78
