"Date","sell.ABC","Price"
2009-06-05,70,36.38
2010-04-09,58,29.47
2010-04-16,57,29.88
2010-04-23,57,31.13
2010-04-30,57,30.85
2010-05-07,57,29.91
2010-05-14,57,31.31
2010-05-21,66,30.83
2010-05-28,74,31.28
2010-07-09,77,31.84
2010-07-16,65,32.14
2010-07-23,65,30.53
2010-07-30,62,29.97
2010-08-06,62,30.24
2010-08-13,62,29.04
2010-08-20,62,28.92
2010-08-27,62,27.73
2010-09-03,64,28.08
2010-09-10,66,28.47
2010-09-17,66,30.18
2010-09-24,67,31.35
2010-10-01,67,30.85
2010-10-08,53,31.67
2010-10-15,68,32.29
2010-10-22,57,32.06
2010-10-29,52,32.83
2010-11-05,54,31.68
2010-11-12,56,31.32
2010-11-19,51,31.02
2010-11-26,51,30.89
2010-12-03,53,32.14
2010-12-10,54,32.11
2010-12-17,55,33.18
2011-02-04,69,36.56
2011-02-11,59,36.66
2011-02-18,62,37.79
2011-02-25,58,37.39
2011-03-04,58,37.67
2011-03-11,54,37.02
2011-03-18,54,37.3
2011-03-25,42,39.29
2011-04-01,42,40.35
2011-04-08,42,40.2
2011-04-15,63,39.59
2011-04-29,43,40.64
2011-05-06,52,41.47
2011-05-13,61,42.04
2011-05-20,70,41.59
2011-05-27,54,41.06
2011-06-03,42,40.35
2011-06-10,46,41.12
2011-06-17,49,41
2011-06-24,70,40.14
2011-07-01,46,42.12
2011-07-08,46,42.65
2011-07-15,46,41.99
2011-07-22,50,40.52
2011-07-29,46,38.31
2011-08-05,64,36.81
2011-08-12,81,38.3
2011-08-19,53,37.54
2011-08-26,51,38.48
2011-09-02,41,38.81
2011-09-09,41,38.4
2011-09-16,41,39.31
2011-09-23,41,37.76
2011-09-30,54,37.27
2011-10-07,67,35.78
2011-10-14,50,38.18
2011-10-21,52,39.71
2011-10-28,48,42.08
2011-11-04,40,39.22
2011-11-11,40,39.67
2011-11-18,42,37.28
2011-11-25,43,35.98
2011-12-02,57,37.01
2011-12-09,53,36.37
2011-12-16,36,36.75
2011-12-23,45,37.42
2011-12-30,55,37.19
2012-01-06,39,38.59
2012-01-13,40,37.8
2012-01-20,50,40.09
2012-01-27,53,38.98
2012-02-03,86,39.23
2012-02-10,46,38.6
2012-02-17,33,36.68
2012-02-24,59,37.7
2012-03-02,37,36.59
2012-03-09,54,37.86
2012-03-16,58,38.32
2012-03-23,42,38.96
2012-03-30,46,39.66
2012-04-13,44,37.53
2012-04-20,32,37.75
2012-04-27,42,36.9
2012-05-04,46,36.17
2012-05-11,51,36.62
2012-05-18,39,35.99
2012-05-25,44,36.9
2012-06-01,49,36.28
2012-06-08,48,37.06
2012-06-15,58,37.29
2012-06-22,55,37.93
2012-06-29,61,39.35
2012-07-06,58,38.76
2012-07-13,58,39.64
2012-07-20,45,39.21
2012-07-27,43,38.66
2012-08-03,39,39.39
2012-08-10,39,38.69
2012-08-17,37,37.54
2012-08-24,36,38.1
2012-08-31,51,38.52
2012-09-07,47,38.18
2012-09-14,37,37.36
2012-09-21,47,38.97
2012-09-28,61,38.71
2012-10-05,37,39.52
2012-10-12,44,39.5
2012-10-19,56,40.28
2012-10-26,74,39.34
2012-11-02,50,40.5
2012-11-09,41,40.47
2012-11-16,44,40.26
2012-11-23,50,41.38
2012-11-30,48,42.22
2012-12-07,53,42.27
2012-12-14,62,43.36
2012-12-21,70,43.64
2012-12-28,67,42.82
2013-01-04,76,43.69
2013-01-11,63,43.84
2013-01-18,73,45.85
2013-01-25,35,45.03
2013-02-01,50,46.53
2013-02-08,72,46.89
2013-02-15,40,46.6
2013-02-22,60,46.95
2013-03-01,34,47.98
2013-03-08,45,48.48
2013-03-15,41,48.89
2013-03-22,46,49.82
2013-04-05,60,52.08
2013-04-12,52,54.18
2013-04-19,62,55.92
2013-04-26,42,53.26
2013-05-03,42,54.57
2013-05-10,52,54.84
2013-05-17,41,54.99
2013-05-24,31,54.44
2013-05-31,34,54.08
2013-06-07,59,52.94
2013-06-14,47,54.93
2013-06-21,60,54.34
2013-06-28,57,55.83
2013-07-05,51,55.56
2013-07-12,48,58.39
2013-07-19,30,58.81
2013-07-26,56,58.47
2013-08-02,26,58.48
2013-08-09,69,59.49
2013-08-16,51,56.53
2013-08-23,44,57.45
2013-08-30,44,56.92
2013-09-06,52,58.24
2013-09-13,62,60.28
2013-09-20,29,61.65
2013-09-27,42,61.28
2013-10-04,39,62.47
2013-10-11,47,62.65
2013-10-18,65,64.61
2013-10-25,48,65.24
2013-11-01,42,66.38
2013-11-08,50,68
2013-11-15,61,69.5
2013-11-22,57,70.02
2013-11-29,46,70.53
2013-12-06,45,70.29
2013-12-13,65,68.45
2013-12-20,79,69.82
2013-12-27,75,70.21
2014-01-03,52,69.94
2014-01-10,56,71.34
2014-01-17,46,70.53
2014-01-24,78,67.25
2014-01-31,52,67.22
2014-02-07,57,66.54
2014-02-14,63,68
2014-02-21,68,68.4
2014-02-28,45,67.85
2014-03-07,100,68.94
2014-03-14,43,67.57
2014-03-21,59,64.82
2014-03-28,43,64.82
2014-04-04,56,65.05
2014-04-11,56,64.17
2014-04-25,49,62.83
