"Date","sell.ALL","Price"
2004-02-06,72,46.51
2004-02-13,78,46.73
2004-02-20,64,46.55
2004-02-27,63,45.63
2004-05-21,70,43.67
2004-05-28,66,43.98
2004-06-04,66,43.77
2004-10-08,50,47.9
2004-10-15,54,47.39
2004-10-22,58,46.83
2004-10-29,62,48.09
2004-11-05,66,48.34
2004-11-12,70,50.74
2004-11-19,55,50.28
2004-11-26,55,51
2004-12-03,55,51.35
2004-12-10,55,50.76
2004-12-17,51,50.05
2004-12-31,61,51.72
2005-01-07,62,51.03
2005-01-14,63,51.49
2005-01-21,64,50.22
2005-01-28,53,49.67
2005-02-04,53,52.35
2005-02-11,45,52.93
2005-02-18,45,53.1
2005-02-25,45,53.7
2005-03-04,45,53.94
2005-03-11,48,54.41
2005-03-18,51,53.02
2005-04-01,56,53.4
2005-04-08,50,54.2
2005-04-15,50,53.31
2005-04-22,38,54.57
2005-04-29,38,56.16
2005-05-06,67,57.5
2005-05-13,38,56.32
2005-05-20,38,57.1
2005-05-27,38,58.28
2005-06-03,46,58.61
2005-06-10,63,59.19
2005-06-17,38,60.19
2005-06-24,39,59.81
2005-07-01,42,59.85
2005-07-08,46,60.17
2005-07-15,50,62.26
2005-07-22,38,61.07
2005-07-29,44,61.26
2005-08-05,50,59.08
2005-08-12,63,58.08
2005-08-19,67,58.48
2005-08-26,45,58.27
2005-09-02,45,55.53
2005-09-09,45,54.26
2005-09-16,42,55.13
2005-09-23,40,54.53
2005-09-30,41,55.29
2005-10-07,42,54.1
2005-10-14,71,54.14
2005-10-21,53,53.2
2005-10-28,31,52.69
2005-11-04,41,55.15
2005-11-11,43,56.87
2005-11-18,66,57.35
2005-11-25,46,57.48
2005-12-02,43,55.84
2005-12-09,44,55.28
2005-12-16,33,54.29
2005-12-23,42,54.76
2005-12-30,59,54.07
2006-01-06,65,54.84
2006-01-13,61,54.68
2006-01-20,48,52.21
2006-01-27,32,52.03
2006-02-03,51,52.01
2006-02-10,44,52.92
2006-02-17,49,54.3
2006-02-24,60,54.9
2006-03-03,36,54.54
2006-03-10,47,54.56
2006-03-17,47,54.82
2006-03-24,41,53.23
2006-03-31,44,52.11
2006-04-07,47,51.22
2006-04-21,33,55.65
2006-04-28,30,56.49
2006-05-05,43,56.87
2006-05-12,49,56.38
2006-05-19,38,56.39
2006-05-26,34,55.01
2006-06-02,40,55.11
2006-06-09,39,54.36
2006-06-16,27,53.51
2006-06-23,37,52.91
2006-06-30,44,54.73
2006-07-07,26,55.03
2006-07-14,47,54.73
2006-07-21,40,56.65
2006-07-28,25,57.02
2006-08-04,39,55.63
2006-08-11,27,55.66
2006-08-18,51,57.92
2006-08-25,34,57
2006-09-01,29,58.37
2006-09-08,36,59.06
2006-09-15,54,60.12
2006-09-22,38,60.67
2006-09-29,32,62.73
2006-10-06,42,63.15
2006-10-13,52,62.93
2006-10-20,30,61.23
2006-10-27,52,61.74
2006-11-03,54,61.48
2006-11-10,50,63.06
2006-11-17,42,64.48
2006-11-24,27,64.91
2006-12-01,37,63.29
2006-12-08,38,63.82
2006-12-15,44,65.21
2006-12-22,61,65.37
2006-12-29,51,65.11
2007-01-05,53,65.18
2007-01-12,28,64.6
2007-01-19,45,63.73
2007-01-26,44,63.47
2007-02-02,44,61.19
2007-02-09,49,61.08
2007-02-16,46,62.18
2007-02-23,42,61.28
2007-03-02,47,59.6
2007-03-09,43,60.1
2007-03-16,50,59.7
2007-03-23,33,60.78
2007-03-30,51,60.06
2007-04-13,45,61.33
2007-04-20,55,62.49
2007-04-27,35,62.63
2007-05-04,39,62.84
2007-05-11,47,63.45
2007-05-18,49,62.75
2007-05-25,31,61.4
2007-06-01,28,61.58
2007-06-08,45,60.85
2007-06-15,52,61.38
2007-06-22,33,61.18
2007-06-29,56,61.51
2007-07-06,41,61.79
2007-07-13,45,61.05
2007-07-20,55,57.37
2007-07-27,35,53.5
2007-08-03,43,51.61
2007-08-10,33,52.09
2007-08-17,57,56.41
2007-08-24,40,56.86
2007-08-31,49,54.75
2007-09-07,50,53.9
2007-09-14,29,54.76
2007-09-21,65,55.88
2007-09-28,45,57.19
2007-10-05,41,58.84
2007-10-12,38,58.81
2007-10-19,43,54.49
2007-10-26,37,52.43
2007-11-02,36,51.25
2007-11-09,62,53.13
2007-11-16,39,52.64
2007-11-23,49,50.09
2007-11-30,42,51.12
2007-12-07,52,52.46
2007-12-14,51,51.58
2007-12-21,48,51.89
2007-12-28,42,52.19
2008-01-04,54,51.08
2008-01-11,61,51.49
2008-01-18,57,48.46
2008-01-25,66,50.45
2008-02-01,52,49.42
2008-02-08,61,46.57
2008-02-15,55,46.18
2008-02-22,60,47.64
2008-02-29,57,47.73
2008-03-07,54,47.03
2008-03-14,49,45.74
2008-03-28,47,47.57
2008-04-04,52,48.98
2008-04-11,51,48.2
2008-04-18,43,50.17
2008-04-25,51,50.01
2008-05-02,51,51.89
2008-05-09,56,49.38
2008-05-16,54,50.07
2008-05-23,48,49.92
2008-05-30,50,50.94
2008-06-06,47,50.03
2008-06-13,45,49.89
2008-06-20,54,47.89
2008-06-27,49,46.52
2008-07-11,51,44.15
2008-07-18,60,45.09
2008-07-25,67,45.58
2008-08-01,54,45.96
2008-08-08,65,46.69
2008-08-15,52,46.19
2008-08-22,54,46.14
2008-08-29,56,45.13
2008-09-05,51,45.08
2008-09-12,56,45.23
2008-09-19,49,47.54
2008-09-26,56,46.33
2008-10-03,55,42.48
2008-10-10,59,26.96
2008-10-17,48,31.58
2008-10-24,63,25.53
2008-10-31,52,26.39
2008-11-07,63,26.89
2008-11-14,48,27.07
2008-11-21,58,21.52
2008-11-28,58,25.44
2008-12-05,55,27.03
2008-12-12,69,27.16
2008-12-19,62,31.86
2008-12-26,78,30.84
2009-01-02,67,33.26
2009-01-09,81,30.06
2009-01-16,61,28.77
2009-01-23,77,26.63
2009-01-30,66,21.67
2009-02-06,60,22.7
2009-02-13,70,21.23
2009-02-20,61,18.44
2009-02-27,64,16.83
2009-03-06,78,14.55
2009-03-13,78,16.82
2009-03-20,50,18.59
2009-03-27,64,20.4
2009-04-03,58,21.26
2009-04-17,63,23.42
2009-04-24,70,22.31
2009-05-01,57,23.1
2009-05-08,49,26.12
2009-05-15,59,24.3
2009-05-22,54,26.27
2009-05-29,53,25.73
2009-06-05,49,25.05
2009-06-12,56,24.85
2009-06-19,59,24.07
2009-06-26,66,24.16
2009-07-10,68,23.08
2009-07-17,60,24.24
2009-07-24,55,26.4
2009-07-31,66,26.91
2009-08-07,67,27.79
2009-08-14,75,28.55
2009-08-21,73,28.63
2009-08-28,53,29.26
