"Date","sell.CAM","Price"
2009-06-05,85,30.27
2009-08-28,83,36.64
2009-12-18,75,39.88
2010-01-08,79,44.86
2010-01-15,80,41.65
2010-01-22,81,39.08
2010-01-29,74,37.66
2010-02-05,74,37.31
2010-02-12,76,40.86
2010-02-19,77,41.94
2010-02-26,78,41.13
2010-03-05,80,44.43
2010-03-12,70,44.65
2010-03-19,70,41.81
2010-03-26,70,41.1
2010-04-09,71,45.23
2010-04-16,72,44.75
2010-04-23,73,47.31
2010-04-30,74,39.46
2010-05-07,62,35.58
2010-05-14,62,37.3
2010-05-21,62,35.84
2010-05-28,62,36.2
2010-06-04,63,33.23
2010-06-11,63,36.43
2010-06-18,63,37.97
2010-06-25,63,35.55
2010-08-13,71,37.94
2010-08-20,73,36.84
2010-08-27,74,37.97
2010-09-03,67,38.92
2010-09-10,67,40.22
2010-09-17,53,39.54
2010-09-24,53,42.07
2010-10-01,53,43.63
2010-10-08,53,43.49
2010-10-15,53,43.09
2010-10-22,54,42.92
2010-10-29,55,43.75
2010-11-05,55,46.13
2010-11-12,56,44.23
2010-11-19,56,48.69
2010-11-26,56,47.48
2010-12-03,51,51.36
2010-12-10,51,49.35
2010-12-17,51,49.54
2010-12-31,71,50.73
2011-01-07,85,48.68
2011-01-14,100,52.23
2011-01-21,61,50.28
2011-01-28,52,52.48
2011-02-04,45,57.01
2011-02-11,84,56.54
2011-02-18,55,59.18
2011-02-25,77,59.72
2011-03-04,77,61.98
2011-03-11,60,59.04
2011-03-18,60,59.1
2011-03-25,60,59.08
2011-04-01,60,56.64
2011-04-08,60,55.49
2011-04-15,69,53.35
2011-04-29,52,52.72
2011-05-06,50,48.07
2011-05-13,50,49.65
2011-05-20,46,48.16
2011-05-27,48,47.37
2011-06-03,51,46.27
2011-06-10,53,44.78
2011-06-17,59,46.11
2011-06-24,51,45.7
2011-07-01,51,50.43
2011-07-08,51,51.15
2011-07-15,50,50.61
2011-07-22,50,52.94
2011-07-29,50,55.94
2011-08-05,69,47.89
2011-08-12,58,47.93
2011-08-19,58,44.42
2011-08-26,43,48.76
2011-09-02,55,49.63
2011-09-09,54,48.28
2011-09-16,54,52.43
2011-09-23,49,43.74
2011-09-30,66,41.54
2011-10-07,43,45.46
2011-10-14,43,49.68
2011-10-21,53,49.75
2011-10-28,52,51.78
2011-11-04,44,50.97
2011-11-11,50,52.19
2011-11-18,57,49.32
2011-11-25,64,46.29
2011-12-02,39,52.87
2011-12-09,66,53.02
2011-12-16,47,47.55
2011-12-23,61,49.63
2011-12-30,69,49.19
2012-01-06,70,49.87
2012-01-13,63,51.23
2012-01-20,44,53.35
2012-01-27,51,53.45
2012-02-03,65,55.83
2012-02-10,47,56.5
2012-02-17,47,56.09
2012-02-24,54,56.85
2012-03-02,58,55.44
2012-03-09,62,54.26
2012-03-16,39,52.94
2012-03-23,36,51.78
2012-03-30,36,52.83
2012-04-13,60,50.81
2012-04-20,50,49
2012-04-27,50,51.28
2012-05-04,44,48.73
2012-05-11,35,48.56
2012-05-18,60,44.71
2012-05-25,61,47.94
2012-06-01,43,44.54
2012-06-08,46,45.97
2012-06-15,49,44.75
2012-06-22,53,41.11
2012-06-29,57,42.71
2012-07-06,61,42.82
2012-07-13,46,43.62
2012-07-20,50,45.66
2012-07-27,54,51.82
2012-08-03,43,52.09
2012-08-10,47,52.29
2012-08-17,40,53.92
2012-08-24,69,53.71
2012-08-31,42,54.71
2012-09-07,49,56.02
2012-09-14,54,58.99
2012-09-21,38,57.73
2012-09-28,60,56.07
2012-10-05,44,54.93
2012-10-12,39,53.22
2012-10-19,61,55.21
2012-10-26,49,51.24
2012-11-02,55,49.71
2012-11-09,45,50.97
2012-11-16,58,52.27
2012-11-23,38,54.47
2012-11-30,43,53.95
2012-12-07,46,55.09
2012-12-14,34,53.21
2012-12-21,67,56.28
2012-12-28,63,54.18
2013-01-04,37,58.52
2013-01-11,45,57.55
2013-01-18,59,58.9
2013-01-25,65,60.72
2013-02-01,41,65.46
2013-02-08,41,65.41
2013-02-15,59,64.58
2013-02-22,37,63.95
2013-03-01,49,62.85
2013-03-08,35,65.45
2013-03-15,51,66.66
2013-03-22,39,63.19
2013-04-05,55,61.46
2013-04-12,37,62.64
2013-04-19,54,59.19
2013-04-26,40,60.4
2013-05-03,55,63.21
2013-05-10,63,63.36
2013-05-17,48,64.47
2013-05-24,51,62.65
2013-05-31,46,60.87
2013-06-07,48,62.55
2013-06-14,52,62.1
2013-06-21,48,61.53
2013-06-28,46,61.16
2013-07-05,62,63.16
2013-07-12,64,64.7
2013-07-19,62,65.76
2013-07-26,67,57.18
2013-08-02,58,58.91
2013-08-09,59,57.51
2013-08-16,65,55.99
2013-08-23,52,56.84
2013-08-30,54,56.79
2013-09-06,33,58.4
2013-09-13,33,57.93
2013-09-20,48,60.21
2013-09-27,41,59.01
2013-10-04,56,61.52
2013-10-11,57,63.36
2013-10-18,60,65.11
2013-10-25,42,53.25
2013-11-01,57,54.64
2013-11-08,63,54.65
2013-11-15,51,55.96
2013-11-22,42,55.5
2013-11-29,45,55.39
2013-12-06,59,55.98
2013-12-13,53,56.09
2013-12-20,43,58.71
2013-12-27,50,59.5
2014-01-03,57,58.35
2014-01-10,69,59.47
2014-01-17,38,58.69
2014-01-24,40,57.97
2014-01-31,50,59.97
2014-02-07,31,58.65
2014-02-14,62,61.07
2014-02-21,47,61.83
2014-02-28,40,64.06
2014-03-07,40,63
2014-03-14,49,61.92
2014-03-21,52,62.85
2014-03-28,39,61.46
2014-04-04,72,63.97
2014-04-11,49,60.66
2014-04-25,69,64.6
