"Date","sell.DE","Price"
2004-02-06,93,62.01
2004-02-13,85,64.01
2004-02-20,85,65.32
2004-02-27,85,64.23
2004-05-28,71,65.7
2004-06-04,66,67.16
2004-06-18,76,69.17
2004-06-25,81,69.76
2004-07-02,86,66.7
2004-09-03,73,63.3
2004-09-10,68,63.45
2004-09-17,68,65.01
2004-09-24,60,62.7
2004-10-01,60,64.89
2004-10-08,60,63.01
2004-10-15,60,60.08
2004-10-22,60,58.8
2004-10-29,81,59.78
2004-11-05,59,65.08
2004-11-12,87,68.92
2004-11-19,61,69.26
2004-11-26,61,73.14
2004-12-03,61,70.98
2004-12-10,70,70.56
2004-12-17,78,73.02
2004-12-31,60,74.4
2005-01-07,60,70.5
2005-01-14,62,70.84
2005-01-21,100,68
2005-01-28,74,67.97
2005-02-04,64,69.35
2005-02-11,67,69.33
2005-02-18,78,66.57
2005-02-25,91,70.59
2005-03-04,51,72.35
2005-03-11,57,69.39
2005-03-18,61,68.37
2005-04-01,46,66.24
2005-04-08,51,67.01
2005-04-15,56,62.47
2005-04-22,52,64.57
2005-04-29,59,62.54
2005-05-06,62,62.69
2005-05-13,58,59.69
2005-05-20,50,64.44
2005-05-27,86,66.32
2005-06-03,72,64.57
2005-06-10,49,66.81
2005-06-17,52,67.93
2005-06-24,55,65.94
2005-07-01,58,66.1
2005-07-08,60,68.76
2005-07-15,82,69.75
2005-07-22,60,71.35
2005-07-29,68,73.53
2005-08-05,72,71.59
2005-08-12,54,72.6
2005-08-19,67,64.95
2005-08-26,95,63.83
2005-09-02,87,65.05
2005-09-09,66,64.55
2005-09-16,44,62.55
2005-09-23,56,60.55
2005-09-30,57,61.2
2005-10-07,65,61.11
2005-10-14,58,59.35
2005-10-21,42,57.16
2005-10-28,48,59.64
2005-11-04,74,61.95
2005-11-11,68,63.88
2005-11-18,54,63.1
2005-11-25,69,67.68
2005-12-02,32,68.87
2005-12-09,56,69.11
2005-12-16,50,70.02
2005-12-23,50,70.58
2005-12-30,50,68.11
2006-01-06,51,68.43
2006-01-13,63,69.6
2006-01-20,63,68.86
2006-01-27,72,72.4
2006-02-03,57,74.51
2006-02-10,49,73.62
2006-02-17,43,76.19
2006-02-24,59,77.64
2006-03-03,40,78.37
2006-03-10,55,74.97
2006-03-17,81,78.4
2006-03-24,41,78.25
2006-03-31,82,79.05
2006-04-07,52,79.63
2006-04-21,60,87.56
2006-04-28,74,87.78
2006-05-05,54,90.36
