"Date","sell.KIM","Price"
2009-08-07,67,12.03
2009-08-14,73,11.16
2010-03-05,61,14.61
2010-03-12,64,15.12
2010-03-19,68,15.57
2010-03-26,72,16.1
2010-04-09,64,16.4
2010-07-16,69,13.37
2010-07-23,49,14.73
2010-07-30,49,15.07
2010-08-06,49,15.06
2010-08-13,49,14.58
2010-08-20,55,14.38
2010-08-27,62,14.95
2010-10-15,57,17.03
2010-10-22,43,17.33
2010-10-29,60,17.21
2010-11-05,42,18.08
2010-11-12,42,16.94
2010-11-19,42,16.37
2010-11-26,42,16.62
2010-12-03,62,17.28
2010-12-10,54,17.15
2010-12-17,76,16.91
2010-12-31,53,18.04
2011-01-07,50,18.07
2011-01-14,40,18.08
2011-01-21,63,17.71
2011-01-28,47,17.83
2011-02-04,58,18.38
2011-02-11,70,18.56
2011-02-18,54,18.79
2011-02-25,53,18.88
2011-03-04,41,18.19
2011-03-11,42,18.05
2011-03-18,43,17.68
2011-03-25,44,17.75
2011-04-01,46,17.91
2011-04-08,81,17.54
2011-04-15,46,18.05
2011-04-29,46,19.54
2011-05-06,46,19.07
2011-05-13,50,18.98
2011-05-20,38,18.98
2011-05-27,38,19.16
2011-06-03,47,18.68
2011-06-10,56,17.23
2011-06-17,42,17.73
2011-06-24,42,18.08
2011-07-01,42,18.73
2011-07-08,38,19.5
2011-07-15,38,19.35
2011-07-22,38,20.3
2011-07-29,38,19.03
2011-08-05,42,16.09
2011-08-12,41,16.86
2011-08-19,49,16.2
2011-08-26,91,16.63
2011-09-02,71,16.63
2011-09-09,62,16.19
2011-09-16,59,16.93
2011-09-23,34,15.22
2011-09-30,34,15.03
2011-10-07,40,14.58
2011-10-14,43,15.49
2011-10-21,41,16.32
2011-10-28,57,17.9
2011-11-04,73,17.32
2011-11-11,50,16.3
2011-11-18,49,15.76
2011-11-25,49,14.72
2011-12-02,52,15.59
2011-12-09,57,16.04
2011-12-16,62,16.13
2011-12-23,72,16.9
2011-12-30,58,16.24
2012-01-06,58,16.45
2012-01-13,49,17.22
2012-01-20,52,18.12
2012-01-27,48,18.36
2012-02-03,45,18.89
2012-02-10,45,18.39
2012-02-17,45,18.77
2012-02-24,36,18.7
2012-03-02,30,18.77
2012-03-09,30,18.17
2012-03-16,30,19.61
2012-03-23,48,19.2
2012-03-30,48,19.26
2012-04-13,31,18.11
2012-04-20,39,18.8
2012-04-27,47,19.35
2012-05-04,36,19.49
2012-05-11,36,19.61
2012-05-18,36,17.79
2012-05-25,36,18.09
2012-06-01,51,17.45
2012-06-08,35,18.45
2012-06-15,35,18.63
2012-06-22,38,18.44
2012-06-29,44,19.03
2012-07-06,49,19.25
2012-07-13,53,19.28
2012-07-20,53,19.05
2012-07-27,58,19.28
2012-08-03,63,19.94
2012-08-10,39,19.56
2012-08-17,36,20.31
2012-08-24,49,20.32
2012-08-31,52,20.32
2012-09-07,46,20.48
2012-09-14,34,21.03
2012-09-21,66,20.63
2012-09-28,36,20.27
2012-10-05,30,20.25
2012-10-12,38,20.27
2012-10-19,40,20.58
2012-10-26,54,19.63
2012-11-02,59,19.59
2012-11-09,43,18.94
2012-11-16,45,18.56
2012-11-23,29,19.17
2012-11-30,36,19.26
2012-12-07,31,19.6
2012-12-14,49,19.29
2012-12-21,35,19.45
2012-12-28,32,19.05
2013-01-04,82,19.8
2013-01-11,40,19.8
2013-01-18,32,19.87
2013-01-25,54,20.7
2013-02-01,41,21.05
2013-02-08,34,21.55
2013-02-15,47,21.71
2013-02-22,59,21.71
2013-03-01,57,21.8
2013-03-08,26,22.07
2013-03-15,52,22.07
2013-03-22,35,22.31
2013-04-05,63,22.6
2013-04-12,59,23.24
2013-04-19,50,22.89
2013-04-26,50,23.1
2013-05-03,61,24.56
2013-05-10,41,24.97
2013-05-17,48,24.22
2013-05-24,31,23.15
2013-05-31,38,22.15
2013-06-07,35,22.13
2013-06-14,57,22.01
2013-06-21,98,20.84
2013-06-28,100,21.43
2013-07-05,68,21.38
2013-07-12,54,22.34
2013-07-19,33,22.97
2013-07-26,37,22.71
2013-08-02,29,22.5
2013-08-09,39,22.13
2013-08-16,59,20.5
2013-08-23,65,20.57
2013-08-30,54,20.03
2013-09-06,32,20.1
2013-09-13,38,20.25
2013-09-20,39,20.63
2013-09-27,36,20.37
2013-10-04,40,19.58
2013-10-11,41,20.39
2013-10-18,45,20.86
2013-10-25,69,21.61
2013-11-01,32,21.56
2013-11-08,33,21
2013-11-15,42,21.18
2013-11-22,50,20.91
2013-11-29,38,20.62
2013-12-06,30,20.98
2013-12-13,35,20.02
2013-12-20,41,20.21
2013-12-27,37,20.13
2014-01-03,26,19.94
2014-01-10,41,20.56
2014-01-17,29,20.76
2014-01-24,23,20.69
2014-01-31,38,20.91
2014-02-07,35,20.93
2014-02-14,31,21.68
2014-02-21,48,21.79
2014-02-28,43,22.26
2014-03-07,37,22.05
2014-03-14,21,21.88
2014-03-21,39,21.85
2014-03-28,49,21.84
2014-04-04,39,21.88
2014-04-11,33,21.75
2014-04-25,23,22.54
