"Date","sell.KORS","Price"
2011-12-23,42,27
2011-12-30,36,27.25
2012-07-27,37,41.33
2012-08-03,34,41.19
2012-08-10,34,42.32
2012-08-17,38,52.09
2012-08-24,43,53.92
2012-08-31,47,53.95
2012-09-07,35,56.03
2012-09-14,29,53.59
2012-09-21,29,57.35
2012-09-28,45,53.18
2012-10-05,36,53.46
2012-10-12,36,52.98
2012-10-19,36,55.05
2012-10-26,36,54.49
2012-11-02,30,56.2
2012-11-09,33,50.43
2012-11-16,38,50.32
2012-11-23,76,51.47
2012-11-30,29,53.15
2012-12-07,37,51.6
2012-12-14,50,49.88
2012-12-21,90,53.49
2012-12-28,66,49.18
2013-01-04,29,52.23
2013-01-11,38,52.94
2013-01-18,30,54.48
2013-01-25,33,58.08
2013-02-01,30,55.72
2013-02-08,42,57.1
2013-02-15,50,63.27
2013-02-22,29,59.11
2013-03-01,29,59.23
2013-03-08,29,58.19
2013-03-15,26,57.38
2013-03-22,26,55.61
2013-04-05,29,54.98
2013-04-12,48,56
2013-04-19,41,53.08
2013-04-26,39,56.12
2013-05-03,37,58.04
2013-05-10,40,60.36
2013-05-17,44,60.61
2013-05-24,36,60.09
2013-05-31,31,62.82
2013-06-07,31,62.69
2013-06-14,44,60.8
2013-06-21,29,59.18
2013-06-28,31,62.02
2013-07-05,25,62.97
2013-07-12,30,63.82
2013-07-19,46,62.12
2013-07-26,57,64.83
2013-08-02,25,68.8
2013-08-09,57,72.05
2013-08-16,40,70.2
2013-08-23,39,72.57
2013-08-30,23,74.09
2013-09-06,23,75.7
2013-09-13,35,74.03
2013-09-20,67,75.98
2013-09-27,49,74.45
2013-10-04,41,76.35
2013-10-11,26,72.88
2013-10-18,28,75.24
2013-10-25,45,76.24
2013-11-01,51,75.43
2013-11-08,45,79.4
2013-11-15,61,82.73
2013-11-22,48,80.64
2013-11-29,88,81.55
2013-12-06,61,79.68
2013-12-13,65,82.27
2013-12-20,90,83.88
2013-12-27,100,80.58
2014-01-03,87,82.51
2014-01-10,52,79.8
2014-01-17,30,77.03
2014-01-24,32,80.07
2014-01-31,32,79.93
2014-02-07,67,94.22
2014-02-14,87,98.46
2014-02-21,42,97.56
2014-02-28,42,98.03
2014-03-07,38,98.28
2014-03-14,38,98.12
2014-03-21,44,97.46
2014-03-28,48,92.75
2014-04-04,50,89.54
2014-04-11,31,86.87
2014-04-25,63,89.88
