"Date","sell.MS","Price"
2008-04-25,78,50.65
2008-09-19,70,27.21
2009-02-06,65,22.87
2009-02-13,58,22.93
2009-02-20,58,19.43
2009-02-27,58,19.54
2009-03-06,58,17.18
2009-03-13,62,25.43
2009-03-20,65,20.24
2009-03-27,68,24.35
2009-04-03,63,24.06
2009-04-17,63,25
2009-04-24,63,21.96
2009-05-01,63,25.82
2009-05-08,63,28.2
2009-05-15,85,26.13
2009-06-26,55,28.62
2009-07-10,63,25.94
2009-07-17,69,27.99
2009-07-24,80,28.25
2009-07-31,92,28.5
2009-08-07,57,31.22
2009-08-14,57,29.79
2009-08-21,55,29.69
2009-08-28,55,29.51
2009-09-04,55,27.65
2009-09-11,55,28.82
2009-09-18,55,31.38
2009-09-25,56,30.55
2009-10-02,56,29.46
2009-10-09,56,32.09
2009-10-16,60,32.99
2009-10-23,49,35
2009-10-30,49,32.12
2009-11-06,49,32.6
2009-11-13,62,33.09
2009-11-20,48,32.1
2009-11-27,48,30.51
2009-12-04,48,30.97
2009-12-11,48,29.78
2009-12-18,49,29.21
2010-01-08,50,32.25
2010-01-15,50,30.38
2010-01-22,45,27.8
2010-01-29,44,26.78
2010-02-05,62,27.26
2010-02-12,53,27.16
2010-02-19,47,27.41
2010-02-26,47,28.18
2010-03-05,44,29.41
2010-03-12,56,29.91
2010-03-19,44,29.63
2010-03-26,44,28.85
2010-04-09,60,30.98
2010-04-16,44,29.16
2010-04-23,44,31.94
2010-04-30,44,30.22
2010-05-07,45,27.75
2010-05-14,45,27.08
2010-05-21,63,27.11
2010-05-28,50,27.11
2010-06-04,55,25.99
2010-06-11,76,26
2010-06-18,55,25.7
2010-06-25,55,25.01
2010-07-02,55,22.83
2010-07-09,61,24.7
2010-07-16,60,24.74
2010-07-23,60,26.89
2010-07-30,60,26.99
2010-08-06,47,27.65
2010-08-13,59,25.9
2010-08-20,60,25.92
2010-08-27,74,25.03
2010-09-03,52,26.66
2010-09-10,61,27.19
2010-09-17,47,26.47
2010-09-24,50,25.15
2010-10-01,61,25.02
2010-10-08,53,25.32
2010-10-15,53,25.02
2010-10-22,45,24.52
2010-10-29,45,24.87
2010-11-05,44,27.28
2010-11-12,44,25.57
2010-11-19,40,25.62
2010-11-26,55,24.7
2010-12-03,36,25.64
2010-12-10,65,26.95
2010-12-17,76,26.24
2010-12-31,66,27.21
2011-01-07,58,28.2
2011-01-14,52,28.98
2011-01-21,56,30.01
2011-01-28,61,29.04
2011-02-04,61,29.85
2011-02-11,40,30.16
2011-02-18,40,30.99
2011-02-25,49,29.87
2011-03-04,39,28.44
2011-03-11,52,28.34
2011-03-18,53,27.43
2011-03-25,36,27.13
2011-04-01,53,27.26
2011-04-08,57,27.25
2011-04-15,60,26.98
2011-04-29,65,26.15
2011-05-06,80,25.24
2011-05-13,56,24.13
2011-05-20,55,23.83
2011-05-27,59,24.07
2011-06-03,57,23.12
2011-06-10,55,22.69
2011-06-17,42,22.83
2011-06-24,55,22.21
2011-07-01,66,23.76
2011-07-08,56,22.3
2011-07-15,67,21.09
2011-07-22,68,23.9
2011-07-29,49,22.25
2011-08-05,59,20.02
2011-08-12,84,16.89
2011-08-19,88,16
2011-08-26,81,16.61
2011-09-02,31,15.96
2011-09-09,84,15.28
2011-09-16,69,16.45
2011-09-23,42,13.72
2011-09-30,53,13.51
2011-10-07,41,14.24
2011-10-14,40,15.22
2011-10-21,76,17.02
2011-10-28,78,19.31
2011-11-04,40,16.72
2011-11-11,66,16.36
2011-11-18,84,14.21
2011-11-25,60,13.26
2011-12-02,93,15.52
2011-12-09,50,16.38
2011-12-16,48,14.98
2011-12-23,44,15.76
2011-12-30,43,15.13
2012-01-06,51,15.9
2012-01-13,50,16.63
2012-01-20,76,18.39
2012-01-27,31,18.56
2012-02-03,28,20.31
2012-02-10,52,19.66
2012-02-17,70,19.16
2012-02-24,63,18.49
2012-03-02,60,18.87
2012-03-09,84,18.37
2012-03-16,65,19.53
2012-03-23,57,20.33
2012-03-30,94,19.64
2012-04-13,48,17.28
2012-04-20,51,17.48
2012-04-27,48,16.95
2012-05-04,84,16
2012-05-11,81,14.95
2012-05-18,48,13.35
2012-05-25,88,13.25
2012-06-01,85,12.73
2012-06-08,66,13.71
2012-06-15,80,14.3
2012-06-22,67,14.14
2012-06-29,61,14.59
2012-07-06,75,14.14
2012-07-13,79,14.05
2012-07-20,72,12.78
2012-07-27,78,13.49
2012-08-03,90,13.78
2012-08-10,57,14.61
2012-08-17,57,14.59
2012-08-24,58,14.56
2012-08-31,55,15
2012-09-07,60,17.08
2012-09-14,84,18.24
2012-09-21,62,17.08
2012-09-28,67,16.74
2012-10-05,62,17.5
2012-10-12,56,17.31
2012-10-19,86,17.53
