"Date","sell.NOV","Price"
2008-11-14,98,25.81
2008-11-21,84,21.52
2008-11-28,99,28.29
2009-11-06,68,43.68
2009-11-13,56,44.17
2009-11-20,60,42.79
2009-11-27,64,43.3
2010-11-05,100,58.77
2010-11-12,87,57.65
2010-11-19,78,61.73
2010-11-26,51,61.52
2010-12-03,55,63
2011-11-11,84,71.05
2011-11-18,46,67.5
2011-11-25,67,64.52
2011-12-02,50,71.05
2012-11-02,35,71.65
2012-11-09,57,68.97
2012-11-16,54,70.61
2012-11-23,49,72.6
2012-11-30,34,68.3
2013-11-01,44,80.83
2013-11-08,58,82.2
2013-11-15,39,84.3
2013-11-22,59,83.66
2013-11-29,27,81.5
2013-12-06,22,81.59
