"Date","sell.PH","Price"
2007-03-16,100,82.41
2007-06-22,71,99.21
2008-02-01,77,68.89
2008-02-08,69,64.96
2008-02-15,69,65.87
2008-02-22,69,64.91
2008-02-29,69,64.63
2008-04-11,45,71.72
2008-05-23,45,80.57
2008-05-30,49,84.67
2008-06-06,53,78.17
2008-07-18,51,66.88
2008-07-25,46,67.19
2008-08-01,46,60.56
2008-10-03,41,47.34
2008-10-10,44,40.18
2008-10-17,48,41.54
2009-01-23,46,39.08
2009-01-30,46,38.21
2009-02-06,46,41.87
2009-02-13,35,40.69
2009-02-20,35,37.47
2009-04-03,52,38.55
2009-04-17,35,40.07
2009-04-24,34,43.9
2009-05-01,34,46.18
2009-05-08,34,47.16
2009-05-15,36,43.66
2009-05-22,38,42.53
2009-05-29,40,42.26
2009-06-05,33,47.79
2009-06-12,33,46.19
2009-06-19,33,42.5
2009-06-26,33,42.74
2009-09-11,34,50.2
2009-09-18,36,55.18
2009-09-25,37,52.2
2009-10-02,30,49.5
2009-10-09,30,52.87
2009-10-16,36,53.27
2009-10-23,35,56.86
2009-10-30,28,52.96
2009-11-06,28,56.14
2009-11-13,28,55
2009-11-20,28,53.98
2009-11-27,28,53.57
2009-12-04,28,55.31
2009-12-11,28,54
2009-12-18,28,53.99
2010-01-08,28,56.22
2010-03-05,42,62.93
2010-03-12,31,63.61
2010-03-19,32,65.11
2010-03-26,34,64.61
2010-05-28,51,61.46
2010-06-04,38,58.52
2010-06-11,38,61.06
2010-06-18,38,60.86
2010-06-25,38,58.21
2010-07-02,38,55.02
2010-07-09,31,57.32
2010-07-16,31,56.26
2010-07-23,31,62.19
2010-07-30,28,62.12
2010-08-06,25,65.48
2010-08-13,27,63.52
2010-08-20,28,63.23
2010-08-27,29,60.69
2010-09-03,30,64.97
2010-09-10,31,65.05
2010-09-17,25,68.53
2010-09-24,25,69.88
2010-10-01,22,70.41
2010-10-08,22,71.18
2010-10-15,22,71.03
2010-10-22,22,76.31
2010-10-29,25,76.55
2010-11-05,28,81.68
2010-11-12,31,79.39
2010-11-19,35,81.18
2011-01-07,21,86.05
2011-01-14,39,89.65
2011-01-21,36,86
2011-01-28,24,87.19
2011-02-04,29,91.01
2011-04-08,24,95.31
2011-05-20,21,86.44
2011-05-27,31,89.38
2011-06-03,40,86.29
2011-06-10,19,85.83
2011-06-17,25,85.32
2011-06-24,23,85.04
2011-07-01,20,91.58
2011-07-08,20,89.27
2011-07-15,20,87.46
2011-07-22,21,87.45
2011-07-29,21,79.02
2011-09-09,18,66.38
2011-09-16,21,70.07
2011-09-23,22,62.32
2011-09-30,23,63.13
2011-10-07,24,66.01
2011-10-14,25,73.61
2011-10-21,19,77.85
2011-10-28,19,83.89
2011-11-04,29,84.55
2011-11-11,20,84.22
2011-11-18,22,81.09
2011-11-25,18,74.98
2011-12-02,18,82.11
2011-12-09,30,81.02
2011-12-16,20,75.02
2012-02-03,17,85.72
2012-02-10,15,87.51
2012-02-17,16,88.57
2012-02-24,16,89.63
2012-03-02,17,88.54
2012-03-09,20,88.22
2012-03-16,21,90.15
2012-03-23,20,85.63
2012-03-30,20,84.55
2012-04-13,19,82.03
2012-04-20,17,82.79
2012-04-27,17,88.99
2012-05-04,16,85.14
2012-05-11,21,86.85
2012-05-18,20,80.61
2012-05-25,20,84.36
2012-06-01,20,77.87
2012-06-08,20,81.27
2012-08-03,17,79.97
2012-08-10,17,83.47
2012-08-17,17,83.83
2012-08-24,15,81.58
2012-08-31,15,79.98
2012-09-07,16,83.69
2012-09-14,17,86.38
2012-09-21,19,85.5
2012-09-28,20,83.58
2012-10-05,21,84.41
2012-10-12,22,79.4
2012-10-19,14,78.5
2012-10-26,19,77.58
2012-11-02,18,79.43
2012-11-09,18,79.09
2012-11-16,19,80.01
2012-11-23,21,81.43
2012-11-30,22,82.15
2012-12-07,13,83.81
2012-12-14,13,83.49
2012-12-21,15,85.15
2012-12-28,15,83.86
2013-01-04,16,88.82
2013-01-11,20,89.04
2013-01-18,14,93.7
2013-01-25,14,94.37
2013-02-01,13,93.85
2013-02-08,13,94.32
2013-02-15,13,96.04
2013-02-22,13,94.54
2013-03-01,18,94.45
2013-03-08,13,97.95
2013-03-15,13,96.72
2013-03-22,13,92.08
2013-04-05,12,89.38
2013-04-12,14,89.04
2013-04-19,15,85.55
2013-04-26,17,88.74
2013-05-03,12,91.38
2013-05-10,13,94.05
2013-05-17,14,100.01
2013-05-24,15,98.29
2013-05-31,16,99.76
2013-06-07,12,98.34
2013-06-14,12,97.41
2013-06-21,12,94.85
2013-06-28,12,95.4
2013-07-05,13,97.62
2013-07-12,13,99.16
2013-07-19,13,103.11
2013-07-26,19,102.12
2013-08-02,15,105.24
2013-08-09,15,104.14
2013-08-16,14,103.4
2013-08-23,14,103.09
2013-08-30,14,99.95
2013-09-06,12,103.22
2013-09-13,12,104.36
2013-09-20,12,107.54
2013-09-27,12,108.95
2013-10-04,12,107.58
2013-10-11,13,107.78
2013-10-18,13,112.41
2013-10-25,11,116.42
2013-11-01,12,115.99
2013-11-08,12,116.13
2013-11-15,13,117.61
2013-11-22,14,118.62
2013-11-29,15,117.84
2013-12-06,15,121.1
2013-12-13,14,118.97
2013-12-20,16,126.21
2013-12-27,19,128.11
2014-01-03,13,127.25
2014-01-10,17,127.2
2014-01-17,20,127.43
2014-01-24,15,114.63
2014-01-31,12,113.37
2014-02-07,19,118.67
2014-02-14,15,117.85
2014-02-21,15,117.77
2014-02-28,15,120.55
2014-03-07,11,124.38
2014-03-14,13,116.19
2014-03-21,20,119.38
2014-03-28,15,119.24
2014-04-04,12,121.8
2014-04-11,10,119.14
2014-04-25,11,122.4
