"Date","sell.SEE","Price"
2005-02-04,100,52.25
2005-02-11,94,52.38
2005-08-19,91,50.97
2005-12-09,78,52.72
2005-12-16,62,54.26
2005-12-23,62,55.86
2005-12-30,62,56.17
2006-01-06,62,56.49
2006-01-13,62,54.52
2006-01-20,64,54.99
2006-01-27,66,56
2006-02-03,59,54.26
2006-02-10,63,54.73
2006-02-17,73,56.07
2006-02-24,57,56.56
2006-03-03,57,57.78
2006-03-10,83,57.16
2006-03-17,59,58.75
2006-03-24,59,57.55
2006-03-31,59,57.87
2006-06-30,54,52.08
2006-08-25,66,50.98
2006-10-27,62,59.09
2006-11-03,51,58.9
2006-11-10,51,60.15
2006-11-17,48,60.8
2006-11-24,48,60.39
2006-12-01,41,59.15
2006-12-08,54,63.09
2006-12-15,42,63.11
2006-12-22,63,63.63
2006-12-29,64,64.92
2007-01-05,69,63.89
2007-01-12,61,65.34
2007-01-19,61,65.7
2007-01-26,61,64.14
2007-02-02,52,65.79
2007-02-09,52,64.08
2007-02-16,71,66.25
2007-02-23,42,66.82
2007-03-02,86,63.04
2007-03-09,58,62.61
2007-03-16,66,63.33
2007-03-23,47,32.55
2007-03-30,47,31.6
2007-04-13,37,31.87
2007-04-20,42,32.44
2007-04-27,35,33.21
2007-05-04,32,33.07
2007-05-11,32,33.53
2007-05-18,36,33.28
2007-05-25,33,32.17
2007-06-01,33,32.08
2007-06-08,33,31.15
2007-06-15,42,31.18
2007-06-22,32,31.25
2007-06-29,32,31.02
2007-07-06,37,31.33
2007-07-13,46,31.25
2007-07-20,43,29.9
2007-07-27,36,27.11
2007-08-03,33,25.47
2007-08-10,36,26.43
2007-08-17,49,26.91
2007-08-24,41,26.75
2007-08-31,44,26.45
2007-09-07,41,25.44
2007-09-14,41,25.37
2007-09-21,58,26.12
2007-09-28,29,25.56
2007-10-05,34,27.19
2007-10-12,40,26.54
2007-10-19,31,25.35
2007-10-26,38,24.72
2007-11-02,34,24.32
2007-11-09,40,24.19
2007-11-16,56,23.61
2007-11-23,43,23.18
2007-11-30,34,23.37
2007-12-07,44,23.57
2007-12-14,42,23.45
2007-12-21,46,23.51
2007-12-28,51,23.19
2008-01-04,68,21.74
2008-01-11,47,20.37
2008-01-18,59,22.04
2008-01-25,57,23.25
2008-02-01,42,26.41
2008-02-08,50,26.01
2008-02-15,42,25.78
2008-02-22,29,25.21
2008-02-29,48,24.21
2008-03-07,59,24.2
2008-03-14,31,24.66
2008-03-28,43,25
2008-04-04,52,27.06
2008-04-11,35,25.96
2008-04-18,31,28.11
2008-04-25,31,28.18
2008-05-02,34,24.53
2008-05-09,38,24
2008-05-16,51,25.32
2008-05-23,23,23.37
2008-05-30,23,24.36
2008-06-06,32,22.97
2008-06-13,35,22.63
2008-06-20,45,20.78
2008-06-27,52,19.53
2008-07-11,40,18.7
2008-07-18,55,20.1
2008-07-25,34,21.04
2008-08-01,59,21.71
2008-08-08,55,23.12
2008-08-15,44,23.72
2008-08-22,70,23.16
2008-08-29,47,24.23
2008-09-05,39,23.83
2008-09-12,38,25.01
2008-09-19,38,23.25
2008-09-26,42,23.13
2008-10-03,46,21.35
2008-10-10,52,21.8
2008-10-17,37,19.32
2008-10-24,48,18.95
2008-10-31,38,16.92
2008-11-07,76,16.42
2008-11-14,49,15.99
2008-11-21,72,12.7
2008-11-28,41,15.83
2008-12-05,57,15
2008-12-12,68,14.75
2008-12-19,55,14.85
2008-12-26,46,14.66
2009-01-02,50,15.25
2009-01-09,50,15.11
2009-01-16,71,14.32
2009-01-23,61,13.7
2009-01-30,51,13.55
2009-02-06,54,14.08
2009-02-13,38,12.85
2009-02-20,53,11.48
2009-02-27,56,11.16
2009-03-06,42,10.64
2009-03-13,46,12.59
2009-03-20,41,12.91
2009-03-27,55,14.17
2009-04-03,57,14.92
2009-04-17,45,15.73
2009-04-24,31,17.93
2009-05-01,46,19.15
2009-05-08,33,20.96
2009-05-15,45,18.73
2009-05-22,51,19.65
2009-05-29,41,20.01
2009-06-05,36,19.74
