Date,DIS,Price
2004-01-09,55,
2004-01-16,57,
2004-01-23,60,
2004-01-30,57,
2004-02-06,55,23.35
2004-02-13,55,26.92
2004-02-20,52,26.55
2004-02-27,58,26.53
2004-03-05,61,26.48
2004-03-12,54,26.10
2004-03-19,62,25.39
2004-03-26,49,25.10
2004-04-02,53,25.95
2004-04-09,58,
2004-04-16,50,24.90
2004-04-23,57,24.65
2004-04-30,50,23.03
2004-05-07,62,22.45
2004-05-14,49,23.24
2004-05-21,54,22.68
2004-05-28,52,23.47
2004-06-04,56,24.06
2004-06-11,55,
2004-06-18,52,25.02
2004-06-25,52,25.18
2004-07-02,58,25.27
2004-07-09,60,24.60
2004-07-16,58,23.45
2004-07-23,59,22.96
2004-07-30,63,23.09
2004-08-06,54,21.99
2004-08-13,52,20.89
2004-08-20,52,22.44
2004-08-27,53,22.66
2004-09-03,54,22.37
2004-09-10,52,23.16
2004-09-17,55,23.42
2004-09-24,55,23.46
2004-10-01,51,23.08
2004-10-08,57,24.85
2004-10-15,55,24.91
2004-10-22,58,24.62
2004-10-29,57,25.22
2004-11-05,62,26.43
2004-11-12,57,26.80
2004-11-19,54,26.66
2004-11-26,56,27.12
2004-12-03,58,27.37
2004-12-10,54,27.63
2004-12-17,57,27.37
2004-12-24,53,
2004-12-31,49,27.80
2005-01-07,53,27.17
2005-01-14,60,28.30
2005-01-21,60,28.15
2005-01-28,55,28.23
2005-02-04,55,29.31
2005-02-11,62,29.34
2005-02-18,54,29.06
2005-02-25,55,27.89
2005-03-04,58,28.88
2005-03-11,67,27.59
2005-03-18,59,28.09
2005-03-25,60,
2005-04-01,58,28.58
2005-04-08,65,28.40
2005-04-15,61,27.37
2005-04-22,55,27.30
2005-04-29,66,26.40
2005-05-06,59,26.89
2005-05-13,57,27.00
2005-05-20,50,27.83
2005-05-27,54,27.88
2005-06-03,51,27.32
2005-06-10,56,27.52
2005-06-17,59,26.70
2005-06-24,56,26.04
2005-07-01,57,25.09
2005-07-08,58,25.00
2005-07-15,59,26.38
2005-07-22,52,25.83
2005-07-29,57,25.64
2005-08-05,58,25.48
2005-08-12,57,25.76
2005-08-19,55,25.97
2005-08-26,53,25.33
2005-09-02,59,24.76
2005-09-09,54,25.04
2005-09-16,58,24.11
2005-09-23,59,23.22
2005-09-30,58,24.13
2005-10-07,60,24.10
2005-10-14,57,23.39
2005-10-21,58,22.98
2005-10-28,56,23.82
2005-11-04,63,24.81
2005-11-11,62,25.86
2005-11-18,59,25.20
2005-11-25,57,25.05
2005-12-02,57,24.88
2005-12-09,58,25.19
2005-12-16,59,24.70
2005-12-23,59,24.27
2005-12-30,48,23.97
2006-01-06,56,24.74
2006-01-13,66,25.70
2006-01-20,66,25.72
2006-01-27,70,25.08
2006-02-03,59,25.01
2006-02-10,63,26.68
2006-02-17,60,26.91
2006-02-24,58,27.98
2006-03-03,61,28.22
2006-03-10,66,28.16
2006-03-17,62,28.64
2006-03-24,59,27.45
2006-03-31,59,27.89
2006-04-07,63,27.53
2006-04-14,59,
2006-04-21,59,27.02
2006-04-28,60,27.96
2006-05-05,59,29.09
2006-05-12,60,29.90
2006-05-19,62,30.15
2006-05-26,61,30.51
2006-06-02,60,30.62
2006-06-09,57,29.33
2006-06-16,59,29.45
2006-06-23,58,29.12
2006-06-30,60,30.00
2006-07-07,63,29.83
2006-07-14,60,28.49
2006-07-21,56,28.47
2006-07-28,59,29.70
2006-08-04,61,29.90
2006-08-11,57,29.43
2006-08-18,59,29.91
2006-08-25,59,28.95
2006-09-01,57,29.89
2006-09-08,57,29.58
2006-09-15,59,30.31
2006-09-22,60,30.08
2006-09-29,59,30.91
2006-10-06,63,31.34
2006-10-13,58,31.11
2006-10-20,63,31.45
2006-10-27,66,31.73
2006-11-03,88,31.89
2006-11-10,89,32.40
2006-11-17,78,32.94
2006-11-24,73,32.91
2006-12-01,74,33.09
2006-12-08,72,34.39
2006-12-15,67,34.30
2006-12-22,62,34.16
2006-12-29,64,34.27
2007-01-05,66,34.19
2007-01-12,69,35.21
2007-01-19,66,35.50
2007-01-26,70,34.55
2007-02-02,67,35.18
2007-02-09,68,34.36
2007-02-16,71,34.89
2007-02-23,64,35.14
2007-03-02,78,33.95
2007-03-09,70,34.37
2007-03-16,71,33.61
2007-03-23,73,34.99
2007-03-30,68,34.43
2007-04-06,66,
2007-04-13,64,34.72
2007-04-20,70,35.28
2007-04-27,66,34.98
2007-05-04,66,35.85
2007-05-11,73,36.07
2007-05-18,68,36.02
2007-05-25,67,36.03
2007-06-01,67,35.24
2007-06-08,77,34.20
2007-06-15,73,34.40
2007-06-22,70,34.14
2007-06-29,72,34.14
2007-07-06,71,34.49
2007-07-13,63,34.37
2007-07-20,67,34.34
2007-07-27,66,33.74
2007-08-03,63,33.90
2007-08-10,63,33.16
2007-08-17,62,32.68
2007-08-24,65,33.87
2007-08-31,65,33.60
2007-09-07,66,33.59
2007-09-14,66,33.56
2007-09-21,65,34.60
2007-09-28,66,34.39
2007-10-05,65,35.47
2007-10-12,65,35.47
2007-10-19,66,33.81
2007-10-26,69,34.38
2007-11-02,72,33.92
2007-11-09,66,32.74
2007-11-16,66,32.53
2007-11-23,79,31.84
2007-11-30,77,33.15
2007-12-07,75,32.79
2007-12-14,66,33.01
2007-12-21,64,32.94
2007-12-28,60,32.42
2008-01-04,69,31.13
2008-01-11,68,30.32
2008-01-18,71,28.51
2008-01-25,77,28.68
2008-02-01,74,30.66
2008-02-08,80,32.12
2008-02-15,78,32.49
2008-02-22,77,32.57
2008-02-29,76,32.41
2008-03-07,77,30.76
2008-03-14,72,30.78
2008-03-21,72,
2008-03-28,77,31.00
2008-04-04,76,31.24
2008-04-11,84,30.18
2008-04-18,78,31.33
2008-04-25,80,32.36
2008-05-02,80,33.49
2008-05-09,81,34.30
2008-05-16,78,34.91
2008-05-23,77,33.23
2008-05-30,73,33.60
2008-06-06,75,33.01
2008-06-13,77,33.93
2008-06-20,76,31.94
2008-06-27,77,31.57
2008-07-04,72,
2008-07-11,74,29.20
2008-07-18,68,30.90
2008-07-25,70,31.10
2008-08-01,71,30.08
2008-08-08,71,32.03
2008-08-15,74,32.50
2008-08-22,71,32.20
2008-08-29,71,32.35
2008-09-05,73,31.36
2008-09-12,71,33.26
2008-09-19,67,34.39
2008-09-26,67,32.75
2008-10-03,70,29.54
2008-10-10,73,23.04
2008-10-17,75,24.75
2008-10-24,68,22.61
2008-10-31,67,25.91
2008-11-07,72,23.36
2008-11-14,70,21.08
2008-11-21,70,21.12
2008-11-28,69,22.52
2008-12-05,66,22.77
2008-12-12,67,22.61
2008-12-19,68,22.43
2008-12-26,62,22.18
2009-01-02,61,23.92
2009-01-09,66,22.31
2009-01-16,71,21.46
2009-01-23,69,20.61
2009-01-30,70,20.68
2009-02-06,70,19.45
2009-02-13,73,18.52
2009-02-20,76,17.53
2009-02-27,75,16.77
2009-03-06,78,15.83
2009-03-13,75,17.13
2009-03-20,74,17.45
2009-03-27,81,18.59
2009-04-03,80,20.00
2009-04-10,74,
2009-04-17,70,20.38
2009-04-24,72,20.26
2009-05-01,72,21.94
2009-05-08,74,25.46
2009-05-15,75,23.41
2009-05-22,70,23.70
2009-05-29,71,24.22
2009-06-05,69,24.95
2009-06-12,71,25.06
2009-06-19,72,23.53
2009-06-26,70,23.43
2009-07-03,68,
2009-07-10,67,22.41
2009-07-17,67,24.51
2009-07-24,68,26.58
2009-07-31,68,25.12
2009-08-07,73,26.69
2009-08-14,73,25.86
2009-08-21,69,26.79
2009-08-28,70,26.84
2009-09-04,68,25.90
2009-09-11,67,28.42
2009-09-18,66,28.44
2009-09-25,66,27.62
2009-10-02,64,27.21
2009-10-09,69,28.64
2009-10-16,68,29.40
2009-10-23,70,28.89
2009-10-30,68,27.37
2009-11-06,66,28.56
2009-11-13,67,30.44
2009-11-20,65,30.01
2009-11-27,67,30.35
2009-12-04,68,30.84
2009-12-11,68,31.70
2009-12-18,64,31.95
2009-12-25,61,
2010-01-01,59,
2010-01-08,64,31.88
2010-01-15,67,30.60
2010-01-22,63,29.98
2010-01-29,63,29.55
2010-02-05,67,29.54
2010-02-12,69,30.07
2010-02-19,66,31.23
2010-02-26,66,31.24
2010-03-05,67,33.22
2010-03-12,71,33.69
2010-03-19,64,33.64
2010-03-26,66,35.31
2010-04-02,66,
2010-04-09,66,36.22
2010-04-16,70,35.83
2010-04-23,68,36.79
2010-04-30,70,36.84
2010-05-07,72,33.41
2010-05-14,69,34.06
2010-05-21,64,32.87
2010-05-28,65,33.42
2010-06-04,64,33.69
2010-06-11,60,34.24
2010-06-18,67,35.15
2010-06-25,64,33.48
2010-07-02,61,31.38
2010-07-09,61,33.75
2010-07-16,66,33.03
2010-07-23,64,34.13
2010-07-30,67,33.69
2010-08-06,66,35.00
2010-08-13,67,33.68
2010-08-20,68,33.05
2010-08-27,65,32.78
2010-09-03,65,34.67
2010-09-10,65,34.15
2010-09-17,71,34.56
2010-09-24,74,33.58
2010-10-01,76,33.34
2010-10-08,78,34.51
2010-10-15,74,34.88
2010-10-22,98,34.97
2010-10-29,78,36.13
2010-11-05,77,37.20
2010-11-12,75,37.75
2010-11-19,75,37.01
2010-11-26,77,36.70
2010-12-03,79,37.59
2010-12-10,79,36.66
2010-12-17,77,37.05
2010-12-24,75,
2010-12-31,77,37.51
2011-01-07,79,39.45
2011-01-14,76,39.29
2011-01-21,80,39.74
2011-01-28,81,38.85
2011-02-04,80,40.71
2011-02-11,82,43.41
2011-02-18,76,43.56
2011-02-25,79,42.95
2011-03-04,74,43.55
2011-03-11,74,42.93
2011-03-18,74,41.23
2011-03-25,71,42.97
2011-04-01,72,42.85
2011-04-08,73,41.76
2011-04-15,75,41.52
2011-04-22,72,
2011-04-29,72,43.10
2011-05-06,72,43.06
2011-05-13,77,41.52
2011-05-20,78,41.50
2011-05-27,74,41.52
2011-06-03,74,39.38
2011-06-10,78,38.50
2011-06-17,72,38.04
2011-06-24,73,37.58
2011-07-01,73,39.72
2011-07-08,69,39.91
2011-07-15,71,39.27
2011-07-22,76,40.65
2011-07-29,74,38.62
2011-08-05,75,35.18
2011-08-12,76,33.09
2011-08-19,77,31.85
2011-08-26,82,32.40
2011-09-02,84,32.46
2011-09-09,82,31.04
2011-09-16,81,32.91
2011-09-23,82,29.83
2011-09-30,80,30.16
2011-10-07,80,31.70
2011-10-14,81,34.47
2011-10-21,84,35.16
2011-10-28,81,36.21
2011-11-04,80,34.76
2011-11-11,84,36.70
2011-11-18,84,35.63
2011-11-25,88,33.51
2011-12-02,97,36.61
2011-12-09,90,36.56
2011-12-16,88,35.32
2011-12-23,85,37.70
2011-12-30,83,37.50
2012-01-06,81,39.91
2012-01-13,84,38.40
2012-01-20,82,39.31
2012-01-27,81,39.25
2012-02-03,82,40.00
2012-02-10,82,41.45
2012-02-17,84,41.75
2012-02-24,81,41.31
2012-03-02,82,42.36
2012-03-09,87,42.24
2012-03-16,82,43.19
2012-03-23,81,43.65
2012-03-30,79,43.78
2012-04-06,74,
2012-04-13,75,41.85
2012-04-20,76,42.35
2012-04-27,76,43.35
2012-05-04,76,42.93
2012-05-11,78,45.56
2012-05-18,74,43.81
2012-05-25,76,44.50
2012-06-01,75,44.40
2012-06-08,72,46.24
2012-06-15,73,47.09
2012-06-22,74,47.47
2012-06-29,72,48.50
2012-07-06,72,48.04
2012-07-13,73,48.19
2012-07-20,74,48.59
2012-07-27,72,49.94
2012-08-03,74,49.77
2012-08-10,73,49.65
2012-08-17,73,50.46
2012-08-24,73,49.56
2012-08-31,79,49.47
2012-09-07,74,51.74
2012-09-14,76,52.35
2012-09-21,77,52.74
2012-09-28,75,52.28
2012-10-05,74,52.97
2012-10-12,74,50.59
2012-10-19,100,51.90
2012-10-26,74,50.08
2012-11-02,73,49.86
2012-11-09,78,47.06
2012-11-16,75,47.42
2012-11-23,74,49.26
2012-11-30,74,49.66
2012-12-07,82,49.24
2012-12-14,76,48.67
2012-12-21,72,50.00
2012-12-28,73,49.15
2013-01-04,73,52.19
2013-01-11,74,50.58
2013-01-18,74,52.34
2013-01-25,75,54.38
2013-02-01,78,54.59
2013-02-08,77,54.66
2013-02-15,76,55.61
2013-02-22,73,54.25
2013-03-01,75,55.33
2013-03-08,76,57.39
2013-03-15,77,57.58
2013-03-22,76,56.78
2013-03-29,71,
2013-04-05,76,57.70
2013-04-12,76,60.55
2013-04-19,76,61.56
2013-04-26,75,61.87
2013-05-03,76,64.80
2013-05-10,80,67.20
2013-05-17,76,66.58
2013-05-24,78,65.49
2013-05-31,77,63.08
2013-06-07,75,64.85
2013-06-14,76,63.80
2013-06-21,73,62.73
2013-06-28,75,63.15
2013-07-05,72,63.82
2013-07-12,71,66.98
2013-07-19,77,65.16
2013-07-26,74,64.98
2013-08-02,72,66.51
2013-08-09,71,64.73
2013-08-16,74,62.17
2013-08-23,71,61.73
2013-08-30,72,60.83
2013-09-06,70,61.39
2013-09-13,72,66.69
2013-09-20,71,65.01
2013-09-27,73,65.19
2013-10-04,74,65.30
2013-10-11,73,66.21
2013-10-18,72,67.15
2013-10-25,74,69.26
2013-11-01,84,69.01
2013-11-08,75,68.58
2013-11-15,78,70.00
2013-11-22,77,70.20
2013-11-29,78,70.54
2013-12-06,78,71.46
2013-12-13,78,69.62
2013-12-20,74,72.40
2013-12-27,72,74.35
2014-01-03,73,76.11
2014-01-10,75,75.39
2014-01-17,75,73.98
2014-01-24,76,72.72
2014-01-31,79,72.61
2014-02-07,75,75.67
2014-02-14,76,79.23
2014-02-21,75,80.13
2014-02-28,77,80.81
2014-03-07,81,82.21
2014-03-14,74,80.07
2014-03-21,76,80.35
2014-03-28,77,78.99
2014-04-04,74,80.43
2014-04-11,74,77.01
2014-04-18,77,
2014-04-25,76,78.23
2014-05-02,78,
