Date,American Express Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.06
2004-02-13,0,53.65
2004-02-20,0,53.16
2004-02-27,0,53.42
2004-03-05,0,52.77
2004-03-12,0,52.12
2004-03-19,0,51.08
2004-03-26,0,50.03
2004-04-02,0,52.43
2004-04-09,0,
2004-04-16,0,50.58
2004-04-23,0,50.27
2004-04-30,79,48.95
2004-05-07,83,48.49
2004-05-14,88,48.86
2004-05-21,92,49.63
2004-05-28,85,50.70
2004-06-04,79,50.98
2004-06-11,76,
2004-06-18,76,51.96
2004-06-25,0,51.35
2004-07-02,0,51.24
2004-07-09,0,50.01
2004-07-16,0,48.73
2004-07-23,0,48.11
2004-07-30,0,50.25
2004-08-06,0,49.34
2004-08-13,0,49.35
2004-08-20,0,50.00
2004-08-27,0,50.00
2004-09-03,0,50.26
2004-09-10,0,51.33
2004-09-17,0,51.40
2004-09-24,0,51.21
2004-10-01,0,51.65
2004-10-08,0,52.25
2004-10-15,0,52.50
2004-10-22,0,51.73
2004-10-29,75,53.07
2004-11-05,70,55.12
2004-11-12,71,55.63
2004-11-19,71,55.70
2004-11-26,72,56.11
2004-12-03,72,56.25
2004-12-10,72,55.18
2004-12-17,0,55.91
2004-12-24,0,
2004-12-31,0,56.37
2005-01-07,0,53.76
2005-01-14,0,52.72
2005-01-21,96,51.93
2005-01-28,93,52.80
2005-02-04,93,55.82
2005-02-11,68,55.19
2005-02-18,54,54.13
2005-02-25,80,54.58
2005-03-04,57,54.95
2005-03-11,57,53.54
2005-03-18,56,52.40
2005-03-25,56,
2005-04-01,56,50.90
2005-04-08,56,51.54
2005-04-15,56,50.72
2005-04-22,56,49.81
2005-04-29,56,52.70
2005-05-06,68,53.00
2005-05-13,49,51.75
2005-05-20,49,53.06
2005-05-27,51,53.25
2005-06-03,52,54.18
2005-06-10,54,54.71
2005-06-17,95,54.83
2005-06-24,61,53.61
2005-07-01,61,53.54
2005-07-08,61,53.93
2005-07-15,61,53.76
2005-07-22,60,54.57
2005-07-29,50,55.00
2005-08-05,50,55.81
2005-08-12,50,56.67
2005-08-19,50,56.10
2005-08-26,56,55.01
2005-09-02,61,55.36
2005-09-09,48,58.19
2005-09-16,48,59.46
2005-09-23,44,56.90
2005-09-30,72,57.44
2005-10-07,76,49.82
2005-10-14,80,47.95
2005-10-21,70,47.15
2005-10-28,70,49.54
2005-11-04,71,49.40
2005-11-11,71,50.45
2005-11-18,71,49.91
2005-11-25,61,52.62
2005-12-02,100,51.61
2005-12-09,67,51.15
2005-12-16,67,51.93
2005-12-23,49,52.31
2005-12-30,49,51.46
2006-01-06,49,52.68
2006-01-13,59,53.44
2006-01-20,50,51.40
2006-01-27,43,53.30
2006-02-03,42,52.33
2006-02-10,45,53.00
2006-02-17,44,54.45
2006-02-24,48,54.87
2006-03-03,51,53.75
2006-03-10,33,54.23
2006-03-17,60,54.65
2006-03-24,49,53.18
2006-03-31,52,52.55
2006-04-07,39,51.70
2006-04-14,56,
2006-04-21,47,52.25
2006-04-28,42,53.81
2006-05-05,54,53.75
2006-05-12,52,52.89
2006-05-19,35,52.23
2006-05-26,35,54.41
2006-06-02,53,54.72
2006-06-09,33,53.46
2006-06-16,46,52.92
2006-06-23,52,52.59
2006-06-30,45,53.22
2006-07-07,33,51.98
2006-07-14,43,51.27
2006-07-21,48,50.62
2006-07-28,53,52.19
2006-08-04,35,52.21
2006-08-11,35,51.80
2006-08-18,35,53.26
2006-08-25,33,52.92
2006-09-01,41,52.55
2006-09-08,39,52.62
2006-09-15,35,53.75
2006-09-22,31,54.11
2006-09-29,56,56.08
2006-10-06,31,56.59
2006-10-13,40,58.02
2006-10-20,48,58.04
2006-10-27,40,57.27
2006-11-03,56,57.06
2006-11-10,26,58.86
2006-11-17,51,59.84
2006-11-24,31,59.90
2006-12-01,33,58.55
2006-12-08,35,59.83
2006-12-15,35,61.64
2006-12-22,44,60.85
2006-12-29,30,60.67
2007-01-05,30,59.13
2007-01-12,30,59.01
2007-01-19,37,58.09
2007-01-26,53,57.85
2007-02-02,30,58.16
2007-02-09,22,57.53
2007-02-16,32,59.02
2007-02-23,41,58.02
2007-03-02,35,55.44
2007-03-09,24,56.90
2007-03-16,27,55.55
2007-03-23,26,57.43
2007-03-30,28,56.40
2007-04-06,23,
2007-04-13,40,57.36
2007-04-20,30,61.00
2007-04-27,34,62.14
2007-05-04,52,63.39
2007-05-11,47,62.97
2007-05-18,29,63.96
2007-05-25,41,63.63
2007-06-01,37,65.07
2007-06-08,30,63.04
2007-06-15,33,63.77
2007-06-22,24,61.79
2007-06-29,29,61.18
2007-07-06,28,61.51
2007-07-13,34,62.83
2007-07-20,34,64.51
2007-07-27,39,58.55
2007-08-03,43,57.49
2007-08-10,39,60.78
2007-08-17,26,58.89
2007-08-24,30,60.89
2007-08-31,21,58.62
2007-09-07,33,57.75
2007-09-14,28,58.94
2007-09-21,30,59.28
2007-09-28,38,59.37
2007-10-05,52,61.10
2007-10-12,21,63.23
2007-10-19,32,57.11
2007-10-26,47,60.67
2007-11-02,35,58.42
2007-11-09,36,56.49
2007-11-16,41,58.67
2007-11-23,27,55.63
2007-11-30,28,58.98
2007-12-07,39,56.96
2007-12-14,33,52.29
2007-12-21,39,51.95
2007-12-28,29,50.84
2008-01-04,42,49.14
2008-01-11,48,44.00
2008-01-18,32,43.61
2008-01-25,36,45.44
2008-02-01,37,49.60
2008-02-08,29,44.98
2008-02-15,30,45.11
2008-02-22,37,45.06
2008-02-29,40,42.30
2008-03-07,37,41.53
2008-03-14,41,41.01
2008-03-21,41,
2008-03-28,42,43.15
2008-04-04,41,46.11
2008-04-11,42,43.39
2008-04-18,36,45.53
2008-04-25,39,47.77
2008-05-02,50,50.40
2008-05-09,40,48.96
2008-05-16,41,48.68
2008-05-23,28,45.45
2008-05-30,25,46.35
2008-06-06,29,44.65
2008-06-13,35,44.66
2008-06-20,38,41.18
2008-06-27,27,38.04
2008-07-04,31,
2008-07-11,32,39.21
2008-07-18,37,42.19
2008-07-25,29,36.62
2008-08-01,42,37.19
2008-08-08,36,37.81
2008-08-15,37,39.07
2008-08-22,32,38.79
2008-08-29,42,39.68
2008-09-05,47,39.40
2008-09-12,22,38.95
2008-09-19,33,40.40
2008-09-26,50,39.50
2008-10-03,28,30.87
2008-10-10,34,23.15
2008-10-17,23,23.33
2008-10-24,40,24.05
2008-10-31,35,27.50
2008-11-07,31,25.31
2008-11-14,43,19.99
2008-11-21,38,18.69
2008-11-28,36,23.31
2008-12-05,38,21.78
2008-12-12,26,20.34
2008-12-19,32,19.43
2008-12-26,37,17.91
2009-01-02,35,19.33
2009-01-09,37,19.23
2009-01-16,39,17.01
2009-01-23,30,16.00
2009-01-30,40,16.73
2009-02-06,18,17.93
2009-02-13,32,15.74
2009-02-20,32,12.97
2009-02-27,51,12.06
2009-03-06,20,10.26
2009-03-13,23,13.09
2009-03-20,28,12.26
2009-03-27,39,14.45
2009-04-03,23,15.33
2009-04-10,34,
2009-04-17,33,21.81
2009-04-24,21,25.30
2009-05-01,32,24.29
2009-05-08,22,28.40
2009-05-15,27,24.23
2009-05-22,23,23.40
2009-05-29,29,24.85
2009-06-05,31,24.95
2009-06-12,38,25.16
2009-06-19,25,24.64
2009-06-26,27,23.76
2009-07-03,26,
2009-07-10,17,23.22
2009-07-17,31,28.03
2009-07-24,42,29.51
2009-07-31,35,28.33
2009-08-07,38,32.69
2009-08-14,26,31.72
2009-08-21,34,32.85
2009-08-28,25,34.24
2009-09-04,28,32.84
2009-09-11,31,34.17
2009-09-18,21,34.77
2009-09-25,28,33.07
2009-10-02,27,32.49
2009-10-09,31,34.94
2009-10-16,28,34.95
2009-10-23,25,34.58
2009-10-30,28,34.84
2009-11-06,25,37.21
2009-11-13,44,40.35
2009-11-20,35,40.93
2009-11-27,29,40.84
2009-12-04,29,39.30
2009-12-11,37,40.73
2009-12-18,30,40.51
2009-12-25,17,
2010-01-01,21,
2010-01-08,30,41.95
2010-01-15,26,42.39
2010-01-22,30,38.59
2010-01-29,35,37.66
2010-02-05,24,37.85
2010-02-12,24,38.42
2010-02-19,21,39.06
2010-02-26,30,38.19
2010-03-05,38,40.20
2010-03-12,36,40.76
2010-03-19,26,40.33
2010-03-26,33,41.12
2010-04-02,25,
2010-04-09,21,43.88
2010-04-16,30,45.10
2010-04-23,24,48.05
2010-04-30,27,46.12
2010-05-07,29,40.60
2010-05-14,24,40.64
2010-05-21,30,39.82
2010-05-28,24,39.87
2010-06-04,23,38.41
2010-06-11,21,40.13
2010-06-18,32,42.03
2010-06-25,27,42.67
2010-07-02,26,39.42
2010-07-09,21,42.58
2010-07-16,34,41.38
2010-07-23,29,44.79
2010-07-30,30,44.64
2010-08-06,21,43.50
2010-08-13,27,41.73
2010-08-20,27,40.76
2010-08-27,24,40.91
2010-09-03,24,41.80
2010-09-10,22,40.19
2010-09-17,32,41.37
2010-09-24,30,43.13
2010-10-01,25,41.78
2010-10-08,36,37.99
2010-10-15,30,39.09
2010-10-22,26,39.03
2010-10-29,26,41.46
2010-11-05,24,44.07
2010-11-12,30,42.70
2010-11-19,30,42.75
2010-11-26,28,42.27
2010-12-03,32,44.88
2010-12-10,30,46.26
2010-12-17,32,44.01
2010-12-24,35,
2010-12-31,24,42.92
2011-01-07,32,44.36
2011-01-14,24,46.25
2011-01-21,24,46.00
2011-01-28,21,43.86
2011-02-04,27,43.82
2011-02-11,29,46.75
2011-02-18,25,45.53
2011-02-25,28,43.53
2011-03-04,26,43.72
2011-03-11,25,44.28
2011-03-18,22,44.17
2011-03-25,24,45.59
2011-04-01,25,45.36
2011-04-08,27,46.28
2011-04-15,24,46.25
2011-04-22,23,
2011-04-29,23,49.08
2011-05-06,29,50.20
2011-05-13,23,49.49
2011-05-20,25,51.19
2011-05-27,17,51.13
2011-06-03,20,49.28
2011-06-10,28,47.74
2011-06-17,31,48.50
2011-06-24,29,48.34
2011-07-01,25,52.34
2011-07-08,19,53.07
2011-07-15,27,51.81
2011-07-22,25,52.24
2011-07-29,32,50.04
2011-08-05,29,47.21
2011-08-12,29,44.89
2011-08-19,23,44.47
2011-08-26,22,48.48
2011-09-02,23,48.51
2011-09-09,25,47.28
2011-09-16,29,50.12
2011-09-23,23,46.45
2011-09-30,25,44.90
2011-10-07,26,43.43
2011-10-14,23,46.10
2011-10-21,26,48.46
2011-10-28,30,52.10
2011-11-04,22,51.18
2011-11-11,28,50.37
2011-11-18,28,46.88
2011-11-25,23,45.00
2011-12-02,29,48.23
2011-12-09,27,48.80
2011-12-16,26,46.88
2011-12-23,24,47.95
2011-12-30,23,47.17
2012-01-06,21,48.27
2012-01-13,24,49.76
2012-01-20,26,50.04
2012-01-27,22,49.85
2012-02-03,19,52.25
2012-02-10,27,51.81
2012-02-17,24,52.86
2012-02-24,29,53.33
2012-03-02,25,52.99
2012-03-09,27,53.20
2012-03-16,25,56.55
2012-03-23,27,57.25
2012-03-30,16,57.86
2012-04-06,24,
2012-04-13,21,57.28
2012-04-20,31,57.45
2012-04-27,24,60.17
2012-05-04,35,60.10
2012-05-11,30,59.64
2012-05-18,35,55.40
2012-05-25,21,55.81
2012-06-01,23,53.43
2012-06-08,32,55.86
2012-06-15,28,56.28
2012-06-22,25,56.79
2012-06-29,27,58.21
2012-07-06,22,58.63
2012-07-13,20,57.93
2012-07-20,28,55.81
2012-07-27,19,58.53
2012-08-03,30,57.61
2012-08-10,21,55.85
2012-08-17,31,57.59
2012-08-24,23,57.49
2012-08-31,20,58.30
2012-09-07,24,57.73
2012-09-14,26,59.27
2012-09-21,30,57.86
2012-09-28,25,56.86
2012-10-05,30,58.56
2012-10-12,23,57.89
2012-10-19,23,56.86
2012-10-26,30,55.75
2012-11-02,25,56.71
2012-11-09,22,55.83
2012-11-16,22,54.30
2012-11-23,29,56.51
2012-11-30,23,55.90
2012-12-07,27,56.61
2012-12-14,21,56.65
2012-12-21,26,57.65
2012-12-28,19,56.67
2013-01-04,26,59.61
2013-01-11,35,61.24
2013-01-18,25,59.78
2013-01-25,24,59.50
2013-02-01,20,59.91
2013-02-08,22,61.80
2013-02-15,22,61.69
2013-02-22,23,62.57
2013-03-01,24,62.37
2013-03-08,24,64.70
2013-03-15,27,66.09
2013-03-22,25,66.22
2013-03-29,18,
2013-04-05,19,65.30
2013-04-12,24,65.68
2013-04-19,22,67.24
2013-04-26,21,67.75
2013-05-03,21,70.23
2013-05-10,28,70.08
2013-05-17,27,73.32
2013-05-24,21,75.27
2013-05-31,24,75.71
2013-06-07,21,78.04
2013-06-14,22,72.97
2013-06-21,24,73.31
2013-06-28,23,74.76
2013-07-05,29,76.31
2013-07-12,26,78.33
2013-07-19,28,74.06
2013-07-26,22,75.34
2013-08-02,31,75.69
2013-08-09,24,75.50
2013-08-16,26,75.17
2013-08-23,23,73.65
2013-08-30,21,71.91
2013-09-06,29,73.35
2013-09-13,25,75.30
2013-09-20,21,77.32
2013-09-27,26,75.89
2013-10-04,26,74.31
2013-10-11,23,75.40
2013-10-18,21,80.52
2013-10-25,21,82.61
2013-11-01,20,82.16
2013-11-08,26,81.78
2013-11-15,25,82.80
2013-11-22,28,83.85
2013-11-29,23,85.80
2013-12-06,31,85.93
2013-12-13,28,83.68
2013-12-20,22,87.57
2013-12-27,17,89.19
2014-01-03,27,89.74
2014-01-10,21,88.55
2014-01-17,28,90.97
2014-01-24,23,86.95
2014-01-31,25,85.02
2014-02-07,25,87.00
2014-02-14,22,89.00
2014-02-21,23,88.75
2014-02-28,23,91.28
2014-03-07,19,93.86
2014-03-14,23,90.17
2014-03-21,19,91.52
2014-03-28,25,90.46
2014-04-04,25,89.17
2014-04-11,22,84.54
2014-04-18,21,
2014-04-25,23,87.03
2014-05-02,31,
