Date,DD,Price
2004-01-09,52,
2004-01-16,54,
2004-01-23,55,
2004-01-30,50,
2004-02-06,51,44.45
2004-02-13,56,44.46
2004-02-20,52,45.28
2004-02-27,58,45.09
2004-03-05,49,44.64
2004-03-12,63,42.30
2004-03-19,58,41.55
2004-03-26,48,41.74
2004-04-02,57,43.71
2004-04-09,55,
2004-04-16,58,44.98
2004-04-23,55,44.65
2004-04-30,51,42.95
2004-05-07,46,42.00
2004-05-14,61,41.69
2004-05-21,56,41.99
2004-05-28,53,43.20
2004-06-04,58,42.82
2004-06-11,54,
2004-06-18,54,44.09
2004-06-25,51,43.76
2004-07-02,52,43.62
2004-07-09,58,43.09
2004-07-16,56,42.50
2004-07-23,64,42.28
2004-07-30,56,42.87
2004-08-06,63,41.55
2004-08-13,54,40.21
2004-08-20,59,41.70
2004-08-27,59,42.55
2004-09-03,59,42.66
2004-09-10,53,43.30
2004-09-17,51,42.66
2004-09-24,51,41.78
2004-10-01,57,43.15
2004-10-08,56,43.46
2004-10-15,58,42.76
2004-10-22,56,42.02
2004-10-29,57,42.87
2004-11-05,58,44.18
2004-11-12,50,44.50
2004-11-19,57,44.88
2004-11-26,55,45.46
2004-12-03,53,45.73
2004-12-10,57,45.98
2004-12-17,56,47.75
2004-12-24,57,
2004-12-31,61,49.05
2005-01-07,58,47.37
2005-01-14,60,47.07
2005-01-21,55,46.71
2005-01-28,55,47.23
2005-02-04,56,48.71
2005-02-11,59,51.10
2005-02-18,54,53.95
2005-02-25,55,53.96
2005-03-04,60,54.55
2005-03-11,66,53.47
2005-03-18,51,52.14
2005-03-25,60,
2005-04-01,61,50.83
2005-04-08,56,50.70
2005-04-15,56,46.55
2005-04-22,57,48.10
2005-04-29,60,47.11
2005-05-06,59,48.05
2005-05-13,58,46.24
2005-05-20,55,46.97
2005-05-27,60,46.87
2005-06-03,58,46.10
2005-06-10,65,47.25
2005-06-17,56,46.94
2005-06-24,57,44.68
2005-07-01,59,42.83
2005-07-08,56,43.50
2005-07-15,60,44.06
2005-07-22,59,44.20
2005-07-29,62,42.68
