Date,GE,Price
2004-01-09,83,
2004-01-16,86,
2004-01-23,85,
2004-01-30,82,
2004-02-06,82,33.18
2004-02-13,84,32.72
2004-02-20,81,32.70
2004-02-27,80,32.52
2004-03-05,84,32.77
2004-03-12,77,30.60
2004-03-19,82,30.14
2004-03-26,78,30.10
2004-04-02,81,31.06
2004-04-09,78,
2004-04-16,83,31.23
2004-04-23,80,30.69
2004-04-30,85,29.95
2004-05-07,81,30.00
2004-05-14,85,30.16
2004-05-21,75,30.65
2004-05-28,81,31.12
2004-06-04,78,31.23
2004-06-11,86,
2004-06-18,80,32.58
2004-06-25,85,32.18
2004-07-02,83,31.67
2004-07-09,80,32.17
2004-07-16,89,33.09
2004-07-23,89,32.52
2004-07-30,84,33.25
2004-08-06,89,31.52
2004-08-13,83,31.89
2004-08-20,86,32.65
2004-08-27,86,32.77
2004-09-03,88,32.84
2004-09-10,86,33.88
2004-09-17,84,34.22
2004-09-24,79,33.41
2004-10-01,82,33.97
2004-10-08,84,33.74
2004-10-15,82,33.55
2004-10-22,82,32.95
2004-10-29,82,34.12
2004-11-05,83,35.19
2004-11-12,81,36.25
2004-11-19,86,36.27
2004-11-26,80,35.44
2004-12-03,88,35.83
2004-12-10,83,36.69
2004-12-17,83,36.75
2004-12-24,74,
2004-12-31,86,36.50
2005-01-07,89,36.00
2005-01-14,87,35.52
2005-01-21,83,35.13
2005-01-28,81,35.75
2005-02-04,82,36.25
2005-02-11,82,36.23
2005-02-18,86,35.88
2005-02-25,87,35.62
2005-03-04,84,36.12
2005-03-11,85,35.82
2005-03-18,82,35.88
2005-03-25,82,
2005-04-01,79,35.47
2005-04-08,79,35.74
2005-04-15,83,35.75
2005-04-22,83,36.10
2005-04-29,82,36.20
2005-05-06,83,35.85
2005-05-13,82,35.70
2005-05-20,82,37.00
2005-05-27,87,36.88
2005-06-03,82,36.70
2005-06-10,85,36.63
2005-06-17,89,36.50
2005-06-24,88,34.78
2005-07-01,86,34.74
2005-07-08,81,34.99
2005-07-15,92,35.53
2005-07-22,84,35.07
2005-07-29,86,34.50
2005-08-05,81,33.81
2005-08-12,85,34.25
2005-08-19,86,33.95
2005-08-26,86,33.38
2005-09-02,82,33.33
2005-09-09,81,33.98
2005-09-16,85,34.47
2005-09-23,81,33.40
2005-09-30,82,33.67
2005-10-07,86,34.22
2005-10-14,85,34.34
2005-10-21,81,33.73
2005-10-28,82,34.05
2005-11-04,84,34.02
