Date,General Electric Company,Price
2004-01-09,0,
2004-01-16,68,
2004-01-23,69,
2004-01-30,100,
2004-02-06,65,33.18
2004-02-13,65,32.72
2004-02-20,65,32.70
2004-02-27,65,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,0,31.06
2004-04-09,0,
2004-04-16,0,31.23
2004-04-23,96,30.69
2004-04-30,90,29.95
2004-05-07,0,30.00
2004-05-14,0,30.16
2004-05-21,0,30.65
2004-05-28,0,31.12
2004-06-04,0,31.23
2004-06-11,0,
2004-06-18,59,32.58
2004-06-25,64,32.18
2004-07-02,69,31.67
2004-07-09,74,32.17
2004-07-16,85,33.09
2004-07-23,97,32.52
2004-07-30,67,33.25
2004-08-06,67,31.52
2004-08-13,60,31.89
2004-08-20,65,32.65
2004-08-27,71,32.77
2004-09-03,78,32.84
2004-09-10,83,33.88
2004-09-17,89,34.22
2004-09-24,72,33.41
2004-10-01,87,33.97
2004-10-08,57,33.74
2004-10-15,63,33.55
2004-10-22,70,32.95
2004-10-29,92,34.12
2004-11-05,79,35.19
2004-11-12,81,36.25
2004-11-19,82,36.27
2004-11-26,84,35.44
2004-12-03,74,35.83
2004-12-10,57,36.69
2004-12-17,57,36.75
2004-12-24,51,
2004-12-31,51,36.50
2005-01-07,51,36.00
2005-01-14,66,35.52
2005-01-21,52,35.13
2005-01-28,72,35.75
2005-02-04,59,36.25
2005-02-11,52,36.23
2005-02-18,42,35.88
2005-02-25,62,35.62
2005-03-04,56,36.12
2005-03-11,56,35.82
2005-03-18,76,35.88
2005-03-25,50,
2005-04-01,50,35.47
2005-04-08,62,35.74
2005-04-15,75,35.75
2005-04-22,44,36.10
2005-04-29,70,36.20
2005-05-06,49,35.85
2005-05-13,49,35.70
2005-05-20,42,37.00
2005-05-27,39,36.88
2005-06-03,39,36.70
2005-06-10,41,36.63
2005-06-17,42,36.50
2005-06-24,47,34.78
2005-07-01,51,34.74
2005-07-08,56,34.99
2005-07-15,44,35.53
2005-07-22,53,35.07
2005-07-29,62,34.50
2005-08-05,51,33.81
2005-08-12,42,34.25
2005-08-19,50,33.95
2005-08-26,50,33.38
2005-09-02,51,33.33
2005-09-09,53,33.98
2005-09-16,44,34.47
2005-09-23,65,33.40
2005-09-30,49,33.67
2005-10-07,46,34.22
2005-10-14,46,34.34
2005-10-21,54,33.73
2005-10-28,51,34.05
2005-11-04,42,34.02
2005-11-11,36,34.65
2005-11-18,37,35.75
2005-11-25,57,36.20
2005-12-02,53,35.50
2005-12-09,42,35.53
2005-12-16,40,36.06
2005-12-23,40,35.42
2005-12-30,40,35.05
2006-01-06,41,35.47
2006-01-13,40,35.10
2006-01-20,33,33.37
2006-01-27,53,32.95
2006-02-03,38,32.85
2006-02-10,43,33.28
2006-02-17,47,33.61
2006-02-24,56,33.14
2006-03-03,55,33.06
2006-03-10,56,33.65
2006-03-17,48,34.51
2006-03-24,40,33.95
2006-03-31,33,34.78
2006-04-07,40,34.03
2006-04-14,33,
2006-04-21,31,33.97
2006-04-28,53,34.59
2006-05-05,55,35.16
2006-05-12,45,34.28
2006-05-19,27,34.16
2006-05-26,27,34.33
2006-06-02,38,34.66
2006-06-09,43,34.07
2006-06-16,45,33.93
2006-06-23,48,33.16
2006-06-30,28,32.96
2006-07-07,28,33.30
2006-07-14,46,32.11
2006-07-21,41,32.25
2006-07-28,38,33.02
2006-08-04,50,32.80
2006-08-11,24,32.50
2006-08-18,30,34.00
2006-08-25,40,33.84
2006-09-01,32,34.14
2006-09-08,34,34.01
2006-09-15,38,34.85
2006-09-22,50,34.40
2006-09-29,52,35.30
2006-10-06,28,36.14
2006-10-13,28,35.98
2006-10-20,33,35.47
2006-10-27,48,35.21
2006-11-03,31,34.77
2006-11-10,48,35.17
2006-11-17,39,36.25
2006-11-24,20,35.69
2006-12-01,44,35.28
2006-12-08,42,35.27
2006-12-15,27,37.36
2006-12-22,31,37.57
2006-12-29,32,37.21
2007-01-05,32,37.56
2007-01-12,45,37.89
2007-01-19,38,36.95
2007-01-26,45,36.07
2007-02-02,54,36.27
2007-02-09,50,35.53
2007-02-16,51,35.87
2007-02-23,23,35.10
2007-03-02,37,34.87
2007-03-09,29,34.32
2007-03-16,29,34.36
2007-03-23,33,35.82
2007-03-30,30,35.36
2007-04-06,41,
2007-04-13,50,35.38
2007-04-20,45,35.13
2007-04-27,43,36.84
2007-05-04,32,37.15
2007-05-11,38,36.97
2007-05-18,38,36.96
2007-05-25,27,37.56
2007-06-01,24,37.45
2007-06-08,52,37.32
2007-06-15,36,38.12
2007-06-22,39,38.24
2007-06-29,35,38.28
2007-07-06,44,38.48
2007-07-13,31,39.50
2007-07-20,51,40.12
2007-07-27,26,38.79
2007-08-03,35,38.06
2007-08-10,37,38.23
2007-08-17,32,38.45
2007-08-24,50,39.41
2007-08-31,37,38.87
2007-09-07,25,38.75
2007-09-14,52,40.35
2007-09-21,52,41.25
2007-09-28,31,41.40
2007-10-05,36,41.77
2007-10-12,44,41.03
2007-10-19,43,40.04
2007-10-26,40,40.38
2007-11-02,34,40.33
2007-11-09,32,38.38
2007-11-16,37,38.65
2007-11-23,26,37.67
2007-11-30,44,38.29
2007-12-07,31,37.23
2007-12-14,39,36.91
2007-12-21,42,37.14
2007-12-28,22,37.34
2008-01-04,31,36.04
2008-01-11,41,35.17
2008-01-18,43,34.31
2008-01-25,39,34.00
2008-02-01,38,36.16
2008-02-08,32,33.84
2008-02-15,33,34.37
2008-02-22,37,33.55
2008-02-29,33,33.14
2008-03-07,48,32.23
2008-03-14,31,33.82
2008-03-21,33,
2008-03-28,27,36.61
2008-04-04,38,37.56
2008-04-11,42,32.05
2008-04-18,25,32.69
2008-04-25,34,33.33
2008-05-02,34,33.34
2008-05-09,52,32.27
2008-05-16,27,32.13
2008-05-23,35,30.43
2008-05-30,28,30.72
2008-06-06,31,30.02
2008-06-13,25,29.15
2008-06-20,34,27.38
2008-06-27,31,26.26
2008-07-04,26,
2008-07-11,32,27.66
2008-07-18,31,28.00
2008-07-25,37,28.71
2008-08-01,36,28.21
2008-08-08,27,29.64
2008-08-15,37,29.80
2008-08-22,20,29.12
2008-08-29,27,28.10
2008-09-05,30,27.88
2008-09-12,33,26.75
2008-09-19,26,26.62
2008-09-26,42,25.25
