Date,Microsoft Corporation,Price
2004-01-09,52,
2004-01-16,70,
2004-01-23,93,
2004-01-30,79,
2004-02-06,87,27.08
2004-02-13,81,26.59
2004-02-20,54,26.57
2004-02-27,74,26.53
2004-03-05,83,26.35
2004-03-12,88,25.38
2004-03-19,62,24.63
2004-03-26,69,25.03
2004-04-02,76,25.85
2004-04-09,58,
2004-04-16,59,25.16
2004-04-23,59,27.54
2004-04-30,73,26.13
2004-05-07,97,25.78
2004-05-14,100,25.86
2004-05-21,89,25.89
2004-05-28,46,26.23
2004-06-04,70,25.95
2004-06-11,61,
2004-06-18,64,28.35
2004-06-25,52,28.57
2004-07-02,47,28.57
2004-07-09,48,27.86
2004-07-16,70,27.48
2004-07-23,47,28.03
2004-07-30,64,28.49
2004-08-06,51,27.14
2004-08-13,53,27.02
2004-08-20,70,27.20
2004-08-27,52,27.46
2004-09-03,58,27.11
2004-09-10,65,27.49
2004-09-17,56,27.51
2004-09-24,69,27.29
2004-10-01,60,28.25
2004-10-08,86,27.99
2004-10-15,77,27.99
2004-10-22,51,27.74
2004-10-29,51,27.97
2004-11-05,61,29.31
2004-11-12,67,29.97
2004-11-19,89,26.86
2004-11-26,41,26.60
2004-12-03,91,27.23
2004-12-10,87,27.08
2004-12-17,71,26.96
2004-12-24,38,
2004-12-31,48,26.72
2005-01-07,58,26.67
2005-01-14,72,26.12
2005-01-21,34,25.65
2005-01-28,61,26.18
2005-02-04,54,26.32
2005-02-11,77,25.97
2005-02-18,63,25.48
2005-02-25,82,25.25
2005-03-04,76,25.17
2005-03-11,46,25.09
2005-03-18,42,24.31
2005-03-25,40,
2005-04-01,34,24.12
2005-04-08,74,24.94
2005-04-15,67,24.46
2005-04-22,74,24.98
2005-04-29,63,25.30
2005-05-06,48,25.22
2005-05-13,58,25.30
2005-05-20,61,25.74
2005-05-27,53,26.07
2005-06-03,54,25.43
2005-06-10,70,25.43
2005-06-17,46,25.04
2005-06-24,45,25.04
2005-07-01,57,24.71
