Date,NKE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,71.06
2004-02-13,0,72.32
2004-02-20,0,71.66
2004-02-27,0,73.25
2004-03-05,0,74.83
2004-03-12,0,74.80
2004-03-19,61,76.87
2004-03-26,54,76.25
2004-04-02,54,76.64
2004-04-09,57,
2004-04-16,59,75.91
2004-04-23,62,75.17
2004-04-30,64,71.95
2004-05-07,59,66.57
2004-05-14,54,67.69
2004-05-21,54,67.48
2004-05-28,54,71.15
2004-06-04,54,69.28
2004-06-11,62,
2004-06-18,53,71.62
2004-06-25,53,75.31
2004-07-02,53,75.31
2004-07-09,0,74.49
2004-07-16,0,73.50
2004-07-23,0,70.27
2004-07-30,0,72.71
2004-08-06,0,69.31
2004-08-13,58,69.69
2004-08-20,50,74.26
2004-08-27,50,75.95
2004-09-03,50,76.81
2004-09-10,50,75.65
2004-09-17,50,76.56
2004-09-24,45,79.70
2004-10-01,49,79.88
2004-10-08,50,79.09
2004-10-15,58,78.10
2004-10-22,65,79.11
2004-10-29,53,81.31
2004-11-05,53,86.12
2004-11-12,53,86.40
2004-11-19,53,82.50
2004-11-26,44,85.09
2004-12-03,74,86.72
2004-12-10,74,87.00
2004-12-17,54,91.70
2004-12-24,46,
2004-12-31,46,90.69
2005-01-07,46,87.70
2005-01-14,46,88.95
2005-01-21,39,86.30
2005-01-28,63,86.49
2005-02-04,48,87.04
2005-02-11,50,84.65
2005-02-18,52,85.51
2005-02-25,53,87.25
2005-03-04,55,87.60
2005-03-11,53,86.60
2005-03-18,46,85.40
2005-03-25,61,
2005-04-01,50,83.00
2005-04-08,51,82.31
2005-04-15,52,75.86
2005-04-22,56,77.82
2005-04-29,51,76.81
2005-05-06,71,77.78
2005-05-13,56,76.45
2005-05-20,71,82.09
2005-05-27,90,82.43
2005-06-03,65,83.75
2005-06-10,37,85.96
2005-06-17,37,88.38
2005-06-24,45,89.35
2005-07-01,62,86.01
2005-07-08,49,86.24
2005-07-15,80,88.50
2005-07-22,48,86.63
2005-07-29,65,83.80
2005-08-05,72,85.03
2005-08-12,51,81.58
2005-08-19,37,80.34
2005-08-26,57,79.72
2005-09-02,70,77.02
2005-09-09,84,78.52
2005-09-16,59,78.46
2005-09-23,57,81.27
2005-09-30,37,81.68
2005-10-07,64,82.77
2005-10-14,43,81.70
2005-10-21,75,83.48
2005-10-28,34,82.80
2005-11-04,62,87.80
2005-11-11,64,86.92
2005-11-18,51,87.70
2005-11-25,44,88.21
2005-12-02,73,87.60
2005-12-09,58,85.90
2005-12-16,86,88.50
2005-12-23,82,87.00
2005-12-30,60,86.79
2006-01-06,39,85.80
2006-01-13,73,86.20
2006-01-20,53,84.20
2006-01-27,68,83.15
2006-02-03,70,83.69
2006-02-10,91,84.47
2006-02-17,67,84.90
2006-02-24,73,87.20
2006-03-03,77,86.30
2006-03-10,63,84.99
2006-03-17,58,85.42
2006-03-24,69,85.96
2006-03-31,51,85.10
2006-04-07,69,83.63
2006-04-14,84,
2006-04-21,80,83.02
2006-04-28,95,81.84
2006-05-05,72,81.55
2006-05-12,95,81.50
2006-05-19,82,78.70
2006-05-26,74,81.01
2006-06-02,76,81.79
2006-06-09,80,81.13
2006-06-16,86,83.15
2006-06-23,91,84.36
2006-06-30,77,81.00
2006-07-07,41,79.08
2006-07-14,87,78.58
2006-07-21,86,80.06
2006-07-28,58,79.90
2006-08-04,79,78.67
2006-08-11,50,76.51
2006-08-18,50,76.71
2006-08-25,52,76.77
2006-09-01,76,81.14
2006-09-08,83,82.05
2006-09-15,51,82.97
2006-09-22,74,86.36
2006-09-29,51,87.62
2006-10-06,78,88.15
2006-10-13,71,89.60
2006-10-20,40,88.60
2006-10-27,69,91.86
2006-11-03,56,92.57
2006-11-10,66,94.07
2006-11-17,83,95.58
2006-11-24,72,96.73
2006-12-01,56,97.60
2006-12-08,59,97.04
2006-12-15,60,96.05
2006-12-22,78,99.94
2006-12-29,59,99.03
2007-01-05,40,98.83
2007-01-12,56,99.76
2007-01-19,65,99.94
2007-01-26,57,95.20
2007-02-02,64,100.20
2007-02-09,68,103.60
2007-02-16,66,106.30
2007-02-23,66,108.04
2007-03-02,63,103.86
2007-03-09,88,105.85
2007-03-16,80,107.47
2007-03-23,78,109.05
2007-03-30,71,106.26
2007-04-06,68,
2007-04-13,77,53.65
2007-04-20,56,53.53
2007-04-27,64,54.12
2007-05-04,68,53.29
2007-05-11,100,53.03
2007-05-18,48,53.25
2007-05-25,52,54.28
2007-06-01,55,56.69
2007-06-08,44,52.96
2007-06-15,46,53.42
2007-06-22,64,52.95
2007-06-29,73,58.29
2007-07-06,63,59.67
2007-07-13,68,59.01
2007-07-20,75,58.52
2007-07-27,54,55.44
2007-08-03,60,56.50
2007-08-10,78,55.78
2007-08-17,72,54.47
2007-08-24,63,54.12
2007-08-31,56,56.34
2007-09-07,58,54.70
2007-09-14,52,57.23
2007-09-21,97,57.26
2007-09-28,74,58.66
2007-10-05,57,60.35
2007-10-12,78,63.15
2007-10-19,78,63.33
2007-10-26,50,64.61
2007-11-02,79,63.87
2007-11-09,68,62.21
2007-11-16,57,62.64
2007-11-23,74,63.75
2007-11-30,80,65.65
2007-12-07,73,65.40
2007-12-14,65,64.32
2007-12-21,84,66.27
2007-12-28,63,64.31
2008-01-04,61,61.74
2008-01-11,64,60.70
2008-01-18,72,56.50
2008-01-25,55,56.00
2008-02-01,56,62.51
2008-02-08,68,60.64
2008-02-15,68,62.29
2008-02-22,70,60.59
2008-02-29,62,60.20
2008-03-07,66,58.24
2008-03-14,63,59.96
2008-03-21,95,
2008-03-28,73,65.86
2008-04-04,77,68.51
2008-04-11,83,66.69
2008-04-18,87,67.89
2008-04-25,68,68.74
2008-05-02,81,67.66
2008-05-09,81,64.87
2008-05-16,83,67.53
2008-05-23,65,64.77
2008-05-30,72,68.37
2008-06-06,59,67.93
2008-06-13,63,68.99
2008-06-20,63,66.73
2008-06-27,74,60.34
2008-07-04,69,
2008-07-11,62,56.26
2008-07-18,69,58.20
2008-07-25,78,58.17
2008-08-01,67,59.40
2008-08-08,72,62.95
2008-08-15,65,62.29
2008-08-22,62,61.11
2008-08-29,59,60.61
2008-09-05,59,58.82
2008-09-12,74,61.92
2008-09-19,81,63.70
2008-09-26,83,67.79
2008-10-03,75,63.25
2008-10-10,75,54.53
2008-10-17,76,57.48
2008-10-24,65,47.79
2008-10-31,69,57.63
2008-11-07,74,49.41
2008-11-14,64,46.53
2008-11-21,70,47.88
2008-11-28,76,53.25
2008-12-05,57,53.34
2008-12-12,73,49.37
2008-12-19,64,51.26
2008-12-26,59,49.76
2009-01-02,50,53.06
2009-01-09,60,49.61
2009-01-16,55,46.80
2009-01-23,61,45.68
2009-01-30,61,45.25
2009-02-06,53,48.68
2009-02-13,67,43.43
2009-02-20,60,42.93
2009-02-27,57,41.53
2009-03-06,57,39.94
2009-03-13,62,44.67
2009-03-20,68,45.02
2009-03-27,69,46.84
2009-04-03,76,51.87
2009-04-10,69,
2009-04-17,71,54.61
2009-04-24,77,54.73
2009-05-01,61,52.92
2009-05-08,59,54.42
2009-05-15,67,49.75
2009-05-22,47,52.41
2009-05-29,51,57.05
2009-06-05,54,58.29
2009-06-12,64,56.61
2009-06-19,44,56.70
2009-06-26,61,50.84
2009-07-03,51,
2009-07-10,50,51.30
2009-07-17,63,52.44
2009-07-24,53,52.17
2009-07-31,49,56.64
2009-08-07,63,58.07
2009-08-14,57,56.86
2009-08-21,59,55.65
2009-08-28,51,56.18
2009-09-04,59,54.23
2009-09-11,61,54.99
2009-09-18,63,58.59
2009-09-25,66,58.64
2009-10-02,76,62.02
2009-10-09,58,63.59
2009-10-16,58,65.10
2009-10-23,50,64.17
2009-10-30,49,62.18
2009-11-06,41,64.56
2009-11-13,61,64.42
2009-11-20,54,63.92
2009-11-27,58,65.05
2009-12-04,67,64.30
2009-12-11,57,63.86
2009-12-18,52,64.42
2009-12-25,33,
2010-01-01,40,
2010-01-08,37,65.72
2010-01-15,44,64.39
2010-01-22,45,62.98
2010-01-29,52,63.75
2010-02-05,41,61.70
2010-02-12,44,62.49
2010-02-19,46,64.35
2010-02-26,47,67.60
2010-03-05,60,68.32
2010-03-12,50,69.90
2010-03-19,56,73.52
2010-03-26,65,73.89
2010-04-02,51,
2010-04-09,54,75.18
2010-04-16,43,75.17
2010-04-23,50,77.90
2010-04-30,57,75.91
2010-05-07,65,70.61
2010-05-14,50,73.74
2010-05-21,56,71.39
2010-05-28,51,72.38
2010-06-04,49,70.77
2010-06-11,40,72.33
2010-06-18,40,74.94
2010-06-25,46,70.12
2010-07-02,45,67.86
2010-07-09,50,70.15
2010-07-16,46,68.96
2010-07-23,32,72.74
2010-07-30,45,73.64
2010-08-06,46,73.96
2010-08-13,48,70.58
2010-08-20,46,71.26
2010-08-27,46,70.94
2010-09-03,50,74.25
2010-09-10,51,73.75
2010-09-17,54,77.26
2010-09-24,60,79.57
2010-10-01,53,80.25
2010-10-08,50,82.04
2010-10-15,49,82.00
2010-10-22,43,81.92
2010-10-29,42,81.44
2010-11-05,41,84.11
2010-11-12,45,82.62
2010-11-19,45,85.81
2010-11-26,48,85.96
2010-12-03,46,87.53
2010-12-10,51,87.80
2010-12-17,42,90.05
2010-12-24,58,
2010-12-31,47,85.42
2011-01-07,38,83.53
2011-01-14,47,84.07
2011-01-21,41,82.30
2011-01-28,52,81.46
2011-02-04,49,85.74
2011-02-11,53,86.21
2011-02-18,45,88.82
2011-02-25,40,87.98
2011-03-04,49,89.88
2011-03-11,48,87.17
2011-03-18,52,77.59
2011-03-25,66,76.66
2011-04-01,52,76.53
2011-04-08,46,77.39
2011-04-15,48,78.73
2011-04-22,53,
2011-04-29,51,82.32
2011-05-06,41,82.02
2011-05-13,50,86.26
2011-05-20,44,85.05
2011-05-27,46,84.62
2011-06-03,43,80.36
2011-06-10,41,79.66
2011-06-17,42,81.11
2011-06-24,40,81.18
2011-07-01,64,91.82
2011-07-08,36,93.24
2011-07-15,48,91.70
2011-07-22,45,91.71
2011-07-29,47,90.15
2011-08-05,47,83.87
2011-08-12,48,84.24
2011-08-19,50,78.58
2011-08-26,46,86.29
2011-09-02,41,84.04
2011-09-09,49,82.50
2011-09-16,49,89.77
2011-09-23,60,88.64
2011-09-30,51,85.51
2011-10-07,52,88.15
2011-10-14,53,92.97
2011-10-21,46,94.35
2011-10-28,42,96.75
2011-11-04,46,94.38
2011-11-11,52,96.15
2011-11-18,48,92.75
2011-11-25,46,90.28
2011-12-02,48,96.25
2011-12-09,53,97.68
2011-12-16,43,93.67
2011-12-23,48,96.90
2011-12-30,38,96.37
2012-01-06,48,97.99
2012-01-13,46,98.30
2012-01-20,51,101.76
2012-01-27,54,102.11
2012-02-03,51,103.50
2012-02-10,56,105.41
2012-02-17,63,106.68
2012-02-24,59,106.29
2012-03-02,58,108.74
2012-03-09,58,109.98
2012-03-16,59,111.22
2012-03-23,79,107.42
2012-03-30,71,108.44
2012-04-06,69,
2012-04-13,66,109.17
2012-04-20,73,110.77
2012-04-27,68,110.64
2012-05-04,62,111.81
2012-05-11,63,108.26
2012-05-18,73,105.44
2012-05-25,76,108.79
2012-06-01,61,104.60
2012-06-08,71,108.64
2012-06-15,73,101.75
2012-06-22,61,99.40
2012-06-29,90,87.78
2012-07-06,66,91.38
2012-07-13,64,93.97
2012-07-20,52,93.08
2012-07-27,78,97.03
2012-08-03,58,94.57
2012-08-10,57,94.50
2012-08-17,58,96.26
2012-08-24,59,96.86
2012-08-31,69,97.36
2012-09-07,76,99.29
2012-09-14,79,96.64
2012-09-21,71,96.52
2012-09-28,75,94.91
2012-10-05,69,95.22
2012-10-12,62,94.42
2012-10-19,56,96.45
2012-10-26,55,91.15
2012-11-02,48,94.54
2012-11-09,54,92.31
2012-11-16,63,92.59
2012-11-23,64,96.75
2012-11-30,68,97.48
2012-12-07,73,98.59
2012-12-14,77,96.91
2012-12-21,94,105.10
2012-12-28,76,50.99
2013-01-04,70,52.88
2013-01-11,81,53.10
2013-01-18,80,53.29
2013-01-25,70,55.55
2013-02-01,73,53.70
2013-02-08,68,54.59
2013-02-15,69,54.95
2013-02-22,68,54.47
2013-03-01,65,54.82
2013-03-08,63,54.69
2013-03-15,64,54.78
2013-03-22,75,59.53
2013-03-29,64,
2013-04-05,64,58.97
2013-04-12,68,60.58
2013-04-19,75,60.92
2013-04-26,69,61.89
2013-05-03,73,64.55
2013-05-10,77,64.76
2013-05-17,91,65.32
2013-05-24,82,62.79
2013-05-31,82,61.66
2013-06-07,74,62.75
2013-06-14,54,61.89
2013-06-21,62,60.57
2013-06-28,65,63.68
2013-07-05,57,63.64
2013-07-12,51,63.67
2013-07-19,50,63.35
2013-07-26,52,62.53
2013-08-02,53,66.30
2013-08-09,49,66.31
2013-08-16,60,63.65
2013-08-23,54,64.21
2013-08-30,66,62.82
2013-09-06,75,64.98
2013-09-13,88,67.91
2013-09-20,67,69.37
2013-09-27,89,73.64
2013-10-04,72,72.14
2013-10-11,78,73.46
2013-10-18,73,75.93
2013-10-25,77,75.70
2013-11-01,68,76.06
2013-11-08,72,77.12
2013-11-15,78,79.22
2013-11-22,83,78.87
2013-11-29,80,79.14
2013-12-06,83,79.86
2013-12-13,89,76.40
2013-12-20,95,77.34
2013-12-27,58,78.16
2014-01-03,67,78.03
2014-01-10,79,76.92
2014-01-17,82,73.39
2014-01-24,73,71.65
2014-01-31,76,72.85
2014-02-07,80,72.69
2014-02-14,71,75.07
2014-02-21,74,76.48
2014-02-28,62,78.30
2014-03-07,69,79.46
2014-03-14,73,78.32
2014-03-21,88,75.21
2014-03-28,75,73.54
2014-04-04,70,72.84
2014-04-11,74,71.25
2014-04-18,66,
2014-04-25,80,72.70
2014-05-02,85,
