Date,PFE,Price
2004-01-09,28,
2004-01-16,39,
2004-01-23,38,
2004-01-30,21,
2004-02-06,34,38.85
2004-02-13,35,37.38
2004-02-20,33,37.27
2004-02-27,43,36.65
2004-03-05,20,37.17
2004-03-12,62,35.29
2004-03-19,29,33.95
2004-03-26,22,34.29
2004-04-02,39,36.00
2004-04-09,30,
2004-04-16,35,37.62
2004-04-23,31,36.42
2004-04-30,43,35.76
2004-05-07,32,36.36
2004-05-14,25,35.60
2004-05-21,26,34.81
2004-05-28,29,35.34
2004-06-04,23,35.62
2004-06-11,21,
2004-06-18,19,35.43
2004-06-25,25,33.82
2004-07-02,31,33.94
2004-07-09,28,34.00
2004-07-16,30,32.38
2004-07-23,34,32.30
2004-07-30,29,31.96
2004-08-06,23,31.18
2004-08-13,25,31.15
2004-08-20,24,31.74
2004-08-27,28,32.65
2004-09-03,24,32.55
2004-09-10,20,31.86
2004-09-17,21,31.72
2004-09-24,29,29.66
2004-10-01,32,30.97
2004-10-08,29,29.80
2004-10-15,22,28.50
2004-10-22,31,27.74
2004-10-29,30,28.95
2004-11-05,29,28.79
2004-11-12,18,27.45
2004-11-19,22,27.23
2004-11-26,28,27.16
2004-12-03,40,27.89
2004-12-10,30,27.09
2004-12-17,32,25.75
2004-12-24,46,
2004-12-31,44,26.89
2005-01-07,33,26.30
2005-01-14,33,25.25
2005-01-21,31,24.48
2005-01-28,28,24.35
2005-02-04,33,24.23
2005-02-11,38,25.15
2005-02-18,36,26.80
2005-02-25,36,26.86
2005-03-04,32,26.85
2005-03-11,32,26.36
2005-03-18,31,25.83
2005-03-25,19,
2005-04-01,22,26.15
2005-04-08,45,26.60
2005-04-15,30,27.71
2005-04-22,35,27.22
2005-04-29,28,27.17
2005-05-06,32,27.61
2005-05-13,41,27.86
2005-05-20,27,28.58
2005-05-27,46,28.35
2005-06-03,26,27.96
2005-06-10,30,27.68
2005-06-17,38,28.78
2005-06-24,44,28.52
2005-07-01,33,27.10
2005-07-08,25,27.14
2005-07-15,35,27.57
2005-07-22,34,26.50
2005-07-29,39,26.50
2005-08-05,36,26.25
2005-08-12,38,26.16
2005-08-19,38,25.55
2005-08-26,34,24.89
2005-09-02,28,25.33
2005-09-09,35,26.33
2005-09-16,41,25.90
2005-09-23,30,24.87
2005-09-30,36,24.97
2005-10-07,39,24.39
2005-10-14,37,24.32
2005-10-21,49,21.25
2005-10-28,53,21.50
2005-11-04,48,22.26
2005-11-11,53,22.43
2005-11-18,38,21.60
2005-11-25,39,21.67
2005-12-02,44,21.30
2005-12-09,38,20.60
2005-12-16,60,22.58
2005-12-23,58,23.96
2005-12-30,42,23.32
2006-01-06,46,24.85
2006-01-13,37,24.67
2006-01-20,50,24.71
2006-01-27,53,25.99
2006-02-03,54,25.28
2006-02-10,56,25.68
2006-02-17,54,25.82
2006-02-24,39,26.37
2006-03-03,46,26.34
2006-03-10,43,26.08
2006-03-17,32,26.39
2006-03-24,39,26.02
2006-03-31,39,24.92
2006-04-07,31,24.69
2006-04-14,33,
2006-04-21,36,24.87
2006-04-28,31,25.33
2006-05-05,37,25.41
2006-05-12,37,24.50
2006-05-19,32,23.82
2006-05-26,30,24.00
2006-06-02,26,24.19
2006-06-09,37,23.53
2006-06-16,26,23.43
2006-06-23,38,22.64
2006-06-30,30,23.47
2006-07-07,28,23.68
2006-07-14,36,22.42
2006-07-21,36,23.83
2006-07-28,29,26.11
2006-08-04,45,25.98
2006-08-11,41,25.82
2006-08-18,37,27.05
2006-08-25,34,27.23
2006-09-01,34,27.96
2006-09-08,31,27.59
2006-09-15,34,28.04
