Date,UNH,Price
2004-01-09,51,
2004-01-16,48,
2004-01-23,62,
2004-01-30,57,
2004-02-06,61,59.62
2004-02-13,60,59.67
2004-02-20,63,61.04
2004-02-27,55,62.00
2004-03-05,53,63.17
2004-03-12,53,61.82
2004-03-19,45,63.47
2004-03-26,66,62.07
2004-04-02,55,65.12
2004-04-09,56,
2004-04-16,39,65.41
2004-04-23,52,65.95
2004-04-30,50,61.48
2004-05-07,62,60.53
2004-05-14,48,62.52
2004-05-21,54,63.20
2004-05-28,49,65.25
2004-06-04,50,64.95
2004-06-11,44,
2004-06-18,42,64.00
2004-06-25,37,61.73
2004-07-02,35,60.95
2004-07-09,43,60.25
2004-07-16,26,65.64
2004-07-23,37,62.90
2004-07-30,42,62.90
2004-08-06,34,61.35
2004-08-13,51,64.90
2004-08-20,40,65.57
2004-08-27,50,65.64
2004-09-03,56,67.04
2004-09-10,45,68.87
2004-09-17,70,69.82
2004-09-24,70,71.33
2004-10-01,62,73.76
2004-10-08,62,73.40
2004-10-15,75,73.35
2004-10-22,64,69.86
2004-10-29,71,72.40
2004-11-05,52,79.48
2004-11-12,45,81.50
2004-11-19,76,81.72
2004-11-26,72,83.88
2004-12-03,90,82.31
2004-12-10,72,84.77
2004-12-17,50,85.36
2004-12-24,48,
2004-12-31,43,88.03
2005-01-07,64,87.23
2005-01-14,56,89.56
2005-01-21,59,88.85
2005-01-28,57,88.15
2005-02-04,60,91.77
2005-02-11,69,87.75
2005-02-18,65,89.05
2005-02-25,59,91.39
2005-03-04,59,93.29
2005-03-11,62,90.28
2005-03-18,52,91.25
2005-03-25,64,
2005-04-01,67,95.83
2005-04-08,65,98.40
2005-04-15,59,93.27
2005-04-22,65,91.26
2005-04-29,55,94.51
2005-05-06,63,98.41
2005-05-13,50,95.37
2005-05-20,50,96.50
2005-05-27,47,97.77
2005-06-03,54,50.60
2005-06-10,39,50.79
2005-06-17,47,51.85
2005-06-24,48,51.30
2005-07-01,46,52.81
2005-07-08,45,53.05
2005-07-15,45,50.82
2005-07-22,64,50.80
2005-07-29,62,52.30
2005-08-05,55,52.06
2005-08-12,56,52.09
2005-08-19,64,51.18
2005-08-26,70,50.45
2005-09-02,85,52.53
2005-09-09,64,54.51
2005-09-16,77,54.05
2005-09-23,76,55.00
2005-09-30,77,56.20
2005-10-07,74,56.37
2005-10-14,86,56.43
2005-10-21,69,57.14
2005-10-28,83,56.73
2005-11-04,76,58.02
2005-11-11,79,59.65
2005-11-18,71,60.96
2005-11-25,77,60.16
2005-12-02,100,61.97
2005-12-09,81,63.67
2005-12-16,84,63.14
2005-12-23,72,63.65
2005-12-30,63,62.14
2006-01-06,66,62.90
2006-01-13,81,60.94
2006-01-20,76,59.48
2006-01-27,81,58.54
2006-02-03,91,59.62
2006-02-10,63,58.60
2006-02-17,66,58.00
2006-02-24,71,58.89
2006-03-03,74,56.60
2006-03-10,69,56.17
2006-03-17,61,56.69
2006-03-24,77,55.78
2006-03-31,74,55.86
2006-04-07,62,53.69
2006-04-14,69,
2006-04-21,79,49.57
2006-04-28,73,49.74
2006-05-05,78,46.39
2006-05-12,79,45.84
2006-05-19,72,44.42
2006-05-26,61,43.12
2006-06-02,44,46.98
2006-06-09,55,45.77
2006-06-16,48,44.29
2006-06-23,50,45.23
2006-06-30,53,44.78
2006-07-07,40,45.39
2006-07-14,52,47.55
2006-07-21,57,50.00
2006-07-28,56,47.85
2006-08-04,50,48.56
2006-08-11,56,47.57
2006-08-18,61,49.50
2006-08-25,69,50.88
2006-09-01,78,51.80
2006-09-08,76,50.90
2006-09-15,92,52.21
2006-09-22,76,48.97
2006-09-29,83,49.20
2006-10-06,83,51.50
2006-10-13,84,48.75
2006-10-20,93,50.70
2006-10-27,80,49.41
2006-11-03,90,47.83
2006-11-10,81,46.11
2006-11-17,65,47.25
2006-11-24,58,46.71
2006-12-01,83,48.83
2006-12-08,65,49.91
2006-12-15,52,50.09
2006-12-22,59,53.45
2006-12-29,49,53.73
2007-01-05,72,52.55
2007-01-12,60,55.10
2007-01-19,58,53.20
2007-01-26,69,51.54
2007-02-02,72,52.91
2007-02-09,64,50.88
2007-02-16,71,53.95
2007-02-23,64,53.03
2007-03-02,61,54.18
