Date,buy GS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,101.34
2004-02-13,0,105.85
2004-02-20,0,106.52
2004-02-27,0,105.87
2004-03-05,0,109.05
2004-03-12,0,104.93
2004-03-19,0,102.66
2004-03-26,0,103.75
2004-04-02,0,105.95
2004-04-09,0,
2004-04-16,0,103.36
2004-04-23,0,100.41
2004-04-30,0,96.75
2004-05-07,0,93.04
2004-05-14,0,94.01
2004-05-21,0,91.74
2004-05-28,0,93.91
2004-06-04,0,91.52
2004-06-11,0,
2004-06-18,0,89.18
2004-06-25,0,94.55
2004-07-02,0,93.61
2004-07-09,0,90.05
2004-07-16,0,87.25
2004-07-23,0,87.55
2004-07-30,0,88.19
2004-08-06,0,84.55
2004-08-13,0,84.25
2004-08-20,0,87.81
2004-08-27,0,90.48
2004-09-03,0,90.20
2004-09-10,0,93.13
2004-09-17,0,92.05
2004-09-24,0,93.48
2004-10-01,0,93.92
2004-10-08,0,94.24
2004-10-15,0,94.16
2004-10-22,0,92.70
2004-10-29,0,98.38
2004-11-05,0,100.85
2004-11-12,0,104.66
2004-11-19,0,103.04
2004-11-26,0,104.84
2004-12-03,0,106.47
2004-12-10,0,109.40
2004-12-17,0,103.75
2004-12-24,0,
2004-12-31,0,104.04
2005-01-07,0,104.78
2005-01-14,0,104.22
2005-01-21,0,103.33
2005-01-28,0,106.12
2005-02-04,0,110.02
2005-02-11,0,112.77
2005-02-18,0,109.00
2005-02-25,0,110.10
2005-03-04,0,111.53
2005-03-11,0,109.55
2005-03-18,0,109.98
2005-03-25,0,
2005-04-01,0,109.30
2005-04-08,0,112.93
2005-04-15,0,106.49
2005-04-22,0,104.19
2005-04-29,0,106.79
2005-05-06,0,104.68
2005-05-13,0,97.82
2005-05-20,0,101.08
2005-05-27,0,95.50
2005-06-03,0,97.30
2005-06-10,0,99.05
2005-06-17,0,103.80
2005-06-24,0,103.67
2005-07-01,0,102.71
2005-07-08,0,105.65
2005-07-15,0,108.50
2005-07-22,0,109.13
2005-07-29,0,107.48
2005-08-05,0,109.70
2005-08-12,0,113.65
2005-08-19,0,111.27
2005-08-26,0,109.75
2005-09-02,0,113.21
2005-09-09,0,116.17
2005-09-16,0,118.40
2005-09-23,0,119.47
2005-09-30,0,121.58
2005-10-07,0,117.57
2005-10-14,0,114.55
2005-10-21,0,118.77
2005-10-28,0,124.56
2005-11-04,0,130.96
2005-11-11,0,130.00
2005-11-18,0,131.58
2005-11-25,0,134.12
2005-12-02,0,131.08
2005-12-09,0,129.66
2005-12-16,0,126.50
2005-12-23,0,128.11
2005-12-30,0,127.71
2006-01-06,0,128.84
2006-01-13,0,133.26
2006-01-20,0,131.44
2006-01-27,100,138.94
2006-02-03,99,142.74
2006-02-10,80,140.81
2006-02-17,0,145.54
2006-02-24,0,144.16
2006-03-03,0,146.00
2006-03-10,0,141.53
2006-03-17,0,150.36
2006-03-24,0,152.17
2006-03-31,0,156.96
2006-04-07,77,161.02
2006-04-14,78,
2006-04-21,79,165.89
2006-04-28,0,160.29
2006-05-05,0,164.39
2006-05-12,0,156.11
2006-05-19,0,149.41
2006-05-26,0,152.94
2006-06-02,0,154.09
2006-06-09,0,149.89
2006-06-16,0,144.00
2006-06-23,0,147.92
2006-06-30,0,150.43
2006-07-07,0,148.51
2006-07-14,0,140.10
2006-07-21,0,142.04
2006-07-28,0,151.72
2006-08-04,0,152.99
2006-08-11,0,151.11
2006-08-18,0,154.68
2006-08-25,0,150.07
2006-09-01,0,149.14
2006-09-08,0,149.80
2006-09-15,0,162.71
2006-09-22,0,167.52
2006-09-29,0,169.17
2006-10-06,0,175.65
2006-10-13,0,183.85
2006-10-20,0,180.40
2006-10-27,0,188.67
2006-11-03,0,187.13
2006-11-10,0,187.06
2006-11-17,0,195.04
2006-11-24,73,201.60
2006-12-01,58,194.50
2006-12-08,64,205.10
2006-12-15,0,199.84
2006-12-22,0,198.09
2006-12-29,0,199.35
2007-01-05,0,199.05
2007-01-12,0,213.99
2007-01-19,0,210.29
2007-01-26,0,213.50
2007-02-02,0,213.43
2007-02-09,0,213.28
2007-02-16,0,216.92
2007-02-23,0,216.50
2007-03-02,0,195.67
2007-03-09,0,201.70
2007-03-16,0,199.00
2007-03-23,0,211.89
2007-03-30,0,206.63
2007-04-06,65,
2007-04-13,49,206.50
2007-04-20,49,220.00
2007-04-27,0,224.28
2007-05-04,0,227.34
2007-05-11,0,227.50
2007-05-18,0,230.34
2007-05-25,0,225.53
2007-06-01,0,230.71
2007-06-08,0,225.06
2007-06-15,0,226.19
2007-06-22,0,222.40
2007-06-29,0,216.75
2007-07-06,0,223.64
2007-07-13,0,222.18
2007-07-20,52,205.94
2007-07-27,46,192.65
2007-08-03,46,179.68
2007-08-10,46,180.50
2007-08-17,46,175.00
2007-08-24,57,179.73
2007-08-31,54,176.01
2007-09-07,54,178.98
2007-09-14,54,190.59
2007-09-21,45,209.98
2007-09-28,45,216.74
2007-10-05,43,228.50
2007-10-12,43,233.56
2007-10-19,43,217.69
2007-10-26,57,235.92
2007-11-02,53,229.60
2007-11-09,53,211.33
2007-11-16,43,225.25
2007-11-23,43,216.48
2007-11-30,66,226.64
2007-12-07,41,217.89
2007-12-14,48,210.67
2007-12-21,51,209.60
2007-12-28,53,211.94
2008-01-04,60,199.93
2008-01-11,69,198.74
2008-01-18,35,187.21
2008-01-25,35,191.37
2008-02-01,45,207.78
2008-02-08,43,187.07
2008-02-15,45,178.41
2008-02-22,62,177.71
2008-02-29,42,169.63
2008-03-07,42,160.07
2008-03-14,42,156.86
2008-03-21,42,
2008-03-28,57,164.45
2008-04-04,47,175.40
2008-04-11,33,167.30
2008-04-18,55,179.93
2008-04-25,34,192.00
2008-05-02,34,200.27
2008-05-09,40,188.09
2008-05-16,49,187.14
2008-05-23,58,172.64
2008-05-30,43,176.41
2008-06-06,54,169.44
2008-06-13,76,178.29
2008-06-20,37,183.77
2008-06-27,37,174.56
2008-07-04,73,
2008-07-11,54,162.48
2008-07-18,74,182.84
2008-07-25,44,178.66
2008-08-01,54,182.00
2008-08-08,54,175.95
2008-08-15,48,163.18
2008-08-22,46,159.81
2008-08-29,34,163.97
2008-09-05,34,163.24
2008-09-12,57,154.21
2008-09-19,54,129.80
2008-09-26,65,137.99
2008-10-03,69,128.00
2008-10-10,29,88.80
2008-10-17,46,114.30
2008-10-24,28,100.40
2008-10-31,40,92.50
2008-11-07,52,77.78
2008-11-14,66,66.73
2008-11-21,55,53.31
2008-11-28,50,78.99
2008-12-05,46,70.72
2008-12-12,42,67.74
2008-12-19,56,80.73
2008-12-26,74,75.97
2009-01-02,60,86.76
2009-01-09,35,83.92
2009-01-16,37,73.05
2009-01-23,54,74.91
2009-01-30,29,80.73
2009-02-06,53,96.57
2009-02-13,40,96.45
2009-02-20,28,84.59
2009-02-27,43,91.08
2009-03-06,35,75.65
2009-03-13,54,98.80
2009-03-20,28,97.32
2009-03-27,34,108.08
2009-04-03,40,119.40
2009-04-10,47,
2009-04-17,31,120.60
2009-04-24,44,121.30
2009-05-01,40,127.08
2009-05-08,36,139.59
2009-05-15,36,134.40
2009-05-22,39,136.35
2009-05-29,51,144.57
2009-06-05,41,149.01
2009-06-12,52,145.64
2009-06-19,54,143.13
2009-06-26,66,146.74
2009-07-03,65,
2009-07-10,73,141.87
2009-07-17,39,156.84
2009-07-24,44,164.72
2009-07-31,51,163.30
2009-08-07,37,163.65
2009-08-14,34,162.73
2009-08-21,48,163.51
2009-08-28,63,164.42
2009-09-04,46,162.97
2009-09-11,47,174.70
2009-09-18,57,183.18
2009-09-25,56,179.50
2009-10-02,46,179.61
2009-10-09,61,189.30
2009-10-16,35,184.37
2009-10-23,49,180.36
2009-10-30,33,170.17
2009-11-06,42,171.78
2009-11-13,53,176.76
2009-11-20,23,170.01
2009-11-27,49,164.16
2009-12-04,33,167.24
2009-12-11,58,166.00
2009-12-18,33,163.19
2009-12-25,50,
2010-01-01,41,
2010-01-08,44,174.31
2010-01-15,35,165.21
2010-01-22,48,154.12
2010-01-29,28,148.72
2010-02-05,36,154.16
2010-02-12,47,153.93
2010-02-19,41,156.18
2010-02-26,35,156.35
2010-03-05,45,167.18
2010-03-12,41,174.96
2010-03-19,36,177.90
2010-03-26,26,172.87
2010-04-02,55,
2010-04-09,31,179.12
2010-04-16,43,160.70
2010-04-23,37,157.40
2010-04-30,55,145.20
2010-05-07,48,142.99
2010-05-14,38,143.23
2010-05-21,41,140.62
2010-05-28,39,144.26
2010-06-04,43,142.25
2010-06-11,31,135.64
2010-06-18,35,138.18
2010-06-25,39,139.66
2010-07-02,45,131.08
2010-07-09,41,138.06
2010-07-16,44,146.17
2010-07-23,46,147.38
2010-07-30,44,150.82
2010-08-06,37,155.18
2010-08-13,25,148.08
2010-08-20,40,148.24
2010-08-27,26,139.75
2010-09-03,38,147.29
2010-09-10,48,150.39
2010-09-17,28,150.98
2010-09-24,38,147.28
2010-10-01,41,147.70
2010-10-08,23,152.66
2010-10-15,33,150.69
2010-10-22,24,157.76
2010-10-29,38,161.13
2010-11-05,33,171.07
2010-11-12,30,165.83
2010-11-19,55,166.67
2010-11-26,38,158.22
2010-12-03,43,162.31
2010-12-10,45,168.47
2010-12-17,25,164.04
2010-12-24,36,
2010-12-31,52,168.16
2011-01-07,34,170.69
2011-01-14,33,175.00
2011-01-21,44,166.20
2011-01-28,33,161.77
2011-02-04,32,164.83
2011-02-11,31,166.66
2011-02-18,38,168.04
2011-02-25,49,165.12
2011-03-04,29,161.00
2011-03-11,30,160.68
2011-03-18,51,159.96
2011-03-25,42,157.97
2011-04-01,27,160.23
2011-04-08,38,160.96
2011-04-15,27,155.13
2011-04-22,33,
2011-04-29,25,151.01
2011-05-06,37,150.10
2011-05-13,34,141.46
2011-05-20,48,134.99
2011-05-27,46,138.66
2011-06-03,36,135.33
2011-06-10,36,135.92
2011-06-17,21,137.23
2011-06-24,45,130.91
2011-07-01,33,136.65
2011-07-08,30,134.08
2011-07-15,36,130.16
2011-07-22,28,135.49
2011-07-29,32,134.97
2011-08-05,34,125.18
2011-08-12,39,116.47
2011-08-19,37,111.76
2011-08-26,36,111.75
2011-09-02,38,107.06
2011-09-09,42,102.25
2011-09-16,33,107.49
2011-09-23,39,95.18
2011-09-30,29,94.55
2011-10-07,26,92.69
2011-10-14,23,96.73
2011-10-21,26,102.09
2011-10-28,28,115.86
2011-11-04,43,105.04
2011-11-11,26,101.66
2011-11-18,30,91.91
2011-11-25,28,88.75
2011-12-02,35,97.25
2011-12-09,30,101.45
2011-12-16,21,90.10
2011-12-23,25,93.79
2011-12-30,39,90.43
2012-01-06,35,93.42
2012-01-13,28,98.96
2012-01-20,50,108.74
2012-01-27,29,111.77
2012-02-03,39,117.53
2012-02-10,31,114.12
2012-02-17,42,115.91
2012-02-24,27,115.87
2012-03-02,32,119.96
2012-03-09,32,117.29
2012-03-16,26,122.93
2012-03-23,39,126.18
2012-03-30,28,124.37
2012-04-06,41,
2012-04-13,37,115.09
2012-04-20,28,112.44
2012-04-27,29,114.41
2012-05-04,34,108.99
2012-05-11,29,102.13
2012-05-18,33,95.49
2012-05-25,19,96.70
2012-06-01,40,92.64
2012-06-08,28,94.54
2012-06-15,33,95.66
2012-06-22,33,93.63
2012-06-29,26,95.86
2012-07-06,31,95.47
2012-07-13,54,97.43
2012-07-20,47,94.16
2012-07-27,38,101.64
2012-08-03,48,100.98
2012-08-10,46,103.02
2012-08-17,55,103.60
2012-08-24,39,104.96
2012-08-31,46,105.72
2012-09-07,45,116.33
2012-09-14,43,121.36
2012-09-21,42,116.72
2012-09-28,27,113.68
2012-10-05,35,119.31
2012-10-12,35,120.20
2012-10-19,28,123.62
2012-10-26,30,119.44
2012-11-02,26,123.25
2012-11-09,37,116.15
2012-11-16,29,115.84
2012-11-23,48,120.31
2012-11-30,39,117.79
2012-12-07,46,116.57
2012-12-14,38,119.36
2012-12-21,43,128.44
2012-12-28,28,125.52
2013-01-04,42,134.51
2013-01-11,33,137.13
2013-01-18,44,144.45
2013-01-25,34,144.46
2013-02-01,32,149.90
2013-02-08,28,151.60
2013-02-15,49,154.99
2013-02-22,29,154.09
2013-03-01,44,150.53
2013-03-08,38,152.98
2013-03-15,46,154.84
2013-03-22,24,146.60
2013-03-29,39,
2013-04-05,30,143.69
2013-04-12,33,149.12
2013-04-19,25,138.72
2013-04-26,34,144.11
2013-05-03,26,145.37
2013-05-10,32,149.10
2013-05-17,37,158.18
2013-05-24,34,158.72
2013-05-31,28,162.08
2013-06-07,49,166.01
2013-06-14,30,162.92
2013-06-21,32,154.25
2013-06-28,30,151.25
2013-07-05,33,153.24
2013-07-12,32,160.11
2013-07-19,31,164.36
2013-07-26,32,165.26
2013-08-02,42,167.62
2013-08-09,47,162.13
2013-08-16,40,160.66
2013-08-23,33,158.65
2013-08-30,31,152.13
2013-09-06,26,156.66
2013-09-13,33,164.00
2013-09-20,26,169.75
2013-09-27,29,159.85
2013-10-04,27,156.55
2013-10-11,32,160.00
2013-10-18,25,158.69
2013-10-25,25,162.09
2013-11-01,35,162.05
2013-11-08,38,163.17
2013-11-15,29,164.40
2013-11-22,32,168.10
2013-11-29,33,168.94
2013-12-06,36,167.21
2013-12-13,34,168.39
2013-12-20,41,175.16
2013-12-27,49,176.35
2014-01-03,35,178.15
2014-01-10,28,178.39
2014-01-17,36,176.28
2014-01-24,34,167.64
2014-01-31,32,164.12
2014-02-07,37,161.93
2014-02-14,28,163.72
2014-02-21,27,164.50
2014-02-28,34,166.45
2014-03-07,32,174.26
2014-03-14,39,165.35
2014-03-21,32,166.95
2014-03-28,22,162.30
2014-04-04,33,163.24
2014-04-11,29,152.72
2014-04-18,36,
2014-04-25,40,158.24
2014-05-02,0,
