Date,Chevron,Price
2004-01-09,40,
2004-01-16,38,
2004-01-23,36,
2004-01-30,38,
2004-02-06,39,85.42
2004-02-13,39,86.52
2004-02-20,37,86.61
2004-02-27,36,88.35
2004-03-05,37,90.22
2004-03-12,36,88.45
2004-03-19,45,88.20
2004-03-26,36,85.34
2004-04-02,41,88.03
2004-04-09,38,
2004-04-16,33,91.73
2004-04-23,41,91.69
2004-04-30,35,91.50
2004-05-07,39,91.65
2004-05-14,40,92.69
2004-05-21,40,89.61
2004-05-28,39,90.40
2004-06-04,38,90.20
2004-06-11,37,
2004-06-18,43,93.42
2004-06-25,34,93.39
2004-07-02,35,93.25
2004-07-09,40,93.95
2004-07-16,32,95.40
2004-07-23,40,93.70
2004-07-30,41,95.65
2004-08-06,44,93.82
2004-08-13,40,95.60
2004-08-20,40,94.18
2004-08-27,43,95.25
2004-09-03,38,99.77
2004-09-10,41,100.05
2004-09-17,43,51.94
2004-09-24,41,52.83
2004-10-01,39,53.92
2004-10-08,43,55.29
2004-10-15,41,53.40
2004-10-22,36,53.34
2004-10-29,32,53.06
2004-11-05,35,54.53
2004-11-12,36,54.57
2004-11-19,31,53.90
2004-11-26,30,54.84
2004-12-03,34,52.59
2004-12-10,38,52.60
2004-12-17,35,51.72
2004-12-24,33,
2004-12-31,33,52.51
2005-01-07,30,51.15
2005-01-14,36,52.30
2005-01-21,37,51.98
2005-01-28,41,53.72
2005-02-04,40,56.74
2005-02-11,36,58.16
2005-02-18,39,59.73
2005-02-25,40,61.94
2005-03-04,43,61.71
2005-03-11,39,58.30
2005-03-18,37,60.38
2005-03-25,39,
2005-04-01,33,59.31
2005-04-08,41,56.69
2005-04-15,41,52.21
2005-04-22,38,53.87
2005-04-29,40,52.00
2005-05-06,37,52.74
2005-05-13,42,51.28
2005-05-20,41,51.72
2005-05-27,41,54.58
2005-06-03,39,55.06
2005-06-10,39,56.30
2005-06-17,43,58.97
2005-06-24,48,56.69
2005-07-01,46,56.97
2005-07-08,45,57.36
2005-07-15,50,56.67
2005-07-22,50,57.79
2005-07-29,49,58.01
2005-08-05,49,60.34
2005-08-12,56,62.28
2005-08-19,49,59.92
2005-08-26,48,59.38
2005-09-02,59,62.30
2005-09-09,46,63.81
2005-09-16,49,63.38
2005-09-23,48,63.27
2005-09-30,58,64.73
2005-10-07,51,61.00
2005-10-14,47,59.48
2005-10-21,41,56.30
2005-10-28,46,57.38
2005-11-04,45,58.01
2005-11-11,38,56.63
2005-11-18,43,58.11
2005-11-25,39,58.54
2005-12-02,41,59.18
2005-12-09,42,58.82
2005-12-16,46,57.51
2005-12-23,37,57.13
2005-12-30,37,56.77
2006-01-06,43,59.25
2006-01-13,46,60.36
2006-01-20,43,61.12
2006-01-27,43,60.38
2006-02-03,50,57.50
2006-02-10,43,56.61
2006-02-17,41,57.17
2006-02-24,41,57.65
2006-03-03,49,56.97
2006-03-10,50,54.08
2006-03-17,42,57.18
2006-03-24,44,57.57
2006-03-31,43,57.97
2006-04-07,44,58.65
2006-04-14,45,
2006-04-21,44,61.48
2006-04-28,53,61.02
2006-05-05,50,62.35
2006-05-12,47,61.38
2006-05-19,46,58.47
2006-05-26,47,59.83
2006-06-02,46,60.75
2006-06-09,44,57.53
2006-06-16,44,58.71
2006-06-23,42,58.71
2006-06-30,46,62.06
2006-07-07,38,63.68
2006-07-14,47,66.38
2006-07-21,52,64.45
2006-07-28,53,66.05
2006-08-04,52,65.66
2006-08-11,51,67.85
2006-08-18,48,67.26
2006-08-25,48,66.77
2006-09-01,51,64.83
2006-09-08,67,64.22
2006-09-15,51,61.79
2006-09-22,48,61.94
2006-09-29,50,64.86
2006-10-06,47,63.66
2006-10-13,49,64.20
2006-10-20,41,65.28
2006-10-27,45,67.68
2006-11-03,48,68.91
2006-11-10,45,69.54
2006-11-17,49,69.10
2006-11-24,39,68.84
2006-12-01,43,73.11
2006-12-08,43,72.83
2006-12-15,37,75.38
2006-12-22,44,72.73
2006-12-29,37,73.53
2007-01-05,40,70.55
2007-01-12,48,70.35
2007-01-19,52,72.32
2007-01-26,44,71.50
2007-02-02,44,74.04
2007-02-09,41,73.32
2007-02-16,43,70.81
2007-02-23,44,71.07
2007-03-02,48,66.79
2007-03-09,45,68.47
2007-03-16,46,68.08
2007-03-23,47,73.70
2007-03-30,48,73.96
2007-04-06,48,
2007-04-13,44,77.01
2007-04-20,46,78.45
2007-04-27,43,78.08
2007-05-04,48,79.30
2007-05-11,49,80.04
2007-05-18,44,82.85
2007-05-25,47,81.13
2007-06-01,43,82.23
2007-06-08,45,80.69
2007-06-15,45,83.17
2007-06-22,47,81.55
2007-06-29,46,84.24
2007-07-06,46,87.68
2007-07-13,49,93.33
2007-07-20,51,92.12
2007-07-27,49,85.20
2007-08-03,46,81.02
2007-08-10,44,83.42
2007-08-17,50,84.36
2007-08-24,47,87.22
2007-08-31,45,87.76
2007-09-07,47,87.65
2007-09-14,49,90.65
2007-09-21,47,94.84
2007-09-28,50,93.58
2007-10-05,49,92.32
2007-10-12,51,91.41
2007-10-19,50,89.27
2007-10-26,46,91.65
2007-11-02,48,88.48
2007-11-09,47,87.26
2007-11-16,44,85.98
2007-11-23,40,86.67
2007-11-30,41,87.77
2007-12-07,43,90.96
2007-12-14,45,92.02
2007-12-21,41,94.04
2007-12-28,37,94.86
2008-01-04,42,93.35
2008-01-11,46,90.67
2008-01-18,54,83.46
2008-01-25,44,81.82
2008-02-01,48,82.49
2008-02-08,47,79.26
2008-02-15,48,83.60
2008-02-22,46,85.42
2008-02-29,47,86.66
2008-03-07,48,85.26
2008-03-14,46,85.34
2008-03-21,45,
2008-03-28,43,84.50
2008-04-04,58,88.05
2008-04-11,54,88.80
2008-04-18,57,93.18
2008-04-25,55,92.69
2008-05-02,57,95.32
2008-05-09,54,97.39
2008-05-16,53,100.38
2008-05-23,50,100.73
2008-05-30,50,99.15
2008-06-06,47,99.50
2008-06-13,50,99.40
2008-06-20,49,96.62
2008-06-27,58,97.80
2008-07-04,52,
2008-07-11,53,92.25
2008-07-18,53,86.05
2008-07-25,49,82.56
2008-08-01,55,84.31
2008-08-08,57,84.40
2008-08-15,52,84.25
2008-08-22,51,88.10
2008-08-29,50,86.32
2008-09-05,45,80.22
2008-09-12,46,84.24
2008-09-19,50,87.80
2008-09-26,51,86.95
2008-10-03,53,79.38
2008-10-10,51,57.83
2008-10-17,49,62.35
2008-10-24,49,63.91
2008-10-31,50,74.60
2008-11-07,48,73.46
2008-11-14,49,72.68
2008-11-21,46,70.49
2008-11-28,42,79.01
2008-12-05,51,74.42
2008-12-12,47,79.00
2008-12-19,54,70.85
2008-12-26,46,70.35
2009-01-02,37,76.52
2009-01-09,45,72.82
2009-01-16,47,71.74
2009-01-23,49,70.82
2009-01-30,46,70.52
2009-02-06,46,74.90
2009-02-13,45,69.73
2009-02-20,47,65.07
2009-02-27,47,60.71
2009-03-06,45,58.27
2009-03-13,44,62.91
2009-03-20,41,64.71
2009-03-27,41,68.90
2009-04-03,43,70.48
2009-04-10,43,
2009-04-17,41,66.01
2009-04-24,41,66.60
2009-05-01,43,66.87
2009-05-08,44,70.38
2009-05-15,44,65.88
2009-05-22,43,64.44
2009-05-29,43,66.67
2009-06-05,46,69.37
2009-06-12,43,72.67
2009-06-19,47,68.06
2009-06-26,41,65.95
2009-07-03,41,
2009-07-10,46,61.40
2009-07-17,49,65.12
2009-07-24,47,68.43
