Date,Cisco,Price
2004-01-09,86,
2004-01-16,92,
2004-01-23,93,
2004-01-30,91,
2004-02-06,100,24.74
2004-02-13,95,24.06
2004-02-20,95,23.19
2004-02-27,96,23.16
2004-03-05,91,22.89
2004-03-12,86,23.13
2004-03-19,96,22.50
2004-03-26,81,23.40
2004-04-02,93,24.43
2004-04-09,93,
2004-04-16,96,22.48
2004-04-23,96,23.32
2004-04-30,90,20.91
2004-05-07,89,21.69
2004-05-14,93,21.24
2004-05-21,95,21.64
2004-05-28,96,22.37
2004-06-04,91,22.78
2004-06-11,95,
2004-06-18,96,23.42
2004-06-25,92,23.43
2004-07-02,90,22.95
2004-07-09,92,22.36
2004-07-16,93,21.53
2004-07-23,96,20.93
2004-07-30,93,20.92
2004-08-06,90,19.93
2004-08-13,91,17.86
2004-08-20,92,18.88
2004-08-27,89,19.47
2004-09-03,87,18.75
2004-09-10,87,20.46
2004-09-17,91,19.16
2004-09-24,88,18.40
2004-10-01,90,18.93
2004-10-08,90,18.78
2004-10-15,85,18.48
2004-10-22,89,18.27
2004-10-29,86,19.21
2004-11-05,82,19.97
2004-11-12,79,19.26
2004-11-19,85,19.01
2004-11-26,76,19.23
2004-12-03,82,19.43
2004-12-10,86,19.42
2004-12-17,80,18.99
2004-12-24,74,
2004-12-31,60,19.32
2005-01-07,71,18.72
2005-01-14,81,18.88
2005-01-21,81,18.01
2005-01-28,85,17.90
2005-02-04,83,17.90
2005-02-11,82,17.70
2005-02-18,80,17.30
2005-02-25,84,17.20
2005-03-04,81,18.04
2005-03-11,82,18.45
2005-03-18,82,17.80
2005-03-25,77,
2005-04-01,76,17.70
2005-04-08,77,17.90
2005-04-15,80,17.20
2005-04-22,77,17.43
2005-04-29,77,17.27
2005-05-06,79,18.02
2005-05-13,79,18.89
2005-05-20,80,19.47
2005-05-27,81,19.79
2005-06-03,75,19.40
2005-06-10,80,19.24
2005-06-17,80,19.53
2005-06-24,81,19.30
2005-07-01,79,18.99
2005-07-08,74,19.31
2005-07-15,79,19.89
2005-07-22,77,19.32
2005-07-29,77,19.15
2005-08-05,81,19.30
2005-08-12,81,17.80
2005-08-19,73,17.82
2005-08-26,77,17.40
2005-09-02,75,17.72
2005-09-09,70,18.58
2005-09-16,76,18.42
2005-09-23,74,18.05
2005-09-30,76,17.92
2005-10-07,72,17.63
2005-10-14,73,17.27
2005-10-21,77,17.03
2005-10-28,76,17.14
2005-11-04,69,17.87
2005-11-11,73,17.47
2005-11-18,74,17.02
2005-11-25,66,17.55
2005-12-02,69,17.64
2005-12-09,72,17.55
2005-12-16,71,17.52
2005-12-23,61,17.35
2005-12-30,52,17.12
2006-01-06,59,18.77
2006-01-13,67,18.92
2006-01-20,69,18.51
2006-01-27,71,18.78
2006-02-03,69,18.15
2006-02-10,71,19.76
2006-02-17,71,19.86
2006-02-24,69,19.85
2006-03-03,70,21.04
2006-03-10,67,20.82
2006-03-17,70,21.62
2006-03-24,67,21.36
2006-03-31,68,21.67
2006-04-07,69,20.81
2006-04-14,63,
2006-04-21,66,20.68
2006-04-28,67,20.95
2006-05-05,64,21.75
2006-05-12,68,20.34
2006-05-19,66,20.87
2006-05-26,65,20.31
2006-06-02,65,20.44
2006-06-09,67,19.97
2006-06-16,66,19.98
2006-06-23,63,19.61
2006-06-30,63,19.53
2006-07-07,59,19.39
2006-07-14,63,17.94
2006-07-21,64,17.46
2006-07-28,63,18.08
2006-08-04,62,17.24
2006-08-11,62,19.54
2006-08-18,60,20.86
2006-08-25,64,21.05
2006-09-01,62,22.27
2006-09-08,61,21.75
2006-09-15,64,22.72
2006-09-22,66,22.88
2006-09-29,64,22.98
2006-10-06,64,24.09
2006-10-13,65,24.53
2006-10-20,64,24.55
2006-10-27,62,23.72
2006-11-03,61,23.77
2006-11-10,64,26.74
2006-11-17,64,26.93
2006-11-24,57,26.84
2006-12-01,62,26.69
2006-12-08,62,26.98
2006-12-15,61,27.56
2006-12-22,58,26.93
2006-12-29,42,27.33
2007-01-05,45,28.47
2007-01-12,67,28.92
2007-01-19,61,26.70
2007-01-26,65,26.35
2007-02-02,64,27.14
2007-02-09,66,27.71
2007-02-16,63,27.52
2007-02-23,64,27.51
2007-03-02,61,25.30
2007-03-09,63,26.08
2007-03-16,65,25.99
2007-03-23,61,26.19
2007-03-30,64,25.53
2007-04-06,59,
2007-04-13,58,26.68
2007-04-20,62,26.99
2007-04-27,63,27.03
2007-05-04,55,27.91
2007-05-11,60,26.63
2007-05-18,61,26.21
2007-05-25,60,25.52
2007-06-01,57,26.86
2007-06-08,67,26.48
2007-06-15,60,27.39
2007-06-22,60,26.92
2007-06-29,60,27.85
2007-07-06,55,28.47
2007-07-13,60,29.89
2007-07-20,60,29.59
2007-07-27,59,28.97
2007-08-03,58,29.46
2007-08-10,60,31.39
2007-08-17,56,29.99
2007-08-24,58,30.73
2007-08-31,56,31.92
2007-09-07,57,31.52
2007-09-14,58,31.56
2007-09-21,57,32.30
2007-09-28,58,33.13
2007-10-05,56,32.65
2007-10-12,57,32.92
2007-10-19,62,31.50
2007-10-26,57,31.90
2007-11-02,58,32.51
2007-11-09,59,28.58
2007-11-16,58,29.94
2007-11-23,53,28.69
2007-11-30,58,28.02
2007-12-07,59,27.45
2007-12-14,57,28.65
2007-12-21,53,28.60
2007-12-28,35,27.56
2008-01-04,39,26.12
2008-01-11,55,25.87
2008-01-18,53,24.30
2008-01-25,55,24.20
2008-02-01,57,24.94
2008-02-08,56,23.54
2008-02-15,55,23.30
2008-02-22,57,23.60
2008-02-29,56,24.39
2008-03-07,57,24.11
2008-03-14,56,24.32
2008-03-21,52,
2008-03-28,53,24.08
2008-04-04,57,24.39
2008-04-11,57,23.38
2008-04-18,56,24.51
2008-04-25,57,25.60
2008-05-02,52,26.75
2008-05-09,55,25.49
2008-05-16,54,26.51
2008-05-23,54,25.10
2008-05-30,52,26.72
2008-06-06,54,26.54
2008-06-13,54,26.37
2008-06-20,55,24.64
2008-06-27,56,23.61
2008-07-04,51,
2008-07-11,54,21.82
2008-07-18,56,21.66
2008-07-25,56,22.43
2008-08-01,53,21.99
2008-08-08,53,24.25
2008-08-15,52,24.91
2008-08-22,53,24.71
2008-08-29,52,24.05
2008-09-05,50,22.26
2008-09-12,53,23.46
2008-09-19,52,24.29
2008-09-26,54,23.82
2008-10-03,51,21.25
2008-10-10,54,17.23
2008-10-17,53,17.91
2008-10-24,54,16.31
2008-10-31,54,17.77
2008-11-07,54,17.58
2008-11-14,52,16.62
2008-11-21,53,15.17
2008-11-28,49,16.54
2008-12-05,51,15.94
2008-12-12,51,16.99
2008-12-19,49,16.64
2008-12-26,35,16.27
2009-01-02,31,16.96
2009-01-09,47,16.70
2009-01-16,51,15.82
2009-01-23,52,15.89
2009-01-30,51,14.97
2009-02-06,53,17.04
2009-02-13,52,16.10
2009-02-20,52,15.08
2009-02-27,52,14.57
2009-03-06,52,14.18
2009-03-13,54,15.51
2009-03-20,55,15.91
2009-03-27,52,16.95
2009-04-03,53,18.16
2009-04-10,48,
2009-04-17,50,17.99
2009-04-24,52,18.42
2009-05-01,49,19.58
2009-05-08,50,18.73
2009-05-15,53,17.92
2009-05-22,50,17.90
2009-05-29,48,18.50
2009-06-05,50,19.87
2009-06-12,49,19.91
2009-06-19,48,18.92
2009-06-26,48,18.91
2009-07-03,47,
2009-07-10,49,18.34
2009-07-17,50,20.51
2009-07-24,49,21.88
2009-07-31,48,22.01
2009-08-07,47,22.19
2009-08-14,46,21.31
2009-08-21,47,22.19
2009-08-28,48,22.00
2009-09-04,47,21.84
2009-09-11,47,23.09
2009-09-18,49,23.40
2009-09-25,49,22.62
2009-10-02,49,22.67
2009-10-09,51,24.03
2009-10-16,49,24.02
2009-10-23,51,24.17
2009-10-30,49,22.81
2009-11-06,50,23.82
2009-11-13,49,23.71
2009-11-20,50,23.46
2009-11-27,45,23.38
2009-12-04,47,24.16
2009-12-11,51,23.77
2009-12-18,46,23.33
2009-12-25,36,
2010-01-01,30,
2010-01-08,43,24.66
2010-01-15,48,24.40
2010-01-22,48,22.97
2010-01-29,48,22.47
2010-02-05,49,23.70
2010-02-12,46,23.76
2010-02-19,46,24.36
2010-02-26,48,24.33
2010-03-05,49,25.21
2010-03-12,56,25.88
2010-03-19,49,26.15
2010-03-26,50,26.47
2010-04-02,47,
2010-04-09,47,26.60
2010-04-16,50,26.98
2010-04-23,51,27.47
2010-04-30,47,26.93
2010-05-07,48,24.71
2010-05-14,49,24.94
2010-05-21,49,23.46
2010-05-28,49,23.16
