Date,Disney,Price
2004-01-09,73,
2004-01-16,74,
2004-01-23,74,
2004-01-30,74,
2004-02-06,70,23.35
2004-02-13,76,26.92
2004-02-20,74,26.55
2004-02-27,71,26.53
2004-03-05,71,26.48
2004-03-12,74,26.10
2004-03-19,69,25.39
2004-03-26,71,25.10
2004-04-02,68,25.95
2004-04-09,67,
2004-04-16,62,24.90
2004-04-23,62,24.65
2004-04-30,64,23.03
2004-05-07,62,22.45
2004-05-14,60,23.24
2004-05-21,61,22.68
2004-05-28,61,23.47
2004-06-04,60,24.06
2004-06-11,60,
2004-06-18,61,25.02
2004-06-25,62,25.18
2004-07-02,62,25.27
2004-07-09,63,24.60
2004-07-16,64,23.45
2004-07-23,63,22.96
2004-07-30,61,23.09
2004-08-06,61,21.99
2004-08-13,63,20.89
2004-08-20,60,22.44
2004-08-27,59,22.66
2004-09-03,58,22.37
2004-09-10,62,23.16
2004-09-17,59,23.42
2004-09-24,60,23.46
2004-10-01,63,23.08
2004-10-08,65,24.85
2004-10-15,67,24.91
2004-10-22,67,24.62
2004-10-29,66,25.22
2004-11-05,64,26.43
2004-11-12,72,26.80
2004-11-19,67,26.66
2004-11-26,68,27.12
2004-12-03,69,27.37
2004-12-10,69,27.63
2004-12-17,69,27.37
2004-12-24,77,
2004-12-31,72,27.80
2005-01-07,73,27.17
2005-01-14,71,28.30
2005-01-21,71,28.15
2005-01-28,71,28.23
2005-02-04,67,29.31
2005-02-11,70,29.34
2005-02-18,69,29.06
2005-02-25,68,27.89
2005-03-04,70,28.88
2005-03-11,71,27.59
2005-03-18,69,28.09
2005-03-25,71,
2005-04-01,69,28.58
2005-04-08,68,28.40
2005-04-15,65,27.37
2005-04-22,65,27.30
2005-04-29,66,26.40
2005-05-06,69,26.89
2005-05-13,64,27.00
2005-05-20,65,27.83
2005-05-27,69,27.88
2005-06-03,65,27.32
2005-06-10,66,27.52
2005-06-17,72,26.70
2005-06-24,70,26.04
2005-07-01,69,25.09
2005-07-08,67,25.00
2005-07-15,71,26.38
2005-07-22,70,25.83
2005-07-29,69,25.64
2005-08-05,71,25.48
2005-08-12,68,25.76
2005-08-19,67,25.97
2005-08-26,66,25.33
2005-09-02,64,24.76
2005-09-09,63,25.04
2005-09-16,67,24.11
2005-09-23,66,23.22
2005-09-30,67,24.13
2005-10-07,70,24.10
2005-10-14,71,23.39
2005-10-21,73,22.98
2005-10-28,72,23.82
2005-11-04,71,24.81
2005-11-11,73,25.86
2005-11-18,71,25.20
2005-11-25,74,25.05
2005-12-02,75,24.88
2005-12-09,75,25.19
2005-12-16,76,24.70
2005-12-23,80,24.27
2005-12-30,82,23.97
2006-01-06,78,24.74
2006-01-13,76,25.70
2006-01-20,79,25.72
2006-01-27,83,25.08
2006-02-03,79,25.01
2006-02-10,77,26.68
2006-02-17,79,26.91
2006-02-24,78,27.98
2006-03-03,79,28.22
2006-03-10,78,28.16
2006-03-17,81,28.64
2006-03-24,78,27.45
2006-03-31,76,27.89
2006-04-07,76,27.53
2006-04-14,84,
2006-04-21,79,27.02
2006-04-28,73,27.96
2006-05-05,77,29.09
2006-05-12,75,29.90
