Date,JPMorgan Chase,Price
2004-01-09,28,
2004-01-16,47,
2004-01-23,25,
2004-01-30,51,
2004-02-06,33,39.73
2004-02-13,35,40.16
2004-02-20,22,40.57
2004-02-27,28,41.02
2004-03-05,25,43.01
2004-03-12,25,41.52
2004-03-19,25,41.33
2004-03-26,41,41.25
2004-04-02,58,41.53
2004-04-09,35,
2004-04-16,30,39.26
2004-04-23,30,38.30
2004-04-30,20,37.60
2004-05-07,30,36.48
2004-05-14,31,35.66
2004-05-21,38,36.08
2004-05-28,33,36.84
2004-06-04,32,37.28
2004-06-11,49,
2004-06-18,37,37.23
2004-06-25,30,37.99
2004-07-02,26,38.08
2004-07-09,31,36.83
2004-07-16,31,35.87
2004-07-23,95,36.53
2004-07-30,39,37.33
2004-08-06,43,36.09
2004-08-13,40,36.87
2004-08-20,53,38.65
2004-08-27,30,39.72
2004-09-03,24,39.85
2004-09-10,24,39.80
2004-09-17,24,39.65
2004-09-24,36,39.75
2004-10-01,32,40.34
2004-10-08,28,39.65
2004-10-15,41,38.74
2004-10-22,36,37.47
2004-10-29,34,38.60
2004-11-05,23,39.35
2004-11-12,39,39.17
2004-11-19,43,37.42
2004-11-26,26,37.69
2004-12-03,25,38.06
2004-12-10,42,37.63
2004-12-17,35,38.52
2004-12-24,20,
2004-12-31,22,39.01
2005-01-07,45,38.40
2005-01-14,35,37.81
2005-01-21,48,36.85
2005-01-28,48,37.00
2005-02-04,34,37.69
2005-02-11,46,37.48
2005-02-18,45,36.51
2005-02-25,31,36.97
2005-03-04,42,37.51
2005-03-11,23,36.11
2005-03-18,40,36.01
2005-03-25,31,
2005-04-01,42,34.25
2005-04-08,26,34.50
2005-04-15,47,33.93
2005-04-22,37,34.87
2005-04-29,49,35.49
2005-05-06,39,35.61
2005-05-13,35,34.46
2005-05-20,48,36.06
2005-05-27,43,35.80
2005-06-03,48,35.55
2005-06-10,58,35.43
2005-06-17,41,36.08
2005-06-24,42,35.57
2005-07-01,46,35.06
2005-07-08,33,34.81
2005-07-15,38,35.86
2005-07-22,62,35.60
2005-07-29,46,35.14
2005-08-05,48,35.25
2005-08-12,88,34.31
2005-08-19,55,34.54
2005-08-26,39,33.65
2005-09-02,35,34.11
2005-09-09,36,34.82
2005-09-16,43,34.99
2005-09-23,44,34.07
2005-09-30,37,33.93
2005-10-07,41,33.90
2005-10-14,36,34.08
2005-10-21,42,35.13
2005-10-28,44,36.44
2005-11-04,38,37.31
2005-11-11,51,38.26
2005-11-18,44,38.03
2005-11-25,34,38.86
2005-12-02,42,38.99
2005-12-09,44,39.12
2005-12-16,44,39.79
2005-12-23,52,40.20
2005-12-30,37,39.69
2006-01-06,51,40.02
2006-01-13,49,39.92
2006-01-20,47,38.05
2006-01-27,49,39.75
2006-02-03,35,39.53
2006-02-10,48,39.92
2006-02-17,50,40.78
2006-02-24,46,41.66
2006-03-03,37,41.59
