Date,buy AT&T,Price
2004-01-09,21,
2004-01-16,22,
2004-01-23,20,
2004-01-30,20,
2004-02-06,24,26.02
2004-02-13,23,25.05
2004-02-20,17,23.88
2004-02-27,18,24.01
2004-03-05,18,25.02
2004-03-12,17,24.36
2004-03-19,23,24.62
2004-03-26,17,23.92
2004-04-02,19,24.87
2004-04-09,22,
2004-04-16,21,24.17
2004-04-23,22,25.42
2004-04-30,19,24.90
2004-05-07,24,24.74
2004-05-14,21,24.50
2004-05-21,22,24.33
2004-05-28,21,23.70
2004-06-04,28,23.93
2004-06-11,26,
2004-06-18,21,24.60
2004-06-25,19,23.80
2004-07-02,19,24.11
2004-07-09,22,23.59
2004-07-16,24,23.10
2004-07-23,23,24.22
2004-07-30,25,25.34
2004-08-06,27,24.85
2004-08-13,24,25.06
2004-08-20,25,25.57
2004-08-27,22,25.84
2004-09-03,24,26.20
2004-09-10,26,26.57
2004-09-17,22,26.48
2004-09-24,25,26.05
2004-10-01,22,26.32
2004-10-08,22,26.83
2004-10-15,21,26.68
2004-10-22,18,25.24
2004-10-29,22,25.26
2004-11-05,21,26.25
2004-11-12,27,26.67
2004-11-19,21,25.89
2004-11-26,30,25.48
2004-12-03,26,25.81
2004-12-10,30,25.31
2004-12-17,28,25.70
2004-12-24,24,
2004-12-31,31,25.77
2005-01-07,26,25.08
2005-01-14,21,24.41
2005-01-21,26,24.58
2005-01-28,26,23.62
2005-02-04,20,24.60
2005-02-11,24,24.26
2005-02-18,20,24.18
2005-02-25,23,24.21
2005-03-04,24,24.49
2005-03-11,19,24.00
2005-03-18,22,23.35
2005-03-25,23,
2005-04-01,23,23.66
2005-04-08,23,23.75
2005-04-15,20,23.00
2005-04-22,23,23.20
2005-04-29,23,23.80
2005-05-06,28,23.62
2005-05-13,17,23.08
2005-05-20,22,23.63
2005-05-27,23,23.67
2005-06-03,19,23.34
2005-06-10,22,23.63
2005-06-17,23,24.02
2005-06-24,22,23.50
2005-07-01,22,23.93
2005-07-08,26,23.57
2005-07-15,23,24.12
2005-07-22,21,23.72
2005-07-29,26,24.45
2005-08-05,25,24.61
2005-08-12,22,24.46
2005-08-19,26,24.14
2005-08-26,27,23.71
2005-09-02,26,23.87
2005-09-09,20,24.05
