Date,buy Chevron,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,85.42
2004-02-13,0,86.52
2004-02-20,0,86.61
2004-02-27,0,88.35
2004-03-05,0,90.22
2004-03-12,0,88.45
2004-03-19,0,88.20
2004-03-26,0,85.34
2004-04-02,0,88.03
2004-04-09,0,
2004-04-16,0,91.73
2004-04-23,0,91.69
2004-04-30,0,91.50
2004-05-07,0,91.65
2004-05-14,0,92.69
2004-05-21,0,89.61
2004-05-28,0,90.40
2004-06-04,0,90.20
2004-06-11,0,
2004-06-18,0,93.42
2004-06-25,0,93.39
2004-07-02,0,93.25
2004-07-09,0,93.95
2004-07-16,0,95.40
2004-07-23,0,93.70
2004-07-30,0,95.65
2004-08-06,0,93.82
2004-08-13,0,95.60
2004-08-20,0,94.18
2004-08-27,0,95.25
2004-09-03,0,99.77
2004-09-10,0,100.05
2004-09-17,0,51.94
2004-09-24,0,52.83
2004-10-01,0,53.92
2004-10-08,0,55.29
2004-10-15,0,53.40
2004-10-22,0,53.34
2004-10-29,0,53.06
2004-11-05,0,54.53
2004-11-12,0,54.57
2004-11-19,0,53.90
2004-11-26,0,54.84
2004-12-03,0,52.59
2004-12-10,0,52.60
2004-12-17,0,51.72
2004-12-24,0,
2004-12-31,0,52.51
2005-01-07,0,51.15
2005-01-14,0,52.30
2005-01-21,0,51.98
2005-01-28,0,53.72
2005-02-04,0,56.74
2005-02-11,0,58.16
2005-02-18,0,59.73
2005-02-25,0,61.94
2005-03-04,0,61.71
2005-03-11,0,58.30
2005-03-18,0,60.38
2005-03-25,0,
2005-04-01,0,59.31
2005-04-08,0,56.69
2005-04-15,0,52.21
2005-04-22,0,53.87
2005-04-29,0,52.00
2005-05-06,0,52.74
2005-05-13,0,51.28
2005-05-20,0,51.72
2005-05-27,0,54.58
2005-06-03,0,55.06
2005-06-10,0,56.30
2005-06-17,0,58.97
2005-06-24,0,56.69
2005-07-01,0,56.97
2005-07-08,0,57.36
2005-07-15,0,56.67
2005-07-22,0,57.79
2005-07-29,0,58.01
2005-08-05,0,60.34
2005-08-12,0,62.28
2005-08-19,0,59.92
2005-08-26,0,59.38
2005-09-02,0,62.30
2005-09-09,0,63.81
2005-09-16,0,63.38
2005-09-23,0,63.27
2005-09-30,0,64.73
2005-10-07,0,61.00
2005-10-14,0,59.48
2005-10-21,0,56.30
2005-10-28,0,57.38
2005-11-04,0,58.01
2005-11-11,0,56.63
2005-11-18,0,58.11
2005-11-25,0,58.54
2005-12-02,0,59.18
2005-12-09,0,58.82
2005-12-16,0,57.51
2005-12-23,0,57.13
2005-12-30,0,56.77
2006-01-06,0,59.25
2006-01-13,0,60.36
2006-01-20,0,61.12
2006-01-27,0,60.38
2006-02-03,0,57.50
2006-02-10,0,56.61
2006-02-17,0,57.17
2006-02-24,0,57.65
2006-03-03,0,56.97
2006-03-10,0,54.08
2006-03-17,0,57.18
2006-03-24,0,57.57
2006-03-31,0,57.97
2006-04-07,0,58.65
2006-04-14,0,
2006-04-21,0,61.48
2006-04-28,0,61.02
2006-05-05,0,62.35
2006-05-12,0,61.38
2006-05-19,0,58.47
2006-05-26,0,59.83
2006-06-02,0,60.75
2006-06-09,0,57.53
2006-06-16,0,58.71
2006-06-23,0,58.71
2006-06-30,0,62.06
2006-07-07,0,63.68
2006-07-14,0,66.38
2006-07-21,0,64.45
2006-07-28,0,66.05
2006-08-04,0,65.66
2006-08-11,0,67.85
2006-08-18,0,67.26
2006-08-25,0,66.77
2006-09-01,0,64.83
2006-09-08,0,64.22
2006-09-15,0,61.79
2006-09-22,0,61.94
2006-09-29,0,64.86
2006-10-06,0,63.66
2006-10-13,0,64.20
2006-10-20,0,65.28
2006-10-27,0,67.68
2006-11-03,0,68.91
2006-11-10,0,69.54
2006-11-17,0,69.10
2006-11-24,0,68.84
2006-12-01,0,73.11
2006-12-08,0,72.83
2006-12-15,0,75.38
2006-12-22,0,72.73
2006-12-29,0,73.53
2007-01-05,0,70.55
2007-01-12,0,70.35
2007-01-19,0,72.32
2007-01-26,0,71.50
2007-02-02,0,74.04
2007-02-09,0,73.32
2007-02-16,0,70.81
2007-02-23,0,71.07
2007-03-02,0,66.79
2007-03-09,0,68.47
2007-03-16,0,68.08
2007-03-23,0,73.70
2007-03-30,0,73.96
2007-04-06,0,
2007-04-13,0,77.01
2007-04-20,0,78.45
2007-04-27,0,78.08
2007-05-04,0,79.30
2007-05-11,0,80.04
2007-05-18,0,82.85
2007-05-25,0,81.13
2007-06-01,0,82.23
2007-06-08,0,80.69
2007-06-15,0,83.17
2007-06-22,0,81.55
2007-06-29,0,84.24
2007-07-06,0,87.68
2007-07-13,0,93.33
2007-07-20,0,92.12
2007-07-27,0,85.20
2007-08-03,0,81.02
2007-08-10,0,83.42
2007-08-17,0,84.36
2007-08-24,0,87.22
2007-08-31,0,87.76
2007-09-07,0,87.65
2007-09-14,0,90.65
2007-09-21,0,94.84
2007-09-28,0,93.58
2007-10-05,0,92.32
2007-10-12,0,91.41
2007-10-19,0,89.27
2007-10-26,0,91.65
2007-11-02,0,88.48
2007-11-09,0,87.26
2007-11-16,0,85.98
2007-11-23,0,86.67
2007-11-30,0,87.77
2007-12-07,0,90.96
2007-12-14,0,92.02
2007-12-21,0,94.04
2007-12-28,0,94.86
2008-01-04,0,93.35
2008-01-11,0,90.67
2008-01-18,0,83.46
2008-01-25,0,81.82
2008-02-01,0,82.49
2008-02-08,0,79.26
2008-02-15,0,83.60
2008-02-22,0,85.42
2008-02-29,0,86.66
2008-03-07,0,85.26
2008-03-14,0,85.34
2008-03-21,0,
2008-03-28,0,84.50
2008-04-04,0,88.05
2008-04-11,0,88.80
2008-04-18,0,93.18
2008-04-25,0,92.69
2008-05-02,0,95.32
2008-05-09,0,97.39
2008-05-16,0,100.38
2008-05-23,0,100.73
2008-05-30,0,99.15
2008-06-06,0,99.50
2008-06-13,0,99.40
2008-06-20,0,96.62
2008-06-27,0,97.80
2008-07-04,0,
2008-07-11,0,92.25
2008-07-18,0,86.05
2008-07-25,0,82.56
2008-08-01,0,84.31
2008-08-08,0,84.40
2008-08-15,0,84.25
2008-08-22,0,88.10
2008-08-29,0,86.32
2008-09-05,0,80.22
2008-09-12,0,84.24
2008-09-19,0,87.80
2008-09-26,0,86.95
2008-10-03,0,79.38
2008-10-10,0,57.83
2008-10-17,0,62.35
2008-10-24,0,63.91
2008-10-31,0,74.60
2008-11-07,0,73.46
2008-11-14,0,72.68
2008-11-21,0,70.49
2008-11-28,0,79.01
2008-12-05,0,74.42
2008-12-12,0,79.00
2008-12-19,0,70.85
2008-12-26,0,70.35
2009-01-02,0,76.52
2009-01-09,0,72.82
2009-01-16,0,71.74
2009-01-23,0,70.82
2009-01-30,0,70.52
2009-02-06,0,74.90
2009-02-13,0,69.73
2009-02-20,0,65.07
2009-02-27,0,60.71
2009-03-06,0,58.27
2009-03-13,74,62.91
2009-03-20,0,64.71
2009-03-27,0,68.90
2009-04-03,0,70.48
2009-04-10,0,
2009-04-17,0,66.01
2009-04-24,0,66.60
2009-05-01,0,66.87
2009-05-08,0,70.38
2009-05-15,0,65.88
2009-05-22,0,64.44
2009-05-29,0,66.67
2009-06-05,0,69.37
2009-06-12,0,72.67
2009-06-19,0,68.06
2009-06-26,0,65.95
2009-07-03,0,
2009-07-10,0,61.40
2009-07-17,0,65.12
2009-07-24,0,68.43
2009-07-31,0,69.47
2009-08-07,0,69.50
2009-08-14,0,68.63
2009-08-21,0,69.73
2009-08-28,0,70.68
2009-09-04,56,68.96
2009-09-11,58,70.75
2009-09-18,60,72.64
2009-09-25,0,70.66
2009-10-02,0,68.14
2009-10-09,0,72.76
2009-10-16,0,76.81
2009-10-23,0,76.68
2009-10-30,0,76.54
2009-11-06,0,77.53
2009-11-13,0,77.94
2009-11-20,0,76.77
2009-11-27,0,78.17
2009-12-04,0,78.07
2009-12-11,0,77.76
2009-12-18,0,76.90
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,79.47
2010-01-15,53,79.23
2010-01-22,0,74.59
2010-01-29,0,72.12
2010-02-05,0,71.18
2010-02-12,0,71.01
2010-02-19,0,74.05
2010-02-26,0,72.30
2010-03-05,0,74.30
2010-03-12,0,73.72
2010-03-19,0,74.98
2010-03-26,0,74.43
2010-04-02,0,
2010-04-09,0,79.50
2010-04-16,0,80.75
2010-04-23,0,82.67
2010-04-30,0,81.44
2010-05-07,0,77.10
2010-05-14,0,77.83
2010-05-21,0,74.48
2010-05-28,0,73.87
2010-06-04,0,71.28
2010-06-11,0,74.06
2010-06-18,0,75.52
2010-06-25,0,70.06
2010-07-02,0,67.31
2010-07-09,0,71.84
2010-07-16,45,71.50
2010-07-23,48,73.52
2010-07-30,50,76.21
2010-08-06,46,78.73
2010-08-13,0,77.40
2010-08-20,0,75.05
2010-08-27,0,74.93
2010-09-03,0,78.00
2010-09-10,0,78.82
2010-09-17,58,78.46
2010-09-24,41,80.12
2010-10-01,41,81.95
2010-10-08,44,83.94
2010-10-15,48,83.61
2010-10-22,52,84.55
2010-10-29,55,82.60
2010-11-05,59,84.98
2010-11-12,63,85.44
2010-11-19,45,83.94
2010-11-26,45,82.05
2010-12-03,45,84.89
2010-12-10,46,87.03
2010-12-17,47,88.49
2010-12-24,48,
2010-12-31,48,91.25
2011-01-07,62,91.19
2011-01-14,40,92.83
2011-01-21,40,93.78
2011-01-28,34,93.37
2011-02-04,34,97.11
2011-02-11,51,96.45
2011-02-18,67,98.72
2011-02-25,35,102.10
2011-03-04,35,103.75
2011-03-11,35,99.93
2011-03-18,35,102.80
2011-03-25,59,106.78
2011-04-01,39,108.32
2011-04-08,39,109.66
2011-04-15,63,106.24
2011-04-22,48,
2011-04-29,42,109.44
2011-05-06,42,102.88
2011-05-13,49,102.39
2011-05-20,55,102.57
2011-05-27,39,103.21
2011-06-03,39,101.00
2011-06-10,55,99.67
2011-06-17,55,99.17
2011-06-24,55,97.90
2011-07-01,49,104.09
2011-07-08,49,105.89
2011-07-15,49,106.19
2011-07-22,49,108.97
2011-07-29,49,104.02
2011-08-05,38,97.61
2011-08-12,44,95.86
2011-08-19,48,93.29
2011-08-26,43,96.85
2011-09-02,36,96.41
2011-09-09,32,95.19
2011-09-16,45,99.63
2011-09-23,32,90.01
2011-09-30,38,92.59
2011-10-07,56,94.40
2011-10-14,51,100.47
2011-10-21,49,105.53
2011-10-28,49,109.64
2011-11-04,37,106.43
2011-11-11,43,107.05
2011-11-18,33,97.88
2011-11-25,57,92.29
2011-12-02,45,101.69
2011-12-09,36,104.25
2011-12-16,39,100.86
2011-12-23,38,107.50
2011-12-30,59,106.40
2012-01-06,30,108.31
2012-01-13,33,106.09
2012-01-20,36,106.89
2012-01-27,39,103.96
2012-02-03,44,105.50
2012-02-10,33,105.28
2012-02-17,39,106.66
2012-02-24,40,109.08
2012-03-02,42,109.61
2012-03-09,38,109.57
2012-03-16,38,110.28
2012-03-23,42,106.36
2012-03-30,61,107.21
2012-04-06,43,
2012-04-13,37,100.78
2012-04-20,43,102.52
2012-04-27,51,106.20
2012-05-04,47,103.72
2012-05-11,38,102.69
2012-05-18,46,98.46
2012-05-25,49,98.86
2012-06-01,49,96.41
2012-06-08,43,100.84
2012-06-15,37,104.33
2012-06-22,60,100.44
2012-06-29,46,105.50
2012-07-06,55,105.07
2012-07-13,57,106.01
2012-07-20,57,109.19
2012-07-27,69,109.26
2012-08-03,66,111.12
2012-08-10,72,113.55
2012-08-17,36,112.66
2012-08-24,42,112.01
2012-08-31,67,112.16
2012-09-07,53,114.00
2012-09-14,86,117.25
2012-09-21,55,117.80
2012-09-28,56,116.56
2012-10-05,64,117.50
2012-10-12,57,112.07
2012-10-19,59,113.38
2012-10-26,57,111.18
2012-11-02,47,108.37
2012-11-09,46,105.84
2012-11-16,44,102.40
2012-11-23,51,105.47
2012-11-30,47,105.69
2012-12-07,69,106.99
2012-12-14,55,107.82
2012-12-21,68,109.71
2012-12-28,86,106.45
2013-01-04,93,110.50
2013-01-11,48,111.73
2013-01-18,47,115.24
2013-01-25,45,116.20
2013-02-01,72,116.50
2013-02-08,83,115.64
2013-02-15,68,114.96
2013-02-22,67,115.96
2013-03-01,72,116.90
2013-03-08,81,118.57
2013-03-15,63,119.68
2013-03-22,65,121.18
2013-03-29,54,
2013-04-05,51,117.52
2013-04-12,63,119.94
2013-04-19,70,115.90
2013-04-26,66,120.04
2013-05-03,69,123.49
2013-05-10,97,123.23
2013-05-17,57,123.42
2013-05-24,99,125.45
2013-05-31,79,122.75
2013-06-07,87,121.70
2013-06-14,79,120.28
2013-06-21,70,118.93
2013-06-28,79,118.34
2013-07-05,88,120.51
2013-07-12,85,124.06
2013-07-19,83,126.91
2013-07-26,87,127.56
2013-08-02,100,124.95
2013-08-09,96,122.50
2013-08-16,98,119.88
2013-08-23,75,119.53
2013-08-30,87,120.43
2013-09-06,81,121.21
2013-09-13,77,124.14
2013-09-20,96,124.92
2013-09-27,86,122.64
2013-10-04,62,118.13
2013-10-11,52,117.67
2013-10-18,71,119.65
2013-10-25,73,120.59
2013-11-01,43,118.01
2013-11-08,66,121.19
2013-11-15,57,120.06
2013-11-22,71,124.03
2013-11-29,75,122.44
2013-12-06,87,122.29
2013-12-13,79,119.90
2013-12-20,75,122.78
2013-12-27,65,125.23
2014-01-03,72,124.35
2014-01-10,86,121.01
2014-01-17,75,119.29
2014-01-24,56,116.29
2014-01-31,83,111.63
2014-02-07,88,112.05
2014-02-14,76,113.48
2014-02-21,88,112.68
2014-02-28,74,115.33
2014-03-07,78,115.08
2014-03-14,71,114.10
2014-03-21,76,115.63
2014-03-28,85,118.50
2014-04-04,70,118.80
2014-04-11,94,117.03
2014-04-18,82,
2014-04-25,72,123.99
2014-05-02,75,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
