Date,buy Cisco,Price
2004-01-09,79,
2004-01-16,84,
2004-01-23,88,
2004-01-30,92,
2004-02-06,96,24.74
2004-02-13,100,24.06
2004-02-20,57,23.19
2004-02-27,71,23.16
2004-03-05,86,22.89
2004-03-12,65,23.13
2004-03-19,65,22.50
2004-03-26,57,23.40
2004-04-02,57,24.43
2004-04-09,57,
2004-04-16,57,22.48
2004-04-23,57,23.32
2004-04-30,53,20.91
2004-05-07,48,21.69
2004-05-14,65,21.24
2004-05-21,52,21.64
2004-05-28,66,22.37
2004-06-04,49,22.78
2004-06-11,48,
2004-06-18,94,23.42
2004-06-25,77,23.43
2004-07-02,87,22.95
2004-07-09,54,22.36
2004-07-16,66,21.53
2004-07-23,77,20.93
2004-07-30,47,20.92
2004-08-06,47,19.93
2004-08-13,47,17.86
2004-08-20,47,18.88
2004-08-27,45,19.47
2004-09-03,58,18.75
2004-09-10,50,20.46
2004-09-17,50,19.16
2004-09-24,57,18.40
2004-10-01,49,18.93
2004-10-08,41,18.78
2004-10-15,54,18.48
2004-10-22,67,18.27
2004-10-29,46,19.21
2004-11-05,43,19.97
2004-11-12,46,19.26
2004-11-19,49,19.01
2004-11-26,51,19.23
2004-12-03,52,19.43
2004-12-10,55,19.42
2004-12-17,57,18.99
2004-12-24,60,
2004-12-31,63,19.32
2005-01-07,66,18.72
2005-01-14,59,18.88
2005-01-21,62,18.01
2005-01-28,51,17.90
2005-02-04,50,17.90
2005-02-11,54,17.70
2005-02-18,57,17.30
2005-02-25,53,17.20
2005-03-04,34,18.04
2005-03-11,39,18.45
2005-03-18,45,17.80
2005-03-25,41,
2005-04-01,46,17.70
2005-04-08,31,17.90
2005-04-15,31,17.20
2005-04-22,45,17.43
2005-04-29,37,17.27
2005-05-06,42,18.02
2005-05-13,42,18.89
2005-05-20,36,19.47
2005-05-27,41,19.79
2005-06-03,46,19.40
2005-06-10,42,19.24
2005-06-17,37,19.53
2005-06-24,54,19.30
2005-07-01,50,18.99
2005-07-08,35,19.31
2005-07-15,36,19.89
2005-07-22,37,19.32
2005-07-29,46,19.15
2005-08-05,56,19.30
2005-08-12,91,17.80
2005-08-19,40,17.82
2005-08-26,32,17.40
2005-09-02,32,17.72
2005-09-09,28,18.58
2005-09-16,38,18.42
2005-09-23,50,18.05
2005-09-30,49,17.92
2005-10-07,29,17.63
2005-10-14,37,17.27
2005-10-21,41,17.03
2005-10-28,38,17.14
2005-11-04,33,17.87
2005-11-11,41,17.47
2005-11-18,41,17.02
2005-11-25,28,17.55
2005-12-02,50,17.64
2005-12-09,43,17.55
2005-12-16,41,17.52
2005-12-23,42,17.35
2005-12-30,42,17.12
2006-01-06,43,18.77
2006-01-13,37,18.92
2006-01-20,46,18.51
2006-01-27,35,18.78
2006-02-03,59,18.15
2006-02-10,32,19.76
2006-02-17,25,19.86
2006-02-24,43,19.85
2006-03-03,29,21.04
2006-03-10,24,20.82
2006-03-17,35,21.62
2006-03-24,22,21.36
2006-03-31,20,21.67
2006-04-07,26,20.81
2006-04-14,24,
2006-04-21,42,20.68
2006-04-28,30,20.95
2006-05-05,27,21.75
2006-05-12,38,20.34
2006-05-19,33,20.87
2006-05-26,34,20.31
2006-06-02,26,20.44
2006-06-09,33,19.97
2006-06-16,39,19.98
2006-06-23,36,19.61
2006-06-30,32,19.53
2006-07-07,33,19.39
2006-07-14,36,17.94
2006-07-21,27,17.46
2006-07-28,34,18.08
2006-08-04,26,17.24
2006-08-11,33,19.54
2006-08-18,20,20.86
2006-08-25,20,21.05
2006-09-01,20,22.27
2006-09-08,20,21.75
2006-09-15,23,22.72
2006-09-22,27,22.88
2006-09-29,22,22.98
2006-10-06,21,24.09
2006-10-13,30,24.53
2006-10-20,33,24.55
2006-10-27,23,23.72
2006-11-03,21,23.77
2006-11-10,29,26.74
2006-11-17,23,26.93
2006-11-24,29,26.84
2006-12-01,41,26.69
2006-12-08,40,26.98
2006-12-15,27,27.56
2006-12-22,27,26.93
2006-12-29,27,27.33
2007-01-05,27,28.47
2007-01-12,30,28.92
2007-01-19,19,26.70
2007-01-26,30,26.35
2007-02-02,29,27.14
2007-02-09,27,27.71
2007-02-16,26,27.52
2007-02-23,26,27.51
2007-03-02,16,25.30
2007-03-09,25,26.08
2007-03-16,38,25.99
2007-03-23,27,26.19
2007-03-30,28,25.53
2007-04-06,17,
2007-04-13,21,26.68
2007-04-20,35,26.99
2007-04-27,34,27.03
2007-05-04,19,27.91
2007-05-11,23,26.63
2007-05-18,26,26.21
2007-05-25,28,25.52
2007-06-01,41,26.86
2007-06-08,23,26.48
2007-06-15,20,27.39
2007-06-22,36,26.92
2007-06-29,18,27.85
2007-07-06,20,28.47
2007-07-13,32,29.89
2007-07-20,16,29.59
2007-07-27,32,28.97
2007-08-03,28,29.46
2007-08-10,24,31.39
2007-08-17,29,29.99
2007-08-24,26,30.73
2007-08-31,22,31.92
2007-09-07,18,31.52
2007-09-14,32,31.56
2007-09-21,25,32.30
2007-09-28,25,33.13
2007-10-05,29,32.65
2007-10-12,21,32.92
2007-10-19,25,31.50
2007-10-26,37,31.90
2007-11-02,29,32.51
2007-11-09,39,28.58
2007-11-16,27,29.94
2007-11-23,36,28.69
2007-11-30,18,28.02
2007-12-07,22,27.45
2007-12-14,29,28.65
2007-12-21,22,28.60
2007-12-28,23,27.56
2008-01-04,23,26.12
2008-01-11,21,25.87
2008-01-18,15,24.30
2008-01-25,20,24.20
2008-02-01,18,24.94
2008-02-08,25,23.54
2008-02-15,15,23.30
2008-02-22,10,23.60
2008-02-29,18,24.39
2008-03-07,20,24.11
2008-03-14,19,24.32
2008-03-21,21,
2008-03-28,31,24.08
2008-04-04,30,24.39
2008-04-11,23,23.38
2008-04-18,26,24.51
2008-04-25,21,25.60
2008-05-02,17,26.75
2008-05-09,17,25.49
2008-05-16,19,26.51
2008-05-23,18,25.10
2008-05-30,19,26.72
2008-06-06,23,26.54
2008-06-13,18,26.37
2008-06-20,16,24.64
2008-06-27,20,23.61
2008-07-04,18,
2008-07-11,23,21.82
2008-07-18,20,21.66
2008-07-25,28,22.43
2008-08-01,20,21.99
2008-08-08,21,24.25
2008-08-15,29,24.91
2008-08-22,23,24.71
2008-08-29,20,24.05
2008-09-05,22,22.26
2008-09-12,28,23.46
2008-09-19,23,24.29
2008-09-26,23,23.82
2008-10-03,23,21.25
2008-10-10,30,17.23
2008-10-17,20,17.91
2008-10-24,21,16.31
2008-10-31,27,17.77
2008-11-07,25,17.58
2008-11-14,30,16.62
2008-11-21,28,15.17
2008-11-28,22,16.54
2008-12-05,29,15.94
2008-12-12,20,16.99
2008-12-19,18,16.64
2008-12-26,13,16.27
2009-01-02,17,16.96
2009-01-09,20,16.70
2009-01-16,31,15.82
2009-01-23,28,15.89
2009-01-30,28,14.97
2009-02-06,23,17.04
2009-02-13,20,16.10
2009-02-20,21,15.08
2009-02-27,23,14.57
2009-03-06,26,14.18
2009-03-13,27,15.51
2009-03-20,21,15.91
2009-03-27,28,16.95
2009-04-03,26,18.16
2009-04-10,19,
2009-04-17,22,17.99
2009-04-24,23,18.42
2009-05-01,24,19.58
2009-05-08,21,18.73
2009-05-15,22,17.92
2009-05-22,23,17.90
2009-05-29,22,18.50
2009-06-05,21,19.87
2009-06-12,26,19.91
2009-06-19,23,18.92
2009-06-26,16,18.91
2009-07-03,19,
2009-07-10,24,18.34
2009-07-17,24,20.51
2009-07-24,19,21.88
2009-07-31,25,22.01
2009-08-07,20,22.19
2009-08-14,25,21.31
2009-08-21,22,22.19
2009-08-28,15,22.00
2009-09-04,19,21.84
2009-09-11,21,23.09
2009-09-18,22,23.40
2009-09-25,24,22.62
2009-10-02,25,22.67
2009-10-09,26,24.03
2009-10-16,20,24.02
2009-10-23,19,24.17
2009-10-30,15,22.81
2009-11-06,21,23.82
2009-11-13,21,23.71
2009-11-20,21,23.46
2009-11-27,22,23.38
2009-12-04,19,24.16
2009-12-11,23,23.77
2009-12-18,24,23.33
2009-12-25,25,
2010-01-01,19,
2010-01-08,21,24.66
2010-01-15,29,24.40
2010-01-22,23,22.97
2010-01-29,27,22.47
2010-02-05,31,23.70
2010-02-12,17,23.76
2010-02-19,20,24.36
2010-02-26,29,24.33
2010-03-05,30,25.21
2010-03-12,32,25.88
2010-03-19,21,26.15
2010-03-26,17,26.47
2010-04-02,20,
2010-04-09,17,26.60
2010-04-16,23,26.98
2010-04-23,34,27.47
2010-04-30,28,26.93
2010-05-07,29,24.71
2010-05-14,27,24.94
2010-05-21,24,23.46
2010-05-28,18,23.16
2010-06-04,26,22.96
2010-06-11,29,22.91
2010-06-18,30,23.49
2010-06-25,27,22.18
2010-07-02,32,21.13
2010-07-09,33,22.70
2010-07-16,25,22.75
2010-07-23,25,23.35
2010-07-30,24,23.07
