Date,buy Disney,Price
2004-01-09,0,
2004-01-16,23,
2004-01-23,36,
2004-01-30,33,
2004-02-06,29,23.35
2004-02-13,49,26.92
2004-02-20,32,26.55
2004-02-27,24,26.53
2004-03-05,26,26.48
2004-03-12,27,26.10
2004-03-19,29,25.39
2004-03-26,27,25.10
2004-04-02,27,25.95
2004-04-09,20,
2004-04-16,20,24.90
2004-04-23,20,24.65
2004-04-30,30,23.03
2004-05-07,28,22.45
2004-05-14,29,23.24
2004-05-21,20,22.68
2004-05-28,20,23.47
2004-06-04,25,24.06
2004-06-11,30,
2004-06-18,31,25.02
2004-06-25,28,25.18
2004-07-02,28,25.27
2004-07-09,34,24.60
2004-07-16,27,23.45
2004-07-23,30,22.96
2004-07-30,36,23.09
2004-08-06,32,21.99
2004-08-13,18,20.89
2004-08-20,19,22.44
2004-08-27,19,22.66
2004-09-03,21,22.37
2004-09-10,22,23.16
2004-09-17,24,23.42
2004-09-24,29,23.46
2004-10-01,35,23.08
2004-10-08,21,24.85
2004-10-15,19,24.91
2004-10-22,26,24.62
2004-10-29,32,25.22
2004-11-05,44,26.43
2004-11-12,34,26.80
2004-11-19,36,26.66
2004-11-26,37,27.12
2004-12-03,32,27.37
2004-12-10,50,27.63
2004-12-17,22,27.37
2004-12-24,35,
2004-12-31,26,27.80
2005-01-07,32,27.17
2005-01-14,23,28.30
2005-01-21,40,28.15
2005-01-28,28,28.23
2005-02-04,22,29.31
2005-02-11,27,29.34
2005-02-18,19,29.06
2005-02-25,14,27.89
2005-03-04,26,28.88
2005-03-11,20,27.59
2005-03-18,16,28.09
2005-03-25,23,
2005-04-01,21,28.58
2005-04-08,28,28.40
2005-04-15,26,27.37
2005-04-22,17,27.30
2005-04-29,23,26.40
2005-05-06,23,26.89
2005-05-13,21,27.00
2005-05-20,26,27.83
2005-05-27,17,27.88
2005-06-03,14,27.32
2005-06-10,18,27.52
2005-06-17,25,26.70
2005-06-24,27,26.04
2005-07-01,22,25.09
2005-07-08,18,25.00
2005-07-15,23,26.38
2005-07-22,15,25.83
2005-07-29,26,25.64
2005-08-05,24,25.48
2005-08-12,26,25.76
2005-08-19,14,25.97
2005-08-26,24,25.33
2005-09-02,19,24.76
2005-09-09,14,25.04
2005-09-16,15,24.11
2005-09-23,20,23.22
2005-09-30,25,24.13
2005-10-07,40,24.10
2005-10-14,24,23.39
2005-10-21,26,22.98
2005-10-28,21,23.82
2005-11-04,24,24.81
2005-11-11,29,25.86
2005-11-18,34,25.20
2005-11-25,34,25.05
2005-12-02,39,24.88
2005-12-09,38,25.19
2005-12-16,35,24.70
2005-12-23,38,24.27
2005-12-30,29,23.97
2006-01-06,26,24.74
2006-01-13,18,25.70
2006-01-20,25,25.72
2006-01-27,45,25.08
2006-02-03,26,25.01
2006-02-10,30,26.68
2006-02-17,25,26.91
2006-02-24,32,27.98
2006-03-03,38,28.22
2006-03-10,28,28.16
2006-03-17,32,28.64
2006-03-24,23,27.45
2006-03-31,29,27.89
2006-04-07,24,27.53
2006-04-14,20,
2006-04-21,27,27.02
2006-04-28,18,27.96
2006-05-05,24,29.09
2006-05-12,15,29.90
2006-05-19,18,30.15
2006-05-26,18,30.51
2006-06-02,20,30.62
2006-06-09,23,29.33
2006-06-16,28,29.45
2006-06-23,27,29.12
2006-06-30,23,30.00
2006-07-07,23,29.83
2006-07-14,29,28.49
2006-07-21,25,28.47
2006-07-28,26,29.70
2006-08-04,34,29.90
2006-08-11,26,29.43
2006-08-18,22,29.91
2006-08-25,20,28.95
2006-09-01,28,29.89
2006-09-08,25,29.58
2006-09-15,33,30.31
2006-09-22,21,30.08
2006-09-29,28,30.91
2006-10-06,27,31.34
2006-10-13,40,31.11
2006-10-20,45,31.45
2006-10-27,27,31.73
2006-11-03,29,31.89
2006-11-10,35,32.40
2006-11-17,32,32.94
2006-11-24,46,32.91
2006-12-01,47,33.09
2006-12-08,47,34.39
2006-12-15,61,34.30
2006-12-22,34,34.16
2006-12-29,29,34.27
2007-01-05,32,34.19
2007-01-12,38,35.21
2007-01-19,28,35.50
2007-01-26,34,34.55
2007-02-02,30,35.18
2007-02-09,24,34.36
2007-02-16,24,34.89
2007-02-23,22,35.14
2007-03-02,20,33.95
2007-03-09,19,34.37
2007-03-16,22,33.61
2007-03-23,22,34.99
2007-03-30,22,34.43
2007-04-06,26,
2007-04-13,26,34.72
2007-04-20,30,35.28
2007-04-27,20,34.98
2007-05-04,24,35.85
2007-05-11,24,36.07
2007-05-18,22,36.02
2007-05-25,20,36.03
2007-06-01,17,35.24
2007-06-08,24,34.20
2007-06-15,21,34.40
2007-06-22,21,34.14
2007-06-29,25,34.14
2007-07-06,23,34.49
2007-07-13,18,34.37
2007-07-20,21,34.34
2007-07-27,16,33.74
2007-08-03,23,33.90
2007-08-10,28,33.16
2007-08-17,24,32.68
2007-08-24,25,33.87
2007-08-31,23,33.60
2007-09-07,26,33.59
2007-09-14,23,33.56
2007-09-21,23,34.60
2007-09-28,27,34.39
2007-10-05,39,35.47
2007-10-12,31,35.47
2007-10-19,32,33.81
2007-10-26,28,34.38
2007-11-02,28,33.92
2007-11-09,27,32.74
2007-11-16,34,32.53
2007-11-23,52,31.84
2007-11-30,50,33.15
2007-12-07,44,32.79
2007-12-14,47,33.01
2007-12-21,49,32.94
2007-12-28,40,32.42
2008-01-04,35,31.13
2008-01-11,22,30.32
2008-01-18,30,28.51
2008-01-25,33,28.68
2008-02-01,30,30.66
2008-02-08,29,32.12
2008-02-15,28,32.49
2008-02-22,25,32.57
2008-02-29,23,32.41
2008-03-07,27,30.76
2008-03-14,27,30.78
2008-03-21,30,
2008-03-28,30,31.00
2008-04-04,27,31.24
2008-04-11,23,30.18
2008-04-18,19,31.33
2008-04-25,26,32.36
2008-05-02,26,33.49
2008-05-09,30,34.30
2008-05-16,25,34.91
2008-05-23,25,33.23
2008-05-30,29,33.60
2008-06-06,24,33.01
2008-06-13,29,33.93
2008-06-20,30,31.94
2008-06-27,26,31.57
2008-07-04,22,
2008-07-11,22,29.20
2008-07-18,32,30.90
2008-07-25,27,31.10
2008-08-01,29,30.08
2008-08-08,30,32.03
2008-08-15,33,32.50
2008-08-22,25,32.20
2008-08-29,26,32.35
2008-09-05,29,31.36
2008-09-12,23,33.26
2008-09-19,31,34.39
2008-09-26,26,32.75
2008-10-03,39,29.54
2008-10-10,41,23.04
2008-10-17,31,24.75
2008-10-24,42,22.61
2008-10-31,38,25.91
2008-11-07,37,23.36
2008-11-14,43,21.08
2008-11-21,46,21.12
2008-11-28,47,22.52
2008-12-05,50,22.77
2008-12-12,59,22.61
2008-12-19,46,22.43
2008-12-26,52,22.18
2009-01-02,40,23.92
2009-01-09,36,22.31
2009-01-16,37,21.46
2009-01-23,34,20.61
2009-01-30,23,20.68
2009-02-06,31,19.45
2009-02-13,31,18.52
2009-02-20,29,17.53
2009-02-27,28,16.77
2009-03-06,37,15.83
2009-03-13,30,17.13
2009-03-20,33,17.45
2009-03-27,35,18.59
2009-04-03,38,20.00
2009-04-10,38,
2009-04-17,34,20.38
2009-04-24,25,20.26
2009-05-01,31,21.94
2009-05-08,29,25.46
2009-05-15,25,23.41
2009-05-22,28,23.70
2009-05-29,26,24.22
2009-06-05,26,24.95
2009-06-12,29,25.06
2009-06-19,30,23.53
2009-06-26,24,23.43
2009-07-03,31,
2009-07-10,31,22.41
2009-07-17,28,24.51
2009-07-24,30,26.58
2009-07-31,27,25.12
2009-08-07,30,26.69
2009-08-14,34,25.86
2009-08-21,29,26.79
2009-08-28,32,26.84
2009-09-04,65,25.90
2009-09-11,43,28.42
2009-09-18,34,28.44
2009-09-25,33,27.62
2009-10-02,35,27.21
2009-10-09,48,28.64
2009-10-16,46,29.40
2009-10-23,41,28.89
2009-10-30,43,27.37
2009-11-06,36,28.56
2009-11-13,41,30.44
2009-11-20,45,30.01
2009-11-27,53,30.35
2009-12-04,51,30.84
2009-12-11,57,31.70
2009-12-18,51,31.95
2009-12-25,52,
2010-01-01,43,
2010-01-08,36,31.88
2010-01-15,37,30.60
2010-01-22,33,29.98
2010-01-29,37,29.55
2010-02-05,34,29.54
2010-02-12,29,30.07
2010-02-19,31,31.23
2010-02-26,33,31.24
2010-03-05,35,33.22
2010-03-12,32,33.69
2010-03-19,36,33.64
2010-03-26,41,35.31
2010-04-02,45,
2010-04-09,31,36.22
2010-04-16,28,35.83
2010-04-23,32,36.79
2010-04-30,30,36.84
2010-05-07,29,33.41
2010-05-14,28,34.06
2010-05-21,28,32.87
2010-05-28,25,33.42
2010-06-04,27,33.69
2010-06-11,29,34.24
2010-06-18,27,35.15
2010-06-25,28,33.48
2010-07-02,27,31.38
2010-07-09,31,33.75
2010-07-16,27,33.03
2010-07-23,29,34.13
2010-07-30,30,33.69
2010-08-06,32,35.00
2010-08-13,34,33.68
2010-08-20,28,33.05
2010-08-27,29,32.78
2010-09-03,28,34.67
2010-09-10,36,34.15
2010-09-17,33,34.56
2010-09-24,33,33.58
2010-10-01,43,33.34
2010-10-08,38,34.51
2010-10-15,36,34.88
2010-10-22,33,34.97
2010-10-29,42,36.13
2010-11-05,38,37.20
2010-11-12,44,37.75
2010-11-19,46,37.01
2010-11-26,54,36.70
2010-12-03,54,37.59
2010-12-10,49,36.66
2010-12-17,55,37.05
2010-12-24,49,
2010-12-31,42,37.51
2011-01-07,40,39.45
2011-01-14,36,39.29
2011-01-21,40,39.74
2011-01-28,35,38.85
2011-02-04,33,40.71
2011-02-11,33,43.41
2011-02-18,30,43.56
2011-02-25,35,42.95
2011-03-04,37,43.55
2011-03-11,33,42.93
2011-03-18,32,41.23
2011-03-25,36,42.97
2011-04-01,40,42.85
2011-04-08,41,41.76
2011-04-15,35,41.52
2011-04-22,33,
2011-04-29,31,43.10
2011-05-06,33,43.06
2011-05-13,29,41.52
2011-05-20,32,41.50
2011-05-27,34,41.52
2011-06-03,33,39.38
2011-06-10,29,38.50
2011-06-17,32,38.04
2011-06-24,29,37.58
2011-07-01,32,39.72
2011-07-08,33,39.91
2011-07-15,36,39.27
2011-07-22,33,40.65
2011-07-29,32,38.62
2011-08-05,35,35.18
2011-08-12,33,33.09
2011-08-19,33,31.85
2011-08-26,31,32.40
2011-09-02,31,32.46
2011-09-09,32,31.04
2011-09-16,31,32.91
2011-09-23,34,29.83
