Date,buy Home Depot,Price
2004-01-09,31,
2004-01-16,26,
2004-01-23,32,
2004-01-30,35,
2004-02-06,13,36.33
2004-02-13,43,36.17
2004-02-20,33,35.70
2004-02-27,20,36.31
2004-03-05,26,37.45
2004-03-12,35,36.09
2004-03-19,27,36.68
2004-03-26,48,36.93
2004-04-02,32,36.68
2004-04-09,41,
2004-04-16,40,36.20
2004-04-23,33,36.49
2004-04-30,45,35.19
2004-05-07,36,33.00
2004-05-14,30,33.80
2004-05-21,33,34.47
2004-05-28,33,35.92
2004-06-04,32,35.33
2004-06-11,35,
2004-06-18,32,35.37
2004-06-25,42,35.25
2004-07-02,36,34.69
2004-07-09,38,34.37
2004-07-16,61,33.92
2004-07-23,38,33.00
2004-07-30,51,33.72
2004-08-06,37,32.90
2004-08-13,40,33.14
2004-08-20,47,36.36
2004-08-27,41,36.59
2004-09-03,35,37.48
2004-09-10,42,37.54
2004-09-17,34,38.31
2004-09-24,37,38.43
2004-10-01,41,39.25
2004-10-08,27,39.02
2004-10-15,32,39.81
2004-10-22,36,39.17
2004-10-29,17,41.08
2004-11-05,22,42.29
2004-11-12,28,43.22
2004-11-19,33,42.70
2004-11-26,29,43.37
2004-12-03,35,41.79
2004-12-10,43,42.64
2004-12-17,39,42.01
2004-12-24,42,
2004-12-31,38,42.74
2005-01-07,33,41.42
2005-01-14,23,41.90
2005-01-21,31,40.90
2005-01-28,34,40.41
2005-02-04,35,42.42
2005-02-11,27,42.81
2005-02-18,34,42.02
2005-02-25,22,40.58
2005-03-04,27,40.09
2005-03-11,26,39.42
2005-03-18,27,38.88
2005-03-25,38,
2005-04-01,26,37.60
2005-04-08,35,37.48
2005-04-15,41,36.11
2005-04-22,25,36.02
2005-04-29,34,35.37
2005-05-06,34,37.16
2005-05-13,22,36.29
2005-05-20,29,39.63
2005-05-27,31,39.97
2005-06-03,35,39.72
2005-06-10,57,39.50
2005-06-17,44,40.20
2005-06-24,32,38.24
2005-07-01,42,39.49
2005-07-08,40,40.08
2005-07-15,34,41.61
2005-07-22,47,43.47
2005-07-29,41,43.51
2005-08-05,41,40.95
2005-08-12,36,41.28
2005-08-19,34,40.37
2005-08-26,46,39.81
2005-09-02,42,40.33
2005-09-09,33,41.22
2005-09-16,35,39.90
2005-09-23,33,38.53
2005-09-30,27,38.14
2005-10-07,29,37.80
2005-10-14,41,38.41
2005-10-21,29,39.65
2005-10-28,35,40.52
2005-11-04,25,41.36
2005-11-11,30,41.91
2005-11-18,35,42.44
2005-11-25,40,42.42
2005-12-02,41,41.67
2005-12-09,44,41.02
2005-12-16,48,42.50
2005-12-23,51,41.59
2005-12-30,61,40.48
2006-01-06,43,40.38
2006-01-13,34,41.91
2006-01-20,33,40.17
2006-01-27,39,40.00
2006-02-03,36,39.82
2006-02-10,35,39.22
2006-02-17,35,41.86
2006-02-24,38,41.63
2006-03-03,39,42.20
2006-03-10,37,41.25
2006-03-17,34,42.90
2006-03-24,33,43.12
2006-03-31,31,42.30
2006-04-07,33,42.10
2006-04-14,33,
2006-04-21,36,40.28
2006-04-28,43,39.93
2006-05-05,44,41.29
2006-05-12,41,40.00
2006-05-19,37,38.94
2006-05-26,45,38.67
2006-06-02,56,38.00
2006-06-09,40,36.95
2006-06-16,44,36.91
2006-06-23,36,36.41
2006-06-30,47,35.79
2006-07-07,52,35.37
2006-07-14,41,33.84
2006-07-21,58,33.85
2006-07-28,60,34.59
2006-08-04,49,34.71
2006-08-11,41,33.27
2006-08-18,48,34.77
2006-08-25,39,33.48
2006-09-01,38,34.64
2006-09-08,37,34.28
2006-09-15,37,37.22
2006-09-22,30,35.96
2006-09-29,43,36.27
2006-10-06,39,37.14
2006-10-13,37,36.90
2006-10-20,30,35.99
2006-10-27,34,37.07
2006-11-03,33,37.20
2006-11-10,33,36.64
2006-11-17,39,38.28
2006-11-24,56,37.72
2006-12-01,51,38.97
2006-12-08,42,38.80
2006-12-15,46,39.89
2006-12-22,51,38.89
2006-12-29,54,40.16
2007-01-05,42,39.79
2007-01-12,34,40.11
2007-01-19,34,40.55
2007-01-26,34,39.94
2007-02-02,34,40.83
2007-02-09,40,41.00
2007-02-16,37,41.44
2007-02-23,34,40.96
2007-03-02,36,39.01
2007-03-09,35,38.67
2007-03-16,32,37.51
2007-03-23,32,38.22
2007-03-30,41,36.74
2007-04-06,45,
2007-04-13,41,37.89
2007-04-20,38,39.21
2007-04-27,42,38.47
2007-05-04,43,38.90
2007-05-11,43,38.86
2007-05-18,38,38.88
2007-05-25,47,38.38
2007-06-01,50,39.21
2007-06-08,43,37.95
2007-06-15,45,37.95
2007-06-22,43,39.36
2007-06-29,50,39.35
2007-07-06,40,40.30
2007-07-13,47,40.87
2007-07-20,46,39.39
2007-07-27,42,36.75
2007-08-03,53,36.19
2007-08-10,46,35.92
2007-08-17,46,33.31
2007-08-24,47,34.68
2007-08-31,43,38.31
2007-09-07,41,34.21
2007-09-14,42,35.68
2007-09-21,41,34.47
2007-09-28,40,32.44
2007-10-05,37,34.22
2007-10-12,49,33.44
2007-10-19,40,30.76
2007-10-26,39,31.35
2007-11-02,39,30.40
2007-11-09,37,28.05
2007-11-16,39,29.07
2007-11-23,67,28.95
2007-11-30,64,28.56
2007-12-07,53,29.49
2007-12-14,44,26.63
2007-12-21,51,26.66
2007-12-28,56,26.68
2008-01-04,47,24.96
2008-01-11,38,24.71
2008-01-18,40,26.28
2008-01-25,38,28.53
2008-02-01,39,30.45
2008-02-08,42,27.97
2008-02-15,36,27.52
2008-02-22,40,27.77
2008-02-29,42,26.55
2008-03-07,42,25.88
2008-03-14,34,25.75
2008-03-21,41,
2008-03-28,43,27.38
2008-04-04,43,28.79
2008-04-11,46,28.17
2008-04-18,51,28.68
2008-04-25,45,29.78
2008-05-02,45,30.12
2008-05-09,52,27.98
2008-05-16,50,29.10
2008-05-23,55,26.77
2008-05-30,53,27.36
2008-06-06,64,27.18
2008-06-13,68,27.53
2008-06-20,50,26.25
2008-06-27,58,24.02
2008-07-04,55,
2008-07-11,57,21.58
